ticker,date,open,high,low,close
AGMB,2026-02-06,14.7,15.425,12.66,14.9
AGMB,2026-02-09,14.55,16.01,14.5103,15.71
AGMB,2026-02-10,15.0,16.0534,14.31,15.45
AGMB,2026-02-11,14.53,16.055,14.53,16.0
AGMB,2026-02-12,15.98,16.2,15.05,15.68
AGMB,2026-02-13,15.54,16.09,15.255,15.34
AGMB,2026-02-17,15.35,16.65,14.84,15.16
AGMB,2026-02-18,15.35,15.605,13.9,14.7
AGMB,2026-02-19,14.94,15.84,14.08,15.61
AGMB,2026-02-20,15.5,15.69,14.7,15.5
AGMB,2026-02-23,15.6,16.0,15.25,15.4825
AGMB,2026-02-24,15.845,16.075,15.28,15.91
AGMB,2026-02-25,15.99,16.37,15.775,15.97
AGMB,2026-02-26,16.03,16.03,15.51,16.03
AGMB,2026-02-27,15.92,16.335,15.59,16.185
AGMB,2026-03-02,15.51,16.555,15.48,16.25
AGMB,2026-03-03,16.06,17.4528,15.08,15.97
AGMB,2026-03-04,16.0,16.2337,14.13,14.68
AGMB,2026-03-05,14.46,14.98,13.5,14.085
AGMB,2026-03-06,14.45,14.45,13.2,13.62
AGMB,2026-03-09,14.3546,14.455,13.35,14.38
AGMB,2026-03-10,14.5,15.46,13.56,13.65
AGMB,2026-03-11,14.14,14.14,13.2,13.57
AGMB,2026-03-12,13.37,14.155,13.33,13.91
