ticker,date,open,high,low,close
AMCI,2025-12-11,5.13,5.5999,4.203,4.88
AMCI,2025-12-12,4.57,4.8693,2.5,2.71
AMCI,2025-12-15,3.62,9.1499,3.602,7.2501
AMCI,2025-12-16,11.98,15.09,11.05,14.65
AMCI,2025-12-17,12.0,12.19,8.88,10.23
AMCI,2025-12-18,9.11,11.6999,9.01,10.16
AMCI,2025-12-19,10.11,11.0,9.41,9.635
AMCI,2025-12-22,8.9,8.9,6.77,6.86
AMCI,2025-12-23,6.37,6.8,5.81,6.32
AMCI,2025-12-24,6.005,12.47,5.93,9.35
AMCI,2025-12-26,10.3,11.93,8.147,8.73
AMCI,2025-12-29,8.34,9.79,7.8,8.91
AMCI,2025-12-30,8.85,9.39,8.31,8.76
AMCI,2025-12-31,8.43,8.675,7.82,7.91
AMCI,2026-01-02,7.85,8.11,7.0,7.19
AMCI,2026-01-05,7.51,7.98,6.8802,6.9601
AMCI,2026-01-06,6.9,7.29,6.4001,7.29
AMCI,2026-01-07,7.03,8.4367,6.95,8.08
AMCI,2026-01-08,7.5,8.4199,7.5,7.81
AMCI,2026-01-09,7.92,8.5,7.42,7.47
AMCI,2026-01-12,7.59,8.1,7.26,8.02
AMCI,2026-01-13,7.72,7.88,7.2147,7.24
AMCI,2026-01-14,7.25,7.46,7.0001,7.21
AMCI,2026-01-15,7.07,7.74,7.05,7.12
AMCI,2026-01-16,7.0,7.05,6.6,6.72
AMCI,2026-01-20,6.64,6.7362,6.01,6.38
AMCI,2026-01-21,6.11,6.74,6.06,6.29
AMCI,2026-01-22,6.285,6.695,6.285,6.45
AMCI,2026-01-23,6.71,7.0699,6.43,6.69
AMCI,2026-01-26,6.44,6.555,6.0,6.06
AMCI,2026-01-27,6.27,6.44,6.1,6.16
AMCI,2026-01-28,6.095,6.33,6.03,6.1
AMCI,2026-01-29,6.07,6.18,5.6,5.7
AMCI,2026-01-30,5.57,5.84,5.01,5.08
AMCI,2026-02-02,5.1,7.3478,5.1,6.01
AMCI,2026-02-03,6.18,6.25,5.25,5.41
AMCI,2026-02-04,5.5,6.1,5.1,5.99
AMCI,2026-02-05,5.57,6.19,5.57,6.04
AMCI,2026-02-06,6.0,6.4924,5.84,6.13
AMCI,2026-02-09,6.22,6.28,6.0614,6.15
AMCI,2026-02-10,5.92,6.2,5.92,6.16
AMCI,2026-02-11,5.92,6.18,5.85,6.13
AMCI,2026-02-12,5.92,6.7199,5.65,6.48
AMCI,2026-02-13,6.16,6.61,6.1051,6.27
AMCI,2026-02-17,6.2,6.3569,6.11,6.23
AMCI,2026-02-18,6.32,7.05,6.27,6.65
AMCI,2026-02-19,6.6115,6.79,6.03,6.03
AMCI,2026-02-20,6.19,6.265,5.78,5.81
AMCI,2026-02-23,5.9,6.3299,5.8,6.11
AMCI,2026-02-24,6.176,6.94,6.14,6.63
AMCI,2026-02-25,6.6,7.0,6.51,6.83
AMCI,2026-02-26,6.95,7.75,6.769,7.47
AMCI,2026-02-27,7.54,7.54,6.8201,7.4
AMCI,2026-03-02,6.77,7.25,6.5,7.003
AMCI,2026-03-03,6.6,6.99,6.31,6.31
AMCI,2026-03-04,6.49,7.13,6.42,6.71
AMCI,2026-03-05,6.838,7.11,6.25,6.25
AMCI,2026-03-06,6.35,6.6,6.245,6.31
AMCI,2026-03-09,6.38,6.97,6.11,6.735
AMCI,2026-03-10,6.73,7.3,6.73,6.9801
AMCI,2026-03-11,7.02,9.45,6.9,9.45
AMCI,2026-03-12,8.74,8.83,7.5,8.39
