ticker,date,open,high,low,close
BLRK,2026-02-02,9.95,10.0,9.87,9.95
BLRK,2026-02-03,9.91,9.91,9.87,9.9
BLRK,2026-02-04,9.9,9.9,9.9,9.9
BLRK,2026-02-05,9.9,9.9,9.9,9.9
BLRK,2026-02-06,9.95,9.95,9.9,9.9
BLRK,2026-02-09,9.95,9.95,9.91,9.91
BLRK,2026-02-10,9.91,9.91,9.91,9.91
BLRK,2026-02-11,9.91,9.91,9.9,9.9
BLRK,2026-02-12,9.92,9.92,9.89,9.89
BLRK,2026-02-13,9.89,9.89,9.885,9.89
BLRK,2026-02-17,9.91,9.91,9.91,9.91
BLRK,2026-02-18,9.9,9.9,9.9,9.9
BLRK,2026-02-19,9.9,9.9,9.88,9.88
BLRK,2026-02-20,9.88,9.88,9.88,9.88
BLRK,2026-03-06,9.88,9.885,9.88,9.88
BLRK,2026-03-09,9.89,9.89,9.89,9.89
BLRK,2026-03-11,9.89,9.89,9.88,9.88
BLRK,2026-03-12,9.895,9.9,9.89,9.9
