ticker,date,open,high,low,close
CCHH,2025-10-03,5.32,8.25,4.08,4.44
CCHH,2025-10-06,4.17,4.17,3.68,3.72
CCHH,2025-10-07,3.6907,5.0,3.49,4.13
CCHH,2025-10-08,4.19,4.2999,4.05,4.1
CCHH,2025-10-09,4.16,4.4599,4.1254,4.19
CCHH,2025-10-10,4.38,5.5,4.27,5.39
CCHH,2025-10-13,5.04,5.345,4.4,4.49
CCHH,2025-10-14,4.29,4.8,4.1201,4.63
CCHH,2025-10-15,4.4,4.69,4.4,4.59
CCHH,2025-10-16,4.7,4.8,4.33,4.705
CCHH,2025-10-17,4.6,5.0,4.25,4.91
CCHH,2025-10-20,4.91,5.3001,4.36,4.605
CCHH,2025-10-21,4.57,4.7,4.28,4.39
CCHH,2025-10-22,4.61,4.67,4.4,4.62
CCHH,2025-10-23,4.65,4.65,4.43,4.5
CCHH,2025-10-24,4.35,4.85,4.35,4.44
CCHH,2025-10-27,4.5017,4.615,4.2,4.3
CCHH,2025-10-28,4.4,4.7,4.25,4.54
CCHH,2025-10-29,4.49,4.59,4.36,4.48
CCHH,2025-10-30,4.4,4.82,4.4,4.63
CCHH,2025-10-31,4.71,4.9899,4.63,4.73
CCHH,2025-11-03,4.79,4.8325,4.61,4.68
CCHH,2025-11-04,4.55,4.6996,4.43,4.46
CCHH,2025-11-05,4.47,4.7659,4.46,4.58
CCHH,2025-11-06,4.64,4.69,4.49,4.58
CCHH,2025-11-07,4.55,4.715,4.5,4.7
CCHH,2025-11-10,4.66,4.7,4.59,4.69
CCHH,2025-11-11,4.54,4.67,4.52,4.63
CCHH,2025-11-12,4.77,5.5,4.72,5.5
CCHH,2025-11-13,5.23,5.7999,5.1,5.75
CCHH,2025-11-14,5.7,5.98,5.5,5.87
CCHH,2025-11-17,5.85,6.06,5.66,5.69
CCHH,2025-11-18,5.75,6.11,5.16,6.02
CCHH,2025-11-19,6.0,7.56,5.75,6.02
CCHH,2025-11-20,5.93,8.21,5.4,7.95
CCHH,2025-11-21,7.76,10.52,7.75,9.815
CCHH,2025-11-24,9.83,10.95,6.13,9.3103
CCHH,2025-11-25,8.91,9.7,8.8,9.53
CCHH,2025-11-26,9.11,10.3,9.0,9.83
CCHH,2025-11-28,9.9,10.8,9.8,10.55
CCHH,2025-12-01,10.06,10.41,9.36,9.99
CCHH,2025-12-02,9.39,10.8,9.39,10.38
CCHH,2025-12-03,10.05,10.6772,10.02,10.43
CCHH,2025-12-04,10.29,10.7,10.0136,10.48
CCHH,2025-12-05,10.26,12.26,10.26,11.47
CCHH,2025-12-08,12.16,13.53,11.5101,13.04
CCHH,2025-12-09,13.22,14.55,12.8,14.55
CCHH,2025-12-10,14.38,14.65,13.62,14.12
CCHH,2025-12-11,14.24,15.39,14.0,15.12
CCHH,2025-12-12,14.78,15.15,1.6,2.65
CCHH,2025-12-15,1.66,1.67,0.77,1.02
CCHH,2025-12-16,0.939,0.939,0.6504,0.7112
CCHH,2025-12-17,0.68,1.06,0.65,0.6848
CCHH,2025-12-18,0.7,0.7487,0.5342,0.613
CCHH,2025-12-19,0.6068,0.635,0.59,0.615
CCHH,2025-12-22,0.6,0.6005,0.53,0.5403
CCHH,2025-12-23,0.5,0.535,0.5,0.5299
CCHH,2025-12-24,0.5,0.53,0.5,0.53
CCHH,2025-12-26,0.5,0.5225,0.5,0.5068
CCHH,2025-12-29,0.493,0.6847,0.4888,0.5301
CCHH,2025-12-30,0.535,0.584501,0.515,0.58
CCHH,2025-12-31,0.58,0.58,0.5101,0.5118
CCHH,2026-01-02,0.52,0.612,0.52,0.58
CCHH,2026-01-05,0.58,0.5975,0.52,0.559
CCHH,2026-01-06,0.55,0.569,0.5211,0.56
CCHH,2026-01-07,0.55,0.575,0.531,0.5328
CCHH,2026-01-08,0.52,0.5444,0.505,0.506
CCHH,2026-01-09,0.5013,0.5298,0.5011,0.505
CCHH,2026-01-12,0.51,0.5199,0.49,0.4918
CCHH,2026-01-13,0.4928,0.5,0.465,0.465
CCHH,2026-01-14,0.4589,0.4834,0.4226,0.4228
CCHH,2026-01-15,0.413,0.457999,0.413,0.4382
CCHH,2026-01-16,0.46,0.47,0.44,0.446
CCHH,2026-01-20,0.67165,0.85,0.56,0.5729
CCHH,2026-01-21,0.61,0.699,0.5701,0.6041
CCHH,2026-01-22,0.6048,0.6637,0.5941,0.6059
CCHH,2026-01-23,0.6108,0.6224,0.58,0.59
CCHH,2026-01-26,0.509,0.522751,0.4806,0.4809
CCHH,2026-01-27,0.5016,0.5261,0.4915,0.4915
CCHH,2026-01-28,0.499,0.515,0.49,0.49535
CCHH,2026-01-29,0.48,0.51,0.4701,0.506159
CCHH,2026-01-30,0.4817,0.5115,0.46,0.46
CCHH,2026-02-02,0.47,0.474,0.4131,0.439799
CCHH,2026-02-03,0.4333,0.4607,0.36,0.4
CCHH,2026-02-04,0.38,0.418375,0.38,0.4
CCHH,2026-02-05,0.3908,0.4386,0.381,0.3811
CCHH,2026-02-06,0.65,0.7169,0.5294,0.568
CCHH,2026-02-09,0.7353,1.45,0.701,1.35
CCHH,2026-02-10,0.9715,1.32,0.88,1.24
CCHH,2026-02-11,1.47,1.79,1.0,1.06
CCHH,2026-02-12,0.948,1.18,0.94,1.0
CCHH,2026-02-13,1.01,1.13,0.76,0.782
CCHH,2026-02-17,0.6701,0.7,0.5,0.5397
CCHH,2026-02-18,0.58,0.657,0.5657,0.6275
CCHH,2026-02-19,0.6154,0.69,0.5908,0.625
CCHH,2026-02-20,0.6443,0.6443,0.5803,0.5915
CCHH,2026-02-23,0.581,0.584,0.52,0.5515
CCHH,2026-02-24,0.52,0.56,0.52,0.5344
CCHH,2026-02-25,0.5237,0.5398,0.52,0.5287
CCHH,2026-02-26,0.54,0.549899,0.51,0.51
CCHH,2026-02-27,0.5033,0.526,0.49,0.4945
CCHH,2026-03-02,0.4631,0.46745,0.4399,0.46
CCHH,2026-03-03,0.45,0.8345,0.45,0.7629
CCHH,2026-03-04,0.85,1.34,0.8383,1.14
CCHH,2026-03-05,1.04,1.11,0.907,1.0594
CCHH,2026-03-06,0.5925,0.65,0.4902,0.6239
CCHH,2026-03-09,0.5593,0.807699,0.5457,0.6623
CCHH,2026-03-10,0.669,0.75,0.66,0.6659
CCHH,2026-03-11,0.684,0.8,0.6826,0.7292
CCHH,2026-03-12,0.7575,0.8423,0.7276,0.7276
