ticker,date,open,high,low,close
EQPT,2026-01-26,33.55,33.7829,29.5201,29.92
EQPT,2026-01-27,30.77,33.5396,30.77,32.31
EQPT,2026-01-28,32.79,35.2265,32.15,34.535
EQPT,2026-01-29,34.76,35.49,30.0,30.35
EQPT,2026-01-30,30.85,31.34,28.0,31.1
EQPT,2026-02-02,30.46,33.04,29.75,33.04
EQPT,2026-02-03,32.61,33.39,30.93,32.28
EQPT,2026-02-04,32.08,34.62,30.65,34.21
EQPT,2026-02-05,33.52,34.29,31.31,32.02
EQPT,2026-02-06,32.0,33.24,31.51,32.96
EQPT,2026-02-09,32.91,33.99,31.15,32.53
EQPT,2026-02-10,32.39,34.34,32.005,34.34
EQPT,2026-02-11,34.25,35.01,33.0,33.32
EQPT,2026-02-12,33.52,34.0,31.5,32.39
EQPT,2026-02-13,33.0,33.805,32.44,33.735
EQPT,2026-02-17,34.0,34.3,32.48,34.14
EQPT,2026-02-18,33.94,33.94,31.3,32.34
EQPT,2026-02-19,32.32,33.83,32.135,33.695
EQPT,2026-02-20,33.94,34.5,31.34,31.55
EQPT,2026-02-23,31.2082,31.76,28.65,29.21
EQPT,2026-02-24,29.08,30.2,28.5,29.88
EQPT,2026-02-25,30.0,30.67,28.72,29.77
EQPT,2026-02-26,28.92,29.82,28.615,29.42
EQPT,2026-02-27,29.015,29.87,27.75,29.02
EQPT,2026-03-02,28.27,30.755,28.245,30.12
EQPT,2026-03-03,29.5,30.6,28.25,30.06
EQPT,2026-03-04,30.2,30.25,29.35,29.76
EQPT,2026-03-05,29.39,29.595,28.312,29.47
EQPT,2026-03-06,29.02,29.055,27.61,27.88
EQPT,2026-03-09,27.5,28.17,25.6133,28.0
EQPT,2026-03-10,27.62,29.49,27.03,27.16
EQPT,2026-03-11,27.05,28.76,26.5,28.76
EQPT,2026-03-12,28.46,28.46,25.87,25.88
