ticker,date,open,high,low,close
EZRA,2026-01-26,0.319,0.341,0.26,0.2695
EZRA,2026-01-27,0.2768,0.2915,0.27,0.2751
EZRA,2026-01-28,0.2092,0.2346,0.15,0.1971
EZRA,2026-01-29,0.1891,0.2086,0.182,0.2086
EZRA,2026-01-30,0.2006,0.23,0.1852,0.23
EZRA,2026-02-02,0.2249,0.227,0.1907,0.1966
EZRA,2026-02-03,0.1969,0.2001,0.1888,0.1958
EZRA,2026-02-04,0.195,0.2071,0.171,0.1803
EZRA,2026-02-05,0.1843,0.193,0.1667,0.1681
EZRA,2026-02-06,0.17,0.1793,0.15,0.162
EZRA,2026-02-09,0.22085,0.2914,0.187,0.252
EZRA,2026-02-10,0.2,0.2444,0.1844,0.209
EZRA,2026-02-11,0.198,0.23,0.198,0.2141
EZRA,2026-02-12,0.2128,0.2398,0.2029,0.2034
EZRA,2026-02-13,0.2025,0.217,0.1922,0.1922
EZRA,2026-02-17,0.186,0.192,0.175,0.1822
EZRA,2026-02-18,0.1762,0.1967,0.1746,0.188
EZRA,2026-02-19,0.1926,0.195,0.18051,0.1846
EZRA,2026-02-20,0.19,0.19,0.175,0.1825
EZRA,2026-02-23,0.2213,0.285,0.2008,0.2685
EZRA,2026-02-24,0.3127,0.43,0.2501,0.2908
EZRA,2026-02-25,0.285,0.363,0.2501,0.3125
EZRA,2026-02-26,0.3018,0.3018,0.2875,0.3018
EZRA,2026-02-27,0.3133,0.34,0.2601,0.2674
EZRA,2026-03-02,0.2509,0.2532,0.202,0.2186
EZRA,2026-03-03,0.2075,0.2391,0.207,0.2239
EZRA,2026-03-04,0.225,0.25,0.2178,0.2244
EZRA,2026-03-05,0.225,0.2337,0.21,0.2211
EZRA,2026-03-06,0.2149,0.23,0.2122,0.23
EZRA,2026-03-09,0.21975,0.234,0.205,0.2221
EZRA,2026-03-10,0.2203,0.2685,0.2184,0.246
EZRA,2026-03-11,0.225,0.24,0.21,0.2101
EZRA,2026-03-12,0.2101,0.2232,0.21,0.2149
