ticker,date,open,high,low,close
FWDI,2025-11-17,9.08,9.43,8.32,8.5
FWDI,2025-11-18,8.55,8.96,8.24,8.49
FWDI,2025-11-19,8.44,8.9999,8.02,8.33
FWDI,2025-11-20,8.63,9.013,7.94,8.04
FWDI,2025-11-21,7.81,8.225,7.57,8.165
FWDI,2025-11-24,8.12,8.68,7.9001,8.55
FWDI,2025-11-25,8.55,8.59,8.02,8.43
FWDI,2025-11-26,8.56,8.79,8.35,8.54
FWDI,2025-11-28,8.54,9.28,8.54,8.9
FWDI,2025-12-01,8.48,8.55,7.84,7.86
FWDI,2025-12-02,7.9,8.455,7.88,8.29
FWDI,2025-12-03,8.2,8.54,7.86,8.51
FWDI,2025-12-04,8.35,8.69,8.1,8.61
FWDI,2025-12-05,8.53,8.94,8.16,8.2
FWDI,2025-12-08,8.42,8.42,7.91,7.98
FWDI,2025-12-09,7.9,8.57,7.9,8.18
FWDI,2025-12-10,8.18,8.18,7.395,7.74
FWDI,2025-12-11,7.69,7.7015,7.39,7.58
FWDI,2025-12-12,7.57,8.14,7.26,7.56
FWDI,2025-12-15,7.5,7.86,7.12,7.14
FWDI,2025-12-16,7.25,7.54,7.02,7.15
FWDI,2025-12-17,7.09,7.73,6.81,6.955
FWDI,2025-12-18,6.95,7.55,6.8,6.87
FWDI,2025-12-19,6.88,7.29,6.86,7.02
FWDI,2025-12-22,7.22,7.27,6.935,6.95
FWDI,2025-12-23,6.96,6.98,6.7001,6.72
FWDI,2025-12-24,6.68,6.97,6.52,6.94
FWDI,2025-12-26,6.88,7.11,6.72,7.03
FWDI,2025-12-29,6.96,7.23,6.51,6.54
FWDI,2025-12-30,6.5,6.91,6.49,6.58
FWDI,2025-12-31,6.61,6.72,6.5,6.61
FWDI,2026-01-02,6.67,7.36,6.65,7.31
FWDI,2026-01-05,7.75,7.8,7.45,7.75
FWDI,2026-01-06,7.79,7.97,7.51,7.74
FWDI,2026-01-07,7.62,7.72,7.46,7.64
FWDI,2026-01-08,7.56,7.74,7.29,7.7
FWDI,2026-01-09,7.65,7.71,7.3,7.33
FWDI,2026-01-12,7.35,7.74,7.25,7.51
FWDI,2026-01-13,7.61,8.38,7.52,8.28
FWDI,2026-01-14,8.34,8.79,8.06,8.75
FWDI,2026-01-15,8.82,8.82,8.22,8.28
FWDI,2026-01-16,8.13,8.6679,7.95,8.6
FWDI,2026-01-20,8.2,8.335,7.23,7.255
FWDI,2026-01-21,7.26,7.7,7.08,7.635
FWDI,2026-01-22,7.74,7.8799,7.62,7.72
FWDI,2026-01-23,7.74,8.0,7.47,7.82
FWDI,2026-01-26,7.43,7.57,7.1,7.14
FWDI,2026-01-27,7.13,7.17,6.94,7.07
FWDI,2026-01-28,7.19,7.44,6.95,6.98
FWDI,2026-01-29,6.93,7.04,6.39,6.64
FWDI,2026-01-30,6.51,6.69,6.36,6.49
FWDI,2026-02-02,6.3,6.31,5.73,5.745
FWDI,2026-02-03,5.78,5.96,5.46,5.655
FWDI,2026-02-04,5.68,5.71,4.96,5.11
FWDI,2026-02-05,4.91,5.09,4.53,4.57
FWDI,2026-02-06,4.96,5.34,4.9,5.23
FWDI,2026-02-09,5.2,5.47,5.0101,5.45
FWDI,2026-02-10,5.46,5.475,5.01,5.01
FWDI,2026-02-11,5.09,5.155,4.75,4.92
FWDI,2026-02-12,4.92,5.155,4.755,4.84
FWDI,2026-02-13,4.79,5.02,4.72,4.83
FWDI,2026-02-17,4.76,4.9,4.69,4.74
FWDI,2026-02-18,4.73,4.8209,4.5,4.55
FWDI,2026-02-19,4.5,4.55,4.385,4.52
FWDI,2026-02-20,4.59,4.6898,4.5,4.52
FWDI,2026-02-23,4.61,4.66,4.085,4.13
FWDI,2026-02-24,4.15,4.245,4.03,4.13
FWDI,2026-02-25,4.35,4.68,4.35,4.59
FWDI,2026-02-26,4.53,4.53,4.44,4.53
FWDI,2026-02-27,4.53,4.53,4.23,4.25
FWDI,2026-03-02,4.16,4.75,4.16,4.495
FWDI,2026-03-03,4.37,4.4901,4.19,4.37
FWDI,2026-03-04,4.61,5.2572,4.5514,5.11
FWDI,2026-03-05,5.05,5.12,4.79,4.92
FWDI,2026-03-06,4.75,4.86,4.63,4.82
FWDI,2026-03-09,4.71,5.04,4.71,5.01
FWDI,2026-03-10,5.01,5.33,5.0,5.09
FWDI,2026-03-11,5.0,5.23,4.865,5.02
FWDI,2026-03-12,5.0,5.0,4.67,4.68
