ticker,date,open,high,low,close
MESH,2026-01-30,9.94,9.94,9.92,9.92
MESH,2026-02-02,9.9,9.93,9.9,9.9
MESH,2026-02-03,9.94,9.94,9.92,9.94
MESH,2026-02-04,9.92,9.93,9.91,9.93
MESH,2026-02-05,9.93,9.93,9.92,9.93
MESH,2026-02-10,9.915,9.92,9.91,9.92
MESH,2026-02-11,9.915,9.92,9.91,9.92
MESH,2026-02-12,9.92,9.92,9.92,9.92
MESH,2026-02-13,9.905,9.91,9.9,9.91
MESH,2026-02-17,9.9,9.92,9.9,9.9
MESH,2026-02-18,9.91,9.91,9.9,9.9
MESH,2026-02-19,9.9,9.905,9.9,9.905
MESH,2026-02-20,9.91,9.91,9.9,9.9
MESH,2026-02-23,9.89,9.89,9.89,9.89
MESH,2026-02-24,9.89,9.89,9.89,9.89
MESH,2026-02-25,9.89,9.89,9.89,9.89
MESH,2026-02-26,9.89,9.89,9.89,9.89
MESH,2026-02-27,9.89,9.89,9.89,9.89
MESH,2026-03-03,9.905,9.905,9.89,9.89
MESH,2026-03-04,9.89,9.89,9.89,9.89
MESH,2026-03-05,9.88,9.89,9.88,9.88
MESH,2026-03-06,9.885,9.885,9.875,9.88
MESH,2026-03-09,9.89,9.89,9.88,9.88
MESH,2026-03-10,9.89,9.89,9.88,9.88
MESH,2026-03-11,9.88,9.88,9.88,9.88
MESH,2026-03-12,9.88,9.88,9.88,9.88
