ticker,date,open,high,low,close
PICS,2026-01-29,19.5,19.95,18.95,19.0
PICS,2026-01-30,19.01,19.09,18.0,18.0
PICS,2026-02-02,18.2582,18.2582,16.055,17.54
PICS,2026-02-03,17.5,18.48,17.21,17.35
PICS,2026-02-04,17.09,17.415,16.0,16.93
PICS,2026-02-05,16.54,16.91,15.005,15.03
PICS,2026-02-06,15.16,16.41,15.0506,15.73
PICS,2026-02-09,15.57,16.215,15.03,15.28
PICS,2026-02-10,15.3,15.85,15.0,15.2
PICS,2026-02-11,15.18,15.92,14.27,14.5
PICS,2026-02-12,15.0,15.275,14.25,14.5
PICS,2026-02-13,15.49,15.49,13.0,13.735
PICS,2026-02-17,14.0,14.105,12.805,13.14
PICS,2026-02-18,13.2,14.6,12.81,14.37
PICS,2026-02-19,14.39,15.56,14.39,15.1
PICS,2026-02-20,14.7,15.88,14.7,15.71
PICS,2026-02-23,16.2099,16.75,15.08,15.61
PICS,2026-02-24,15.86,17.31,15.77,16.94
PICS,2026-02-25,17.25,18.49,17.25,17.87
PICS,2026-02-26,18.0,18.155,16.902,17.97
PICS,2026-02-27,17.67,18.2,16.61,17.23
PICS,2026-03-02,16.5,16.88,15.66,16.33
PICS,2026-03-03,14.32,14.32,13.725,14.32
PICS,2026-03-04,14.51,15.9937,14.46,15.37
PICS,2026-03-05,15.37,15.9,15.14,15.26
PICS,2026-03-06,14.93,14.93,13.7,14.13
PICS,2026-03-09,13.85,14.4,13.53,14.19
PICS,2026-03-10,14.19,14.775,13.8779,14.1
PICS,2026-03-11,14.08,14.6574,13.88,14.47
PICS,2026-03-12,14.3,15.33,14.3,14.73
