ticker,date,open,high,low,close
PLSM,2026-01-21,9.45,10.28,6.35,7.02
PLSM,2026-01-22,6.15,6.349,5.81,5.86
PLSM,2026-01-23,5.97,7.26,5.91,5.92
PLSM,2026-01-26,6.0,6.3,5.95,6.15
PLSM,2026-01-27,6.28,6.85,6.0,6.21
PLSM,2026-01-28,6.3,6.44,5.91,6.3
PLSM,2026-01-29,6.47,6.54,6.0101,6.05
PLSM,2026-01-30,6.03,6.03,5.5687,5.85
PLSM,2026-02-02,6.08,6.26,6.07,6.13
PLSM,2026-02-03,6.07,6.1,6.07,6.1
PLSM,2026-02-04,6.2319,6.2319,6.063,6.063
PLSM,2026-02-05,5.96,5.96,5.7,5.7
PLSM,2026-02-06,5.7,5.78,5.7,5.75
PLSM,2026-02-09,5.8,5.89,5.6,5.7999
PLSM,2026-02-11,5.6,6.1,5.49,5.79
PLSM,2026-02-12,5.67,5.71,5.5,5.6
PLSM,2026-02-13,6.12,6.13,5.57,5.6
PLSM,2026-02-17,5.54,5.7,5.1,5.1
PLSM,2026-02-18,5.35,5.515,5.15,5.2603
PLSM,2026-02-19,5.33,5.33,5.1,5.24
PLSM,2026-02-20,5.24,5.25,5.2,5.25
PLSM,2026-02-23,4.93,4.93,4.93,4.93
PLSM,2026-02-24,4.875,5.05,4.6,5.05
PLSM,2026-02-25,4.85,5.37,4.85,5.03
PLSM,2026-02-26,4.75,4.91,4.5,4.6
PLSM,2026-02-27,4.71,4.71,4.36,4.43
PLSM,2026-03-02,4.3913,4.3913,4.205,4.205
PLSM,2026-03-03,4.02,4.3043,4.02,4.3043
PLSM,2026-03-04,4.24,4.49,3.96,4.26
PLSM,2026-03-05,4.24,4.24,4.24,4.24
PLSM,2026-03-06,4.25,4.28,4.22,4.25
PLSM,2026-03-09,4.08,4.19,3.7,4.01
PLSM,2026-03-10,4.19,4.57,4.19,4.34
PLSM,2026-03-11,4.1,5.0,3.7,4.6
PLSM,2026-03-12,4.7,4.7,4.67,4.7
