ticker,date,open,high,low,close
PURR,2025-12-04,3.99,4.0,3.4,3.6
PURR,2025-12-05,3.75,3.75,3.445,3.68
PURR,2025-12-08,3.75,3.905,3.42,3.72
PURR,2025-12-09,3.7,4.08,3.33,3.86
PURR,2025-12-10,3.92,3.97,3.67,3.745
PURR,2025-12-11,3.72,3.7556,3.41,3.42
PURR,2025-12-12,3.48,3.6,3.21,3.5
PURR,2025-12-15,3.46,3.5612,3.17,3.225
PURR,2025-12-16,3.19,3.615,3.1865,3.47
PURR,2025-12-17,3.54,3.54,3.25,3.41
PURR,2025-12-18,3.41,3.6,3.15,3.15
PURR,2025-12-19,3.25,3.44,3.17,3.41
PURR,2025-12-22,3.47,3.47,3.29,3.37
PURR,2025-12-23,3.36,3.46,3.2592,3.32
PURR,2025-12-24,3.35,3.35,3.16,3.21
PURR,2025-12-26,3.29,3.31,3.2,3.26
PURR,2025-12-29,3.26,3.43,3.01,3.1
PURR,2025-12-30,3.15,3.4636,3.06,3.37
PURR,2025-12-31,3.47,3.59,3.32,3.56
PURR,2026-01-02,3.53,3.56,3.3,3.44
PURR,2026-01-05,3.615,3.76,3.37,3.46
PURR,2026-01-06,3.38,3.768,3.35,3.71
PURR,2026-01-07,3.74,3.8,3.525,3.76
PURR,2026-01-08,3.75,3.85,3.46,3.58
PURR,2026-01-09,3.53,3.71,3.48,3.55
PURR,2026-01-12,3.49,3.65,3.28,3.45
PURR,2026-01-13,3.45,3.755,3.36,3.735
PURR,2026-01-14,3.75,3.9,3.67,3.76
PURR,2026-01-15,3.85,3.85,3.59,3.64
PURR,2026-01-16,3.75,3.81,3.55,3.71
PURR,2026-01-20,3.63,3.68,3.4,3.46
PURR,2026-01-21,3.48,3.535,3.24,3.36
PURR,2026-01-22,3.38,3.525,3.3701,3.4
PURR,2026-01-23,3.41,3.65,3.26,3.51
PURR,2026-01-26,3.51,3.79,3.311,3.74
PURR,2026-01-27,4.05,4.63,4.05,4.35
PURR,2026-01-28,5.01,5.12,4.3207,4.64
PURR,2026-01-29,4.77,5.1,4.19,4.37
PURR,2026-01-30,4.21,4.715,3.98,4.56
PURR,2026-02-02,4.6,5.36,4.5615,5.35
PURR,2026-02-03,5.73,5.78,4.92,5.15
PURR,2026-02-04,5.09,5.15,4.642,5.1499
PURR,2026-02-05,4.89,5.0,4.32,4.71
PURR,2026-02-06,5.01,5.05,4.65,4.935
PURR,2026-02-09,4.78,5.12,4.48,4.9
PURR,2026-02-10,4.71,4.985,4.52,4.675
PURR,2026-02-11,4.552,4.63,4.15,4.53
PURR,2026-02-12,4.67,4.9,4.125,4.27
PURR,2026-02-13,4.32,4.73,4.2079,4.32
PURR,2026-02-17,4.21,4.37,3.99,4.21
PURR,2026-02-18,4.09,4.4305,3.94,4.08
PURR,2026-02-19,4.01,4.075,3.91,4.01
PURR,2026-02-20,3.92,4.3,3.92,4.29
PURR,2026-02-23,4.01,4.07,3.665,3.78
PURR,2026-02-24,3.7804,3.99,3.7804,3.95
PURR,2026-02-25,4.07,4.32,4.02,4.13
PURR,2026-02-26,4.235,4.35,4.109,4.24
PURR,2026-02-27,4.1,4.39,4.06,4.08
PURR,2026-03-02,4.36,5.03,4.36,4.855
PURR,2026-03-03,4.59,4.82,4.34,4.65
PURR,2026-03-04,5.05,5.48,4.92,5.05
PURR,2026-03-05,5.0,5.26,4.74,4.855
PURR,2026-03-06,4.69,4.8,4.25,4.33
PURR,2026-03-09,4.42,5.41,4.4035,5.31
PURR,2026-03-10,5.4,5.49,5.23,5.3
PURR,2026-03-11,5.475,6.27,5.475,5.84
PURR,2026-03-12,6.07,6.151,5.3,5.38
