ticker,date,open,high,low,close
SCII,2026-01-20,9.9,9.94,9.9,9.92
SCII,2026-01-21,9.92,9.93,9.92,9.93
SCII,2026-01-22,9.92,9.925,9.92,9.925
SCII,2026-01-23,9.925,9.95,9.92,9.95
SCII,2026-01-26,9.94,9.94,9.93,9.93
SCII,2026-01-27,9.93,9.935,9.93,9.93
SCII,2026-01-28,9.95,9.95,9.94,9.95
SCII,2026-01-29,9.93,9.94,9.93,9.935
SCII,2026-02-02,9.94,9.95,9.94,9.95
SCII,2026-02-03,9.93,9.99,9.93,9.98
SCII,2026-02-04,9.99,9.99,9.98,9.985
SCII,2026-02-05,9.97,10.04,9.97,10.04
SCII,2026-02-09,10.07,10.07,10.06,10.06
SCII,2026-02-10,10.03,10.03,10.03,10.03
SCII,2026-02-11,10.02,10.02,10.02,10.02
SCII,2026-02-12,10.02,10.03,9.95,10.03
SCII,2026-02-13,10.0,10.0,9.98,9.99
SCII,2026-02-17,9.98,9.98,9.97,9.9701
SCII,2026-02-19,9.975,9.975,9.975,9.975
SCII,2026-02-23,9.98,9.98,9.98,9.98
SCII,2026-02-24,9.97,9.9701,9.97,9.97
SCII,2026-03-02,9.99,9.99,9.98,9.98
SCII,2026-03-04,9.99,9.99,9.98,9.99
SCII,2026-03-05,9.98,9.98,9.97,9.97
SCII,2026-03-06,9.99,9.99,9.99,9.99
SCII,2026-03-11,9.975,9.975,9.975,9.975
SCII,2026-03-12,9.96,9.96,9.95,9.95
