ticker,date,open,high,low,close
SOLS,2025-10-31,48.875,49.3618,44.7975,45.07
SOLS,2025-11-03,45.0,46.25,43.82,44.02
SOLS,2025-11-04,42.19,44.535,41.0,43.65
SOLS,2025-11-05,43.89,49.7,43.0,48.33
SOLS,2025-11-06,47.0,48.0,44.475,45.02
SOLS,2025-11-07,44.44,48.38,44.08,47.49
SOLS,2025-11-10,47.28,49.0,46.6315,47.15
SOLS,2025-11-11,47.24,49.98,46.0,46.1
SOLS,2025-11-12,46.12,47.0899,45.47,46.93
SOLS,2025-11-13,46.34,47.47,45.45,45.72
SOLS,2025-11-14,45.11,46.01,43.47,43.55
SOLS,2025-11-17,43.12,43.8,41.03,41.59
SOLS,2025-11-18,41.04,42.54,40.43,41.41
SOLS,2025-11-19,41.58,43.75,41.32,42.72
SOLS,2025-11-20,45.18,46.67,42.77,43.25
SOLS,2025-11-21,43.49,45.46,43.3,44.47
SOLS,2025-11-24,44.84,46.0,44.71,45.46
SOLS,2025-11-25,45.37,47.0,44.81,46.89
SOLS,2025-11-26,46.74,47.15,45.51,46.23
SOLS,2025-11-28,46.18,47.74,46.07,47.68
SOLS,2025-12-01,47.65,49.27,47.28,47.72
SOLS,2025-12-02,47.58,47.94,46.2,46.65
SOLS,2025-12-03,46.51,47.78,46.42,47.57
SOLS,2025-12-04,47.32,47.88,46.35,46.96
SOLS,2025-12-05,46.63,47.95,46.59,47.13
SOLS,2025-12-08,47.17,48.4,46.535,46.71
SOLS,2025-12-09,46.32,48.29,45.73,47.39
SOLS,2025-12-10,47.47,49.27,46.99,49.08
SOLS,2025-12-11,49.225,50.585,48.9603,50.28
SOLS,2025-12-12,50.83,51.715,49.305,49.99
SOLS,2025-12-15,49.59,50.265,48.62,48.77
SOLS,2025-12-16,48.49,49.24,47.63,47.97
SOLS,2025-12-17,47.83,49.75,47.83,48.84
SOLS,2025-12-18,49.08,49.6,47.3,48.58
SOLS,2025-12-19,48.58,50.7,48.075,50.35
SOLS,2025-12-22,50.63,51.82,49.41,50.14
SOLS,2025-12-23,49.92,50.05,48.72,48.75
SOLS,2025-12-24,49.3,49.9,48.27,49.61
SOLS,2025-12-26,49.89,50.37,49.51,49.77
SOLS,2025-12-29,49.66,50.39,49.01,49.29
SOLS,2025-12-30,49.11,49.535,48.84,48.86
SOLS,2025-12-31,48.91,49.29,48.44,48.58
SOLS,2026-01-02,48.51,49.31,48.23,49.28
SOLS,2026-01-05,49.28,50.22,48.8,49.34
SOLS,2026-01-06,49.06,49.99,48.75,49.73
SOLS,2026-01-07,50.85,52.21,49.55,51.98
SOLS,2026-01-08,51.8,54.2499,51.72,52.11
SOLS,2026-01-09,52.11,53.68,52.05,53.03
SOLS,2026-01-12,53.09,53.5,51.59,52.01
SOLS,2026-01-13,53.56,55.54,52.84,55.01
SOLS,2026-01-14,55.0,58.1,54.63,57.37
SOLS,2026-01-15,57.9,60.8694,56.45,60.51
SOLS,2026-01-16,61.2,61.6,59.6,60.89
SOLS,2026-01-20,61.08,62.86,59.82,61.56
SOLS,2026-01-21,61.66,63.77,61.22,63.42
SOLS,2026-01-22,63.54,64.305,62.3837,62.91
SOLS,2026-01-23,62.68,63.74,61.695,62.84
SOLS,2026-01-26,62.66,62.99,61.1,61.49
SOLS,2026-01-27,62.0,62.84,61.61,62.36
SOLS,2026-01-28,62.88,65.79,62.25,65.61
SOLS,2026-01-29,65.99,66.0,62.71,63.57
SOLS,2026-01-30,62.7,63.96,60.64,61.77
SOLS,2026-02-02,61.45,64.51,61.185,64.39
SOLS,2026-02-03,65.0,66.84,64.6001,66.25
SOLS,2026-02-04,66.41,67.74,63.54,65.21
SOLS,2026-02-05,63.78,64.9,62.91,63.42
SOLS,2026-02-06,63.42,65.19,63.04,64.8
SOLS,2026-02-09,64.91,65.8553,63.9,64.62
SOLS,2026-02-10,64.7,65.33,63.52,63.8
SOLS,2026-02-11,67.58,75.43,66.105,74.915
SOLS,2026-02-12,78.66,84.44,77.44,78.03
SOLS,2026-02-13,76.5537,79.7499,75.66,78.22
SOLS,2026-02-17,78.06,83.31,77.6,80.95
SOLS,2026-02-18,81.57,82.881,78.5,80.92
SOLS,2026-02-19,80.84,80.84,77.45,77.81
SOLS,2026-02-20,77.47,80.5,77.18,80.05
SOLS,2026-02-23,80.0,80.8899,77.69,78.55
SOLS,2026-02-24,79.46,80.6616,78.08,79.13
SOLS,2026-02-25,80.83,80.99,76.77,79.87
SOLS,2026-02-26,78.33,78.33,75.81,78.33
SOLS,2026-02-27,76.15,78.58,74.17,78.52
SOLS,2026-03-02,77.5239,78.99,76.0,78.92
SOLS,2026-03-03,75.0,75.4425,72.25,73.85
SOLS,2026-03-04,74.5,75.595,72.88,75.06
SOLS,2026-03-05,74.25,78.81,74.231,76.71
SOLS,2026-03-06,74.49,74.5,71.11,72.14
SOLS,2026-03-09,70.36,73.93,69.14,73.89
SOLS,2026-03-10,74.5,76.34,73.7,74.94
SOLS,2026-03-11,75.51,75.55,72.6105,75.18
SOLS,2026-03-12,73.98,74.64,71.75,72.08
