ticker,date,open,high,low,close
ZSTK,2026-01-29,12.7,15.041,9.02,12.3
ZSTK,2026-01-30,10.34,12.45,10.34,11.48
ZSTK,2026-02-02,10.2,11.0,7.52,7.79
ZSTK,2026-02-03,7.78,8.9699,7.78,8.44
ZSTK,2026-02-04,8.35,8.81,7.65,7.99
ZSTK,2026-02-05,7.52,8.66,7.51,8.35
ZSTK,2026-02-06,7.72,9.59,7.569,9.3
ZSTK,2026-02-09,9.24,10.42,9.21,10.18
ZSTK,2026-02-10,9.64,10.21,9.39,10.21
ZSTK,2026-02-11,10.23,10.26,8.95,9.1
ZSTK,2026-02-12,9.49,9.49,8.41,8.635
ZSTK,2026-02-13,8.94,9.71,8.05,9.71
ZSTK,2026-02-17,9.5,9.5,8.99,9.16
ZSTK,2026-02-18,8.796,9.31,8.31,8.5
ZSTK,2026-02-19,8.51,8.59,8.51,8.59
ZSTK,2026-02-20,8.69,8.93,8.27,8.31
ZSTK,2026-02-23,8.27,8.27,8.02,8.25
ZSTK,2026-02-24,8.44,9.1,8.09,9.1
ZSTK,2026-02-25,8.87,9.6,8.87,9.315
ZSTK,2026-02-26,8.01,8.01,8.01,8.01
ZSTK,2026-02-27,8.49,8.49,8.08,8.1
ZSTK,2026-03-02,7.8,8.04,7.25,7.25
ZSTK,2026-03-03,7.21,7.545,6.305,6.52
ZSTK,2026-03-04,7.07,7.27,6.38,7.19
ZSTK,2026-03-05,6.98,7.25,6.8092,7.085
ZSTK,2026-03-06,7.08,7.08,6.85,7.0
ZSTK,2026-03-09,6.66,7.26,6.5,7.06
ZSTK,2026-03-10,7.125,7.23,6.87,6.977
ZSTK,2026-03-11,6.9,7.05,6.87,6.955
ZSTK,2026-03-12,6.84,7.17,6.77,7.005
