ticker,date,open,high,low,close
ACR,2006-02-06,59.169,59.169,59.169,59.169
ACR,2006-02-07,57.189,57.981,55.212,55.212
ACR,2006-02-08,55.212,55.923,55.212,55.212
ACR,2006-02-09,55.611,56.793,55.407,56.082
ACR,2006-02-10,56.199,56.397,56.001,56.238
ACR,2006-02-13,56.199,56.397,56.001,56.277
ACR,2006-02-14,56.397,57.579,56.199,57.546
ACR,2006-02-15,57.384,57.384,56.793,56.988
ACR,2006-02-16,57.189,57.903,57.189,57.384
ACR,2006-02-17,57.579,58.338,56.988,57.189
ACR,2006-02-21,57.225,57.663,57.225,57.663
ACR,2006-02-22,57.579,57.579,56.751,56.751
ACR,2006-02-23,56.559,56.559,55.611,55.611
ACR,2006-02-24,56.001,56.001,55.293,55.803
ACR,2006-02-27,55.728,56.595,55.728,56.595
ACR,2006-02-28,56.559,57.744,56.199,57.189
ACR,2006-03-01,57.189,57.504,56.793,57.429
ACR,2006-03-02,57.429,57.864,57.189,57.189
ACR,2006-03-03,57.189,57.225,56.793,56.793
ACR,2006-03-06,56.595,57.144,56.397,56.838
ACR,2006-03-07,56.397,56.397,55.611,55.644
ACR,2006-03-08,55.611,56.199,55.293,56.001
ACR,2006-03-09,56.001,56.481,55.803,56.199
ACR,2006-03-10,55.803,56.559,55.803,56.517
ACR,2006-03-13,56.397,56.559,55.803,56.439
ACR,2006-03-14,56.046,56.988,55.803,56.751
ACR,2006-03-15,56.397,56.913,56.001,56.199
ACR,2006-03-16,56.199,56.712,55.407,56.712
ACR,2006-03-17,56.595,56.952,56.439,56.712
ACR,2006-03-20,56.988,56.988,56.001,56.793
ACR,2006-03-21,56.793,56.793,55.803,56.355
ACR,2006-03-22,56.199,56.481,56.001,56.199
ACR,2006-03-23,55.212,56.199,55.212,56.199
ACR,2006-03-24,56.355,56.397,56.157,56.199
ACR,2006-03-27,56.322,56.322,55.803,56.199
ACR,2006-03-28,56.157,56.238,55.803,56.238
ACR,2006-03-29,56.199,56.238,55.407,55.803
ACR,2006-03-30,55.407,55.407,55.212,55.254
ACR,2006-03-31,55.254,55.254,53.907,54.339
ACR,2006-04-03,54.42,55.212,53.001,53.739
ACR,2006-04-04,53.391,54.144,53.391,54.024
ACR,2006-04-05,54.024,54.978,53.826,54.501
ACR,2006-04-06,54.144,54.42,53.907,54.024
ACR,2006-04-07,54.384,54.588,53.865,54.066
ACR,2006-04-10,54.066,54.216,53.826,54.216
ACR,2006-04-11,54.024,54.102,53.67,53.865
ACR,2006-04-12,53.943,54.384,53.709,53.826
ACR,2006-04-13,53.709,53.907,53.709,53.907
ACR,2006-04-17,53.907,56.082,53.907,55.167
ACR,2006-04-18,55.134,56.121,55.134,56.001
ACR,2006-04-19,55.965,56.001,55.293,55.923
ACR,2006-04-20,55.803,56.001,55.407,55.803
ACR,2006-04-21,55.803,55.884,55.293,55.803
ACR,2006-04-24,55.965,56.001,54.813,55.212
ACR,2006-04-25,55.212,56.001,55.017,55.293
ACR,2006-04-26,55.212,55.371,54.813,54.861
ACR,2006-04-27,54.861,54.861,53.985,54.024
ACR,2006-04-28,54.024,55.167,53.79,54.54
ACR,2006-05-01,54.42,55.212,54.339,54.615
ACR,2006-05-02,54.615,54.861,54.18,54.615
ACR,2006-05-03,54.459,54.54,54.024,54.501
ACR,2006-05-04,54.813,55.134,54.501,55.134
ACR,2006-05-05,55.134,55.611,54.978,54.978
ACR,2006-05-08,54.588,55.212,54.42,54.732
ACR,2006-05-09,54.732,55.167,54.615,55.017
ACR,2006-05-10,55.017,55.212,54.42,54.615
ACR,2006-05-11,54.459,54.654,54.102,54.144
ACR,2006-05-12,54.216,54.54,54.024,54.024
ACR,2006-05-15,53.826,54.024,53.826,54.024
ACR,2006-05-16,54.024,54.024,53.826,53.907
ACR,2006-05-17,53.907,54.066,53.79,53.826
ACR,2006-05-18,53.907,54.732,53.865,54.42
ACR,2006-05-19,54.459,54.459,53.427,54.024
ACR,2006-05-22,53.826,53.865,52.287,52.959
ACR,2006-05-23,53.232,53.985,53.034,53.79
ACR,2006-05-24,53.739,53.826,52.089,52.239
ACR,2006-05-25,52.239,52.758,51.492,51.654
ACR,2006-05-26,51.654,51.654,49.557,50.82
ACR,2006-05-30,50.82,50.82,49.674,50.232
ACR,2006-05-31,50.304,51.057,49.674,50.232
ACR,2006-06-01,50.466,50.622,49.674,50.232
ACR,2006-06-02,50.622,51.378,49.914,51.258
ACR,2006-06-05,51.258,51.258,49.992,49.992
ACR,2006-06-06,50.028,50.109,49.356,49.791
ACR,2006-06-07,49.791,50.505,49.674,50.232
ACR,2006-06-08,50.064,50.109,48.966,49.206
ACR,2006-06-09,49.476,49.59,48.495,48.723
ACR,2006-06-12,48.687,48.723,47.772,47.817
ACR,2006-06-13,47.697,48.291,47.34,48.015
ACR,2006-06-14,48.165,48.882,48.165,48.495
ACR,2006-06-15,48.882,49.356,48.882,49.278
ACR,2006-06-16,48.882,49.44,48.765,49.44
ACR,2006-06-19,49.278,51.258,48.528,50.064
ACR,2006-06-20,50.421,50.421,49.278,49.44
ACR,2006-06-21,49.833,50.232,49.707,49.707
ACR,2006-06-22,49.674,50.151,49.674,50.151
ACR,2006-06-23,49.752,49.992,49.44,49.674
ACR,2006-06-26,50.859,51.729,50.82,51.456
ACR,2006-06-27,51.258,51.258,50.664,50.859
ACR,2006-06-28,50.859,51.18,50.541,50.859
ACR,2006-06-29,50.859,51.057,50.505,50.859
ACR,2006-06-30,50.664,50.859,50.505,50.748
ACR,2006-07-03,51.138,51.138,50.664,50.664
ACR,2006-07-05,50.664,50.859,50.265,50.265
ACR,2006-07-06,50.304,50.541,50.064,50.265
ACR,2006-07-07,50.184,50.466,50.064,50.265
ACR,2006-07-10,50.265,50.466,49.875,50.421
ACR,2006-07-11,50.064,51.258,50.064,50.466
ACR,2006-07-12,50.466,50.859,49.674,49.992
ACR,2006-07-13,49.875,49.875,49.278,49.557
ACR,2006-07-14,49.557,49.674,48.882,49.356
ACR,2006-07-17,49.08,49.317,48.567,49.08
ACR,2006-07-18,49.08,50.265,48.291,48.84
ACR,2006-07-19,49.08,50.064,48.723,49.044
ACR,2006-07-20,49.044,49.119,47.973,48.291
ACR,2006-07-21,48.291,48.291,47.382,47.937
ACR,2006-07-24,48.093,48.966,47.736,48.966
ACR,2006-07-25,48.687,48.807,48.165,48.495
ACR,2006-07-26,48.687,49.638,48.687,49.557
ACR,2006-07-27,49.638,50.466,49.638,49.914
ACR,2006-07-28,50.064,50.466,50.064,50.265
ACR,2006-07-31,50.466,50.979,50.466,50.781
ACR,2006-08-01,50.664,50.664,50.304,50.466
ACR,2006-08-02,50.859,50.859,50.064,50.466
ACR,2006-08-03,50.421,50.622,50.265,50.505
ACR,2006-08-04,50.265,50.466,50.064,50.304
ACR,2006-08-07,50.064,50.466,49.674,50.151
ACR,2006-08-08,50.151,50.391,49.278,49.518
ACR,2006-08-09,49.59,50.265,49.59,49.95
ACR,2006-08-10,49.278,49.914,49.278,49.674
ACR,2006-08-11,49.278,49.674,49.161,49.356
ACR,2006-08-14,49.476,49.875,49.044,49.44
ACR,2006-08-15,49.476,50.265,49.044,49.398
ACR,2006-08-16,49.674,49.674,48.966,49.161
ACR,2006-08-17,49.08,51.969,49.08,51.411
ACR,2006-08-18,51.456,53.151,51.456,52.089
ACR,2006-08-21,52.239,54.588,52.239,54.42
ACR,2006-08-22,54.216,54.588,53.625,54.459
ACR,2006-08-23,54.303,54.978,53.556,54.615
ACR,2006-08-24,54.813,55.407,54.42,55.017
ACR,2006-08-25,54.813,56.157,54.813,55.758
ACR,2006-08-28,56.157,56.157,53.943,54.933
ACR,2006-08-29,55.329,55.965,55.053,55.683
