ticker,date,open,high,low,close
ALB,1994-02-22,7.38,7.38,7.25,7.25
ALB,1994-02-23,7.12,7.12,6.75,6.94
ALB,1994-02-24,6.94,6.94,6.81,6.81
ALB,1994-02-25,6.69,6.69,6.25,6.44
ALB,1994-02-28,6.5,6.75,6.44,6.62
ALB,1994-03-01,6.62,6.62,6.5,6.56
ALB,1994-03-02,6.44,6.56,6.44,6.56
ALB,1994-03-03,6.62,6.62,6.5,6.5
ALB,1994-03-04,6.5,6.75,6.44,6.75
ALB,1994-03-07,6.44,6.81,6.44,6.75
ALB,1994-03-08,6.75,6.81,6.75,6.81
ALB,1994-03-09,6.81,6.88,6.81,6.88
ALB,1994-03-10,6.88,6.88,6.81,6.88
ALB,1994-03-11,6.94,7.19,6.94,7.19
ALB,1994-03-14,7.19,7.62,7.19,7.56
ALB,1994-03-15,7.56,7.69,7.44,7.44
ALB,1994-03-16,7.44,7.44,7.31,7.44
ALB,1994-03-17,7.44,7.69,7.44,7.56
ALB,1994-03-18,7.62,7.69,7.62,7.62
ALB,1994-03-21,7.62,7.69,7.62,7.69
ALB,1994-03-22,7.69,7.88,7.69,7.81
ALB,1994-03-23,7.81,7.94,7.75,7.88
ALB,1994-03-24,7.81,7.88,7.75,7.75
ALB,1994-03-25,7.81,7.81,7.62,7.69
ALB,1994-03-28,7.69,7.69,7.62,7.62
ALB,1994-03-29,7.62,7.69,7.5,7.5
ALB,1994-03-30,7.5,7.5,7.31,7.38
ALB,1994-03-31,7.38,7.44,7.25,7.38
ALB,1994-04-04,7.12,7.38,7.12,7.38
ALB,1994-04-05,7.31,7.69,7.31,7.62
ALB,1994-04-06,7.62,7.69,7.38,7.38
ALB,1994-04-07,7.5,7.5,7.38,7.44
ALB,1994-04-08,7.31,7.5,7.31,7.5
ALB,1994-04-11,7.5,7.62,7.25,7.25
ALB,1994-04-12,7.12,7.25,7.12,7.12
ALB,1994-04-13,7.12,7.31,7.0,7.0
ALB,1994-04-14,7.06,7.06,6.94,6.94
ALB,1994-04-15,6.88,7.06,6.88,6.88
ALB,1994-04-18,7.0,7.25,7.0,7.25
ALB,1994-04-19,7.19,7.31,7.19,7.25
ALB,1994-04-20,7.31,7.31,7.12,7.12
ALB,1994-04-21,7.12,7.31,6.88,6.88
ALB,1994-04-22,7.0,7.25,7.0,7.25
ALB,1994-04-25,7.19,7.62,7.19,7.62
ALB,1994-04-26,7.56,7.56,7.25,7.38
ALB,1994-04-28,7.31,7.31,7.12,7.31
ALB,1994-04-29,7.25,7.31,7.19,7.25
ALB,1994-05-02,7.19,7.31,7.06,7.19
ALB,1994-05-03,7.25,7.44,7.12,7.19
ALB,1994-05-04,7.12,7.38,7.12,7.31
ALB,1994-05-05,7.31,7.31,7.19,7.25
ALB,1994-05-06,7.25,7.31,7.25,7.25
ALB,1994-05-09,7.25,7.31,7.25,7.25
ALB,1994-05-10,7.25,7.5,7.25,7.5
ALB,1994-05-11,7.5,7.69,7.5,7.56
ALB,1994-05-12,7.5,7.75,7.5,7.75
ALB,1994-05-13,7.69,7.75,7.38,7.38
ALB,1994-05-16,7.38,7.56,7.38,7.44
ALB,1994-05-17,7.5,7.56,7.44,7.5
ALB,1994-05-18,7.5,7.5,7.44,7.5
ALB,1994-05-19,7.44,7.62,7.38,7.56
ALB,1994-05-20,7.5,7.56,7.38,7.38
ALB,1994-05-23,7.31,7.38,7.25,7.25
ALB,1994-05-24,7.44,7.56,7.38,7.56
ALB,1994-05-25,7.5,7.75,7.5,7.69
ALB,1994-05-26,7.75,7.75,7.56,7.75
ALB,1994-05-27,7.69,7.81,7.62,7.81
ALB,1994-05-31,7.94,8.25,7.88,8.06
ALB,1994-06-01,8.06,8.06,7.88,7.88
ALB,1994-06-02,8.0,8.06,7.81,7.88
ALB,1994-06-03,7.81,7.94,7.62,7.75
ALB,1994-06-06,7.88,7.94,7.81,7.88
ALB,1994-06-07,7.75,7.94,7.75,7.94
ALB,1994-06-08,7.94,7.94,7.88,7.88
ALB,1994-06-09,7.81,7.91,7.81,7.88
ALB,1994-06-10,7.88,7.88,7.69,7.69
ALB,1994-06-13,7.75,7.88,7.56,7.88
ALB,1994-06-14,7.88,8.06,7.81,8.06
ALB,1994-06-15,8.0,8.19,8.0,8.19
ALB,1994-06-16,8.12,8.5,8.06,8.5
ALB,1994-06-17,8.5,8.5,8.25,8.25
ALB,1994-06-20,8.12,8.25,8.06,8.12
ALB,1994-06-21,8.12,8.5,8.12,8.5
ALB,1994-06-22,8.38,8.62,8.38,8.5
ALB,1994-06-23,8.44,8.5,8.44,8.5
ALB,1994-06-24,8.44,8.5,8.38,8.38
ALB,1994-06-27,8.38,8.38,8.12,8.25
ALB,1994-06-28,8.19,8.25,8.12,8.12
ALB,1994-06-29,8.12,8.12,8.0,8.0
ALB,1994-06-30,8.0,8.19,8.0,8.19
ALB,1994-07-01,8.19,8.25,8.06,8.12
ALB,1994-07-05,8.06,8.25,8.06,8.19
ALB,1994-07-06,8.19,8.25,8.12,8.12
ALB,1994-07-07,8.12,8.25,8.12,8.19
ALB,1994-07-08,8.12,8.31,8.12,8.25
ALB,1994-07-11,8.19,8.31,8.19,8.25
ALB,1994-07-12,8.25,8.25,8.06,8.06
ALB,1994-07-13,8.06,8.12,8.0,8.06
ALB,1994-07-14,7.94,8.12,7.94,8.06
ALB,1994-07-15,7.94,8.06,7.94,8.06
ALB,1994-07-18,8.06,8.25,8.0,8.19
ALB,1994-07-19,8.31,8.5,8.31,8.38
ALB,1994-07-20,8.38,8.56,8.31,8.56
ALB,1994-07-21,8.44,8.56,8.44,8.56
ALB,1994-07-22,8.56,8.62,8.5,8.56
ALB,1994-07-25,8.62,8.62,8.5,8.62
ALB,1994-07-26,8.75,8.81,8.62,8.69
ALB,1994-07-27,8.62,8.81,8.62,8.69
ALB,1994-07-28,8.62,8.62,8.56,8.62
ALB,1994-07-29,8.62,8.69,8.56,8.69
ALB,1994-08-01,8.62,8.69,8.62,8.69
ALB,1994-08-02,8.75,8.81,8.69,8.81
ALB,1994-08-03,8.81,8.81,8.69,8.81
ALB,1994-08-04,8.25,8.25,7.62,7.94
ALB,1994-08-05,7.94,7.94,7.75,7.75
ALB,1994-08-08,7.81,7.88,7.75,7.81
ALB,1994-08-09,7.88,7.88,7.69,7.75
ALB,1994-08-10,7.75,7.75,7.62,7.69
ALB,1994-08-11,7.62,7.66,7.56,7.56
ALB,1994-08-12,7.56,7.69,7.38,7.69
ALB,1994-08-15,7.62,7.81,7.62,7.81
ALB,1994-08-16,7.81,8.06,7.75,8.06
ALB,1994-08-17,8.06,8.25,8.0,8.06
ALB,1994-08-18,8.0,8.06,8.0,8.0
ALB,1994-08-19,8.06,8.38,8.06,8.25
ALB,1994-08-22,8.12,8.19,8.06,8.12
ALB,1994-08-23,8.19,8.19,8.12,8.12
ALB,1994-08-24,8.12,8.12,7.94,7.94
ALB,1994-08-25,7.81,7.81,7.56,7.69
ALB,1994-08-26,7.62,7.69,7.44,7.62
ALB,1994-08-29,7.56,7.69,7.56,7.69
ALB,1994-08-30,7.56,7.62,7.31,7.5
ALB,1994-08-31,7.62,7.62,7.44,7.5
ALB,1994-09-01,7.62,7.62,7.44,7.44
ALB,1994-09-02,7.44,7.5,7.44,7.44
ALB,1994-09-06,7.44,7.5,7.38,7.5
ALB,1994-09-07,7.56,7.56,7.38,7.38
ALB,1994-09-08,7.38,7.44,7.38,7.38
ALB,1994-09-09,7.31,7.44,7.31,7.31
ALB,1994-09-12,7.44,7.44,7.19,7.31
ALB,1994-09-13,7.44,7.44,7.38,7.44
ALB,1994-09-14,7.38,7.44,7.31,7.38
ALB,1994-09-15,7.38,7.38,7.19,7.19
ALB,1994-09-16,7.25,7.25,7.19,7.25
ALB,1994-09-19,7.25,7.25,7.19,7.25
ALB,1994-09-20,7.44,7.56,7.44,7.56
ALB,1994-09-21,7.5,7.5,7.38,7.44
ALB,1994-09-22,7.38,7.5,7.25,7.25
ALB,1994-09-23,7.31,7.31,7.19,7.19
ALB,1994-09-26,7.25,7.25,7.19,7.25
ALB,1994-09-27,7.19,7.31,7.19,7.31
ALB,1994-09-28,7.31,7.31,7.25,7.25
ALB,1994-09-29,7.25,7.25,7.12,7.12
ALB,1994-09-30,7.19,7.25,7.19,7.19
ALB,1994-10-03,7.25,7.31,7.19,7.19
ALB,1994-10-04,7.19,7.25,7.12,7.12
ALB,1994-10-05,7.19,7.25,7.12,7.12
ALB,1994-10-06,7.19,7.19,7.12,7.19
ALB,1994-10-07,7.12,7.12,7.0,7.12
ALB,1994-10-10,7.06,7.19,7.06,7.19
ALB,1994-10-11,7.19,7.19,7.12,7.12
ALB,1994-10-12,7.19,7.19,7.12,7.12
ALB,1994-10-13,7.12,7.38,7.12,7.31
ALB,1994-10-14,7.31,7.69,7.31,7.69
ALB,1994-10-17,7.69,7.69,7.56,7.56
ALB,1994-10-18,7.56,7.62,7.56,7.56
ALB,1994-10-19,7.62,7.81,7.62,7.69
ALB,1994-10-20,7.62,7.62,7.5,7.5
ALB,1994-10-21,7.5,7.62,7.44,7.56
ALB,1994-10-24,7.5,7.94,7.5,7.94
ALB,1994-10-25,7.94,8.0,7.38,7.62
ALB,1994-10-26,7.62,7.69,7.5,7.69
ALB,1994-10-27,7.75,7.75,7.44,7.5
ALB,1994-10-28,7.56,7.62,7.5,7.62
ALB,1994-10-31,7.62,7.69,7.56,7.62
ALB,1994-11-01,7.75,7.81,7.62,7.69
ALB,1994-11-02,7.69,7.69,7.44,7.44
ALB,1994-11-03,7.5,7.62,7.44,7.5
ALB,1994-11-04,7.5,7.56,7.44,7.44
ALB,1994-11-07,7.44,7.44,7.38,7.44
ALB,1994-11-08,7.38,7.44,7.25,7.38
ALB,1994-11-09,7.44,7.44,7.25,7.25
ALB,1994-11-10,7.31,7.38,7.25,7.31
ALB,1994-11-11,7.31,7.31,7.19,7.25
ALB,1994-11-14,7.25,7.25,7.19,7.25
ALB,1994-11-15,7.25,7.25,7.12,7.19
ALB,1994-11-16,7.19,7.25,7.12,7.19
ALB,1994-11-17,7.19,7.25,7.06,7.25
ALB,1994-11-18,7.12,7.19,7.12,7.19
ALB,1994-11-21,7.25,7.25,7.0,7.0
ALB,1994-11-22,7.0,7.12,6.75,6.81
ALB,1994-11-23,6.81,6.88,6.75,6.81
ALB,1994-11-25,6.75,6.81,6.69,6.75
ALB,1994-11-28,6.75,6.94,6.75,6.75
ALB,1994-11-29,6.75,6.88,6.56,6.88
ALB,1994-11-30,6.81,6.88,6.69,6.75
ALB,1994-12-01,6.81,6.81,6.62,6.62
ALB,1994-12-02,6.62,6.75,6.62,6.75
ALB,1994-12-05,6.81,6.94,6.75,6.75
