ticker,date,open,high,low,close
ALG,1993-03-19,11.75,12.75,11.75,12.25
ALG,1993-03-22,12.5,12.75,12.0,12.0
ALG,1993-03-23,12.38,12.75,12.25,12.25
ALG,1993-03-24,12.25,12.75,12.0,12.25
ALG,1993-03-25,12.75,12.75,12.0,12.0
ALG,1993-03-26,12.0,12.5,12.0,12.25
ALG,1993-03-29,12.0,12.5,12.0,12.0
ALG,1993-03-30,12.5,12.5,11.88,11.88
ALG,1993-03-31,11.75,12.25,11.75,11.75
ALG,1993-04-01,12.0,12.12,11.75,11.75
ALG,1993-04-02,11.75,12.25,11.75,11.75
ALG,1993-04-05,12.25,12.25,11.75,11.88
ALG,1993-04-06,11.75,11.88,11.62,11.62
ALG,1993-04-07,11.62,12.12,11.62,11.75
ALG,1993-04-08,12.0,12.12,11.38,12.12
ALG,1993-04-12,11.75,12.25,11.75,12.25
ALG,1993-04-13,12.0,12.25,11.75,11.88
ALG,1993-04-14,11.75,12.25,11.75,11.75
ALG,1993-04-15,11.75,12.75,11.75,12.75
ALG,1993-04-16,12.75,12.75,12.25,12.25
ALG,1993-04-19,12.25,12.75,12.25,12.75
ALG,1993-04-20,12.25,13.0,12.0,12.0
ALG,1993-04-21,12.5,12.75,12.25,12.5
ALG,1993-04-22,12.5,13.75,12.5,13.0
ALG,1993-04-23,13.0,13.75,13.0,13.0
ALG,1993-04-26,13.0,13.0,12.75,12.75
ALG,1993-04-27,12.75,13.5,12.75,12.75
ALG,1993-04-28,12.5,13.25,12.5,13.25
ALG,1993-04-29,12.75,13.0,12.75,12.75
ALG,1993-04-30,12.88,13.25,12.75,13.25
ALG,1993-05-03,13.25,13.25,12.75,12.75
ALG,1993-05-04,13.25,13.25,12.75,13.0
ALG,1993-05-05,12.75,13.25,12.75,13.25
ALG,1993-05-06,13.25,13.25,13.0,13.0
ALG,1993-05-07,12.75,13.25,12.75,12.75
ALG,1993-05-10,13.25,14.0,12.75,13.75
ALG,1993-05-11,14.0,14.25,13.5,13.5
ALG,1993-05-12,14.25,14.25,13.5,13.75
ALG,1993-05-13,14.25,14.25,13.5,13.75
ALG,1993-05-14,13.88,14.0,13.75,14.0
ALG,1993-05-17,14.0,14.0,13.25,13.75
ALG,1993-05-18,14.0,14.0,13.25,13.25
ALG,1993-05-19,13.25,13.25,13.25,13.25
ALG,1993-05-20,13.5,14.0,13.5,14.0
ALG,1993-05-21,13.75,14.0,13.5,13.5
ALG,1993-05-24,13.5,13.75,13.5,13.5
ALG,1993-05-25,13.5,14.0,13.5,13.88
ALG,1993-05-26,14.0,14.0,13.25,13.25
ALG,1993-05-27,13.25,13.88,13.25,13.88
ALG,1993-05-28,13.25,13.25,13.25,13.25
ALG,1993-06-01,13.25,13.75,13.25,13.5
ALG,1993-06-02,13.25,13.25,13.25,13.25
ALG,1993-06-03,13.0,13.75,13.0,13.0
ALG,1993-06-04,13.0,13.5,13.0,13.5
ALG,1993-06-07,13.75,13.75,13.25,13.75
ALG,1993-06-08,13.62,13.62,13.25,13.5
ALG,1993-06-09,13.25,13.25,13.25,13.25
ALG,1993-06-10,13.25,13.75,13.25,13.5
ALG,1993-06-11,13.75,13.75,13.5,13.5
ALG,1993-06-14,13.75,13.75,13.62,13.62
ALG,1993-06-15,13.5,13.75,13.25,13.75
ALG,1993-06-16,13.25,13.75,13.25,13.75
ALG,1993-06-17,13.75,13.75,13.62,13.75
ALG,1993-06-18,14.0,14.0,14.0,14.0
ALG,1993-06-21,13.75,14.25,13.75,13.75
ALG,1993-06-22,14.25,15.25,14.25,14.5
ALG,1993-06-23,14.25,15.0,14.25,15.0
ALG,1993-06-24,15.0,15.0,14.25,14.62
ALG,1993-06-25,15.0,15.0,14.25,14.25
ALG,1993-06-28,14.25,15.0,14.25,15.0
