ticker,date,open,high,low,close
ANF,1996-09-26,11.0,11.62,10.62,11.56
ANF,1996-09-27,11.44,11.62,11.38,11.5
ANF,1996-09-30,11.56,12.31,11.5,12.25
ANF,1996-10-01,12.38,12.75,12.31,12.69
ANF,1996-10-02,13.12,13.12,12.56,12.62
ANF,1996-10-03,12.5,12.5,11.88,11.88
ANF,1996-10-04,11.88,11.88,11.12,11.19
ANF,1996-10-07,11.06,11.75,11.0,11.56
ANF,1996-10-08,11.62,11.62,11.31,11.56
ANF,1996-10-09,11.5,11.56,11.38,11.5
ANF,1996-10-10,11.5,11.62,11.44,11.56
ANF,1996-10-11,11.5,11.56,11.38,11.38
ANF,1996-10-14,11.38,11.94,11.31,11.94
ANF,1996-10-15,11.94,12.38,11.94,12.31
ANF,1996-10-16,12.25,12.25,12.12,12.25
ANF,1996-10-17,12.25,13.5,12.25,13.12
ANF,1996-10-18,13.06,13.06,12.94,13.0
ANF,1996-10-21,13.0,13.38,12.75,12.81
ANF,1996-10-22,12.75,12.75,12.0,12.0
ANF,1996-10-23,12.0,12.0,11.5,11.62
ANF,1996-10-24,11.62,11.69,11.5,11.69
ANF,1996-10-25,11.69,11.94,11.69,11.94
ANF,1996-10-28,11.88,11.88,11.19,11.31
ANF,1996-10-29,11.0,11.5,10.88,11.38
ANF,1996-10-30,11.44,11.44,11.0,11.12
ANF,1996-10-31,11.12,11.12,10.94,11.0
ANF,1996-11-01,10.94,10.94,10.75,10.88
ANF,1996-11-04,11.0,11.06,10.81,10.88
ANF,1996-11-05,11.0,11.44,11.0,11.38
ANF,1996-11-06,11.31,11.38,11.19,11.19
ANF,1996-11-07,11.06,11.88,11.06,11.88
ANF,1996-11-08,11.75,11.88,11.75,11.81
ANF,1996-11-11,11.88,11.94,11.75,11.75
ANF,1996-11-12,11.69,11.69,11.25,11.31
ANF,1996-11-13,11.19,11.19,11.0,11.12
ANF,1996-11-14,11.06,11.06,10.56,10.62
ANF,1996-11-15,10.62,10.62,10.5,10.56
ANF,1996-11-18,10.56,10.75,10.44,10.75
ANF,1996-11-19,11.0,11.25,10.44,10.44
ANF,1996-11-20,10.5,10.5,9.56,9.81
ANF,1996-11-21,9.62,9.62,8.81,9.19
ANF,1996-11-22,9.31,9.5,9.31,9.44
ANF,1996-11-25,9.44,9.44,9.31,9.31
ANF,1996-11-26,9.25,9.31,9.06,9.19
ANF,1996-11-27,9.12,9.19,9.06,9.19
ANF,1996-11-29,9.12,9.19,9.12,9.19
ANF,1996-12-02,9.31,10.25,9.31,10.12
ANF,1996-12-03,10.19,10.31,9.88,10.0
ANF,1996-12-04,10.0,10.0,9.62,9.75
ANF,1996-12-05,9.69,9.88,9.69,9.88
ANF,1996-12-06,9.81,9.94,9.5,9.81
ANF,1996-12-09,9.81,9.94,9.75,9.94
ANF,1996-12-10,9.88,9.88,9.69,9.75
ANF,1996-12-11,9.62,9.62,9.56,9.62
ANF,1996-12-12,9.62,9.69,9.25,9.25
ANF,1996-12-13,9.31,9.38,9.31,9.31
ANF,1996-12-16,9.25,9.25,9.0,9.0
ANF,1996-12-17,8.88,8.94,8.56,8.56
ANF,1996-12-18,8.5,8.5,8.38,8.38
ANF,1996-12-19,8.38,8.38,8.0,8.06
ANF,1996-12-20,8.0,8.31,7.88,8.25
ANF,1996-12-23,8.25,8.31,8.12,8.31
ANF,1996-12-24,8.38,9.0,8.38,8.88
ANF,1996-12-26,8.88,8.88,8.69,8.69
ANF,1996-12-27,8.69,8.69,8.31,8.38
ANF,1996-12-30,8.31,8.38,8.06,8.19
ANF,1996-12-31,8.19,8.25,8.12,8.25
ANF,1997-01-02,8.31,8.31,8.06,8.19
ANF,1997-01-03,8.19,8.25,8.06,8.19
ANF,1997-01-06,8.06,8.12,6.56,6.75
ANF,1997-01-07,6.75,6.75,6.38,6.5
ANF,1997-01-08,6.5,6.75,6.31,6.31
ANF,1997-01-09,7.25,7.25,6.94,7.12
ANF,1997-01-10,7.19,8.31,7.19,8.06
ANF,1997-01-13,8.12,8.12,8.0,8.06
ANF,1997-01-14,8.0,8.0,7.69,7.69
ANF,1997-01-15,7.75,7.75,7.38,7.44
ANF,1997-01-16,7.5,7.69,7.5,7.56
ANF,1997-01-17,7.5,7.88,7.5,7.88
ANF,1997-01-20,7.88,7.94,7.88,7.88
ANF,1997-01-21,7.88,7.88,7.75,7.81
ANF,1997-01-22,7.81,7.81,7.62,7.69
ANF,1997-01-23,7.69,7.69,7.5,7.5
ANF,1997-01-24,7.5,7.56,7.38,7.5
ANF,1997-01-27,7.5,7.5,7.19,7.25
ANF,1997-01-28,7.25,7.25,7.06,7.12
ANF,1997-01-29,7.12,7.19,7.06,7.12
ANF,1997-01-30,7.25,7.38,6.94,7.06
ANF,1997-01-31,7.0,7.25,6.88,6.88
ANF,1997-02-03,6.81,6.81,6.5,6.62
ANF,1997-02-04,6.62,6.94,6.25,6.88
ANF,1997-02-05,6.88,7.12,6.75,6.81
ANF,1997-02-06,6.75,6.88,6.62,6.81
ANF,1997-02-07,6.81,6.88,6.81,6.81
ANF,1997-02-10,6.81,6.88,6.56,6.75
ANF,1997-02-11,6.75,6.75,6.62,6.69
ANF,1997-02-12,6.69,6.88,6.69,6.75
ANF,1997-02-13,7.56,7.62,7.19,7.31
ANF,1997-02-14,7.44,7.5,7.31,7.5
ANF,1997-02-18,7.5,7.5,7.31,7.38
ANF,1997-02-19,7.44,7.75,7.31,7.62
ANF,1997-02-20,7.69,7.88,7.62,7.81
ANF,1997-02-21,7.81,8.44,7.81,8.31
ANF,1997-02-24,8.31,8.81,8.31,8.81
ANF,1997-02-25,9.19,9.19,8.62,8.62
ANF,1997-02-26,8.69,8.75,8.62,8.62
ANF,1997-02-27,8.75,8.81,8.62,8.69
ANF,1997-02-28,8.62,8.69,8.5,8.69
ANF,1997-03-03,8.62,8.62,8.44,8.44
ANF,1997-03-04,8.38,8.5,8.38,8.44
ANF,1997-03-05,8.44,8.5,8.31,8.31
ANF,1997-03-06,8.25,8.44,8.25,8.44
ANF,1997-03-07,8.38,8.44,8.38,8.38
ANF,1997-03-10,8.31,8.44,8.25,8.31
ANF,1997-03-11,8.25,8.31,8.25,8.25
ANF,1997-03-12,8.25,8.44,8.12,8.38
ANF,1997-03-13,8.38,8.38,8.12,8.12
ANF,1997-03-14,8.12,8.31,8.12,8.19
ANF,1997-03-17,8.12,8.38,8.06,8.31
ANF,1997-03-18,8.38,8.38,8.25,8.31
ANF,1997-03-19,8.25,8.25,8.06,8.06
ANF,1997-03-20,8.06,8.06,7.88,7.94
ANF,1997-03-21,7.88,8.06,7.88,7.94
ANF,1997-03-24,8.0,8.0,7.75,7.94
ANF,1997-03-25,7.88,8.0,7.88,7.88
ANF,1997-03-26,7.88,7.94,7.75,7.75
ANF,1997-03-27,7.75,7.75,7.56,7.69
ANF,1997-03-31,7.62,7.69,7.56,7.62
ANF,1997-04-01,7.69,7.69,7.25,7.31
ANF,1997-04-02,7.31,7.44,7.19,7.38
ANF,1997-04-03,7.31,7.31,7.0,7.0
ANF,1997-04-04,6.94,7.5,6.94,7.5
ANF,1997-04-07,7.5,7.69,7.5,7.56
ANF,1997-04-08,7.56,7.62,7.38,7.38
ANF,1997-04-09,7.44,7.44,7.31,7.31
ANF,1997-04-10,7.38,7.38,7.12,7.25
ANF,1997-04-11,7.25,7.25,7.0,7.0
ANF,1997-04-14,7.06,7.06,6.38,6.5
ANF,1997-04-15,6.5,6.56,6.44,6.56
ANF,1997-04-16,6.5,6.5,6.44,6.44
ANF,1997-04-17,6.5,6.94,6.5,6.69
ANF,1997-04-18,6.69,6.69,6.5,6.69
ANF,1997-04-21,6.69,6.69,6.56,6.56
ANF,1997-04-22,6.75,7.0,6.62,7.0
ANF,1997-04-23,6.81,7.31,6.81,7.25
ANF,1997-04-24,7.31,7.38,7.06,7.12
ANF,1997-04-25,7.06,7.06,6.88,7.0
ANF,1997-04-28,7.0,7.06,6.94,7.0
ANF,1997-04-29,7.12,7.12,7.0,7.0
ANF,1997-04-30,7.06,7.38,7.06,7.31
ANF,1997-05-01,7.44,7.5,7.38,7.44
ANF,1997-05-02,7.5,7.69,7.5,7.62
ANF,1997-05-05,7.62,8.06,7.62,8.0
ANF,1997-05-06,8.19,8.19,7.94,8.0
ANF,1997-05-07,8.06,8.12,7.88,7.88
ANF,1997-05-08,7.81,8.19,7.81,8.19
ANF,1997-05-09,8.12,8.19,8.0,8.12
ANF,1997-05-12,8.0,8.12,7.94,8.06
ANF,1997-05-13,8.19,8.19,7.94,8.0
ANF,1997-05-14,8.38,9.0,8.31,8.62
ANF,1997-05-15,8.62,9.12,8.62,9.12
ANF,1997-05-16,9.12,9.19,8.94,9.0
ANF,1997-05-19,9.12,9.25,9.06,9.19
ANF,1997-05-20,9.19,9.25,9.12,9.12
ANF,1997-05-21,9.12,9.19,8.94,9.06
ANF,1997-05-22,9.0,9.0,8.94,9.0
ANF,1997-05-23,9.0,9.0,8.94,9.0
ANF,1997-05-27,8.94,8.94,8.75,8.88
ANF,1997-05-28,8.88,8.94,8.75,8.75
ANF,1997-05-29,8.81,8.81,8.69,8.69
ANF,1997-05-30,8.75,8.75,8.62,8.69
ANF,1997-06-02,8.75,9.19,8.75,9.12
ANF,1997-06-03,9.12,9.19,9.06,9.06
ANF,1997-06-04,9.06,9.06,8.94,8.94
ANF,1997-06-05,8.88,9.0,8.88,9.0
ANF,1997-06-06,8.94,9.31,8.88,9.25
ANF,1997-06-09,9.25,9.56,9.25,9.5
ANF,1997-06-10,9.5,9.69,9.38,9.62
ANF,1997-06-11,9.69,9.69,9.62,9.69
ANF,1997-06-12,9.69,9.69,9.38,9.5
ANF,1997-06-13,9.38,9.5,9.38,9.38
ANF,1997-06-16,9.38,9.5,9.38,9.5
ANF,1997-06-17,9.44,9.5,9.25,9.31
ANF,1997-06-18,9.19,9.31,9.12,9.31
ANF,1997-06-19,9.25,9.25,9.06,9.12
ANF,1997-06-20,9.19,9.19,8.94,9.0
ANF,1997-06-23,9.0,9.0,8.69,8.69
ANF,1997-06-24,8.75,8.75,8.5,8.62
ANF,1997-06-25,8.69,8.84,8.69,8.81
ANF,1997-06-26,8.75,8.75,8.44,8.62
ANF,1997-06-27,8.75,8.81,8.69,8.78
ANF,1997-06-30,8.75,9.25,8.75,9.12
ANF,1997-07-01,9.19,9.5,9.19,9.5
ANF,1997-07-02,9.75,10.12,9.75,10.12
ANF,1997-07-03,10.0,10.06,9.94,9.94
ANF,1997-07-07,9.94,10.25,9.94,10.25
ANF,1997-07-08,10.19,10.31,10.06,10.19
ANF,1997-07-09,10.19,10.19,9.94,9.94
ANF,1997-07-10,9.88,10.06,9.88,10.0
ANF,1997-07-11,10.0,10.12,9.88,10.0
ANF,1997-07-14,9.88,9.88,9.06,9.12
ANF,1997-07-15,9.25,9.31,9.12,9.19
ANF,1997-07-16,9.31,9.44,9.19,9.41
ANF,1997-07-17,9.44,9.69,9.44,9.47
ANF,1997-07-18,9.47,9.5,9.38,9.44
ANF,1997-07-21,9.44,9.5,9.38,9.38
ANF,1997-07-22,9.44,9.56,9.38,9.5
ANF,1997-07-23,9.5,9.88,9.44,9.75
ANF,1997-07-24,9.88,10.12,9.88,10.12
ANF,1997-07-25,10.19,10.25,9.94,9.97
ANF,1997-07-28,10.0,10.0,9.75,9.88
ANF,1997-07-29,9.81,10.0,9.81,9.91
ANF,1997-07-30,10.0,10.03,9.88,10.0
ANF,1997-07-31,10.0,10.06,9.81,9.94
ANF,1997-08-01,9.94,9.94,9.47,9.69
ANF,1997-08-04,9.75,9.75,9.59,9.62
ANF,1997-08-05,9.75,10.19,9.75,10.12
ANF,1997-08-06,10.06,10.56,10.03,10.5
ANF,1997-08-07,10.5,10.5,10.38,10.44
ANF,1997-08-08,10.31,10.44,10.12,10.34
ANF,1997-08-11,10.22,10.81,10.16,10.81
ANF,1997-08-12,10.94,11.31,10.62,11.06
ANF,1997-08-13,11.12,11.19,10.75,11.0
ANF,1997-08-14,11.03,11.19,10.62,10.62
ANF,1997-08-15,10.69,10.69,10.19,10.38
ANF,1997-08-18,10.44,10.5,10.12,10.44
ANF,1997-08-19,10.47,11.0,10.47,10.94
ANF,1997-08-20,10.94,11.69,10.94,11.19
ANF,1997-08-21,11.25,11.25,10.97,10.97
ANF,1997-08-22,10.72,11.12,10.72,10.94
ANF,1997-08-25,11.0,11.75,10.81,10.81
ANF,1997-08-26,10.81,11.56,10.81,11.31
ANF,1997-08-27,11.25,12.12,11.25,12.0
ANF,1997-08-28,11.94,11.97,11.62,11.94
ANF,1997-08-29,11.97,12.0,11.91,12.0
ANF,1997-09-02,12.06,12.56,12.0,12.5
ANF,1997-09-03,12.5,12.69,12.25,12.44
ANF,1997-09-04,12.5,12.88,12.31,12.34
ANF,1997-09-05,12.41,12.53,12.28,12.44
ANF,1997-09-08,12.56,12.56,12.31,12.41
ANF,1997-09-09,12.47,12.59,12.38,12.59
ANF,1997-09-10,12.62,12.88,12.56,12.69
ANF,1997-09-11,12.75,13.38,12.75,13.09
ANF,1997-09-12,13.06,13.44,13.03,13.44
ANF,1997-09-15,13.38,13.47,13.16,13.22
ANF,1997-09-16,13.16,13.31,13.12,13.31
ANF,1997-09-17,13.31,13.31,12.81,13.0
ANF,1997-09-18,13.12,13.53,13.06,13.41
ANF,1997-09-19,13.34,13.66,13.34,13.62
ANF,1997-09-22,13.56,13.56,13.25,13.25
ANF,1997-09-23,13.31,13.31,13.0,13.03
ANF,1997-09-24,13.0,13.0,12.19,12.88
ANF,1997-09-25,12.56,12.75,12.56,12.62
ANF,1997-09-26,12.62,12.94,12.62,12.94
ANF,1997-09-29,12.88,13.44,12.81,13.44
ANF,1997-09-30,13.44,13.44,13.0,13.12
ANF,1997-10-01,13.0,13.03,12.94,13.03
ANF,1997-10-02,12.97,13.19,12.81,13.19
ANF,1997-10-03,13.25,13.44,13.22,13.38
ANF,1997-10-06,13.31,14.0,13.0,13.5
ANF,1997-10-07,13.44,13.44,12.94,13.0
ANF,1997-10-08,12.94,12.94,12.41,12.47
ANF,1997-10-09,12.34,12.34,12.0,12.22
