ticker,date,open,high,low,close
ASA,1978-01-03,6.75,7.21,6.75,7.21
ASA,1978-01-04,7.21,7.46,6.92,7.0
ASA,1978-01-05,7.0,7.29,6.79,7.25
ASA,1978-01-06,7.25,7.33,7.17,7.21
ASA,1978-01-09,7.21,7.25,7.12,7.25
ASA,1978-01-10,7.25,7.33,7.08,7.21
ASA,1978-01-11,7.21,7.46,7.12,7.33
ASA,1978-01-12,7.33,7.42,7.21,7.38
ASA,1978-01-13,7.38,7.42,7.21,7.38
ASA,1978-01-16,7.38,7.46,7.38,7.38
ASA,1978-01-17,7.33,7.33,7.17,7.21
ASA,1978-01-18,7.21,7.29,7.12,7.21
ASA,1978-01-19,7.21,7.33,7.21,7.25
ASA,1978-01-20,7.25,7.33,7.25,7.33
ASA,1978-01-23,7.33,7.54,7.29,7.42
ASA,1978-01-24,7.42,7.54,7.25,7.42
ASA,1978-01-25,7.42,7.42,7.29,7.33
ASA,1978-01-26,7.33,7.33,7.21,7.33
ASA,1978-01-27,7.33,7.33,7.17,7.25
ASA,1978-01-30,7.25,7.25,7.04,7.12
ASA,1978-01-31,7.12,7.21,6.96,7.12
ASA,1978-02-01,7.12,7.12,7.0,7.0
ASA,1978-02-02,7.0,7.0,6.71,6.96
ASA,1978-02-03,6.96,7.08,6.92,7.04
ASA,1978-02-06,7.04,7.08,6.92,7.0
ASA,1978-02-07,6.96,6.96,6.92,6.96
ASA,1978-02-08,6.96,6.96,6.88,6.88
ASA,1978-02-09,6.88,6.88,6.75,6.88
ASA,1978-02-10,6.88,7.0,6.88,7.0
ASA,1978-02-13,7.0,7.04,6.96,6.96
ASA,1978-02-14,6.96,7.04,6.92,6.96
ASA,1978-02-15,6.96,7.04,6.92,6.96
ASA,1978-02-16,6.96,7.0,6.88,6.96
ASA,1978-02-17,6.92,6.92,6.75,6.88
ASA,1978-02-21,6.92,7.0,6.92,6.96
ASA,1978-02-22,6.92,6.92,6.75,6.92
ASA,1978-02-23,6.92,6.96,6.92,6.96
ASA,1978-02-24,6.96,6.96,6.71,6.83
ASA,1978-02-27,6.83,6.96,6.79,6.96
ASA,1978-02-28,6.96,7.12,6.88,7.12
