ticker,date,open,high,low,close
AWR,1973-02-21,2.35,2.35,2.35,2.35
AWR,1973-02-22,2.35,2.35,2.35,2.35
AWR,1973-02-23,2.33,2.33,2.33,2.33
AWR,1973-02-26,2.33,2.33,2.33,2.33
AWR,1973-02-27,2.33,2.33,2.33,2.33
AWR,1973-02-28,2.33,2.33,2.33,2.33
AWR,1973-03-01,2.33,2.33,2.33,2.33
AWR,1973-03-02,2.33,2.33,2.33,2.33
AWR,1973-03-05,2.35,2.35,2.35,2.35
AWR,1973-03-06,2.35,2.35,2.35,2.35
AWR,1973-03-07,2.35,2.35,2.35,2.35
AWR,1973-03-08,2.35,2.35,2.35,2.35
AWR,1973-03-09,2.35,2.35,2.35,2.35
AWR,1973-03-12,2.33,2.33,2.33,2.33
AWR,1973-03-13,2.29,2.29,2.29,2.29
AWR,1973-03-14,2.27,2.27,2.27,2.27
AWR,1973-03-15,2.27,2.27,2.27,2.27
AWR,1973-03-16,2.27,2.27,2.27,2.27
AWR,1973-03-19,2.21,2.21,2.21,2.21
AWR,1973-03-20,2.23,2.23,2.23,2.23
AWR,1973-03-21,2.21,2.21,2.21,2.21
AWR,1973-03-22,2.21,2.21,2.21,2.21
AWR,1973-03-23,2.23,2.23,2.23,2.23
AWR,1973-03-26,2.23,2.23,2.23,2.23
AWR,1973-03-27,2.25,2.25,2.25,2.25
AWR,1973-03-28,2.27,2.27,2.27,2.27
AWR,1973-03-29,2.33,2.33,2.33,2.33
AWR,1973-03-30,2.33,2.33,2.33,2.33
AWR,1973-04-02,2.33,2.33,2.33,2.33
AWR,1973-04-03,2.33,2.33,2.33,2.33
AWR,1973-04-04,2.35,2.35,2.35,2.35
AWR,1973-04-05,2.35,2.35,2.35,2.35
AWR,1973-04-06,2.38,2.38,2.38,2.38
AWR,1973-04-09,2.38,2.38,2.38,2.38
AWR,1973-04-10,2.38,2.38,2.38,2.38
AWR,1973-04-11,2.38,2.38,2.38,2.38
AWR,1973-04-12,2.38,2.38,2.38,2.38
AWR,1973-04-13,2.38,2.38,2.38,2.38
AWR,1973-04-16,2.35,2.35,2.35,2.35
AWR,1973-04-17,2.33,2.33,2.33,2.33
AWR,1973-04-18,2.33,2.33,2.33,2.33
AWR,1973-04-19,2.33,2.33,2.33,2.33
AWR,1973-04-23,2.33,2.33,2.33,2.33
AWR,1973-04-24,2.33,2.33,2.33,2.33
AWR,1973-04-25,2.33,2.33,2.33,2.33
AWR,1973-04-26,2.33,2.33,2.33,2.33
AWR,1973-04-27,2.33,2.33,2.33,2.33
AWR,1973-04-30,2.31,2.31,2.31,2.31
AWR,1973-05-01,2.31,2.31,2.31,2.31
AWR,1973-05-02,2.33,2.33,2.33,2.33
AWR,1973-05-03,0.0,2.42,2.33,2.33
AWR,1973-05-04,0.0,2.42,2.33,2.33
AWR,1973-05-07,0.0,2.4,2.31,2.31
AWR,1973-05-08,0.0,2.4,2.31,2.31
AWR,1973-05-09,0.0,2.4,2.31,2.31
AWR,1973-05-10,2.31,2.31,2.31,2.31
AWR,1973-05-11,0.0,2.42,2.33,2.33
AWR,1973-05-14,2.33,2.33,2.33,2.33
AWR,1973-05-15,0.0,2.42,2.33,2.33
AWR,1973-05-16,0.0,2.42,2.33,2.33
AWR,1973-05-17,0.0,2.42,2.33,2.33
AWR,1973-05-18,0.0,2.42,2.33,2.33
AWR,1973-05-21,0.0,2.42,2.33,2.33
AWR,1973-05-22,0.0,2.42,2.33,2.33
AWR,1973-05-23,0.0,2.42,2.33,2.33
AWR,1973-05-24,2.33,2.33,2.33,2.33
AWR,1973-05-25,0.0,2.42,2.33,2.33
AWR,1973-05-29,0.0,2.42,2.33,2.33
AWR,1973-05-30,0.0,2.42,2.33,2.33
AWR,1973-05-31,0.0,2.42,2.33,2.33
AWR,1973-06-01,0.0,2.44,2.35,2.35
AWR,1973-06-04,0.0,2.44,2.35,2.35
AWR,1973-06-05,0.0,2.42,2.33,2.33
AWR,1973-06-06,0.0,2.42,2.33,2.33
AWR,1973-06-07,0.0,2.44,2.35,2.35
AWR,1973-06-08,0.0,2.44,2.35,2.35
AWR,1973-06-11,0.0,2.44,2.35,2.35
AWR,1973-06-12,0.0,2.44,2.35,2.35
AWR,1973-06-13,0.0,2.44,2.35,2.35
AWR,1973-06-14,0.0,2.44,2.35,2.35
AWR,1973-06-15,0.0,2.44,2.35,2.35
AWR,1973-06-18,2.35,2.35,2.35,2.35
AWR,1973-06-19,0.0,2.44,2.35,2.35
AWR,1973-06-20,0.0,2.44,2.35,2.35
AWR,1973-06-21,0.0,2.44,2.35,2.35
AWR,1973-06-22,0.0,2.4,2.31,2.31
AWR,1973-06-25,0.0,2.38,2.29,2.29
AWR,1973-06-26,0.0,2.42,2.33,2.33
AWR,1973-06-27,0.0,2.42,2.33,2.33
AWR,1973-06-28,0.0,2.42,2.33,2.33
AWR,1973-06-29,0.0,2.42,2.33,2.33
AWR,1973-07-02,0.0,2.42,2.33,2.33
AWR,1973-07-03,0.0,2.42,2.33,2.33
AWR,1973-07-05,2.33,2.33,2.33,2.33
AWR,1973-07-06,0.0,2.42,2.33,2.33
AWR,1973-07-09,2.33,2.33,2.33,2.33
AWR,1973-07-10,0.0,2.42,2.33,2.33
AWR,1973-07-11,0.0,2.42,2.33,2.33
AWR,1973-07-12,0.0,2.46,2.38,2.38
AWR,1973-07-13,0.0,2.46,2.38,2.38
AWR,1973-07-16,0.0,2.48,2.4,2.4
AWR,1973-07-17,0.0,2.48,2.4,2.4
AWR,1973-07-18,0.0,2.48,2.4,2.4
AWR,1973-07-19,0.0,2.48,2.4,2.4
AWR,1973-07-20,2.4,2.4,2.4,2.4
AWR,1973-07-23,0.0,2.48,2.4,2.4
AWR,1973-07-24,0.0,2.48,2.4,2.4
AWR,1973-07-25,0.0,2.48,2.4,2.4
AWR,1973-07-26,0.0,2.48,2.4,2.4
AWR,1973-07-27,2.4,2.4,2.4,2.4
AWR,1973-07-30,0.0,2.46,2.38,2.38
AWR,1973-07-31,2.38,2.38,2.38,2.38
AWR,1973-08-01,0.0,2.44,2.35,2.35
AWR,1973-08-02,0.0,2.4,2.31,2.31
AWR,1973-08-03,0.0,2.42,2.33,2.33
AWR,1973-08-06,0.0,2.42,2.33,2.33
AWR,1973-08-07,0.0,2.42,2.33,2.33
AWR,1973-08-08,0.0,2.38,2.29,2.29
AWR,1973-08-09,0.0,2.35,2.27,2.27
AWR,1973-08-10,0.0,2.35,2.27,2.27
AWR,1973-08-13,0.0,2.33,2.25,2.25
AWR,1973-08-14,0.0,2.31,2.23,2.23
AWR,1973-08-15,0.0,2.23,2.15,2.15
AWR,1973-08-16,0.0,2.21,2.12,2.12
AWR,1973-08-17,0.0,2.19,2.1,2.1
AWR,1973-08-20,0.0,2.19,2.1,2.1
AWR,1973-08-21,0.0,2.19,2.1,2.1
AWR,1973-08-22,0.0,2.21,2.12,2.12
AWR,1973-08-23,0.0,2.21,2.12,2.12
AWR,1973-08-24,0.0,2.29,2.21,2.21
AWR,1973-08-27,0.0,2.29,2.21,2.21
AWR,1973-08-28,0.0,2.29,2.21,2.21
AWR,1973-08-29,0.0,2.29,2.21,2.21
AWR,1973-08-30,2.21,2.21,2.21,2.21
AWR,1973-08-31,0.0,2.29,2.21,2.21
AWR,1973-09-04,0.0,2.29,2.21,2.21
AWR,1973-09-05,0.0,2.29,2.21,2.21
AWR,1973-09-06,0.0,2.29,2.21,2.21
AWR,1973-09-07,0.0,2.29,2.21,2.21
AWR,1973-09-10,0.0,2.29,2.21,2.21
AWR,1973-09-11,0.0,2.29,2.21,2.21
AWR,1973-09-12,0.0,2.29,2.21,2.21
AWR,1973-09-13,0.0,2.31,2.23,2.23
AWR,1973-09-14,0.0,2.31,2.23,2.23
AWR,1973-09-17,0.0,2.33,2.25,2.25
AWR,1973-09-18,0.0,2.35,2.27,2.27
AWR,1973-09-19,0.0,2.4,2.31,2.31
AWR,1973-09-20,0.0,2.42,2.33,2.33
AWR,1973-09-21,0.0,2.42,2.33,2.33
AWR,1973-09-24,0.0,2.48,2.4,2.4
AWR,1973-09-25,0.0,2.48,2.4,2.4
AWR,1973-09-26,0.0,2.48,2.4,2.4
AWR,1973-09-27,2.4,2.4,2.4,2.4
AWR,1973-09-28,0.0,2.48,2.4,2.4
AWR,1973-10-01,0.0,2.48,2.4,2.4
AWR,1973-10-02,0.0,2.48,2.4,2.4
AWR,1973-10-03,2.4,2.4,2.4,2.4
AWR,1973-10-04,0.0,2.46,2.38,2.38
AWR,1973-10-05,0.0,2.46,2.38,2.38
AWR,1973-10-08,0.0,2.46,2.38,2.38
AWR,1973-10-09,0.0,2.44,2.35,2.35
AWR,1973-10-10,0.0,2.44,2.35,2.35
AWR,1973-10-11,0.0,2.44,2.35,2.35
AWR,1973-10-12,0.0,2.44,2.35,2.35
AWR,1973-10-15,0.0,2.42,2.33,2.33
AWR,1973-10-16,0.0,2.42,2.33,2.33
AWR,1973-10-17,0.0,2.42,2.33,2.33
AWR,1973-10-18,0.0,2.42,2.33,2.33
AWR,1973-10-19,0.0,2.42,2.33,2.33
AWR,1973-10-22,0.0,2.42,2.33,2.33
AWR,1973-10-23,0.0,2.42,2.33,2.33
AWR,1973-10-24,0.0,2.44,2.35,2.35
AWR,1973-10-25,0.0,2.44,2.35,2.35
AWR,1973-10-26,0.0,2.42,2.33,2.33
AWR,1973-10-29,0.0,2.44,2.35,2.35
AWR,1973-10-30,0.0,2.42,2.33,2.33
AWR,1973-10-31,0.0,2.42,2.33,2.33
AWR,1973-11-01,0.0,2.42,2.33,2.33
AWR,1973-11-02,0.0,2.4,2.31,2.31
AWR,1973-11-05,0.0,2.38,2.29,2.29
AWR,1973-11-06,0.0,2.38,2.29,2.29
AWR,1973-11-07,0.0,2.38,2.29,2.29
AWR,1973-11-08,0.0,2.38,2.29,2.29
AWR,1973-11-09,0.0,2.35,2.27,2.27
AWR,1973-11-12,0.0,2.35,2.27,2.27
AWR,1973-11-13,0.0,2.33,2.25,2.25
AWR,1973-11-14,0.0,2.29,2.21,2.21
AWR,1973-11-15,0.0,2.27,2.19,2.19
AWR,1973-11-16,0.0,2.27,2.19,2.19
AWR,1973-11-19,0.0,2.23,2.15,2.15
AWR,1973-11-20,0.0,2.19,2.1,2.1
AWR,1973-11-21,0.0,2.15,2.06,2.06
AWR,1973-11-23,0.0,2.15,2.06,2.06
AWR,1973-11-26,0.0,2.06,1.98,1.98
AWR,1973-11-27,0.0,2.04,1.96,1.96
AWR,1973-11-28,0.0,2.04,1.96,1.96
AWR,1973-11-29,0.0,2.02,1.94,1.94
AWR,1973-11-30,0.0,2.0,1.92,1.92
AWR,1973-12-03,0.0,2.02,1.94,1.94
AWR,1973-12-04,0.0,2.08,2.0,2.0
AWR,1973-12-05,0.0,2.1,2.02,2.02
AWR,1973-12-06,0.0,2.12,2.04,2.04
AWR,1973-12-07,0.0,2.12,2.04,2.04
AWR,1973-12-10,0.0,2.12,2.04,2.04
AWR,1973-12-11,0.0,2.17,2.08,2.08
AWR,1973-12-12,0.0,2.17,2.08,2.08
AWR,1973-12-13,0.0,2.19,2.1,2.1
AWR,1973-12-14,0.0,2.19,2.1,2.1
AWR,1973-12-17,0.0,2.19,2.1,2.1
AWR,1973-12-18,0.0,2.17,2.08,2.08
AWR,1973-12-19,0.0,2.19,2.1,2.1
AWR,1973-12-20,0.0,2.19,2.1,2.1
AWR,1973-12-21,0.0,2.17,2.08,2.08
AWR,1973-12-24,0.0,2.19,2.1,2.1
AWR,1973-12-26,0.0,2.21,2.12,2.12
AWR,1973-12-27,0.0,2.19,2.1,2.1
AWR,1973-12-28,0.0,2.21,2.12,2.12
AWR,1973-12-31,0.0,2.23,2.15,2.15
AWR,1974-01-02,2.15,2.15,2.15,2.15
AWR,1974-01-03,0.0,2.23,2.15,2.15
AWR,1974-01-04,0.0,2.29,2.21,2.21
AWR,1974-01-07,0.0,2.29,2.21,2.21
AWR,1974-01-08,0.0,2.29,2.21,2.21
AWR,1974-01-09,0.0,2.27,2.19,2.19
AWR,1974-01-10,0.0,2.27,2.19,2.19
AWR,1974-01-11,0.0,2.27,2.19,2.19
AWR,1974-01-14,0.0,2.27,2.19,2.19
AWR,1974-01-15,0.0,2.27,2.19,2.19
AWR,1974-01-16,2.19,2.19,2.19,2.19
AWR,1974-01-17,0.0,2.29,2.21,2.21
AWR,1974-01-18,0.0,2.29,2.21,2.21
AWR,1974-01-21,0.0,2.31,2.23,2.23
AWR,1974-01-22,0.0,2.31,2.23,2.23
AWR,1974-01-23,0.0,2.31,2.23,2.23
AWR,1974-01-24,0.0,2.33,2.25,2.25
