ticker,date,open,high,low,close
BARK,2020-12-18,13.0,14.24,11.5,12.4
BARK,2020-12-21,13.15,13.15,12.5196,12.65
BARK,2020-12-22,13.24,17.51,13.02,13.95
BARK,2020-12-23,14.0,15.88,13.9,14.83
BARK,2020-12-24,17.69,19.54,16.88,18.5
BARK,2020-12-28,18.0,19.5,15.95,16.61
BARK,2020-12-29,16.07,16.5298,15.495,15.8
BARK,2020-12-30,16.0,16.33,15.8,16.0
BARK,2020-12-31,15.87,16.0,14.51,14.56
BARK,2021-01-04,15.14,15.2,13.6,14.27
BARK,2021-01-05,13.8,14.62,13.72,14.62
BARK,2021-01-06,14.18,15.57,14.18,14.81
BARK,2021-01-07,14.8,15.5,14.8,14.95
BARK,2021-01-08,15.0,15.0,14.5,14.75
BARK,2021-01-11,14.55,14.7061,14.15,14.68
BARK,2021-01-12,14.81,14.84,14.1,14.37
BARK,2021-01-13,14.58,14.7,14.25,14.44
BARK,2021-01-14,15.0,15.81,14.7,14.95
BARK,2021-01-15,15.01,15.8,14.75,15.13
BARK,2021-01-19,15.03,15.19,14.68,15.14
BARK,2021-01-20,15.1,15.26,14.56,14.75
BARK,2021-01-21,14.75,15.03,14.4,14.72
BARK,2021-01-22,14.53,14.7399,14.35,14.61
BARK,2021-01-25,14.35,14.56,13.18,13.97
BARK,2021-01-26,14.1,14.1001,13.33,13.45
BARK,2021-01-27,13.15,13.95,12.82,12.95
BARK,2021-01-28,13.55,13.55,12.9,13.01
BARK,2021-01-29,12.98,13.17,12.42,12.83
BARK,2021-02-01,13.13,14.72,12.9,13.8
BARK,2021-02-02,14.01,14.7,14.01,14.35
BARK,2021-02-03,14.18,14.3709,13.75,13.85
BARK,2021-02-04,14.49,14.5,13.99,14.17
BARK,2021-02-05,14.24,14.78,13.61,14.53
BARK,2021-02-08,14.76,15.07,14.52,14.72
BARK,2021-02-09,14.53,14.9,14.21,14.29
BARK,2021-02-10,14.72,14.88,13.66,14.28
BARK,2021-02-11,14.2,14.88,13.85,14.74
BARK,2021-02-12,15.23,15.8,14.85,15.22
BARK,2021-02-16,16.4,17.25,15.565,15.72
BARK,2021-02-17,16.0,16.06,14.895,15.37
BARK,2021-02-18,14.8,15.63,14.6,15.0
BARK,2021-02-19,15.1,15.18,14.77,14.95
BARK,2021-02-22,14.9,15.28,14.5,14.53
BARK,2021-02-23,13.77,14.6,13.0,13.7
BARK,2021-02-24,14.06,14.1981,13.13,13.58
BARK,2021-02-25,13.41,13.85,12.77,12.9
BARK,2021-02-26,13.13,13.39,12.37,12.5
BARK,2021-03-01,13.19,13.19,12.7569,12.8
BARK,2021-03-02,13.0,13.1501,12.55,12.7
BARK,2021-03-03,12.58,12.65,11.8,11.92
BARK,2021-03-04,11.65,11.88,10.63,10.82
BARK,2021-03-05,11.19,11.24,10.19,10.78
BARK,2021-03-08,10.66,11.75,10.45,10.81
BARK,2021-03-09,11.15,11.52,10.91,11.1
BARK,2021-03-10,11.4,11.53,11.18,11.4
BARK,2021-03-11,11.7,12.1389,11.5,11.6
BARK,2021-03-12,11.57,11.97,11.27,11.95
BARK,2021-03-15,12.35,12.47,11.95,11.95
BARK,2021-03-16,12.15,12.3,11.15,11.21
BARK,2021-03-17,11.07,11.8,11.049,11.62
BARK,2021-03-18,11.37,12.14,11.26,11.32
BARK,2021-03-19,11.44,11.67,11.3,11.38
BARK,2021-03-22,11.69,11.93,11.55,11.61
BARK,2021-03-23,11.6,11.6486,11.25,11.33
BARK,2021-03-24,11.44,11.5299,10.5,10.55
BARK,2021-03-25,10.41,10.9267,10.4,10.63
BARK,2021-03-26,10.75,10.85,10.52,10.59
BARK,2021-03-29,10.9,10.91,10.52,10.56
BARK,2021-03-30,10.66,10.69,10.46,10.56
BARK,2021-03-31,10.94,11.5,10.71,11.12
BARK,2021-04-01,11.36,11.5,11.2,11.47
BARK,2021-04-05,11.58,11.82,11.32,11.42
BARK,2021-04-06,11.3,11.44,11.1,11.43
BARK,2021-04-07,11.25,11.5089,11.19,11.32
BARK,2021-04-08,11.22,11.4,11.12,11.3
BARK,2021-04-09,11.23,11.42,11.14,11.42
BARK,2021-04-12,11.45,11.6327,11.17,11.56
BARK,2021-04-13,11.34,11.6,11.3,11.57
BARK,2021-04-14,11.6,12.0,11.45,11.96
BARK,2021-04-15,12.0,12.33,11.56,12.0
BARK,2021-04-16,11.97,12.25,11.66,12.05
BARK,2021-04-19,11.87,11.89,11.01,11.24
BARK,2021-04-20,11.25,11.3349,10.34,10.62
BARK,2021-04-21,10.4,10.79,10.35,10.72
BARK,2021-04-22,10.95,10.95,10.35,10.47
BARK,2021-04-23,10.5,10.86,10.5,10.86
BARK,2021-04-26,11.03,11.1,10.81,11.0
BARK,2021-04-27,11.0,11.11,10.65,10.7
BARK,2021-04-28,10.68,10.86,10.661,10.78
BARK,2021-04-29,10.79,10.79,10.53,10.68
