ticker,date,open,high,low,close
BBBY,1992-06-05,1.125,1.1562,1.0469,1.0625
BBBY,1992-06-08,1.0938,1.0938,1.0312,1.0312
BBBY,1992-06-09,1.0625,1.0781,1.0312,1.0469
BBBY,1992-06-10,1.0312,1.0469,1.0,1.0
BBBY,1992-06-11,1.0,1.0156,0.9844,0.9922
BBBY,1992-06-12,0.9844,1.0156,0.9844,1.0156
BBBY,1992-06-15,0.9844,1.0156,0.9844,1.0
BBBY,1992-06-16,1.0156,1.0156,0.9844,0.9844
BBBY,1992-06-17,0.9844,1.0156,0.875,0.8906
BBBY,1992-06-18,0.8906,0.9062,0.875,0.875
BBBY,1992-06-19,0.875,0.9531,0.875,0.9219
BBBY,1992-06-22,0.9375,0.9688,0.9375,0.9531
BBBY,1992-06-23,0.9688,1.0,0.9375,1.0
BBBY,1992-06-24,0.9844,0.9922,0.9062,0.9531
BBBY,1992-06-25,0.9688,0.9844,0.9375,0.9844
BBBY,1992-06-26,1.0,1.0,0.9688,0.9844
BBBY,1992-06-29,1.0,1.0469,1.0,1.0312
BBBY,1992-06-30,1.0625,1.0938,1.0312,1.0625
BBBY,1992-07-01,1.0625,1.0625,1.0312,1.0312
BBBY,1992-07-02,1.0312,1.0547,1.0,1.0078
BBBY,1992-07-06,1.0,1.0,0.9531,0.9531
BBBY,1992-07-07,0.9531,1.0,0.9531,1.0
BBBY,1992-07-08,0.9688,1.0,0.9453,0.9531
BBBY,1992-07-09,0.9844,1.0469,0.9688,1.0469
BBBY,1992-07-10,1.0469,1.0469,1.0156,1.0469
BBBY,1992-07-13,1.0469,1.0469,1.0156,1.0469
BBBY,1992-07-14,1.0156,1.0938,1.0156,1.0938
BBBY,1992-07-15,1.0938,1.0938,1.0625,1.0625
BBBY,1992-07-16,1.0625,1.0781,1.0312,1.0312
BBBY,1992-07-17,1.0312,1.0625,1.0,1.0469
BBBY,1992-07-20,1.0156,1.0469,1.0156,1.0312
BBBY,1992-07-21,1.0469,1.0469,1.0156,1.0156
BBBY,1992-07-22,1.0469,1.0469,1.0156,1.0469
BBBY,1992-07-23,1.0469,1.1094,1.0156,1.0625
BBBY,1992-07-24,1.0938,1.1094,1.0625,1.1094
BBBY,1992-07-27,1.1094,1.1094,1.0625,1.0859
BBBY,1992-07-28,1.0625,1.1094,1.0625,1.0938
BBBY,1992-07-29,1.1094,1.1094,1.0703,1.0938
BBBY,1992-07-30,1.1094,1.1719,1.0781,1.1562
BBBY,1992-07-31,1.1562,1.2812,1.1562,1.2188
BBBY,1992-08-03,1.25,1.25,1.1719,1.2031
BBBY,1992-08-04,1.2031,1.2188,1.1719,1.2031
BBBY,1992-08-05,1.2031,1.2344,1.2031,1.2031
BBBY,1992-08-06,1.1875,1.2188,1.1875,1.1875
BBBY,1992-08-07,1.2188,1.2344,1.1875,1.2031
BBBY,1992-08-10,1.2031,1.2344,1.2031,1.2109
BBBY,1992-08-11,1.2344,1.2344,1.2031,1.2344
BBBY,1992-08-12,1.2656,1.2656,1.2344,1.2578
BBBY,1992-08-13,1.2969,1.2969,1.2344,1.2344
BBBY,1992-08-14,1.2344,1.2656,1.2344,1.2656
BBBY,1992-08-17,1.2812,1.2812,1.25,1.2656
BBBY,1992-08-18,1.2812,1.2969,1.25,1.2969
BBBY,1992-08-19,1.2969,1.3906,1.2812,1.3281
BBBY,1992-08-20,1.3594,1.3594,1.3203,1.3594
BBBY,1992-08-21,1.3594,1.3594,1.2891,1.3281
BBBY,1992-08-24,1.3281,1.3281,1.25,1.2812
BBBY,1992-08-25,1.2812,1.2812,1.2344,1.25
BBBY,1992-08-26,1.25,1.3125,1.2344,1.2969
BBBY,1992-08-27,1.2812,1.3281,1.2812,1.3281
BBBY,1992-08-28,1.2969,1.3281,1.2969,1.3281
BBBY,1992-08-31,1.3125,1.3281,1.2969,1.2969
BBBY,1992-09-01,1.3281,1.3281,1.2969,1.3281
BBBY,1992-09-02,1.3281,1.4922,1.2969,1.4219
BBBY,1992-09-03,1.4062,1.4531,1.4062,1.4219
BBBY,1992-09-04,1.4531,1.4531,1.4062,1.4375
BBBY,1992-09-08,1.4375,1.4531,1.4062,1.4062
BBBY,1992-09-09,1.4062,1.4375,1.3906,1.4219
BBBY,1992-09-10,1.4219,1.4688,1.4219,1.4531
BBBY,1992-09-11,1.4688,1.5312,1.4531,1.5
BBBY,1992-09-14,1.5,1.5156,1.4688,1.5156
BBBY,1992-09-15,1.5156,1.5156,1.4688,1.4688
BBBY,1992-09-16,1.5,1.5312,1.4688,1.5
BBBY,1992-09-17,1.5312,1.5781,1.5,1.5469
BBBY,1992-09-18,1.5312,1.5625,1.5312,1.5312
BBBY,1992-09-21,1.5625,1.5625,1.5156,1.5156
BBBY,1992-09-22,1.5156,1.5625,1.3281,1.375
BBBY,1992-09-23,1.375,1.4688,1.3438,1.4688
BBBY,1992-09-24,1.4688,1.5469,1.4375,1.5156
BBBY,1992-09-25,1.4375,1.4688,1.3906,1.4375
BBBY,1992-09-28,1.3906,1.4688,1.3906,1.4688
BBBY,1992-09-29,1.4531,1.4609,1.4531,1.4609
BBBY,1992-09-30,1.4688,1.4688,1.4375,1.4688
BBBY,1992-10-01,1.4375,1.5156,1.4375,1.4844
BBBY,1992-10-02,1.5156,1.5156,1.4375,1.4375
BBBY,1992-10-05,1.4375,1.4531,1.3281,1.3906
BBBY,1992-10-06,1.3906,1.3906,1.3594,1.375
BBBY,1992-10-07,1.3594,1.3906,1.3594,1.3828
BBBY,1992-10-08,1.3906,1.4688,1.3906,1.4531
