ticker,date,open,high,low,close
BHE,1990-06-27,0.0,1.94,1.83,1.94
BHE,1990-06-28,1.89,1.92,1.89,1.92
BHE,1990-06-29,1.92,1.92,1.81,1.83
BHE,1990-07-02,1.83,1.86,1.78,1.83
BHE,1990-07-03,1.83,1.83,1.78,1.83
BHE,1990-07-05,1.81,1.81,1.78,1.81
BHE,1990-07-06,1.81,1.83,1.81,1.83
BHE,1990-07-09,1.83,1.83,1.78,1.78
BHE,1990-07-10,1.78,1.81,1.78,1.81
BHE,1990-07-11,1.81,1.83,1.81,1.81
BHE,1990-07-12,1.83,1.89,1.83,1.86
BHE,1990-07-13,1.86,1.86,1.83,1.83
BHE,1990-07-16,1.83,1.89,1.83,1.89
BHE,1990-07-17,1.89,1.89,1.83,1.86
BHE,1990-07-18,1.86,1.86,1.83,1.83
BHE,1990-07-19,1.83,1.83,1.81,1.83
BHE,1990-07-20,1.83,1.86,1.83,1.86
BHE,1990-07-23,1.83,1.83,1.78,1.81
BHE,1990-07-24,1.81,1.83,1.75,1.81
BHE,1990-07-25,1.78,1.78,1.78,1.78
BHE,1990-07-26,1.78,1.81,1.75,1.81
BHE,1990-07-27,1.81,1.81,1.67,1.69
BHE,1990-07-30,1.69,1.72,1.69,1.69
BHE,1990-07-31,1.69,1.72,1.64,1.69
BHE,1990-08-01,1.69,1.72,1.67,1.67
BHE,1990-08-02,1.67,1.69,1.56,1.61
BHE,1990-08-03,1.58,1.58,1.53,1.58
BHE,1990-08-06,1.58,1.61,1.47,1.61
BHE,1990-08-07,1.61,1.64,1.56,1.64
BHE,1990-08-08,1.64,1.64,1.56,1.64
BHE,1990-08-09,1.64,1.64,1.64,1.64
BHE,1990-08-10,1.61,1.61,1.56,1.61
BHE,1990-08-13,1.61,1.61,1.61,1.61
BHE,1990-08-14,1.61,1.61,1.61,1.61
BHE,1990-08-15,1.61,1.61,1.61,1.61
BHE,1990-08-16,1.58,1.58,1.53,1.53
BHE,1990-08-17,1.47,1.47,1.44,1.44
BHE,1990-08-20,1.39,1.39,1.33,1.39
BHE,1990-08-21,1.33,1.33,1.25,1.25
BHE,1990-08-22,1.22,1.22,1.17,1.22
BHE,1990-08-23,1.22,1.22,1.22,1.22
BHE,1990-08-24,1.19,1.19,1.17,1.17
BHE,1990-08-27,1.22,1.33,1.22,1.33
BHE,1990-08-28,1.33,1.39,1.33,1.39
BHE,1990-08-29,1.44,1.53,1.44,1.44
BHE,1990-08-30,1.42,1.42,1.42,1.42
BHE,1990-08-31,1.42,1.42,1.42,1.42
BHE,1990-09-04,1.42,1.42,1.39,1.42
BHE,1990-09-05,1.42,1.42,1.42,1.42
BHE,1990-09-06,1.42,1.42,1.42,1.42
BHE,1990-09-07,1.42,1.42,1.42,1.42
BHE,1990-09-10,1.42,1.42,1.42,1.42
BHE,1990-09-11,1.39,1.39,1.36,1.36
BHE,1990-09-12,1.36,1.36,1.36,1.36
BHE,1990-09-13,1.33,1.33,1.33,1.33
BHE,1990-09-14,1.33,1.33,1.33,1.33
BHE,1990-09-17,1.33,1.33,1.33,1.33
BHE,1990-09-18,1.28,1.28,1.22,1.25
BHE,1990-09-19,1.25,1.25,1.22,1.25
BHE,1990-09-20,1.22,1.22,1.17,1.22
BHE,1990-09-21,1.17,1.17,1.17,1.17
BHE,1990-09-24,1.17,1.17,1.11,1.11
BHE,1990-09-25,1.11,1.11,1.11,1.11
BHE,1990-09-26,1.11,1.17,1.11,1.11
BHE,1990-09-27,1.11,1.11,1.11,1.11
BHE,1990-09-28,1.11,1.11,1.11,1.11
BHE,1990-10-01,1.11,1.11,1.08,1.11
BHE,1990-10-02,1.14,1.14,1.14,1.14
BHE,1990-10-03,1.11,1.11,1.08,1.08
BHE,1990-10-04,1.06,1.06,1.03,1.06
BHE,1990-10-05,1.06,1.08,1.03,1.08
BHE,1990-10-08,1.06,1.06,1.0,1.0
BHE,1990-10-09,1.0,1.0,0.97,0.97
BHE,1990-10-10,1.0,1.0,1.0,1.0
BHE,1990-10-11,0.97,0.97,0.97,0.97
BHE,1990-10-12,0.97,0.97,0.97,0.97
BHE,1990-10-15,0.97,0.97,0.97,0.97
BHE,1990-10-16,0.97,1.0,0.94,0.94
BHE,1990-10-17,0.94,0.94,0.94,0.94
BHE,1990-10-18,0.94,0.94,0.94,0.94
BHE,1990-10-19,0.89,0.89,0.89,0.89
BHE,1990-10-22,0.92,0.94,0.92,0.94
BHE,1990-10-23,0.94,0.94,0.92,0.92
BHE,1990-10-24,0.92,0.92,0.81,0.83
BHE,1990-10-25,0.86,0.94,0.86,0.89
BHE,1990-10-26,0.89,0.92,0.89,0.89
BHE,1990-10-29,0.92,0.92,0.92,0.92
BHE,1990-10-30,0.92,0.92,0.92,0.92
