ticker,date,open,high,low,close
BNT,2024-09-09,47.36,47.64,47.16,47.25
BNT,2024-09-10,46.95,47.29,46.27,47.29
BNT,2024-09-11,47.065,47.61,47.04,47.61
BNT,2024-09-12,47.8,48.835,47.8,48.81
BNT,2024-09-13,49.8297,49.8297,49.18,49.29
BNT,2024-09-16,49.92,50.41,49.67,50.41
BNT,2024-09-17,50.38,50.76,50.03,50.2
BNT,2024-09-18,50.215,50.91,50.05,50.05
BNT,2024-09-19,51.12,52.22,50.78,52.16
BNT,2024-09-20,51.81,52.42,51.69,52.33
BNT,2024-09-23,52.53,52.64,52.26,52.64
BNT,2024-09-24,52.72,53.125,52.67,52.92
BNT,2024-09-25,52.1,52.34,52.1,52.17
BNT,2024-09-26,53.32,54.16,53.32,53.48
BNT,2024-09-27,53.45,53.86,53.33,53.33
BNT,2024-09-30,53.0,53.37,52.88,53.16
BNT,2024-10-01,52.93,53.2768,52.79,53.2768
BNT,2024-10-02,53.06,53.31,52.64,52.64
BNT,2024-10-03,52.53,52.74,52.07,52.57
BNT,2024-10-04,53.21,53.26,52.9,53.1
BNT,2024-10-07,53.0,53.1,52.35,52.35
BNT,2024-10-08,52.62,52.7,52.12,52.54
BNT,2024-10-09,52.29,52.98,52.29,52.86
BNT,2024-10-10,52.64,53.05,52.64,53.05
BNT,2024-10-11,53.14,54.365,53.14,53.62
BNT,2024-10-14,53.5,53.95,53.5,53.95
BNT,2024-10-15,53.85,53.85,53.44,53.44
BNT,2024-10-16,53.68,55.04,53.68,54.8
BNT,2024-10-17,55.255,55.36,55.21,55.24
BNT,2024-10-18,55.44,56.63,55.44,56.43
BNT,2024-10-21,56.6995,56.6995,55.396,55.41
BNT,2024-10-22,56.15,56.15,54.37,54.37
BNT,2024-10-23,54.51,54.54,53.68,53.68
BNT,2024-10-24,54.188,54.91,54.14,54.14
BNT,2024-10-25,54.66,54.66,53.3681,53.4
BNT,2024-10-28,54.09,54.73,54.09,54.59
BNT,2024-10-29,54.14,54.29,53.39,53.45
BNT,2024-10-30,53.77,54.43,53.77,54.12
BNT,2024-10-31,54.06,54.06,52.57,53.07
BNT,2024-11-01,53.47,54.0319,53.153,53.28
BNT,2024-11-04,53.23,54.45,53.23,54.06
BNT,2024-11-05,54.41,55.76,54.41,55.76
BNT,2024-11-06,56.97,57.06,56.96,57.06
BNT,2024-11-07,57.48,57.78,57.19,57.7
BNT,2024-11-08,57.33,57.33,57.12,57.33
BNT,2024-11-11,57.99,59.2,57.93,58.95
BNT,2024-11-12,58.32,58.87,57.56,57.84
BNT,2024-11-13,58.0,58.08,57.675,57.91
BNT,2024-11-14,58.91,59.87,57.74,57.79
BNT,2024-11-15,58.1,58.18,56.63,56.87
BNT,2024-11-18,56.42,56.74,56.07,56.13
BNT,2024-11-19,55.68,56.82,55.68,56.82
BNT,2024-11-20,56.71,56.71,56.0518,56.44
BNT,2024-11-21,56.9,57.72,56.76,57.54
BNT,2024-11-22,57.76,58.82,57.76,58.32
BNT,2024-11-25,58.88,59.865,58.8,59.75
BNT,2024-11-26,59.11,60.29,59.11,60.29
BNT,2024-11-27,61.34,61.61,60.49,61.59
BNT,2024-11-29,60.93,61.74,60.93,61.39
BNT,2024-12-02,61.6,61.97,60.95,61.68
BNT,2024-12-03,62.16,62.26,60.81,60.94
BNT,2024-12-04,61.27,61.27,60.43,60.64
BNT,2024-12-05,60.77,60.95,59.82,59.82
BNT,2024-12-06,60.11,60.11,59.58,59.71
BNT,2024-12-09,60.12,60.62,59.03,59.04
BNT,2025-01-27,60.08,60.54,59.42,59.93
BNT,2025-01-28,60.27,60.43,59.68,60.43
BNT,2025-01-29,60.95,61.2,60.4,60.47
BNT,2025-01-30,61.9,62.07,61.7,61.89
BNT,2025-01-31,62.35,62.72,61.09,61.24
BNT,2025-02-03,59.18,60.0,58.25,59.31
BNT,2025-02-04,59.88,59.88,58.44,58.44
BNT,2025-02-05,58.67,59.47,58.67,59.22
BNT,2025-02-06,59.85,60.32,59.54,59.84
BNT,2025-02-07,59.865,60.33,59.35,59.55
BNT,2025-02-10,59.65,59.7021,59.45,59.45
BNT,2025-02-11,58.69,58.98,58.24,58.6
BNT,2025-02-12,58.2,58.6,57.73,58.37
BNT,2025-02-13,59.45,60.91,59.16,60.31
BNT,2025-02-14,61.03,61.19,60.76,60.78
BNT,2025-02-18,60.79,61.31,60.77,61.23
BNT,2025-02-19,60.48,61.23,60.39,60.5
BNT,2025-02-20,60.84,60.84,59.38,59.86
BNT,2025-02-21,60.0,60.1443,58.4811,58.82
BNT,2025-02-24,57.94,57.94,57.76,57.94
BNT,2025-02-25,57.19,57.96,57.19,57.693
BNT,2025-02-26,58.29,58.29,57.61,57.61
BNT,2025-02-27,57.2,57.56,56.67,57.06
BNT,2025-02-28,56.52,57.85,56.52,57.85
BNT,2025-03-03,58.19,58.363,56.16,56.39
BNT,2025-03-04,53.58,53.58,53.13,53.58
BNT,2025-03-05,54.31,55.29,53.92,55.27
BNT,2025-03-06,53.7,54.1394,52.1079,52.49
BNT,2025-03-07,51.98,52.355,50.29,52.16
BNT,2025-03-10,50.55,51.3255,49.78,50.13
BNT,2025-03-11,50.64,50.64,49.2,49.88
BNT,2025-03-12,50.67,50.79,49.74,50.38
BNT,2025-03-13,48.69,48.69,48.59,48.69
BNT,2025-03-14,49.61,50.42,48.92,50.42
BNT,2025-03-17,50.9296,51.8975,50.9296,51.8
BNT,2025-03-18,51.72,52.19,51.46,52.07
BNT,2025-03-19,52.05,54.42,52.03,54.15
BNT,2025-03-20,53.65,54.22,53.31,53.65
BNT,2025-03-21,53.0399,53.7,52.91,53.56
BNT,2025-03-24,55.0,55.4819,54.8,55.38
BNT,2025-03-25,55.46,55.61,54.78,55.26
BNT,2025-03-26,55.4,55.4,54.2,54.2
BNT,2025-03-27,53.69,54.205,53.43,53.9
BNT,2025-03-28,51.76,51.76,51.76,51.76
BNT,2025-03-31,50.86,52.32,50.5909,52.18
BNT,2025-04-01,52.0,54.01,52.0,53.75
BNT,2025-04-02,53.16,54.35,53.16,54.22
BNT,2025-04-03,52.0,52.18,50.32,50.41
BNT,2025-04-04,48.11,48.25,45.56,46.12
BNT,2025-04-07,44.41,48.59,44.0,45.54
BNT,2025-04-08,48.07,48.18,44.14,44.7
BNT,2025-04-09,44.72,51.07,43.69,50.41
BNT,2025-04-10,46.965,46.965,45.72,46.965
BNT,2025-04-11,47.11,48.8,47.11,48.65
BNT,2025-04-14,49.12,49.67,48.57,49.24
BNT,2025-04-15,49.99,49.99,48.79,49.23
BNT,2025-04-16,48.62,49.48,48.26,48.84
BNT,2025-04-17,49.49,49.81,49.49,49.59
BNT,2025-04-21,48.465,48.465,47.48,48.02
BNT,2025-04-22,49.37,50.05,49.33,50.01
BNT,2025-04-23,51.8,52.05,50.93,51.04
BNT,2025-04-24,51.685,53.035,51.685,52.98
