ticker,date,open,high,low,close
BSAC,1994-10-31,7.64,7.79,7.64,7.69
BSAC,1994-11-01,7.69,7.69,7.6,7.69
BSAC,1994-11-02,7.64,7.64,7.64,7.64
BSAC,1994-11-03,7.64,7.69,7.55,7.6
BSAC,1994-11-04,7.5,7.5,7.5,7.5
BSAC,1994-11-07,7.45,7.45,7.26,7.26
BSAC,1994-11-08,7.26,7.26,7.26,7.26
BSAC,1994-11-09,7.36,7.36,7.36,7.36
BSAC,1994-11-10,7.26,7.26,7.26,7.26
BSAC,1994-11-11,7.26,7.26,7.21,7.21
BSAC,1994-11-14,7.12,7.12,6.97,6.97
BSAC,1994-11-15,6.97,7.07,6.97,7.07
BSAC,1994-11-16,7.12,7.21,7.12,7.21
BSAC,1994-11-17,7.21,7.21,7.16,7.16
BSAC,1994-11-18,7.16,7.16,6.97,6.97
BSAC,1994-11-21,6.97,6.97,6.83,6.83
BSAC,1994-11-22,6.78,6.78,6.63,6.63
BSAC,1994-11-23,6.49,6.49,6.44,6.44
BSAC,1994-11-25,6.49,6.59,6.49,6.59
BSAC,1994-11-28,6.68,6.78,6.68,6.78
BSAC,1994-11-29,6.88,7.12,6.88,6.88
BSAC,1994-11-30,7.02,7.26,7.02,7.21
BSAC,1994-12-01,7.21,7.26,7.16,7.16
BSAC,1994-12-02,7.16,7.21,7.12,7.12
BSAC,1994-12-05,7.21,7.21,7.21,7.21
BSAC,1994-12-06,7.21,7.26,7.21,7.26
BSAC,1994-12-07,7.26,7.5,7.26,7.4
BSAC,1994-12-08,7.45,7.5,7.45,7.5
BSAC,1994-12-09,7.45,7.45,7.36,7.36
BSAC,1994-12-12,7.4,7.4,7.4,7.4
BSAC,1994-12-13,7.4,7.5,7.4,7.45
BSAC,1994-12-14,7.45,7.45,7.36,7.36
BSAC,1994-12-15,7.4,7.4,7.4,7.4
BSAC,1994-12-16,7.36,7.36,7.21,7.21
BSAC,1994-12-19,7.26,7.26,7.26,7.26
BSAC,1994-12-20,7.26,7.26,7.26,7.26
BSAC,1994-12-21,7.26,7.26,7.26,7.26
BSAC,1994-12-22,7.21,7.21,6.63,6.63
BSAC,1994-12-23,6.73,6.83,6.73,6.83
BSAC,1994-12-27,6.83,6.83,6.78,6.83
BSAC,1994-12-28,6.83,6.88,6.73,6.73
BSAC,1994-12-29,6.68,6.68,6.68,6.68
BSAC,1994-12-30,6.59,6.59,6.59,6.59
BSAC,1995-01-03,6.59,6.63,6.59,6.59
BSAC,1995-01-04,6.49,6.49,6.49,6.49
BSAC,1995-01-05,6.49,6.49,6.44,6.49
BSAC,1995-01-06,6.49,6.49,6.49,6.49
BSAC,1995-01-09,6.49,6.59,6.49,6.59
BSAC,1995-01-10,6.49,6.49,6.06,6.06
BSAC,1995-01-11,6.01,6.01,5.29,5.67
BSAC,1995-01-12,5.72,6.3,5.72,6.3
BSAC,1995-01-13,6.39,6.63,6.39,6.63
BSAC,1995-01-16,6.63,6.68,6.59,6.63
BSAC,1995-01-17,6.63,6.73,6.63,6.68
BSAC,1995-01-18,6.68,6.68,6.59,6.63
BSAC,1995-01-19,6.63,6.73,6.63,6.73
BSAC,1995-01-20,6.68,6.68,6.63,6.63
BSAC,1995-01-23,6.63,6.68,6.44,6.68
BSAC,1995-01-24,6.78,6.83,6.78,6.78
BSAC,1995-01-25,6.78,6.97,6.78,6.83
BSAC,1995-01-26,6.83,6.88,6.83,6.83
BSAC,1995-01-27,6.88,6.88,6.88,6.88
BSAC,1995-01-30,6.83,6.83,6.59,6.59
BSAC,1995-01-31,6.68,6.68,6.68,6.68
BSAC,1995-02-01,6.78,6.97,6.78,6.97
BSAC,1995-02-02,6.97,7.07,6.88,7.07
BSAC,1995-02-03,7.07,7.07,7.07,7.07
BSAC,1995-02-06,7.02,7.02,6.92,6.97
BSAC,1995-02-07,6.92,6.92,6.83,6.83
BSAC,1995-02-08,6.92,6.92,6.92,6.92
BSAC,1995-02-09,6.92,6.92,6.92,6.92
BSAC,1995-02-10,6.88,6.88,6.83,6.88
BSAC,1995-02-13,6.88,6.88,6.83,6.88
BSAC,1995-02-14,6.78,6.78,6.78,6.78
BSAC,1995-02-15,6.83,6.83,6.83,6.83
BSAC,1995-02-16,6.68,6.68,6.49,6.59
BSAC,1995-02-17,6.49,6.49,6.39,6.39
BSAC,1995-02-21,6.3,6.3,6.3,6.3
BSAC,1995-02-22,6.25,6.25,5.96,5.96
BSAC,1995-02-23,6.11,6.49,6.11,6.44
BSAC,1995-02-24,6.63,6.73,6.63,6.68
BSAC,1995-02-27,6.59,6.59,6.59,6.59
BSAC,1995-02-28,6.59,6.59,6.59,6.59
BSAC,1995-03-01,6.59,6.68,6.49,6.49
BSAC,1995-03-02,6.49,6.49,6.49,6.49
BSAC,1995-03-03,6.15,6.15,5.87,5.96
BSAC,1995-03-06,5.96,6.01,5.87,5.87
BSAC,1995-03-07,5.72,5.72,5.58,5.58
BSAC,1995-03-08,5.58,5.62,5.38,5.38
BSAC,1995-03-09,5.38,5.43,4.95,4.95
BSAC,1995-03-10,5.1,5.38,5.1,5.38
BSAC,1995-03-13,5.48,5.53,5.48,5.53
BSAC,1995-03-14,5.58,6.2,5.58,6.15
BSAC,1995-03-15,6.15,6.3,6.06,6.06
BSAC,1995-03-16,5.96,5.96,5.62,5.91
BSAC,1995-03-17,5.96,6.2,5.96,6.15
BSAC,1995-03-20,6.15,6.44,6.06,6.44
BSAC,1995-03-21,6.44,6.73,6.35,6.73
BSAC,1995-03-22,6.73,6.88,6.73,6.88
BSAC,1995-03-23,6.92,7.12,6.92,7.02
BSAC,1995-03-24,7.16,7.26,7.16,7.16
BSAC,1995-03-27,7.07,7.07,7.02,7.07
BSAC,1995-03-28,7.07,7.07,6.63,6.97
BSAC,1995-03-29,6.97,6.97,6.78,6.88
BSAC,1995-03-30,6.88,6.97,6.88,6.92
BSAC,1995-03-31,6.83,6.83,6.78,6.83
BSAC,1995-04-03,6.83,6.83,6.83,6.83
BSAC,1995-04-04,6.83,6.83,6.73,6.73
BSAC,1995-04-05,6.83,7.07,6.83,7.07
BSAC,1995-04-06,7.07,7.5,6.92,7.16
BSAC,1995-04-07,7.16,7.21,7.07,7.21
BSAC,1995-04-10,7.21,7.26,7.16,7.26
BSAC,1995-04-11,7.26,7.26,7.21,7.26
BSAC,1995-04-12,7.26,7.26,7.21,7.26
BSAC,1995-04-13,7.26,7.26,7.12,7.26
BSAC,1995-04-17,7.21,7.21,7.16,7.16
BSAC,1995-04-18,7.16,7.16,7.07,7.16
BSAC,1995-04-19,7.16,7.16,7.07,7.07
BSAC,1995-04-20,7.02,7.02,6.97,6.97
BSAC,1995-04-21,6.97,7.07,6.92,7.07
BSAC,1995-04-24,7.12,7.12,7.12,7.12
BSAC,1995-04-25,7.12,7.12,7.07,7.07
BSAC,1995-04-26,7.12,7.21,7.12,7.12
BSAC,1995-04-27,7.12,7.21,6.97,6.97
BSAC,1995-04-28,7.02,7.02,7.02,7.02
BSAC,1995-05-01,7.07,7.07,7.07,7.07
BSAC,1995-05-02,7.07,7.16,7.02,7.16
BSAC,1995-05-03,7.16,7.16,7.16,7.16
BSAC,1995-05-04,7.26,7.4,7.26,7.36
BSAC,1995-05-05,7.45,7.6,7.45,7.6
BSAC,1995-05-08,7.64,7.88,7.64,7.79
BSAC,1995-05-09,7.88,8.03,7.88,7.98
BSAC,1995-05-10,7.98,7.98,7.74,7.98
BSAC,1995-05-11,7.98,8.27,7.98,8.27
BSAC,1995-05-12,8.27,8.51,8.27,8.46
BSAC,1995-05-15,8.46,8.51,8.41,8.41
BSAC,1995-05-16,8.41,8.51,8.27,8.27
BSAC,1995-05-17,8.22,8.22,7.93,8.03
BSAC,1995-05-18,8.12,8.32,8.12,8.27
BSAC,1995-05-19,8.27,8.46,8.27,8.41
BSAC,1995-05-22,8.41,8.56,8.37,8.46
BSAC,1995-05-23,8.51,8.61,8.51,8.61
BSAC,1995-05-24,8.61,8.75,8.37,8.65
BSAC,1995-05-25,8.61,8.61,8.32,8.46
BSAC,1995-05-26,8.41,8.41,8.17,8.27
BSAC,1995-05-30,8.27,8.37,8.27,8.37
BSAC,1995-05-31,8.32,8.32,8.12,8.12
BSAC,1995-06-01,8.12,8.17,7.93,8.17
BSAC,1995-06-02,8.17,8.17,8.17,8.17
BSAC,1995-06-05,8.27,8.32,8.27,8.32
BSAC,1995-06-06,8.32,8.75,8.32,8.7
BSAC,1995-06-07,8.65,8.65,8.37,8.56
BSAC,1995-06-08,8.56,8.56,8.46,8.56
BSAC,1995-06-09,8.46,8.46,8.41,8.46
BSAC,1995-06-12,8.41,8.41,8.37,8.41
BSAC,1995-06-13,8.37,8.37,8.32,8.32
BSAC,1995-06-14,8.27,8.27,8.17,8.17
BSAC,1995-06-15,8.17,8.22,8.12,8.17
BSAC,1995-06-16,8.12,8.12,8.03,8.12
BSAC,1995-06-19,8.03,8.03,7.98,7.98
BSAC,1995-06-20,7.98,8.03,7.98,8.03
BSAC,1995-06-21,8.03,8.03,7.98,8.03
BSAC,1995-06-22,8.17,8.22,8.17,8.22
BSAC,1995-06-23,8.22,8.27,8.22,8.27
BSAC,1995-06-26,8.27,8.27,8.27,8.27
BSAC,1995-06-27,8.37,8.61,8.37,8.61
BSAC,1995-06-28,8.61,8.7,8.56,8.7
BSAC,1995-06-29,8.7,8.75,8.65,8.75
BSAC,1995-06-30,8.85,8.85,8.85,8.85
BSAC,1995-07-03,8.85,8.85,8.75,8.75
BSAC,1995-07-05,8.65,8.65,8.65,8.65
BSAC,1995-07-06,8.65,8.75,8.37,8.75
BSAC,1995-07-07,8.65,8.65,8.46,8.51
BSAC,1995-07-10,8.51,8.7,8.37,8.61
BSAC,1995-07-11,8.61,8.75,8.61,8.7
BSAC,1995-07-12,8.65,8.65,8.56,8.56
BSAC,1995-07-13,8.61,8.65,8.61,8.65
BSAC,1995-07-14,8.65,8.75,8.65,8.65
BSAC,1995-07-17,8.65,8.65,8.65,8.65
BSAC,1995-07-18,8.61,8.61,8.56,8.61
BSAC,1995-07-19,8.61,8.65,8.56,8.61
BSAC,1995-07-20,8.61,8.7,8.61,8.7
BSAC,1995-07-21,8.65,8.65,8.46,8.51
BSAC,1995-07-24,8.51,8.51,8.51,8.51
BSAC,1995-07-25,8.41,8.41,8.37,8.37
BSAC,1995-07-26,8.32,8.32,8.32,8.32
BSAC,1995-07-27,8.32,8.32,8.03,8.03
BSAC,1995-07-28,8.03,8.22,8.03,8.12
BSAC,1995-07-31,8.12,8.22,8.03,8.17
BSAC,1995-08-01,8.12,8.12,7.88,7.88
BSAC,1995-08-02,7.98,8.17,7.98,8.17
BSAC,1995-08-03,8.17,8.17,7.88,8.17
BSAC,1995-08-04,8.22,8.27,8.22,8.22
BSAC,1995-08-07,8.27,8.32,8.27,8.32
BSAC,1995-08-08,8.27,8.27,8.03,8.12
BSAC,1995-08-09,8.12,8.12,8.12,8.12
BSAC,1995-08-10,8.03,8.03,7.84,7.88
BSAC,1995-08-11,7.88,7.93,7.88,7.93
BSAC,1995-08-14,7.93,7.93,7.84,7.93
BSAC,1995-08-15,7.93,7.93,7.93,7.93
BSAC,1995-08-16,7.88,7.88,7.74,7.74
BSAC,1995-08-17,7.84,7.88,7.84,7.88
BSAC,1995-08-18,7.93,8.03,7.93,8.03
BSAC,1995-08-21,8.03,8.17,7.93,8.12
BSAC,1995-08-22,8.17,8.32,8.17,8.32
BSAC,1995-08-23,8.32,8.41,8.27,8.32
BSAC,1995-08-24,8.32,8.37,8.27,8.37
BSAC,1995-08-25,8.37,8.37,8.37,8.37
BSAC,1995-08-28,8.41,8.41,8.41,8.41
BSAC,1995-08-29,8.46,8.56,8.46,8.56
BSAC,1995-08-30,8.56,8.61,8.46,8.61
BSAC,1995-08-31,8.61,9.09,8.61,9.09
BSAC,1995-09-01,9.09,9.09,9.04,9.09
BSAC,1995-09-05,8.99,8.99,8.89,8.99
BSAC,1995-09-06,8.99,9.13,8.89,8.89
BSAC,1995-09-07,8.89,8.89,8.85,8.89
BSAC,1995-09-08,8.85,8.85,8.65,8.7
BSAC,1995-09-11,8.61,8.61,8.51,8.51
BSAC,1995-09-12,8.51,8.56,8.46,8.51
BSAC,1995-09-13,8.51,8.56,8.41,8.51
BSAC,1995-09-14,8.56,8.56,8.56,8.56
BSAC,1995-09-15,8.56,8.61,8.51,8.51
BSAC,1995-09-18,8.46,8.46,8.46,8.46
BSAC,1995-09-19,8.46,8.51,8.46,8.51
BSAC,1995-09-20,8.51,8.51,8.51,8.51
BSAC,1995-09-21,8.51,8.65,8.46,8.65
BSAC,1995-09-22,8.65,8.65,8.56,8.65
BSAC,1995-09-25,8.65,8.65,8.65,8.65
BSAC,1995-09-26,8.65,8.65,8.37,8.37
BSAC,1995-09-27,8.32,8.32,8.27,8.32
BSAC,1995-09-28,8.41,8.51,8.41,8.46
BSAC,1995-09-29,8.51,8.7,8.51,8.7
BSAC,1995-10-02,8.65,8.65,8.46,8.46
BSAC,1995-10-03,8.46,8.56,8.37,8.46
BSAC,1995-10-04,8.46,8.51,8.46,8.46
BSAC,1995-10-05,8.46,8.56,8.46,8.56
BSAC,1995-10-06,8.56,8.56,8.56,8.56
BSAC,1995-10-09,8.56,8.56,8.56,8.56
BSAC,1995-10-10,8.56,8.61,8.51,8.61
BSAC,1995-10-11,8.65,8.7,8.65,8.7
BSAC,1995-10-12,8.65,8.65,8.56,8.56
BSAC,1995-10-13,8.56,8.61,8.56,8.61
BSAC,1995-10-16,8.61,8.7,8.61,8.7
BSAC,1995-10-17,8.7,8.7,8.65,8.65
BSAC,1995-10-18,8.56,8.56,8.51,8.51
BSAC,1995-10-19,8.41,8.41,8.37,8.37
BSAC,1995-10-20,8.37,8.37,8.37,8.37
BSAC,1995-10-23,8.37,8.56,8.32,8.56
BSAC,1995-10-24,8.56,8.56,8.51,8.51
BSAC,1995-10-25,8.51,8.51,8.51,8.51
BSAC,1995-10-26,8.51,8.56,8.41,8.56
BSAC,1995-10-27,8.56,8.56,8.56,8.56
BSAC,1995-10-30,8.51,8.51,8.41,8.41
BSAC,1995-10-31,8.32,8.32,8.22,8.22
BSAC,1995-11-01,8.12,8.12,8.03,8.03
BSAC,1995-11-02,8.03,8.03,7.79,7.79
BSAC,1995-11-03,7.79,7.88,7.6,7.64
BSAC,1995-11-06,7.64,7.64,7.64,7.64
BSAC,1995-11-07,7.6,7.6,7.45,7.45
BSAC,1995-11-08,7.45,7.55,7.4,7.45
BSAC,1995-11-09,7.36,7.36,7.26,7.26
BSAC,1995-11-10,7.21,7.21,7.02,7.21
BSAC,1995-11-13,7.21,7.21,7.21,7.21
BSAC,1995-11-14,7.21,7.26,7.16,7.16
BSAC,1995-11-15,7.16,7.26,7.16,7.21
BSAC,1995-11-16,7.16,7.16,7.16,7.16
BSAC,1995-11-17,7.12,7.12,7.12,7.12
BSAC,1995-11-20,7.12,7.26,7.12,7.21
BSAC,1995-11-21,7.21,7.21,7.12,7.12
BSAC,1995-11-22,7.12,7.21,7.12,7.12
BSAC,1995-11-24,7.16,7.55,7.16,7.45
BSAC,1995-11-27,7.45,7.55,7.26,7.26
BSAC,1995-11-28,7.21,7.21,7.12,7.16
BSAC,1995-11-29,7.26,7.26,7.26,7.26
BSAC,1995-11-30,7.12,7.12,7.12,7.12
BSAC,1995-12-01,7.12,7.16,7.12,7.12
BSAC,1995-12-04,7.12,7.4,7.12,7.4
BSAC,1995-12-05,7.4,7.4,7.26,7.36
BSAC,1995-12-06,7.4,7.4,7.4,7.4
BSAC,1995-12-07,7.4,7.45,7.4,7.45
BSAC,1995-12-08,7.5,7.5,7.5,7.5
BSAC,1995-12-11,7.5,7.5,7.4,7.5
BSAC,1995-12-12,7.5,7.79,7.5,7.74
BSAC,1995-12-13,7.74,7.88,7.74,7.84
BSAC,1995-12-14,7.84,7.88,7.84,7.88
BSAC,1995-12-15,7.98,8.03,7.98,8.03
BSAC,1995-12-18,7.98,7.98,7.98,7.98
BSAC,1995-12-19,7.98,7.98,7.93,7.98
BSAC,1995-12-20,7.98,8.03,7.93,8.03
BSAC,1995-12-21,8.03,8.03,8.03,8.03
BSAC,1995-12-22,8.17,8.46,8.17,8.37
