ticker,date,open,high,low,close
BTX,2025-02-20,7.86,8.1199,7.76,7.86
BTX,2025-02-21,7.8,7.81,7.61,7.66
BTX,2025-02-24,7.66,7.79,7.54,7.56
BTX,2025-02-25,7.58,7.62,7.29,7.39
BTX,2025-02-26,7.425,7.49,7.34,7.36
BTX,2025-02-27,7.34,7.35,7.085,7.14
BTX,2025-02-28,7.11,7.11,7.0,7.11
BTX,2025-03-03,7.14,7.25,6.95,6.97
BTX,2025-03-04,6.95,7.0,6.75,6.9
BTX,2025-03-05,6.9384,7.04,6.89,6.99
BTX,2025-03-06,6.99,6.99,6.67,6.67
BTX,2025-03-07,6.6675,6.75,6.57,6.725
BTX,2025-03-10,6.6,6.6,6.35,6.4
BTX,2025-03-11,6.39,6.56,6.37,6.43
BTX,2025-03-12,6.485,6.5575,6.46,6.46
BTX,2025-03-13,6.5,6.61,6.37,6.42
BTX,2025-03-14,6.47,6.56,6.4,6.52
BTX,2025-03-17,6.66,6.78,6.6,6.72
BTX,2025-03-18,6.73,6.73,6.59,6.61
BTX,2025-03-19,6.63,6.75,6.58,6.63
BTX,2025-03-20,6.6,6.6699,6.58,6.58
BTX,2025-03-21,6.52,6.55,6.52,6.55
BTX,2025-03-24,6.61,6.74,6.61,6.72
BTX,2025-03-25,6.7313,6.7313,6.56,6.56
BTX,2025-03-26,6.606,6.7,6.5,6.55
BTX,2025-03-27,6.57,6.57,6.43,6.44
BTX,2025-03-28,6.41,6.43,6.215,6.33
BTX,2025-03-31,6.3,6.34,6.06,6.26
BTX,2025-04-01,6.19,6.34,6.1593,6.29
BTX,2025-04-02,6.19,6.31,6.15,6.26
BTX,2025-04-03,6.05,6.06,5.86,5.86
BTX,2025-04-04,5.8,5.8,5.4844,5.595
BTX,2025-04-07,5.39,5.5,5.12,5.5
BTX,2025-04-08,5.73,5.91,5.48,5.54
BTX,2025-04-09,5.53,6.32,5.42,6.24
BTX,2025-04-10,6.1,6.1,5.775,5.9
BTX,2025-04-11,5.92,6.05,5.92,6.01
BTX,2025-04-14,6.125,6.1692,6.0,6.08
BTX,2025-04-15,5.92,6.02,5.92,5.98
BTX,2025-04-16,5.9,5.9699,5.77,5.85
BTX,2025-04-17,5.825,5.895,5.8,5.89
BTX,2025-04-21,5.74,5.77,5.6301,5.67
BTX,2025-04-22,5.75,5.89,5.75,5.85
BTX,2025-04-23,5.96,6.06,5.9,5.92
BTX,2025-04-24,6.0016,6.12,6.0016,6.11
BTX,2025-04-25,6.27,6.327,6.2,6.28
BTX,2025-04-28,6.34,6.36,6.2487,6.28
BTX,2025-04-29,6.33,6.35,6.2737,6.33
BTX,2025-04-30,6.25,6.27,6.15,6.27
BTX,2025-05-01,6.34,6.45,6.3,6.4
BTX,2025-05-02,6.425,6.5,6.41,6.43
BTX,2025-05-05,6.4045,6.48,6.39,6.44
BTX,2025-05-06,6.375,6.4,6.34,6.38
BTX,2025-05-07,6.385,6.45,6.3711,6.44
BTX,2025-05-08,6.49,6.6398,6.49,6.59
