ticker,date,open,high,low,close
BWLP,2024-04-29,14.6,14.8,14.25,14.4
BWLP,2024-04-30,14.79,15.0,14.5763,14.68
BWLP,2024-05-01,14.99,15.4,14.81,14.85
BWLP,2024-05-02,14.65,14.95,14.56,14.93
BWLP,2024-05-03,14.93,15.11,14.79,15.1
BWLP,2024-05-06,15.32,15.67,15.32,15.44
BWLP,2024-05-07,15.44,15.715,15.37,15.69
BWLP,2024-05-08,15.74,16.09,15.55,15.92
BWLP,2024-05-09,15.74,16.25,15.74,16.0
BWLP,2024-05-10,16.1,16.25,15.9,15.96
BWLP,2024-05-13,16.3,16.31,15.9,16.22
BWLP,2024-05-14,16.22,16.44,16.1,16.41
BWLP,2024-05-15,16.55,17.1,16.3,16.83
BWLP,2024-05-16,16.75,17.16,16.72,17.15
BWLP,2024-05-17,17.35,18.0,17.15,17.27
BWLP,2024-05-20,17.65,17.75,17.1682,17.23
BWLP,2024-05-21,16.86,17.21,16.68,16.88
BWLP,2024-05-22,16.92,17.22,16.85,17.05
BWLP,2024-05-23,16.91,17.21,16.91,17.08
BWLP,2024-05-24,17.62,18.25,17.52,18.17
BWLP,2024-05-28,18.25,18.27,17.98,18.03
BWLP,2024-05-29,18.15,18.28,17.91,18.26
BWLP,2024-05-30,20.35,21.989,19.9103,21.65
BWLP,2024-05-31,21.0,22.3086,20.705,21.93
BWLP,2024-06-03,21.37,21.8,21.2,21.64
BWLP,2024-06-04,21.16,21.45,20.9,21.03
BWLP,2024-06-05,20.99,21.58,20.57,21.54
BWLP,2024-06-06,20.09,20.84,19.61,20.17
BWLP,2024-06-07,19.92,20.7,19.72,20.68
BWLP,2024-06-10,18.88,19.205,18.7,18.74
BWLP,2024-06-11,17.97,17.97,17.94,17.97
BWLP,2024-06-12,18.55,18.63,18.02,18.32
BWLP,2024-06-13,17.8,17.86,17.23,17.26
BWLP,2024-06-14,16.97,17.37,16.76,16.76
BWLP,2024-06-17,17.45,17.5738,17.27,17.35
BWLP,2024-06-18,17.59,18.065,17.56,18.01
BWLP,2024-06-20,17.75,17.9899,17.62,17.77
BWLP,2024-06-21,18.06,18.06,17.85,17.88
BWLP,2024-06-24,18.0,18.1925,17.96,18.19
BWLP,2024-06-25,17.83,17.9899,17.66,17.91
BWLP,2024-06-26,18.25,18.66,18.185,18.66
BWLP,2024-06-27,18.66,18.69,18.23,18.41
BWLP,2024-06-28,18.78,19.229,18.58,19.08
BWLP,2024-07-01,18.82,18.82,18.53,18.6
BWLP,2024-07-02,18.63,18.8499,18.52,18.74
BWLP,2024-07-03,18.95,19.36,18.88,19.18
BWLP,2024-07-05,18.59,18.68,18.0,18.1
BWLP,2024-07-08,18.04,18.04,17.7201,17.85
BWLP,2024-07-09,18.05,18.865,17.9,18.2
BWLP,2024-07-10,17.89,18.445,17.81,18.17
BWLP,2024-07-11,17.61,17.8,17.17,17.235
BWLP,2024-07-12,16.46,16.5899,15.6,15.7
BWLP,2024-07-15,15.78,16.11,15.61,15.79
BWLP,2024-07-16,16.0,16.05,15.86,15.92
BWLP,2024-07-17,16.02,16.07,15.815,15.9
BWLP,2024-07-18,15.9,15.98,15.51,15.61
BWLP,2024-07-19,15.68,15.84,15.6,15.8
BWLP,2024-07-22,15.92,16.47,15.88,16.35
BWLP,2024-07-23,16.19,16.19,15.86,16.0
BWLP,2024-07-24,16.11,16.11,15.45,15.5
BWLP,2024-07-25,15.77,15.92,15.45,15.89
BWLP,2024-07-26,15.85,15.95,15.7,15.74
BWLP,2024-07-29,16.34,16.51,16.17,16.28
BWLP,2024-07-30,16.12,16.47,16.02,16.47
BWLP,2024-07-31,16.43,16.51,16.1899,16.48
BWLP,2024-08-01,16.56,16.56,16.02,16.14
BWLP,2024-08-02,15.17,15.17,14.951,15.17
BWLP,2024-08-05,14.42,14.7204,14.192,14.345
BWLP,2024-08-06,14.5,15.37,14.5,15.26
