ticker,date,open,high,low,close
BWXT,2010-08-02,16.45,17.25,16.09,16.56
BWXT,2010-08-03,16.51,16.95,15.74,16.0
BWXT,2010-08-04,16.11,17.15,15.38,16.82
BWXT,2010-08-05,16.8,18.0,16.38,17.65
BWXT,2010-08-06,17.58,17.58,16.85,17.25
BWXT,2010-08-09,16.84,17.2,16.49,17.0
BWXT,2010-08-10,16.48,16.92,15.92,16.78
BWXT,2010-08-11,16.39,17.14,16.04,16.42
BWXT,2010-08-12,16.12,16.34,15.52,16.02
BWXT,2010-08-13,16.02,16.04,15.63,15.76
BWXT,2010-08-16,15.75,15.89,15.65,15.84
BWXT,2010-08-17,15.92,16.42,15.74,16.17
BWXT,2010-08-18,16.06,16.62,15.89,16.48
BWXT,2010-08-19,16.23,17.03,16.19,16.82
BWXT,2010-08-20,16.87,16.99,16.49,16.78
BWXT,2010-08-23,16.77,16.83,16.63,16.8
BWXT,2010-08-24,16.42,17.63,16.32,16.56
BWXT,2010-08-25,16.38,16.51,16.27,16.46
BWXT,2010-08-26,16.47,16.61,16.07,16.18
BWXT,2010-08-27,16.12,16.91,15.81,16.75
BWXT,2010-08-30,16.57,16.79,16.4,16.63
BWXT,2010-08-31,16.57,16.84,15.89,16.02
BWXT,2010-09-01,16.26,16.38,16.17,16.32
BWXT,2010-09-02,16.27,16.45,16.06,16.24
BWXT,2010-09-03,16.07,16.44,15.98,16.08
BWXT,2010-09-07,15.95,16.04,15.81,15.95
BWXT,2010-09-08,15.94,16.02,15.49,15.77
BWXT,2010-09-09,15.75,15.95,15.75,15.91
BWXT,2010-09-10,15.87,15.87,15.6,15.74
BWXT,2010-09-13,15.84,15.9,15.62,15.75
BWXT,2010-09-14,15.75,15.79,15.69,15.69
BWXT,2010-09-15,15.63,15.88,15.63,15.79
BWXT,2010-09-16,15.74,15.91,15.21,15.74
BWXT,2010-09-17,15.77,15.91,15.62,15.81
BWXT,2010-09-20,15.74,16.39,15.74,16.08
BWXT,2010-09-21,16.08,16.16,15.67,15.67
BWXT,2010-09-22,15.61,15.74,15.26,15.49
BWXT,2010-09-23,15.31,16.1,15.24,15.9
BWXT,2010-09-24,16.04,16.04,15.7,15.74
BWXT,2010-09-27,15.74,15.79,15.59,15.67
BWXT,2010-09-28,15.56,15.56,15.27,15.39
BWXT,2010-09-29,15.38,15.6,15.25,15.41
BWXT,2010-09-30,15.43,15.65,15.18,15.22
BWXT,2010-10-01,15.24,15.55,15.22,15.52
BWXT,2010-10-04,15.52,15.59,15.25,15.39
BWXT,2010-10-05,15.45,15.46,15.06,15.2
BWXT,2010-10-06,15.16,15.79,14.84,15.64
BWXT,2010-10-07,15.62,16.3,15.52,16.02
BWXT,2010-10-08,15.84,16.7,15.59,16.44
BWXT,2010-10-11,16.37,16.41,16.06,16.19
BWXT,2010-10-12,16.16,16.17,15.87,16.09
BWXT,2010-10-13,16.01,16.46,15.91,16.42
BWXT,2010-10-14,16.32,16.32,15.56,15.81
BWXT,2010-10-15,15.92,15.97,15.46,15.63
BWXT,2010-10-18,15.69,15.92,15.56,15.86
BWXT,2010-10-19,15.6,16.07,15.39,15.84
BWXT,2010-10-20,15.97,16.63,15.87,16.53
BWXT,2010-10-21,16.69,16.74,16.39,16.55
BWXT,2010-10-22,16.68,16.68,16.4,16.49
BWXT,2010-10-25,16.49,16.73,16.29,16.64
BWXT,2010-10-26,16.48,16.73,16.44,16.65
BWXT,2010-10-27,16.56,16.73,16.29,16.43
BWXT,2010-10-28,16.52,16.58,16.14,16.44
BWXT,2010-10-29,16.35,16.6,16.27,16.32
BWXT,2010-11-01,16.34,16.63,16.22,16.52
BWXT,2010-11-02,16.52,16.75,16.37,16.66
BWXT,2010-11-03,16.61,16.71,16.36,16.7
