ticker,date,open,high,low,close
BXP,1997-06-18,26.12,26.88,26.12,26.75
BXP,1997-06-19,26.88,27.0,26.5,26.62
BXP,1997-06-20,26.75,26.75,26.25,26.38
BXP,1997-06-23,26.38,26.38,26.12,26.12
BXP,1997-06-24,26.19,26.25,26.06,26.06
BXP,1997-06-25,26.25,26.56,26.25,26.44
BXP,1997-06-26,26.75,27.0,26.56,27.0
BXP,1997-06-27,27.0,27.12,26.75,26.88
BXP,1997-06-30,26.81,27.5,26.25,27.25
BXP,1997-07-01,27.12,27.12,26.62,26.62
BXP,1997-07-02,26.38,26.62,26.38,26.38
BXP,1997-07-03,26.44,26.75,26.44,26.62
BXP,1997-07-07,26.88,26.94,26.5,26.75
BXP,1997-07-08,26.69,26.88,26.62,26.69
BXP,1997-07-09,26.62,26.69,26.5,26.56
BXP,1997-07-10,26.5,26.5,26.31,26.38
BXP,1997-07-11,26.38,26.5,26.31,26.44
BXP,1997-07-14,26.69,27.19,26.62,26.75
BXP,1997-07-15,26.94,26.94,26.56,26.69
BXP,1997-07-16,26.69,27.0,26.62,26.88
BXP,1997-07-17,26.94,27.19,26.94,27.06
BXP,1997-07-18,27.0,27.06,26.38,26.62
BXP,1997-07-21,26.38,26.88,26.25,26.81
BXP,1997-07-22,26.81,26.94,26.75,26.81
BXP,1997-07-23,26.94,26.94,26.81,26.81
BXP,1997-07-24,26.94,27.12,26.75,27.06
BXP,1997-07-25,27.19,27.38,27.12,27.31
BXP,1997-07-28,27.19,27.38,27.0,27.31
BXP,1997-07-29,27.25,27.56,27.19,27.44
BXP,1997-07-30,27.44,27.62,27.0,27.56
BXP,1997-07-31,27.56,28.0,27.5,27.88
BXP,1997-08-01,27.94,27.94,27.25,27.88
BXP,1997-08-04,27.94,28.0,27.19,27.88
BXP,1997-08-05,27.69,28.31,27.56,28.12
BXP,1997-08-06,28.0,29.38,27.94,29.38
BXP,1997-08-07,29.31,29.38,29.25,29.25
BXP,1997-08-08,29.0,29.0,28.0,29.0
BXP,1997-08-11,28.88,28.94,27.62,28.19
BXP,1997-08-12,28.25,28.38,27.94,27.94
BXP,1997-08-13,28.0,28.25,27.5,27.69
BXP,1997-08-14,27.56,27.75,27.5,27.5
BXP,1997-08-15,27.62,27.75,27.5,27.62
BXP,1997-08-18,27.56,27.81,27.5,27.81
BXP,1997-08-19,27.81,28.31,27.75,28.25
BXP,1997-08-20,28.38,28.94,28.19,28.69
BXP,1997-08-21,28.69,29.06,28.56,29.0
BXP,1997-08-22,28.69,29.5,28.44,29.25
BXP,1997-08-25,29.25,29.38,29.12,29.31
BXP,1997-08-26,29.38,29.38,29.25,29.25
BXP,1997-08-27,29.25,29.5,29.25,29.31
BXP,1997-08-28,29.38,29.75,29.25,29.56
BXP,1997-08-29,29.56,30.0,29.56,29.81
BXP,1997-09-02,29.75,30.19,29.69,29.88
BXP,1997-09-03,30.0,30.38,29.88,29.94
BXP,1997-09-04,30.0,30.06,29.5,29.62
BXP,1997-09-05,29.62,31.5,29.62,30.88
BXP,1997-09-08,31.25,31.38,31.0,31.19
BXP,1997-09-09,31.06,31.44,31.0,31.0
BXP,1997-09-10,31.12,31.31,30.5,30.56
BXP,1997-09-11,30.56,30.81,30.06,30.12
BXP,1997-09-12,30.44,30.62,30.38,30.56
BXP,1997-09-15,30.69,31.0,30.5,31.0
BXP,1997-09-16,31.12,32.06,31.12,31.81
BXP,1997-09-17,32.25,33.06,31.62,31.75
BXP,1997-09-18,31.62,32.06,31.62,32.0
BXP,1997-09-19,32.25,32.38,31.75,32.0
BXP,1997-09-22,31.94,32.25,31.81,31.94
BXP,1997-09-23,31.88,31.94,31.38,31.56
BXP,1997-09-24,31.69,31.88,31.62,31.88
BXP,1997-09-25,31.75,32.12,31.75,32.12
BXP,1997-09-26,31.94,32.44,31.75,32.44
BXP,1997-09-29,32.75,33.25,32.56,33.25
BXP,1997-09-30,33.12,33.12,32.75,32.81
BXP,1997-10-01,32.75,33.88,32.75,33.75
BXP,1997-10-02,33.81,34.25,33.81,34.0
BXP,1997-10-03,34.12,34.5,33.75,33.94
BXP,1997-10-06,33.94,34.06,33.25,33.5
BXP,1997-10-07,33.25,33.25,32.44,32.81
BXP,1997-10-08,32.94,33.5,32.94,33.19
BXP,1997-10-09,33.06,33.06,32.69,32.81
BXP,1997-10-10,32.69,32.81,31.5,32.5
BXP,1997-10-13,32.69,32.75,32.56,32.75
BXP,1997-10-14,32.69,33.38,32.69,33.25
BXP,1997-10-15,33.25,33.5,33.19,33.31
BXP,1997-10-16,33.25,33.38,32.25,32.38
BXP,1997-10-17,32.12,32.19,31.62,32.0
BXP,1997-10-20,31.88,32.0,31.75,31.94
BXP,1997-10-21,31.94,32.0,31.5,31.5
BXP,1997-10-22,31.62,32.25,31.62,31.75
BXP,1997-10-23,31.62,31.62,30.47,31.19
BXP,1997-10-24,31.25,31.88,31.25,31.88
BXP,1997-10-27,31.75,31.75,30.88,30.88
BXP,1997-10-28,28.5,30.0,28.5,30.0
BXP,1997-10-29,30.0,31.06,30.0,30.81
BXP,1997-10-30,30.69,30.69,29.94,30.06
BXP,1997-10-31,31.5,32.0,31.5,32.0
