ticker,date,open,high,low,close
CAL,1980-03-17,0.0,3.3,3.2,3.24
CAL,1980-03-18,0.0,3.41,3.28,3.41
CAL,1980-03-19,0.0,3.41,3.39,3.39
CAL,1980-03-20,0.0,3.39,3.37,3.37
CAL,1980-03-21,0.0,3.41,3.39,3.41
CAL,1980-03-24,0.0,3.37,3.35,3.35
CAL,1980-03-25,0.0,3.35,3.31,3.31
CAL,1980-03-26,0.0,3.35,3.3,3.3
CAL,1980-03-27,0.0,3.3,3.26,3.3
CAL,1980-03-28,0.0,3.39,3.33,3.35
CAL,1980-03-31,0.0,3.41,3.31,3.41
CAL,1980-04-01,0.0,3.41,3.41,3.41
CAL,1980-04-02,0.0,3.44,3.41,3.41
CAL,1980-04-03,0.0,3.44,3.37,3.41
CAL,1980-04-07,0.0,3.39,3.37,3.37
CAL,1980-04-08,0.0,3.33,3.28,3.28
CAL,1980-04-09,0.0,3.33,3.28,3.31
CAL,1980-04-10,0.0,3.33,3.31,3.33
CAL,1980-04-11,0.0,3.39,3.33,3.35
CAL,1980-04-14,0.0,3.35,3.33,3.33
CAL,1980-04-15,0.0,3.44,3.37,3.44
CAL,1980-04-16,0.0,3.44,3.41,3.41
CAL,1980-04-17,0.0,3.37,3.3,3.3
CAL,1980-04-18,0.0,3.31,3.26,3.26
CAL,1980-04-21,0.0,3.3,3.28,3.28
CAL,1980-04-22,0.0,3.37,3.31,3.37
CAL,1980-04-23,0.0,3.35,3.33,3.35
CAL,1980-04-24,0.0,3.41,3.33,3.41
CAL,1980-04-25,0.0,3.41,3.41,3.41
CAL,1980-04-28,0.0,3.39,3.3,3.33
CAL,1980-04-29,3.33,3.33,3.33,3.33
CAL,1980-04-30,0.0,3.39,3.28,3.37
CAL,1980-05-01,0.0,3.41,3.33,3.41
CAL,1980-05-02,0.0,3.41,3.37,3.37
CAL,1980-05-05,0.0,3.37,3.3,3.37
CAL,1980-05-06,0.0,3.43,3.39,3.41
CAL,1980-05-07,0.0,3.46,3.41,3.46
CAL,1980-05-08,0.0,3.56,3.48,3.56
CAL,1980-05-09,0.0,3.56,3.52,3.56
CAL,1980-05-12,0.0,3.57,3.52,3.52
CAL,1980-05-13,0.0,3.54,3.5,3.54
CAL,1980-05-14,0.0,3.57,3.52,3.57
CAL,1980-05-15,0.0,3.56,3.52,3.52
CAL,1980-05-16,0.0,3.54,3.5,3.5
CAL,1980-05-19,0.0,3.56,3.54,3.54
CAL,1980-05-20,0.0,3.52,3.5,3.5
CAL,1980-05-21,0.0,3.56,3.5,3.54
CAL,1980-05-22,0.0,3.57,3.54,3.56
CAL,1980-05-23,0.0,3.65,3.59,3.65
CAL,1980-05-27,0.0,3.78,3.63,3.78
CAL,1980-05-28,0.0,3.78,3.76,3.78
CAL,1980-05-29,0.0,3.8,3.78,3.78
CAL,1980-05-30,0.0,3.81,3.74,3.81
CAL,1980-06-02,0.0,3.89,3.81,3.81
CAL,1980-06-03,0.0,3.78,3.78,3.78
CAL,1980-06-04,0.0,3.78,3.67,3.72
CAL,1980-06-05,0.0,3.83,3.76,3.83
CAL,1980-06-06,0.0,3.83,3.8,3.83
CAL,1980-06-09,0.0,3.85,3.78,3.78
