ticker,date,open,high,low,close
CARR,2020-03-19,12.0,12.0,12.0,12.0
CARR,2020-03-20,13.0,13.0,12.0,12.75
CARR,2020-03-23,12.75,12.75,11.5,11.54
CARR,2020-03-24,12.9,12.9,11.5,11.7
CARR,2020-03-25,11.8,13.45,11.8,13.45
CARR,2020-03-26,14.0,15.45,14.0,15.45
CARR,2020-03-27,15.0,16.0,14.55,14.55
CARR,2020-03-30,15.25,16.5,15.25,15.9
CARR,2020-03-31,16.39,17.25,14.56,17.25
CARR,2020-04-01,16.0,16.0,14.56,15.05
CARR,2020-04-02,15.66,15.9,12.12,13.28
CARR,2020-04-03,13.75,17.0,13.38,16.92
CARR,2020-04-06,16.5266,16.6138,14.3865,14.9567
CARR,2020-04-07,14.7247,15.3048,14.0969,14.7733
CARR,2020-04-08,14.0473,14.7733,13.3006,13.8153
CARR,2020-04-09,13.5624,15.0152,13.4662,14.318
CARR,2020-04-13,14.0473,14.0473,13.5436,13.5534
CARR,2020-04-14,13.5624,13.7558,13.3492,13.4364
CARR,2020-04-15,13.1082,13.2282,12.536,12.9426
CARR,2020-04-16,12.7403,12.8364,11.8765,12.4874
CARR,2020-04-17,12.8831,13.3968,12.5261,13.3105
CARR,2020-04-20,13.0795,14.2784,13.0547,13.9977
CARR,2020-04-21,13.7756,14.7733,13.737,14.2298
CARR,2020-04-22,14.4837,14.686,13.7756,14.328
CARR,2020-04-23,14.2388,15.4239,14.1535,15.2294
CARR,2020-04-24,15.1134,16.1487,14.8129,15.7422
CARR,2020-04-27,15.6638,16.2856,15.4763,16.2757
CARR,2020-04-28,16.353,17.196,16.0903,16.4681
CARR,2020-04-29,16.9143,17.5163,16.6336,17.0889
CARR,2020-04-30,16.6832,17.2832,16.4532,17.1563
CARR,2020-05-01,16.7874,16.8062,16.1001,16.2479
CARR,2020-05-04,15.645,16.004,15.1997,15.889
CARR,2020-05-05,16.1587,16.238,15.3445,15.4715
CARR,2020-05-06,15.5001,15.8592,14.9468,15.7808
CARR,2020-05-07,15.7035,16.5078,15.3841,15.8978
CARR,2020-05-08,16.5078,17.8257,16.4046,17.7871
CARR,2020-05-11,17.8545,18.1648,17.4568,17.7771
CARR,2020-05-12,17.8158,17.8247,17.1375,17.2436
CARR,2020-05-13,16.6734,16.8915,15.5964,15.9266
CARR,2020-05-14,15.5191,16.1933,15.2294,16.0317
CARR,2020-05-15,15.7908,16.4334,15.5001,16.1885
CARR,2020-05-18,16.7606,17.1662,16.7507,17.0026
CARR,2020-05-19,16.8945,17.3606,16.6138,17.2138
CARR,2020-05-20,17.5937,18.4545,17.4766,18.145
CARR,2020-05-21,17.9616,18.9106,17.9219,18.8432
CARR,2020-05-22,18.863,19.2399,18.3583,18.4545
CARR,2020-05-26,18.9969,19.9569,18.7351,18.9007
CARR,2020-05-27,18.9582,19.5006,18.8234,19.3658
CARR,2020-05-28,19.4521,19.82,18.8958,18.987
CARR,2020-05-29,18.3671,20.3238,18.2908,19.8299
CARR,2020-06-01,19.9083,21.2649,19.9083,21.137
CARR,2020-06-02,21.013,21.1459,20.2514,20.6927
CARR,2020-06-03,20.7998,21.8748,20.7125,21.5267
CARR,2020-06-04,21.3423,22.3994,21.3423,21.973
CARR,2020-06-05,22.805,23.638,22.6502,22.8248
CARR,2020-06-08,22.8903,23.6192,22.5818,23.6093
CARR,2020-06-09,22.9973,23.2106,22.4827,22.4827
CARR,2020-06-10,21.613,22.4252,21.3512,21.5069
CARR,2020-06-11,19.5304,21.1182,19.3757,20.4022
CARR,2020-06-12,21.3125,21.613,20.3634,20.8663
CARR,2020-06-15,20.0719,21.8352,19.9857,21.2837
CARR,2020-06-16,22.2427,22.2625,21.2411,21.3809
CARR,2020-06-17,21.4771,21.6427,20.422,20.5955
CARR,2020-06-18,20.3436,21.2054,20.3436,20.5856
CARR,2020-06-19,21.0804,21.1668,20.3436,20.7799
CARR,2020-06-22,20.8464,22.1108,20.6451,22.0315
CARR,2020-06-23,22.3994,22.5124,21.6229,21.6903
CARR,2020-06-24,21.4087,21.9532,20.7799,21.137
CARR,2020-06-25,21.0229,21.2649,20.4527,20.9238
CARR,2020-06-26,20.9238,21.137,20.0213,20.3892
CARR,2020-06-29,20.4963,21.848,20.419,21.5079
CARR,2020-06-30,21.2064,21.7885,20.8167,21.6061
CARR,2020-07-01,21.7022,22.3746,21.2649,21.9858
CARR,2020-07-02,22.3557,22.5769,21.9462,22.2765
CARR,2020-07-06,22.4876,23.6182,22.4876,23.5408
CARR,2020-07-07,23.1035,23.5111,23.0678,23.3444
CARR,2020-07-08,23.2185,23.4238,22.8109,23.3246
CARR,2020-07-09,23.3346,23.5498,23.1035,23.2483
CARR,2020-07-10,23.1809,25.3387,23.0639,24.2013
CARR,2020-07-13,24.4453,24.5127,22.6166,23.6083
CARR,2020-07-14,23.6271,24.4651,23.5597,24.4551
CARR,2020-07-15,24.8726,25.8346,24.833,25.7186
CARR,2020-07-16,25.3973,26.2422,25.2019,25.8723
CARR,2020-07-17,26.145,26.1549,25.6006,25.7474
CARR,2020-07-20,25.4945,25.8059,25.3437,25.68
CARR,2020-07-21,25.5619,26.0597,25.436,25.8346
CARR,2020-07-22,25.6105,26.3116,25.5906,25.8624
CARR,2020-07-23,25.9209,26.866,25.787,26.5923
CARR,2020-07-24,26.4961,26.506,25.8059,25.8445
CARR,2020-07-27,25.7672,26.0399,25.3586,25.5222
CARR,2020-07-28,25.3487,25.67,25.1345,25.3487
CARR,2020-07-29,25.3874,26.9513,25.3874,26.4286
CARR,2020-07-30,25.1345,26.7401,24.8906,26.1549
CARR,2020-07-31,26.1073,26.5972,25.8921,26.4862
CARR,2020-08-03,26.4862,27.1188,26.262,26.8561
CARR,2020-08-04,26.6419,27.099,26.4088,27.0008
CARR,2020-08-05,26.8947,27.3945,26.8947,27.3311
CARR,2020-08-06,27.2438,27.7486,27.1674,27.4877
CARR,2020-08-07,27.9252,28.2275,27.6534,28.1681
CARR,2020-08-10,28.2177,28.7522,28.1096,28.6431
CARR,2020-08-11,29.3244,29.481,28.6242,28.6728
CARR,2020-08-12,29.0417,29.3532,28.8008,28.9634
CARR,2020-08-13,29.0715,29.4414,28.5568,28.7224
CARR,2020-08-14,28.8891,29.2173,28.4705,28.7026
CARR,2020-08-17,28.6828,29.3482,28.3357,29.013
CARR,2020-08-18,28.8989,29.2193,28.5568,28.6431
CARR,2020-08-19,28.7224,28.8692,28.3139,28.4418
CARR,2020-08-20,28.2177,28.5955,27.9548,28.2077
CARR,2020-08-21,28.3525,28.9931,28.2791,28.7026
CARR,2020-08-24,28.9377,29.5971,28.9188,29.5406
CARR,2020-08-25,29.6556,29.9521,29.5684,29.6259
CARR,2020-08-26,29.6655,30.3746,29.5684,30.1713
CARR,2020-08-27,30.21,30.3746,29.3244,29.4414
CARR,2020-08-28,29.5406,29.6308,29.1261,29.4612
CARR,2020-08-31,29.3532,29.6159,29.0031,29.0229
CARR,2020-09-01,28.8395,29.5208,28.3625,29.4612
CARR,2020-09-02,29.3829,30.094,29.013,29.9283
CARR,2020-09-03,29.6556,29.8401,28.1581,28.5192
CARR,2020-09-04,28.6144,29.2629,28.0322,29.1707
CARR,2020-09-08,28.537,29.4116,28.3922,28.7522
CARR,2020-09-09,29.1013,29.5058,28.7324,29.2966
CARR,2020-09-10,29.0715,29.1806,27.7882,28.3327
CARR,2020-09-11,28.3625,28.8246,28.2077,28.4319
CARR,2020-09-14,28.5866,28.6242,28.0312,28.3426
CARR,2020-09-15,28.663,29.2094,28.4914,28.8692
CARR,2020-09-16,29.3244,29.6893,28.7076,29.4116
CARR,2020-09-17,28.9455,29.8451,28.5568,29.8123
CARR,2020-09-18,29.6556,30.3359,29.6556,29.9383
CARR,2020-09-21,29.4514,29.9184,28.412,28.6926
CARR,2020-09-22,28.6926,29.491,28.6728,29.4216
CARR,2020-09-23,29.5604,29.5773,28.2941,28.3039
CARR,2020-09-24,28.3139,29.1409,27.9936,29.0517
CARR,2020-09-25,28.5866,29.6556,28.537,29.6457
CARR,2020-09-28,29.8986,30.687,29.5872,29.8887
CARR,2020-09-29,29.6655,29.8401,29.249,29.6556
CARR,2020-09-30,29.7627,30.3746,29.5108,29.6943
CARR,2020-10-01,29.8699,30.2,29.7042,29.9184
CARR,2020-10-02,29.5009,30.6473,29.4216,30.3647
CARR,2020-10-05,30.7634,31.5706,30.7634,31.1907
CARR,2020-10-06,31.4446,31.4922,30.5799,30.6384
CARR,2020-10-07,31.047,31.3971,31.0073,31.2305
CARR,2020-10-08,31.4169,31.5686,30.7544,31.0668
CARR,2020-10-09,31.0272,31.65,30.8318,31.3385
