ticker,date,open,high,low,close
CBT,1980-11-05,7.88,8.19,7.75,7.88
CBT,1980-11-06,7.88,7.94,7.59,7.62
CBT,1980-11-07,7.62,7.62,7.44,7.47
CBT,1980-11-10,7.47,7.62,7.34,7.44
CBT,1980-11-11,7.44,7.44,7.34,7.34
CBT,1980-11-12,7.34,7.44,7.28,7.34
CBT,1980-11-13,7.34,8.06,7.34,7.94
CBT,1980-11-14,7.94,7.94,7.75,7.88
CBT,1980-11-17,7.88,7.91,7.66,7.88
CBT,1980-11-18,7.88,7.94,7.78,7.78
CBT,1980-11-19,7.78,7.91,7.62,7.75
CBT,1980-11-20,7.75,7.75,7.47,7.66
CBT,1980-11-21,7.66,7.75,7.47,7.5
CBT,1980-11-24,7.5,7.62,7.47,7.5
CBT,1980-11-25,7.62,7.81,7.62,7.81
CBT,1980-11-26,7.97,8.22,7.97,8.22
CBT,1980-11-28,8.22,8.56,8.12,8.56
CBT,1980-12-01,8.62,8.84,8.62,8.78
CBT,1980-12-02,8.78,8.78,8.34,8.69
CBT,1980-12-03,8.69,8.84,8.62,8.78
CBT,1980-12-04,8.78,8.81,8.72,8.78
CBT,1980-12-05,8.69,8.69,8.5,8.53
CBT,1980-12-08,8.38,8.38,7.91,8.06
CBT,1980-12-09,8.06,8.09,7.97,7.97
CBT,1980-12-10,7.97,8.06,7.88,7.88
CBT,1980-12-11,7.62,7.62,7.44,7.47
CBT,1980-12-12,7.47,7.62,7.47,7.62
CBT,1980-12-15,7.62,7.72,7.59,7.62
CBT,1980-12-16,7.62,7.75,7.59,7.75
CBT,1980-12-17,7.75,7.88,7.75,7.88
CBT,1980-12-18,7.94,8.25,7.94,7.97
CBT,1980-12-19,7.97,8.12,7.91,8.12
CBT,1980-12-22,8.22,8.41,8.22,8.38
CBT,1980-12-23,8.38,8.41,8.38,8.38
CBT,1980-12-24,8.38,8.38,8.06,8.09
CBT,1980-12-26,8.09,8.19,7.88,7.91
CBT,1980-12-29,7.81,7.81,7.5,7.62
CBT,1980-12-30,7.62,7.66,7.38,7.62
CBT,1980-12-31,7.62,7.62,7.56,7.62
CBT,1981-01-02,7.62,7.66,7.56,7.59
CBT,1981-01-05,7.59,7.72,7.5,7.62
CBT,1981-01-06,7.62,7.62,7.47,7.59
CBT,1981-01-07,7.59,9.59,6.97,7.12
CBT,1981-01-08,7.12,7.31,7.0,7.0
CBT,1981-01-09,7.03,7.19,7.03,7.19
CBT,1981-01-12,7.19,7.31,7.16,7.19
CBT,1981-01-13,7.03,7.03,6.81,6.88
CBT,1981-01-14,6.97,7.28,6.97,7.28
CBT,1981-01-15,7.31,7.47,7.31,7.47
CBT,1981-01-16,7.47,7.47,7.31,7.34
CBT,1981-01-19,7.34,7.34,7.19,7.28
CBT,1981-01-20,7.28,7.34,7.28,7.28
CBT,1981-01-21,7.28,7.31,7.0,7.03
CBT,1981-01-22,7.03,7.19,7.0,7.19
CBT,1981-01-23,7.19,7.22,7.16,7.22
CBT,1981-01-26,7.22,7.28,7.06,7.12
CBT,1981-01-27,7.12,7.34,7.06,7.31
CBT,1981-01-28,7.31,7.34,7.12,7.12
CBT,1981-01-29,7.12,7.19,7.12,7.16
CBT,1981-01-30,7.16,7.16,6.88,6.88
CBT,1981-02-02,6.88,6.88,6.38,6.5
CBT,1981-02-03,6.56,6.69,6.56,6.69
CBT,1981-02-04,6.81,7.12,6.81,6.97
CBT,1981-02-05,7.16,7.34,7.16,7.31
CBT,1981-02-06,7.31,7.47,7.22,7.22
CBT,1981-02-09,7.22,7.34,7.22,7.34
CBT,1981-02-10,7.34,7.38,7.28,7.28
CBT,1981-02-11,7.28,7.31,7.06,7.12
CBT,1981-02-12,7.12,7.16,6.91,7.0
CBT,1981-02-13,6.97,6.97,6.88,6.97
CBT,1981-02-17,6.97,7.03,6.97,7.0
CBT,1981-02-18,7.0,7.34,7.0,7.22
CBT,1981-02-19,7.19,7.19,7.03,7.03
CBT,1981-02-20,6.88,6.88,6.56,6.72
CBT,1981-02-23,6.72,6.91,6.72,6.91
CBT,1981-02-24,6.91,7.12,6.91,6.91
CBT,1981-02-25,6.91,7.0,6.88,7.0
CBT,1981-02-26,7.03,7.19,7.03,7.16
CBT,1981-02-27,7.16,7.22,7.16,7.19
CBT,1981-03-02,7.19,7.31,7.16,7.19
CBT,1981-03-03,7.28,7.34,7.28,7.31
CBT,1981-03-04,7.31,7.44,7.31,7.34
CBT,1981-03-05,7.34,7.44,7.16,7.16
CBT,1981-03-06,7.16,7.19,7.12,7.19
CBT,1981-03-09,7.19,7.28,7.06,7.12
CBT,1981-03-10,7.12,7.19,7.03,7.03
CBT,1981-03-11,7.03,7.19,7.03,7.03
CBT,1981-03-12,7.12,7.19,7.12,7.19
CBT,1981-03-13,7.22,7.59,7.22,7.47
CBT,1981-03-16,7.47,7.75,7.47,7.75
CBT,1981-03-17,7.75,7.91,7.66,7.75
CBT,1981-03-18,7.78,8.09,7.78,8.03
CBT,1981-03-19,8.03,8.09,7.91,7.91
CBT,1981-03-20,7.91,8.03,7.75,7.78
CBT,1981-03-23,7.78,7.81,7.62,7.81
CBT,1981-03-24,7.81,7.94,7.78,7.78
CBT,1981-03-25,7.88,7.94,7.88,7.91
CBT,1981-03-26,8.06,8.19,8.06,8.09
CBT,1981-03-27,8.25,8.53,8.25,8.53
CBT,1981-03-30,8.53,8.84,8.5,8.69
CBT,1981-03-31,8.69,8.81,8.41,8.53
CBT,1981-04-01,8.53,8.56,8.47,8.53
CBT,1981-04-02,8.5,8.5,8.22,8.25
CBT,1981-04-03,8.25,8.28,8.22,8.25
CBT,1981-04-06,8.25,8.25,7.91,8.06
CBT,1981-04-07,8.06,8.09,7.94,7.94
CBT,1981-04-08,7.94,7.94,7.81,7.88
CBT,1981-04-09,7.88,7.94,7.66,7.78
CBT,1981-04-10,7.78,7.94,7.66,7.66
CBT,1981-04-13,7.66,7.72,7.56,7.56
CBT,1981-04-14,7.59,7.66,7.59,7.62
CBT,1981-04-15,7.62,7.78,7.62,7.78
CBT,1981-04-16,7.78,7.88,7.75,7.78
CBT,1981-04-20,7.78,7.78,7.62,7.66
CBT,1981-04-21,7.66,7.75,7.47,7.47
CBT,1981-04-22,7.47,7.47,7.31,7.34
CBT,1981-04-23,7.34,7.47,7.28,7.44
CBT,1981-04-24,7.44,7.47,7.28,7.31
CBT,1981-04-27,7.22,7.22,7.03,7.12
CBT,1981-04-28,7.12,7.16,7.0,7.03
CBT,1981-04-29,7.03,7.12,7.03,7.12
CBT,1981-04-30,7.16,7.28,7.16,7.28
CBT,1981-05-01,7.28,7.34,7.19,7.22
CBT,1981-05-04,7.22,7.31,7.06,7.19
CBT,1981-05-05,7.19,7.19,7.06,7.16
CBT,1981-05-06,7.12,7.12,7.03,7.03
CBT,1981-05-07,7.03,7.19,7.03,7.19
CBT,1981-05-08,7.19,7.34,7.12,7.28
CBT,1981-05-11,7.19,7.19,7.03,7.03
CBT,1981-05-12,7.03,7.19,6.97,7.19
CBT,1981-05-13,7.19,7.22,6.97,6.97
CBT,1981-05-14,6.97,6.97,6.72,6.72
CBT,1981-05-15,6.75,6.91,6.75,6.88
CBT,1981-05-18,6.88,6.97,6.84,6.97
CBT,1981-05-19,6.91,6.91,6.81,6.88
CBT,1981-05-20,6.88,6.97,6.88,6.88
CBT,1981-05-21,6.88,6.88,6.75,6.84
CBT,1981-05-22,6.84,6.88,6.69,6.81
CBT,1981-05-26,6.81,6.84,6.72,6.81
CBT,1981-05-27,6.81,6.88,6.75,6.84
CBT,1981-05-28,6.84,6.91,6.72,6.88
CBT,1981-05-29,6.88,6.97,6.88,6.88
CBT,1981-06-01,6.88,7.0,6.84,6.91
CBT,1981-06-02,6.91,6.91,6.84,6.84
CBT,1981-06-03,6.84,6.84,6.75,6.75
CBT,1981-06-04,6.75,6.88,6.75,6.88
CBT,1981-06-05,6.75,6.75,6.59,6.59
CBT,1981-06-08,6.59,6.72,6.59,6.72
CBT,1981-06-09,6.72,7.06,6.72,7.06
CBT,1981-06-10,7.06,7.12,7.03,7.03
CBT,1981-06-11,7.03,7.19,7.03,7.12
CBT,1981-06-12,7.12,7.19,7.0,7.0
CBT,1981-06-15,7.03,7.12,7.03,7.03
CBT,1981-06-16,7.03,7.03,6.97,6.97
CBT,1981-06-17,7.0,7.47,7.0,7.34
CBT,1981-06-18,7.38,7.47,7.38,7.44
CBT,1981-06-19,7.44,7.44,7.34,7.44
CBT,1981-06-22,7.44,7.75,7.34,7.62
CBT,1981-06-23,7.62,7.62,7.47,7.62
CBT,1981-06-24,7.62,7.62,7.56,7.56
CBT,1981-06-25,7.62,7.78,7.62,7.72
CBT,1981-06-26,7.72,7.75,7.62,7.75
CBT,1981-06-29,7.75,7.75,7.62,7.62
CBT,1981-06-30,7.62,7.72,7.56,7.62
CBT,1981-07-01,7.62,7.72,7.59,7.59
CBT,1981-07-02,7.59,7.62,7.56,7.59
CBT,1981-07-06,7.5,7.5,7.28,7.28
CBT,1981-07-07,7.28,7.34,7.03,7.03
CBT,1981-07-08,7.03,7.19,7.03,7.12
CBT,1981-07-09,7.12,7.34,7.12,7.28
CBT,1981-07-10,7.34,7.47,7.34,7.47
CBT,1981-07-13,7.56,7.75,7.56,7.75
CBT,1981-07-14,7.78,8.09,7.78,8.06
CBT,1981-07-15,8.09,8.28,8.09,8.25
CBT,1981-07-16,8.25,8.25,7.97,8.25
CBT,1981-07-17,8.25,8.25,8.12,8.25
CBT,1981-07-20,8.19,8.19,7.97,8.12
CBT,1981-07-21,8.03,8.03,7.78,7.78
CBT,1981-07-22,7.78,7.94,7.72,7.72
CBT,1981-07-23,7.72,8.22,7.72,8.09
CBT,1981-07-24,8.09,8.19,7.91,8.06
CBT,1981-07-27,8.09,8.34,8.09,8.28
CBT,1981-07-28,8.28,8.41,8.09,8.19
CBT,1981-07-29,8.19,8.22,8.09,8.09
CBT,1981-07-30,8.09,8.25,8.09,8.25
CBT,1981-07-31,8.25,8.5,8.25,8.41
CBT,1981-08-03,8.41,8.47,8.12,8.19
CBT,1981-08-04,8.19,8.22,8.09,8.12
CBT,1981-08-05,8.12,8.25,8.12,8.25
CBT,1981-08-06,8.28,8.56,8.28,8.56
CBT,1981-08-07,8.56,8.66,8.5,8.53
CBT,1981-08-10,8.53,8.53,8.34,8.5
CBT,1981-08-11,8.5,8.72,8.5,8.66
CBT,1981-08-12,8.66,8.72,8.5,8.53
CBT,1981-08-13,8.53,8.56,8.5,8.5
CBT,1981-08-14,8.5,8.5,8.38,8.41
CBT,1981-08-17,8.41,8.47,8.34,8.41
CBT,1981-08-18,8.41,8.47,8.12,8.12
CBT,1981-08-19,7.97,7.97,7.88,7.94
CBT,1981-08-20,7.94,7.97,7.88,7.94
CBT,1981-08-21,7.94,7.94,7.88,7.88
CBT,1981-08-24,7.88,7.91,7.75,7.75
CBT,1981-08-25,7.66,7.66,7.44,7.47
CBT,1981-08-26,7.47,7.59,7.47,7.59
CBT,1981-08-27,7.5,7.5,7.47,7.5
CBT,1981-08-28,7.56,7.62,7.56,7.59
CBT,1981-08-31,7.59,7.72,7.56,7.56
CBT,1981-09-01,7.56,7.56,7.44,7.47
CBT,1981-09-02,7.47,7.62,7.44,7.47
CBT,1981-09-03,7.47,7.47,7.28,7.28
CBT,1981-09-04,7.28,7.31,6.97,6.97
CBT,1981-09-08,6.97,7.0,6.53,6.53
CBT,1981-09-09,6.69,6.84,6.69,6.72
CBT,1981-09-10,6.81,6.88,6.81,6.84
CBT,1981-09-11,6.84,7.0,6.84,6.91
CBT,1981-09-14,6.91,7.0,6.88,6.97
CBT,1981-09-15,7.0,7.06,7.0,7.03
CBT,1981-09-16,7.03,7.12,6.97,7.0
CBT,1981-09-17,7.0,7.06,7.0,7.03
CBT,1981-09-18,7.0,7.0,6.88,6.88
CBT,1981-09-21,6.88,6.88,6.81,6.81
CBT,1981-09-22,6.81,6.88,6.72,6.72
CBT,1981-09-23,6.72,6.72,6.56,6.56
CBT,1981-09-24,6.56,6.59,6.44,6.44
CBT,1981-09-25,6.38,6.38,6.12,6.22
CBT,1981-09-28,6.12,6.12,5.97,6.12
CBT,1981-09-29,6.28,6.5,6.28,6.28
CBT,1981-09-30,6.28,6.44,6.16,6.44
CBT,1981-10-01,6.44,6.44,6.31,6.44
CBT,1981-10-02,6.44,6.91,6.38,6.81
CBT,1981-10-05,6.81,6.97,6.75,6.88
CBT,1981-10-06,6.88,6.97,6.84,6.88
CBT,1981-10-07,6.88,7.03,6.88,6.88
CBT,1981-10-08,6.88,6.97,6.88,6.88
CBT,1981-10-09,6.88,6.91,6.84,6.84
CBT,1981-10-12,6.84,6.88,6.75,6.88
CBT,1981-10-13,6.88,7.0,6.75,6.75
CBT,1981-10-14,6.75,6.75,6.66,6.66
CBT,1981-10-15,6.59,6.59,6.56,6.59
CBT,1981-10-16,6.59,6.66,6.53,6.56
CBT,1981-10-19,6.56,6.56,6.53,6.53
CBT,1981-10-20,6.5,6.5,6.44,6.5
CBT,1981-10-21,6.5,6.5,6.28,6.44
CBT,1981-10-22,6.44,6.44,6.41,6.44
CBT,1981-10-23,6.38,6.38,6.16,6.38
CBT,1981-10-26,6.38,6.44,6.31,6.44
CBT,1981-10-27,6.44,6.53,6.44,6.5
CBT,1981-10-28,6.5,6.75,6.44,6.75
CBT,1981-10-29,6.75,6.88,6.72,6.72
CBT,1981-10-30,6.72,6.88,6.59,6.84
CBT,1981-11-02,6.88,7.03,6.88,7.0
CBT,1981-11-03,7.0,7.03,6.88,6.91
CBT,1981-11-04,6.91,7.0,6.91,7.0
CBT,1981-11-05,7.0,7.03,6.91,7.0
CBT,1981-11-06,7.0,7.03,6.88,6.91
CBT,1981-11-09,6.91,7.03,6.91,7.0
CBT,1981-11-10,7.0,7.03,6.91,6.97
CBT,1981-11-11,6.97,7.03,6.97,7.03
CBT,1981-11-12,7.03,7.12,7.03,7.06
CBT,1981-11-13,7.06,7.12,7.03,7.06
CBT,1981-11-16,7.06,7.19,6.88,6.91
CBT,1981-11-17,6.91,6.97,6.88,6.88
CBT,1981-11-18,6.88,7.0,6.81,6.84
CBT,1981-11-19,6.84,7.0,6.75,6.75
CBT,1981-11-20,6.75,6.88,6.75,6.88
CBT,1981-11-23,6.88,6.88,6.72,6.72
CBT,1981-11-24,6.72,6.88,6.69,6.84
CBT,1981-11-25,6.84,6.97,6.84,6.88
CBT,1981-11-27,6.88,6.88,6.81,6.81
CBT,1981-11-30,6.81,6.88,6.72,6.88
CBT,1981-12-01,6.88,6.88,6.81,6.81
CBT,1981-12-02,6.81,6.88,6.81,6.81
CBT,1981-12-03,6.81,6.88,6.72,6.84
CBT,1981-12-04,6.84,6.84,6.75,6.75
CBT,1981-12-07,6.75,6.81,6.72,6.81
CBT,1981-12-08,6.81,6.91,6.81,6.91
CBT,1981-12-09,6.91,6.91,6.88,6.91
CBT,1981-12-10,6.91,7.0,6.88,6.88
CBT,1981-12-11,6.88,6.88,6.84,6.88
CBT,1981-12-14,6.88,6.88,6.75,6.84
CBT,1981-12-15,6.81,6.81,6.75,6.75
CBT,1981-12-16,6.75,6.75,6.72,6.72
CBT,1981-12-17,6.72,6.81,6.72,6.72
CBT,1981-12-18,6.72,6.81,6.72,6.75
CBT,1981-12-21,6.75,6.84,6.72,6.81
CBT,1981-12-22,6.81,6.88,6.59,6.66
CBT,1981-12-23,6.66,6.69,6.66,6.66
CBT,1981-12-24,6.59,6.59,6.44,6.56
CBT,1981-12-28,6.56,6.56,6.5,6.56
CBT,1981-12-29,6.53,6.53,6.41,6.41
CBT,1981-12-30,6.28,6.28,6.12,6.22
CBT,1981-12-31,6.22,6.25,6.16,6.22
CBT,1982-01-04,6.22,6.28,6.22,6.22
CBT,1982-01-05,6.22,6.22,6.16,6.16
CBT,1982-01-06,6.16,6.22,6.12,6.16
CBT,1982-01-07,6.16,6.16,6.12,6.16
CBT,1982-01-08,6.16,6.22,6.12,6.16
CBT,1982-01-11,6.16,6.22,5.97,5.97
