ticker,date,open,high,low,close
CCJ,1996-03-14,9.02,9.19,9.02,9.02
CCJ,1996-03-15,8.96,8.98,8.83,8.88
CCJ,1996-03-18,8.9,8.92,8.9,8.92
CCJ,1996-03-19,8.9,8.92,8.88,8.88
CCJ,1996-03-20,8.92,8.96,8.92,8.92
CCJ,1996-03-21,8.94,8.94,8.94,8.94
CCJ,1996-03-22,8.9,8.9,8.9,8.9
CCJ,1996-03-25,8.88,8.9,8.73,8.73
CCJ,1996-03-26,8.75,8.77,8.75,8.77
CCJ,1996-03-27,8.77,8.77,8.77,8.77
CCJ,1996-03-28,8.77,8.77,8.77,8.77
CCJ,1996-03-29,8.77,8.77,8.77,8.77
CCJ,1996-04-01,8.77,8.77,8.77,8.77
CCJ,1996-04-02,8.77,8.77,8.77,8.77
CCJ,1996-04-03,8.77,8.77,8.77,8.77
CCJ,1996-04-04,8.71,8.73,8.65,8.65
CCJ,1996-04-08,8.58,8.58,8.52,8.56
CCJ,1996-04-09,8.58,8.67,8.5,8.67
CCJ,1996-04-10,8.69,8.77,8.69,8.77
CCJ,1996-04-11,8.77,8.77,8.75,8.77
CCJ,1996-04-12,8.77,8.83,8.77,8.83
CCJ,1996-04-15,8.81,8.9,8.81,8.9
CCJ,1996-04-16,8.9,8.92,8.9,8.9
CCJ,1996-04-17,8.83,8.83,8.79,8.81
CCJ,1996-04-18,8.79,8.79,8.79,8.79
CCJ,1996-04-19,8.79,8.79,8.79,8.79
CCJ,1996-04-22,8.83,8.9,8.83,8.9
CCJ,1996-04-23,8.9,8.94,8.9,8.94
CCJ,1996-04-24,8.92,8.96,8.88,8.88
CCJ,1996-04-25,8.85,8.9,8.81,8.88
CCJ,1996-04-26,8.83,8.88,8.83,8.83
CCJ,1996-04-29,8.88,8.9,8.88,8.9
CCJ,1996-04-30,8.9,8.94,8.9,8.94
CCJ,1996-05-01,8.92,8.94,8.92,8.94
CCJ,1996-05-02,8.92,8.94,8.92,8.94
CCJ,1996-05-03,8.9,8.92,8.83,8.88
CCJ,1996-05-06,8.81,8.81,8.77,8.79
CCJ,1996-05-07,8.77,8.77,8.77,8.77
CCJ,1996-05-08,8.77,8.77,8.75,8.75
CCJ,1996-05-09,8.71,8.73,8.71,8.71
CCJ,1996-05-10,8.73,8.77,8.73,8.77
CCJ,1996-05-13,8.73,8.73,8.73,8.73
CCJ,1996-05-14,8.73,8.75,8.73,8.73
CCJ,1996-05-15,8.69,8.71,8.69,8.71
CCJ,1996-05-16,8.69,8.69,8.69,8.69
CCJ,1996-05-17,8.65,8.67,8.62,8.62
CCJ,1996-05-20,8.6,8.62,8.58,8.58
CCJ,1996-05-21,8.56,8.56,8.52,8.52
CCJ,1996-05-22,8.52,8.52,8.44,8.44
CCJ,1996-05-23,8.38,8.4,8.21,8.21
CCJ,1996-05-24,8.19,8.21,7.88,8.0
CCJ,1996-05-28,8.0,8.23,8.0,8.23
CCJ,1996-05-29,8.23,8.31,8.23,8.31
CCJ,1996-05-30,8.38,8.42,8.38,8.42
CCJ,1996-05-31,8.42,8.44,8.4,8.44
CCJ,1996-06-03,8.48,8.48,8.42,8.42
CCJ,1996-06-04,8.42,8.42,8.4,8.42
CCJ,1996-06-05,8.42,8.42,8.38,8.4
CCJ,1996-06-06,8.35,8.35,8.33,8.33
CCJ,1996-06-07,8.23,8.23,8.12,8.12
CCJ,1996-06-10,8.12,8.17,8.08,8.08
CCJ,1996-06-11,8.04,8.04,7.96,7.96
CCJ,1996-06-12,7.83,7.83,7.75,7.79
CCJ,1996-06-13,7.75,7.75,7.62,7.62
CCJ,1996-06-14,7.67,7.67,7.62,7.62
CCJ,1996-06-17,7.62,7.71,7.62,7.71
CCJ,1996-06-18,7.81,7.81,7.75,7.75
CCJ,1996-06-19,7.73,7.73,7.73,7.73
CCJ,1996-06-20,7.73,7.73,7.73,7.73
CCJ,1996-06-21,7.71,7.71,7.71,7.71
CCJ,1996-06-24,7.67,7.71,7.67,7.71
CCJ,1996-06-25,7.71,7.71,7.67,7.71
CCJ,1996-06-26,7.69,7.69,7.62,7.67
CCJ,1996-06-27,7.6,7.6,7.58,7.58
CCJ,1996-06-28,7.58,7.83,7.58,7.83
