ticker,date,open,high,low,close
CEPU,2018-02-02,15.688,17.351,15.308,16.829
CEPU,2018-02-05,16.543,17.351,16.401,16.638
CEPU,2018-02-06,16.353,16.895,15.782,16.553
CEPU,2018-02-07,16.761,18.254,16.229,16.267
CEPU,2018-02-08,16.267,16.419,15.392,15.592
CEPU,2018-02-09,15.992,16.695,14.838,16.495
CEPU,2018-02-12,16.505,16.515,15.697,15.887
CEPU,2018-02-13,15.916,16.353,15.84,16.182
CEPU,2018-02-14,16.172,17.113,15.878,17.019
CEPU,2018-02-15,17.189,17.551,16.867,17.494
CEPU,2018-02-16,17.494,17.513,17.237,17.351
CEPU,2018-02-20,17.219,17.541,17.113,17.257
CEPU,2018-02-21,17.199,17.532,17.066,17.143
CEPU,2018-02-22,17.171,17.232,16.829,16.913
CEPU,2018-02-23,16.951,17.085,16.448,16.733
CEPU,2018-02-26,16.733,16.733,16.068,16.144
CEPU,2018-02-27,16.495,16.591,15.925,15.954
CEPU,2018-02-28,16.163,16.305,15.64,15.84
CEPU,2018-03-01,15.925,16.305,15.764,15.802
CEPU,2018-03-02,15.782,16.153,15.581,16.039
CEPU,2018-03-05,16.02,16.286,15.972,16.182
CEPU,2018-03-06,16.315,16.448,15.934,16.401
CEPU,2018-03-07,16.258,16.638,16.258,16.334
CEPU,2018-03-08,16.277,16.532,15.972,15.992
CEPU,2018-03-09,16.03,16.401,16.03,16.343
CEPU,2018-03-12,16.372,16.753,16.163,16.581
CEPU,2018-03-13,16.495,16.647,16.134,16.505
CEPU,2018-03-14,16.553,16.591,16.172,16.305
CEPU,2018-03-15,16.305,16.429,15.982,16.305
CEPU,2018-03-16,16.277,16.429,16.172,16.429
CEPU,2018-03-19,16.429,16.429,15.972,16.134
CEPU,2018-03-20,16.144,16.381,15.972,16.334
CEPU,2018-03-21,16.229,16.495,16.182,16.401
CEPU,2018-03-22,16.343,16.799,16.277,16.638
CEPU,2018-03-23,16.591,16.895,15.678,15.83
CEPU,2018-03-26,16.02,16.47,15.982,16.286
CEPU,2018-03-27,16.362,16.581,16.343,16.533
CEPU,2018-03-28,16.467,16.591,16.068,16.591
CEPU,2018-03-29,16.505,16.505,15.697,16.163
CEPU,2018-04-02,16.106,16.115,15.782,15.982
CEPU,2018-04-03,15.954,16.163,15.811,16.001
CEPU,2018-04-04,15.849,16.21,15.735,16.144
CEPU,2018-04-05,16.163,16.401,16.028,16.401
CEPU,2018-04-06,16.326,16.391,16.115,16.21
CEPU,2018-04-09,16.277,16.429,16.144,16.305
CEPU,2018-04-10,16.258,16.267,16.011,16.22
CEPU,2018-04-11,16.039,16.429,16.039,16.229
CEPU,2018-04-12,16.172,16.22,15.896,15.925
CEPU,2018-04-13,15.906,16.115,15.62,15.782
CEPU,2018-04-16,15.678,16.001,15.45,15.468
CEPU,2018-04-17,15.478,15.574,15.26,15.46
CEPU,2018-04-18,15.498,15.916,15.498,15.592
CEPU,2018-04-19,15.498,15.498,15.231,15.26
CEPU,2018-04-20,15.24,15.422,15.24,15.364
CEPU,2018-04-23,15.308,15.602,15.24,15.354
CEPU,2018-04-24,15.346,15.592,15.07,15.25
CEPU,2018-04-25,15.136,15.231,14.718,14.956
CEPU,2018-04-26,15.003,15.003,14.091,14.309
CEPU,2018-04-27,14.366,14.956,13.929,14.642
CEPU,2018-04-30,14.727,14.727,14.404,14.708
CEPU,2018-05-01,14.642,15.164,14.366,14.727
CEPU,2018-05-02,14.556,14.746,13.995,14.167
CEPU,2018-05-03,14.119,14.223,13.063,13.101
CEPU,2018-05-04,13.206,14.157,12.778,12.997
CEPU,2018-05-07,13.124,13.592,12.247,12.393
CEPU,2018-05-08,12.266,12.266,10.872,11.642
CEPU,2018-05-09,11.652,12.14,11.632,11.974
CEPU,2018-05-10,11.993,13.251,11.993,13.037
CEPU,2018-05-11,13.105,13.27,12.188,12.617
CEPU,2018-05-14,12.354,13.012,11.964,12.89
CEPU,2018-05-15,12.725,14.07,12.725,13.583
CEPU,2018-05-16,13.524,14.138,13.475,13.895
CEPU,2018-05-17,13.739,14.187,13.466,13.524
CEPU,2018-05-18,13.485,13.846,13.485,13.787
CEPU,2018-05-21,13.943,14.012,13.222,13.427
CEPU,2018-05-22,13.563,13.817,13.046,13.154
CEPU,2018-05-23,13.183,13.466,12.676,12.959
CEPU,2018-05-24,12.968,13.339,12.851,13.241
CEPU,2018-05-25,13.28,13.475,13.144,13.31
CEPU,2018-05-29,13.29,13.29,12.422,12.686
CEPU,2018-05-30,12.715,12.968,12.413,12.666
CEPU,2018-05-31,12.764,13.349,12.305,13.193
CEPU,2018-06-01,13.193,13.241,12.734,13.163
CEPU,2018-06-04,13.222,13.583,13.135,13.397
CEPU,2018-06-05,13.446,14.577,13.407,14.129
CEPU,2018-06-06,14.031,14.538,14.031,14.402
CEPU,2018-06-07,14.343,14.524,13.924,14.431
CEPU,2018-06-08,14.636,15.513,14.636,14.928
CEPU,2018-06-11,14.86,15.386,14.509,14.538
CEPU,2018-06-12,14.46,14.616,14.324,14.499
CEPU,2018-06-13,14.421,14.694,13.973,14.236
CEPU,2018-06-14,14.07,14.226,13.007,13.544
CEPU,2018-06-15,13.553,13.943,13.037,13.378
CEPU,2018-06-18,13.163,13.178,12.247,12.832
CEPU,2018-06-19,12.676,12.842,12.52,12.598
CEPU,2018-06-20,12.598,12.949,12.276,12.637
CEPU,2018-06-21,13.378,13.982,12.617,12.676
CEPU,2018-06-22,12.686,12.695,12.218,12.51
CEPU,2018-06-25,12.461,12.461,11.545,11.886
CEPU,2018-06-26,11.73,12.11,11.213,11.389
CEPU,2018-06-27,11.291,11.301,9.643,9.946
CEPU,2018-06-28,9.994,10.131,9.556,9.799
CEPU,2018-06-29,9.848,9.985,9.0071,9.653
CEPU,2018-07-02,9.4679,9.926,9.0388,9.517
CEPU,2018-07-03,9.4874,10.414,9.4874,10.17
CEPU,2018-07-05,10.258,10.599,10.082,10.531
CEPU,2018-07-06,10.462,10.57,10.111,10.336
CEPU,2018-07-09,10.326,10.774,10.267,10.472
CEPU,2018-07-10,10.404,10.648,10.355,10.492
CEPU,2018-07-11,10.375,10.482,10.228,10.365
CEPU,2018-07-12,10.355,10.57,10.18,10.443
CEPU,2018-07-13,10.501,10.579,10.116,10.306
CEPU,2018-07-16,10.238,10.414,10.043,10.15
CEPU,2018-07-17,10.189,10.365,9.907,10.102
CEPU,2018-07-18,10.17,10.26,10.004,10.16
CEPU,2018-07-19,10.15,10.306,9.946,10.287
CEPU,2018-07-20,10.326,10.716,10.17,10.716
CEPU,2018-07-23,10.589,10.999,10.433,10.774
CEPU,2018-07-24,10.94,11.027,10.774,10.94
CEPU,2018-07-25,11.116,11.301,10.784,11.125
CEPU,2018-07-26,11.203,11.291,10.969,11.067
CEPU,2018-07-27,11.125,11.398,10.872,10.921
CEPU,2018-07-30,10.852,11.067,10.765,11.047
CEPU,2018-07-31,11.047,11.164,10.93,11.116
CEPU,2018-08-01,11.038,11.569,11.038,11.291
CEPU,2018-08-02,11.242,11.593,11.082,11.194
CEPU,2018-08-03,11.174,11.515,11.028,11.086
CEPU,2018-08-06,11.038,11.506,11.009,11.398
CEPU,2018-08-07,11.379,11.428,11.233,11.311
CEPU,2018-08-08,11.369,11.447,10.706,10.716
CEPU,2018-08-09,10.765,11.057,10.492,10.55
CEPU,2018-08-10,10.433,10.54,9.4971,10.15
CEPU,2018-08-13,9.897,10.287,9.3703,9.604
CEPU,2018-08-14,9.829,10.062,9.536,9.692
CEPU,2018-08-15,9.595,9.97,9.3216,9.868
CEPU,2018-08-16,9.838,10.033,9.526,9.76
CEPU,2018-08-17,9.702,9.79,9.4289,9.604
CEPU,2018-08-20,9.4094,9.721,9.2826,9.595
CEPU,2018-08-21,9.585,9.673,9.364,9.4679
CEPU,2018-08-22,9.4679,9.96,9.3313,9.887
CEPU,2018-08-23,9.877,10.038,9.624,9.624
CEPU,2018-08-24,9.731,9.731,8.8048,9.1753
CEPU,2018-08-27,9.2436,9.424,9.1071,9.3606
CEPU,2018-08-28,9.4776,9.4776,8.9901,9.1461
CEPU,2018-08-29,9.3606,9.4161,8.6683,8.9413
CEPU,2018-08-30,8.8438,8.8438,7.6055,8.249
CEPU,2018-08-31,8.2588,9.2338,8.249,9.1266
CEPU,2018-09-04,9.0681,9.0681,8.1223,8.1808
CEPU,2018-09-05,8.21,8.6781,8.21,8.3758
CEPU,2018-09-06,8.4148,9.897,8.4148,9.79
CEPU,2018-09-07,9.955,10.199,9.682,9.702
CEPU,2018-09-10,9.731,9.897,9.4581,9.546
CEPU,2018-09-11,9.4581,9.614,9.1948,9.2923
CEPU,2018-09-12,9.3313,9.3313,8.9608,9.2338
CEPU,2018-09-13,9.2046,9.614,9.2046,9.4874
CEPU,2018-09-14,9.526,9.751,9.517,9.595
CEPU,2018-09-17,9.634,10.18,9.57,10.121
CEPU,2018-09-18,10.336,10.589,10.248,10.54
CEPU,2018-09-19,10.589,11.652,10.56,10.969
CEPU,2018-09-20,11.028,12.12,11.028,11.964
CEPU,2018-09-21,11.954,12.432,11.525,11.798
CEPU,2018-09-24,11.74,11.808,10.579,11.018
CEPU,2018-09-25,10.784,11.194,10.394,10.93
CEPU,2018-09-26,10.979,11.281,10.628,10.813
CEPU,2018-09-27,10.804,11.018,10.17,10.443
CEPU,2018-09-28,10.404,10.628,9.595,10.043
CEPU,2018-10-01,10.082,10.248,9.936,10.199
CEPU,2018-10-02,10.355,10.579,10.238,10.54
CEPU,2018-10-03,10.648,11.174,10.189,10.228
CEPU,2018-10-04,10.228,10.228,9.2241,9.3411
CEPU,2018-10-05,9.3801,9.653,8.8146,8.9218
CEPU,2018-10-08,9.1948,9.3216,8.6878,8.9316
CEPU,2018-10-09,9.1071,9.1071,8.6976,8.9706
CEPU,2018-10-10,8.9706,8.9998,8.7658,8.8633
CEPU,2018-10-11,8.8633,8.9218,8.6293,8.7463
CEPU,2018-10-12,8.8243,9.4386,8.8243,9.0291
CEPU,2018-10-15,9.0583,9.3703,9.0177,9.2241
CEPU,2018-10-16,9.3118,9.3703,9.0778,9.1753
CEPU,2018-10-17,9.1461,9.1461,8.7853,8.9706
CEPU,2018-10-18,8.8883,8.9413,8.5805,8.7658
CEPU,2018-10-19,8.7853,9.0291,8.6391,8.8633
CEPU,2018-10-22,8.9706,8.9998,8.6878,8.9706
CEPU,2018-10-23,8.8048,8.8292,8.6488,8.7756
CEPU,2018-10-24,8.7756,8.8955,8.5318,8.5415
CEPU,2018-10-25,8.6098,9.1753,8.4538,8.7756
CEPU,2018-10-26,8.7268,9.0876,8.6,8.8146
CEPU,2018-10-29,8.8926,9.1363,8.5123,8.6586
CEPU,2018-10-30,8.6586,8.8633,8.6,8.8243
CEPU,2018-10-31,8.8341,9.4776,8.5575,9.3411
CEPU,2018-11-01,9.3703,9.799,9.1656,9.643
CEPU,2018-11-02,9.692,10.326,9.692,10.189
CEPU,2018-11-05,10.17,10.277,9.848,9.994
CEPU,2018-11-06,9.926,10.17,9.834,10.004
CEPU,2018-11-07,10.024,10.511,9.955,10.277
CEPU,2018-11-08,10.248,10.726,10.155,10.433
CEPU,2018-11-09,10.306,10.458,9.955,10.072
CEPU,2018-11-12,10.15,10.287,9.702,9.877
CEPU,2018-11-13,9.1266,9.926,9.0486,9.2143
CEPU,2018-11-14,9.1948,9.643,9.1071,9.4484
CEPU,2018-11-15,9.2728,10.287,9.2728,10.219
CEPU,2018-11-16,10.219,10.326,9.927,10.014
CEPU,2018-11-19,10.131,10.17,9.595,9.897
CEPU,2018-11-20,9.848,9.848,9.1753,9.3606
CEPU,2018-11-21,9.3508,9.682,9.2826,9.4679
CEPU,2018-11-23,9.3899,9.4191,9.1071,9.2631
CEPU,2018-11-26,9.3313,9.595,8.9316,9.2241
CEPU,2018-11-27,9.1558,9.2533,8.8243,8.9511
CEPU,2018-11-28,8.9706,9.0193,8.6781,8.8731
CEPU,2018-11-29,8.9023,9.2631,8.9023,9.2046
CEPU,2018-11-30,9.2436,9.4581,9.2143,9.4094
CEPU,2018-12-03,9.692,9.809,9.4191,9.585
CEPU,2018-12-04,9.4971,9.556,9.3021,9.4874
CEPU,2018-12-06,9.1753,9.692,9.1266,9.565
CEPU,2018-12-07,9.643,9.692,9.2631,9.3411
CEPU,2018-12-10,9.3313,9.3723,8.9413,9.0681
CEPU,2018-12-11,9.0778,9.2241,8.9511,9.2046
CEPU,2018-12-12,9.2631,9.2631,8.9852,9.0973
CEPU,2018-12-13,9.0583,9.1851,9.0096,9.1266
CEPU,2018-12-14,9.0486,9.0681,8.6683,8.6781
CEPU,2018-12-17,8.6488,8.7572,8.3173,8.4733
CEPU,2018-12-18,8.4538,8.6488,8.2198,8.522
CEPU,2018-12-19,8.6017,8.7464,8.483,8.561
CEPU,2018-12-20,8.6293,8.7073,8.327,8.5318
CEPU,2018-12-21,8.7756,8.7853,8.1418,8.4635
CEPU,2018-12-24,8.4425,8.5708,8.1905,8.483
CEPU,2018-12-26,8.5415,8.5805,8.0443,8.483
CEPU,2018-12-27,8.444,8.7658,8.2619,8.7171
CEPU,2018-12-28,8.7756,8.8243,8.5244,8.7756
CEPU,2018-12-31,8.8048,9.0681,8.561,8.9706
CEPU,2019-01-02,8.9316,9.1168,8.7171,8.9121
CEPU,2019-01-03,8.9023,8.9608,8.7366,8.8048
CEPU,2019-01-04,8.9316,9.2533,8.7853,8.9803
CEPU,2019-01-07,9.0876,9.2436,8.9706,9.1363
CEPU,2019-01-08,9.1461,9.2846,8.9023,9.1461
CEPU,2019-01-09,9.1461,9.702,9.0973,9.692
CEPU,2019-01-10,9.702,9.926,9.4191,9.751
CEPU,2019-01-11,9.741,9.887,9.595,9.819
CEPU,2019-01-14,9.673,9.994,9.653,9.868
CEPU,2019-01-15,9.897,10.102,9.834,10.024
CEPU,2019-01-16,9.955,10.141,9.858,9.916
CEPU,2019-01-17,9.868,10.033,9.79,9.946
CEPU,2019-01-18,9.985,10.17,9.848,9.897
CEPU,2019-01-22,9.994,10.005,9.4094,9.634
CEPU,2019-01-23,9.741,9.741,9.507,9.702
CEPU,2019-01-24,9.79,9.985,9.586,9.926
CEPU,2019-01-25,9.916,10.121,9.687,9.829
CEPU,2019-01-28,9.721,10.092,9.604,10.043
CEPU,2019-01-29,9.926,9.994,9.604,9.858
CEPU,2019-01-30,9.79,10.189,9.546,10.072
CEPU,2019-01-31,10.053,10.531,9.907,10.238
CEPU,2019-02-01,10.238,10.521,10.209,10.453
CEPU,2019-02-04,10.462,10.921,10.462,10.813
CEPU,2019-02-05,10.813,11.086,10.813,11.057
CEPU,2019-02-06,10.969,11.018,10.833,10.969
CEPU,2019-02-07,10.867,10.867,10.394,10.453
CEPU,2019-02-08,10.501,10.55,10.102,10.453
CEPU,2019-02-11,10.433,10.872,10.433,10.677
CEPU,2019-02-12,10.882,11.067,10.774,11.067
CEPU,2019-02-13,11.038,11.038,10.77,10.804
CEPU,2019-02-14,10.648,10.843,10.614,10.774
CEPU,2019-02-15,10.843,10.843,10.453,10.511
CEPU,2019-02-19,10.472,10.56,9.994,10.209
CEPU,2019-02-20,10.102,10.375,9.77,9.868
CEPU,2019-02-21,9.877,10.014,9.77,9.994
CEPU,2019-02-22,10.063,10.472,9.946,10.394
CEPU,2019-02-25,10.54,10.54,10.189,10.355
CEPU,2019-02-26,10.423,10.423,10.014,10.072
CEPU,2019-02-27,10.121,10.248,9.887,10.063
CEPU,2019-02-28,10.072,10.072,9.614,9.946
CEPU,2019-03-01,10.043,10.131,9.3996,9.585
CEPU,2019-03-04,9.653,9.653,9.4581,9.507
CEPU,2019-03-05,9.575,9.712,9.2923,9.624
CEPU,2019-03-06,9.546,9.546,9.1705,9.4094
CEPU,2019-03-07,9.3703,9.4679,9.0583,9.2338
CEPU,2019-03-08,9.2338,9.536,9.1558,9.1656
CEPU,2019-03-11,9.2143,9.595,9.1168,9.1851
CEPU,2019-03-12,9.2143,9.4581,9.0778,9.4094
CEPU,2019-03-13,9.3869,9.4581,9.307,9.3703
CEPU,2019-03-14,9.3606,9.507,9.3606,9.4386
CEPU,2019-03-15,9.4776,9.897,9.4776,9.79
CEPU,2019-03-18,9.76,10.462,9.76,10.384
CEPU,2019-03-19,10.482,10.643,9.838,10.033
CEPU,2019-03-20,10.043,10.199,9.663,9.79
CEPU,2019-03-21,9.819,9.926,9.4191,9.546
CEPU,2019-03-22,9.0291,9.4581,8.9998,9.0291
CEPU,2019-03-25,9.0681,9.2631,8.9901,9.2143
CEPU,2019-03-26,9.2436,9.4874,8.8602,9.1851
CEPU,2019-03-27,9.0681,9.1656,8.405,8.5513
CEPU,2019-03-28,8.5318,8.8926,8.5318,8.8048
CEPU,2019-03-29,8.8243,9.0681,8.7853,8.9608
CEPU,2019-04-01,9.0583,9.2241,8.9706,8.9901
CEPU,2019-04-02,8.9706,9.0778,8.7073,8.7756
CEPU,2019-04-03,8.7756,9.1363,8.444,8.5513
CEPU,2019-04-04,8.5513,8.6293,8.4343,8.5123
CEPU,2019-04-05,8.4928,8.6586,8.3563,8.6293
CEPU,2019-04-08,8.5805,8.8633,8.4635,8.6
CEPU,2019-04-09,8.5708,8.8633,8.093,8.1125
CEPU,2019-04-10,8.2295,8.2393,8.0248,8.1028
CEPU,2019-04-11,8.1125,8.1808,7.8688,7.937
CEPU,2019-04-12,7.937,8.2198,7.82,8.054
CEPU,2019-04-15,8.093,8.3465,8.0735,8.3173
CEPU,2019-04-16,8.3075,8.6586,8.3075,8.4733
CEPU,2019-04-17,8.4635,8.7366,8.3368,8.5708
CEPU,2019-04-18,8.5805,8.6781,8.288,8.3075
CEPU,2019-04-22,8.3173,8.5317,8.0053,8.093
CEPU,2019-04-23,8.1905,8.2832,8.0833,8.1808
CEPU,2019-04-24,8.1905,8.2978,7.5372,7.625
CEPU,2019-04-25,7.5567,7.6445,6.8352,7.313
CEPU,2019-04-26,7.3812,7.703,7.3227,7.391
CEPU,2019-04-29,7.4982,7.5079,7.2545,7.3032
CEPU,2019-04-30,7.313,7.8785,7.313,7.8785
CEPU,2019-05-01,7.9078,8.0833,7.6542,8.0735
CEPU,2019-05-02,8.0735,8.3173,7.9955,8.2003
CEPU,2019-05-03,8.2003,8.6683,8.2003,8.6098
CEPU,2019-05-06,8.4538,8.6781,8.2393,8.5025
CEPU,2019-05-07,8.3953,8.5415,8.21,8.3563
CEPU,2019-05-08,8.444,8.7268,8.3368,8.6976
CEPU,2019-05-09,8.5708,9.1558,8.3417,9.1363
CEPU,2019-05-10,9.0876,9.2631,8.5318,8.6196
CEPU,2019-05-13,8.444,8.483,8.1125,8.2978
CEPU,2019-05-14,8.3075,8.3075,7.664,7.8395
CEPU,2019-05-15,7.7225,7.8688,7.5762,7.781
CEPU,2019-05-16,7.781,7.82,7.508,7.586
CEPU,2019-05-17,7.508,7.7225,7.3227,7.3812
CEPU,2019-05-20,7.4007,7.4885,7.1277,7.2642
CEPU,2019-05-21,7.313,7.7517,7.313,7.6835
CEPU,2019-05-22,7.703,7.8883,7.469,7.5372
CEPU,2019-05-23,7.4592,7.5567,7.3032,7.3617
CEPU,2019-05-24,7.4007,7.9711,7.2252,7.7322
CEPU,2019-05-28,7.7712,8.0053,7.508,7.625
CEPU,2019-05-29,7.5957,7.7517,7.4105,7.586
CEPU,2019-05-30,7.6055,7.9468,7.6055,7.82
CEPU,2019-05-31,7.7225,7.898,7.5665,7.8688
CEPU,2019-06-03,7.9175,7.9409,7.4982,7.5665
CEPU,2019-06-04,7.547,7.8688,7.5371,7.8688
CEPU,2019-06-05,7.8688,7.9468,7.7517,7.8493
CEPU,2019-06-06,7.898,8.093,7.7712,8.0735
CEPU,2019-06-07,8.1125,8.1808,7.8005,7.859
CEPU,2019-06-10,7.8298,7.9272,7.6932,7.8005
CEPU,2019-06-11,7.8785,8.5123,7.7322,8.4538
CEPU,2019-06-12,8.5025,9.556,8.5025,8.9901
CEPU,2019-06-13,9.1558,9.1558,8.5318,8.7561
CEPU,2019-06-14,8.7268,8.8438,8.5708,8.6
CEPU,2019-06-17,8.5513,8.6293,8.4343,8.4928
CEPU,2019-06-18,8.561,8.7936,8.3368,8.444
CEPU,2019-06-19,8.4343,8.483,8.1223,8.1808
CEPU,2019-06-20,8.3563,8.4245,8.1759,8.3953
CEPU,2019-06-21,8.366,8.4635,8.2588,8.4148
CEPU,2019-06-24,8.3855,8.4928,8.2295,8.4733
CEPU,2019-06-25,8.4538,8.5464,8.3173,8.483
CEPU,2019-06-26,8.5123,8.6391,8.4489,8.5805
CEPU,2019-06-27,8.6,8.9706,8.5025,8.8731
CEPU,2019-06-28,8.9023,9.0486,8.8731,9.0388
CEPU,2019-07-01,9.2436,9.2826,8.8926,8.9413
CEPU,2019-07-02,8.9413,8.9706,8.7756,8.9706
CEPU,2019-07-03,8.9413,8.9998,8.8828,8.9901
CEPU,2019-07-05,9.0096,9.1363,8.8048,9.0778
CEPU,2019-07-08,9.0486,9.1656,8.9998,9.1168
CEPU,2019-07-09,9.0096,9.2631,8.9998,9.2631
CEPU,2019-07-10,9.3118,9.585,9.0973,9.4581
CEPU,2019-07-11,9.4679,9.653,9.4581,9.643
CEPU,2019-07-12,9.653,9.741,9.556,9.585
CEPU,2019-07-15,9.585,9.585,8.9901,8.9998
CEPU,2019-07-16,8.9316,9.1558,8.6878,9.0193
CEPU,2019-07-17,9.1071,9.2241,9.0388,9.1948
CEPU,2019-07-18,9.0193,9.2338,8.7951,9.0193
CEPU,2019-07-19,9.0876,9.0876,8.8097,8.9511
CEPU,2019-07-22,8.9316,8.9316,8.7219,8.7951
CEPU,2019-07-23,8.7853,8.8243,8.6878,8.8048
CEPU,2019-07-24,8.7658,8.9023,8.7171,8.7561
CEPU,2019-07-25,8.7171,8.7498,8.3075,8.483
CEPU,2019-07-26,8.5025,8.9608,8.444,8.9218
CEPU,2019-07-29,8.9608,9.2143,8.9023,8.9998
CEPU,2019-07-30,8.9998,8.9998,8.6196,8.9413
CEPU,2019-07-31,8.9706,9.0973,8.7366,8.9803
CEPU,2019-08-01,8.9413,9.0193,8.6781,8.6781
CEPU,2019-08-02,8.6391,8.7463,8.366,8.6878
CEPU,2019-08-05,8.5025,8.5025,8.1223,8.2393
CEPU,2019-08-06,8.2685,8.483,8.1174,8.1905
CEPU,2019-08-07,8.093,8.1515,7.9468,7.9858
CEPU,2019-08-08,8.0248,8.1905,7.9565,8.1613
CEPU,2019-08-09,8.0735,8.8048,7.9858,8.7366
CEPU,2019-08-12,5.5091,5.7919,3.5102,3.8515
CEPU,2019-08-13,3.9002,4.0368,3.5395,3.6467
CEPU,2019-08-14,3.559,3.6077,3.2275,3.3737
CEPU,2019-08-15,3.52,3.8735,3.4127,3.8222
CEPU,2019-08-16,3.9002,4.1635,3.7442,3.754
CEPU,2019-08-19,3.8027,3.8218,3.4127,3.52
CEPU,2019-08-20,3.5395,3.6565,3.3835,3.5785
CEPU,2019-08-21,3.6272,3.715,3.5333,3.676
CEPU,2019-08-22,3.7052,3.8728,3.6565,3.7345
CEPU,2019-08-23,3.7345,3.7832,3.5005,3.52
CEPU,2019-08-26,3.598,3.6462,3.4322,3.4517
CEPU,2019-08-27,3.4517,3.481,3.0812,3.13
CEPU,2019-08-28,3.1787,3.2665,3.0812,3.1495
CEPU,2019-08-29,3.169,3.169,2.8569,2.9739
CEPU,2019-08-30,2.9837,3.0407,2.6619,2.7107
CEPU,2019-09-03,2.9154,3.0714,2.4572,2.6229
CEPU,2019-09-04,2.7009,2.8764,2.5547,2.5547
CEPU,2019-09-05,2.6814,2.9642,2.6327,2.8082
CEPU,2019-09-06,2.8082,2.9944,2.7594,2.8374
CEPU,2019-09-09,2.9349,3.0617,2.8291,2.8472
CEPU,2019-09-10,2.8569,2.9642,2.8472,2.8667
CEPU,2019-09-11,2.8764,3.0129,2.8472,3.0032
CEPU,2019-09-12,3.0227,3.1007,2.9349,2.9544
CEPU,2019-09-13,2.9544,3.0125,2.8569,2.8764
CEPU,2019-09-16,2.8862,3.0178,2.8569,2.9739
CEPU,2019-09-17,3.0422,3.0568,2.9057,3.0324
CEPU,2019-09-18,2.9642,3.0909,2.9642,3.0812
CEPU,2019-09-19,3.0617,3.286,3.0227,3.2567
CEPU,2019-09-20,3.2665,3.3347,3.0422,3.0617
CEPU,2019-09-23,3.0129,3.0227,2.8569,2.9544
CEPU,2019-09-24,2.9544,2.9544,2.7789,2.7789
CEPU,2019-09-25,2.7789,2.8667,2.6814,2.8374
CEPU,2019-09-26,2.8569,2.9349,2.7204,2.7789
CEPU,2019-09-27,2.7789,2.8959,2.7497,2.7789
CEPU,2019-09-30,2.8277,2.9008,2.7107,2.8764
CEPU,2019-10-01,2.8667,2.9349,2.7887,2.8277
CEPU,2019-10-02,2.8082,2.9252,2.7399,2.8374
CEPU,2019-10-03,2.8277,2.8667,2.7497,2.8179
CEPU,2019-10-04,2.8082,3.0812,2.7838,3.0227
CEPU,2019-10-07,3.0812,3.2372,2.9934,3.1104
CEPU,2019-10-08,3.0909,3.13,2.9544,3.0129
CEPU,2019-10-09,3.0324,3.0617,2.9252,3.0129
CEPU,2019-10-10,3.0032,3.1495,2.9739,3.1397
CEPU,2019-10-11,3.1397,3.208,3.0227,3.0422
CEPU,2019-10-14,3.0519,3.0519,2.9252,2.9349
CEPU,2019-10-15,2.9544,3.0422,2.9154,2.9252
CEPU,2019-10-16,2.9154,2.9349,2.8462,2.8959
CEPU,2019-10-17,2.8862,2.9544,2.8277,2.8472
