ticker,date,open,high,low,close
CI,1982-03-31,5.23296,5.3482,5.1174,5.3482
CI,1982-04-01,5.23296,5.3482,5.1174,5.3482
CI,1982-04-02,5.47323,5.57929,5.37725,5.53095
CI,1982-04-05,5.57929,5.62722,5.53095,5.57929
CI,1982-04-06,5.51158,5.55022,5.47323,5.55022
CI,1982-04-07,5.57929,5.61754,5.54073,5.57929
CI,1982-04-08,5.60815,5.66567,5.54073,5.62722
CI,1982-04-12,5.60815,5.65608,5.54073,5.55022
CI,1982-04-13,5.57929,5.61754,5.54073,5.60815
CI,1982-04-14,5.5696,5.58886,5.54073,5.57929
CI,1982-04-15,5.54073,5.57929,5.50228,5.5696
CI,1982-04-16,5.57929,5.60815,5.54073,5.5696
CI,1982-04-19,5.60815,5.62722,5.5696,5.57929
CI,1982-04-20,5.5696,5.58886,5.54073,5.5696
CI,1982-04-21,5.53095,5.55022,5.50228,5.50228
CI,1982-04-22,5.53095,5.55022,5.49241,5.51158
CI,1982-04-23,5.23296,5.24243,5.20399,5.24243
CI,1982-04-26,5.15595,5.24243,5.06927,5.12709
CI,1982-04-27,5.07886,5.12709,5.03082,5.04061
CI,1982-04-28,5.05,5.08845,5.01156,5.01156
CI,1982-04-29,5.04061,5.07886,4.99227,4.99227
CI,1982-04-30,4.93475,4.96332,4.91538,4.92497
CI,1982-05-03,4.88662,4.92497,4.84827,4.87703
CI,1982-05-04,4.87703,4.88662,4.85785,4.88662
CI,1982-05-05,4.85785,4.88662,4.83867,4.87703
CI,1982-05-06,4.87703,4.91538,4.83867,4.88662
CI,1982-05-07,4.83867,4.88662,4.78066,4.80962
CI,1982-05-10,4.83867,4.87703,4.79993,4.81941
CI,1982-05-11,4.8962,4.93475,4.85785,4.92497
CI,1982-05-12,4.80962,4.93475,4.68439,4.68439
CI,1982-05-13,4.23249,4.29022,4.17478,4.21333
CI,1982-05-14,4.3094,4.33826,4.27094,4.32876
CI,1982-05-17,4.32876,4.34785,4.29971,4.32876
CI,1982-05-18,4.3094,4.32876,4.29022,4.29971
CI,1982-05-19,4.25158,4.27094,4.21333,4.22282
CI,1982-05-20,4.17478,4.21333,4.13633,4.19404
CI,1982-05-21,4.14591,4.17478,4.11705,4.13633
CI,1982-05-24,4.07861,4.13633,4.02088,4.03037
CI,1982-05-25,4.07861,4.10746,4.03996,4.03996
CI,1982-05-26,4.00152,4.03996,3.95348,3.98223
CI,1982-05-27,3.95348,3.98223,3.92451,3.96297
CI,1982-05-28,3.95348,3.98223,3.91523,3.92451
CI,1982-06-01,3.88616,3.91523,3.84771,3.88616
CI,1982-06-02,3.91523,3.94368,3.88616,3.91523
CI,1982-06-03,3.88616,3.92451,3.83813,3.90544
CI,1982-06-04,3.82855,3.90544,3.73207,3.76113
CI,1982-06-07,3.65529,3.69382,3.60714,3.65529
CI,1982-06-08,3.55901,3.6359,3.48211,3.53024
CI,1982-06-09,3.492,3.55901,3.42439,3.42439
CI,1982-06-10,3.492,3.55901,3.42439,3.45335
CI,1982-06-11,3.53024,3.5686,3.48211,3.53024
CI,1982-06-14,3.45335,3.52066,3.37625,3.37625
CI,1982-06-15,3.42439,3.45335,3.40521,3.45335
CI,1982-06-16,3.45335,3.492,3.40521,3.46304
CI,1982-06-17,3.4147,3.46304,3.34759,3.37625
CI,1982-06-18,3.32842,3.37625,3.26091,3.27059
CI,1982-06-21,3.31863,3.34759,3.27059,3.27059
CI,1982-06-22,3.32842,3.4147,3.22235,3.4147
CI,1982-06-23,3.4147,3.45335,3.36677,3.45335
CI,1982-06-24,3.50138,3.53993,3.45335,3.45335
CI,1982-06-25,3.492,3.53024,3.45335,3.492
CI,1982-06-28,3.492,3.50138,3.46304,3.492
CI,1982-06-29,3.48211,3.52066,3.44376,3.48211
CI,1982-06-30,3.50138,3.53993,3.46304,3.48211
CI,1982-07-01,3.44376,3.48211,3.40521,3.42439
CI,1982-07-02,3.37625,3.40521,3.33791,3.37625
CI,1982-07-06,3.26091,3.34759,3.17443,3.29946
CI,1982-07-07,3.25122,3.29946,3.20299,3.20299
CI,1982-07-08,3.29946,3.40521,3.1839,3.34759
CI,1982-07-09,3.37625,3.42439,3.32842,3.34759
CI,1982-07-12,3.31863,3.34759,3.27059,3.32842
CI,1982-07-13,3.32842,3.39553,3.27059,3.29946
CI,1982-07-14,3.31863,3.34759,3.27059,3.32842
CI,1982-07-15,3.34759,3.36677,3.33791,3.36677
