ticker,date,open,high,low,close
CM,1997-11-13,15.75,15.78,14.88,15.25
CM,1997-11-14,15.38,15.44,15.19,15.31
CM,1997-11-17,15.62,15.75,15.5,15.59
CM,1997-11-18,15.66,15.66,15.53,15.53
CM,1997-11-19,15.5,15.59,15.47,15.59
CM,1997-11-20,15.62,15.81,15.62,15.72
CM,1997-11-21,15.75,15.94,15.75,15.84
CM,1997-11-24,15.78,15.84,15.72,15.72
CM,1997-11-25,15.69,15.69,15.12,15.47
CM,1997-11-26,15.5,15.53,14.84,15.0
CM,1997-11-28,15.0,15.0,14.97,14.97
CM,1997-12-01,15.06,15.75,15.06,15.75
CM,1997-12-02,15.75,16.22,15.75,15.75
CM,1997-12-03,15.88,16.19,15.75,15.91
CM,1997-12-04,15.94,16.06,15.78,15.78
CM,1997-12-05,15.75,16.06,15.5,16.03
CM,1997-12-08,16.12,16.62,16.12,16.41
CM,1997-12-09,16.34,16.69,16.34,16.5
CM,1997-12-10,16.5,16.53,16.19,16.31
CM,1997-12-11,16.25,16.25,15.88,15.97
CM,1997-12-12,16.0,16.22,15.81,16.22
CM,1997-12-15,16.28,16.41,16.03,16.25
CM,1997-12-16,16.31,16.44,15.97,16.12
CM,1997-12-17,16.25,16.31,15.97,16.06
CM,1997-12-18,16.09,16.12,15.88,15.94
CM,1997-12-19,15.88,15.88,15.44,15.59
CM,1997-12-22,15.62,15.62,15.44,15.47
CM,1997-12-23,15.47,15.47,15.0,15.0
CM,1997-12-24,14.81,14.94,14.75,14.75
CM,1997-12-26,14.81,14.91,14.81,14.91
CM,1997-12-29,15.0,15.38,15.0,15.38
CM,1997-12-30,15.5,15.78,15.5,15.78
CM,1997-12-31,15.75,15.75,15.62,15.62
CM,1998-01-02,15.62,15.75,15.56,15.66
CM,1998-01-05,15.69,16.25,15.69,16.19
CM,1998-01-06,16.12,16.12,15.94,15.97
CM,1998-01-07,15.94,15.94,15.44,15.44
CM,1998-01-08,15.31,15.34,15.19,15.22
CM,1998-01-09,15.09,15.16,14.5,14.5
CM,1998-01-12,13.94,14.19,13.38,13.91
CM,1998-01-13,14.31,14.34,14.09,14.16
CM,1998-01-14,14.28,14.41,13.75,14.0
CM,1998-01-15,13.81,13.81,13.38,13.38
CM,1998-01-16,13.59,13.59,13.19,13.44
CM,1998-01-20,13.44,13.44,13.12,13.31
CM,1998-01-21,13.19,13.22,13.12,13.16
CM,1998-01-22,13.12,13.12,12.25,12.5
CM,1998-01-23,14.0,14.19,12.75,13.22
CM,1998-01-26,13.34,14.06,13.34,14.0
CM,1998-01-27,14.06,14.59,14.06,14.41
CM,1998-01-28,14.41,14.41,13.91,14.0
CM,1998-01-29,13.91,13.91,13.72,13.84
CM,1998-01-30,13.84,13.84,13.62,13.62
