ticker,date,open,high,low,close
CMBT,2024-07-16,15.83,16.15,15.63,16.15
CMBT,2024-07-17,16.16,16.33,16.15,16.17
CMBT,2024-07-18,16.38,16.43,16.115,16.23
CMBT,2024-07-19,16.45,16.5,16.32,16.47
CMBT,2024-07-22,16.58,17.08,16.58,16.96
CMBT,2024-07-23,16.91,16.99,16.47,16.74
CMBT,2024-07-24,16.65,16.82,16.38,16.56
CMBT,2024-07-25,16.79,17.03,16.5101,16.91
CMBT,2024-07-26,16.96,17.08,16.6,16.85
CMBT,2024-07-29,16.81,17.22,16.81,17.21
CMBT,2024-07-30,17.21,17.76,17.21,17.54
CMBT,2024-07-31,17.68,18.43,17.68,18.37
CMBT,2024-08-01,18.19,18.19,17.45,17.74
CMBT,2024-08-02,17.21,17.46,16.942,17.39
CMBT,2024-08-05,16.1058,16.97,16.1019,16.72
CMBT,2024-08-06,16.7,17.12,16.57,17.04
CMBT,2024-08-07,17.11,17.12,16.78,16.95
CMBT,2024-08-08,17.25,17.29,16.8,17.11
CMBT,2024-08-09,17.03,17.12,16.77,16.93
CMBT,2024-08-12,16.8,17.28,16.8,17.13
CMBT,2024-08-13,17.15,17.1799,16.79,16.92
CMBT,2024-08-14,17.02,17.06,16.84,17.04
CMBT,2024-08-15,17.1,17.16,16.94,17.04
CMBT,2024-08-16,16.98,17.1,16.83,16.91
CMBT,2024-08-19,16.77,16.77,16.57,16.7
CMBT,2024-08-20,16.63,16.73,16.48,16.52
CMBT,2024-08-21,16.68,16.6999,16.0,16.22
CMBT,2024-08-22,16.36,16.4499,15.9,16.02
CMBT,2024-08-23,16.24,16.4699,16.19,16.27
CMBT,2024-08-26,16.25,16.46,16.24,16.39
CMBT,2024-08-27,16.51,16.59,16.35,16.53
CMBT,2024-08-28,16.45,16.4699,16.04,16.13
CMBT,2024-08-29,16.1,16.26,16.0,16.26
CMBT,2024-08-30,16.23,16.59,16.23,16.56
CMBT,2024-09-03,15.64,15.64,15.58,15.64
CMBT,2024-09-04,15.58,15.7794,15.49,15.51
CMBT,2024-09-05,15.51,15.73,15.49,15.55
CMBT,2024-09-06,15.19,15.19,15.05,15.19
CMBT,2024-09-09,15.14,15.23,14.92,14.96
CMBT,2024-09-10,15.0305,15.0305,14.58,14.73
CMBT,2024-09-11,14.87,15.14,14.7301,15.08
CMBT,2024-09-12,14.94,15.42,14.94,15.24
CMBT,2024-09-13,15.41,15.68,15.41,15.6
CMBT,2024-09-16,15.71,15.75,15.5201,15.75
CMBT,2024-09-17,15.84,16.12,15.79,16.1
CMBT,2024-09-18,16.1,16.3002,15.96,15.96
CMBT,2024-09-19,16.14,16.28,16.1,16.26
CMBT,2024-09-20,16.0,16.0142,15.66,15.73
CMBT,2024-09-23,15.65,15.91,15.64,15.86
CMBT,2024-09-24,15.86,16.17,15.81,16.13
CMBT,2024-09-25,16.15,16.15,15.8,15.92
CMBT,2024-09-26,16.08,16.45,16.08,16.31
CMBT,2024-09-27,16.42,16.51,16.36,16.45
CMBT,2024-09-30,16.36,16.63,16.26,16.62
CMBT,2024-10-01,16.5,16.8885,16.44,16.77
CMBT,2024-10-02,17.0,17.34,17.0,17.32
CMBT,2024-10-03,17.17,17.52,17.125,17.48
