ticker,date,open,high,low,close
CMCM,2014-05-08,40.4655,43.6545,37.064,37.4625
CMCM,2014-05-09,37.57,39.855,37.199,37.8875
CMCM,2014-05-12,38.4715,39.163,37.9955,38.5255
CMCM,2014-05-13,38.127,38.5525,33.2135,33.2375
CMCM,2014-05-14,34.408,36.693,34.408,36.4265
CMCM,2014-05-15,36.7195,37.118,35.3365,36.2945
CMCM,2014-05-16,35.8695,36.16,35.3635,35.8425
CMCM,2014-05-19,35.8695,35.923,34.2735,34.54
CMCM,2014-05-20,35.019,36.693,34.8065,35.6565
CMCM,2014-05-21,35.1775,36.3995,35.1775,36.2405
CMCM,2014-05-22,36.693,39.5885,36.666,39.5615
CMCM,2014-05-23,39.5345,39.855,37.4625,39.217
CMCM,2014-05-27,39.322,41.448,38.9235,39.882
CMCM,2014-05-28,38.8455,42.2445,38.3935,40.783
CMCM,2014-05-29,39.9865,45.089,39.322,44.1845
CMCM,2014-05-30,44.637,47.293,44.556,47.215
CMCM,2014-06-02,47.745,48.09,45.4335,45.9665
CMCM,2014-06-03,45.8315,46.017,38.5255,38.633
CMCM,2014-06-04,39.855,42.457,39.855,41.1845
CMCM,2014-06-05,41.846,43.415,41.4745,43.017
CMCM,2014-06-06,44.053,55.235,43.7595,52.475
CMCM,2014-06-09,52.66,53.91,49.87,51.095
CMCM,2014-06-10,51.12,54.655,50.72,54.52
CMCM,2014-06-11,53.935,56.355,52.37,54.81
CMCM,2014-06-12,55.265,58.985,54.81,56.7
CMCM,2014-06-13,57.525,59.78,56.805,58.4
CMCM,2014-06-16,57.895,57.895,54.095,56.25
CMCM,2014-06-17,57.07,63.05,56.195,62.81
CMCM,2014-06-18,64.62,66.105,61.91,65.175
CMCM,2014-06-19,66.105,66.425,61.19,61.32
CMCM,2014-06-20,61.27,62.225,57.23,57.925
CMCM,2014-06-23,57.47,62.095,54.68,61.825
CMCM,2014-06-24,62.12,62.76,57.07,57.79
CMCM,2014-06-25,59.2,60.845,57.79,58.24
CMCM,2014-06-26,58.16,62.12,57.6,58.93
CMCM,2014-06-27,58.985,59.385,56.195,56.435
CMCM,2014-06-30,56.62,59.01,56.115,56.435
CMCM,2014-07-01,57.335,58.24,55.61,56.54
CMCM,2014-07-02,57.02,57.79,55.555,55.585
CMCM,2014-07-03,55.93,56.675,55.025,55.585
