ticker,date,open,high,low,close
CMI,1973-02-21,0.0,5.56,5.23,5.23
CMI,1973-02-22,0.0,5.33,5.23,5.28
CMI,1973-02-23,0.0,5.28,5.06,5.06
CMI,1973-02-26,0.0,5.09,5.0,5.0
CMI,1973-02-27,0.0,5.03,4.95,4.95
CMI,1973-02-28,0.0,4.95,4.86,4.94
CMI,1973-03-01,0.0,5.0,4.95,4.95
CMI,1973-03-02,0.0,4.98,4.84,4.92
CMI,1973-03-05,0.0,4.94,4.91,4.91
CMI,1973-03-06,0.0,4.83,4.77,4.8
CMI,1973-03-07,0.0,4.81,4.62,4.66
CMI,1973-03-08,0.0,4.75,4.62,4.69
CMI,1973-03-09,0.0,4.75,4.69,4.72
CMI,1973-03-12,0.0,4.73,4.69,4.69
CMI,1973-03-13,0.0,4.7,4.66,4.69
CMI,1973-03-14,0.0,4.69,4.62,4.66
CMI,1973-03-15,0.0,4.58,4.38,4.38
CMI,1973-03-16,0.0,4.3,4.12,4.28
CMI,1973-03-19,0.0,4.27,4.19,4.23
CMI,1973-03-20,0.0,4.2,4.14,4.2
CMI,1973-03-21,0.0,4.23,4.16,4.23
CMI,1973-03-22,0.0,4.28,4.17,4.28
CMI,1973-03-23,0.0,4.3,4.25,4.3
CMI,1973-03-26,0.0,4.33,4.28,4.3
CMI,1973-03-27,0.0,4.52,4.3,4.52
CMI,1973-03-28,0.0,4.69,4.56,4.64
CMI,1973-03-29,0.0,4.97,4.67,4.95
CMI,1973-03-30,0.0,4.95,4.81,4.91
CMI,1973-04-02,0.0,4.94,4.83,4.86
CMI,1973-04-03,0.0,4.86,4.75,4.83
CMI,1973-04-04,0.0,4.81,4.64,4.64
CMI,1973-04-05,0.0,4.62,4.59,4.62
CMI,1973-04-06,0.0,4.58,4.34,4.34
CMI,1973-04-09,0.0,4.39,4.12,4.27
CMI,1973-04-10,0.0,4.41,4.3,4.41
CMI,1973-04-11,0.0,4.67,4.47,4.67
CMI,1973-04-12,0.0,4.88,4.69,4.84
CMI,1973-04-13,0.0,4.89,4.81,4.81
CMI,1973-04-16,0.0,4.81,4.66,4.69
CMI,1973-04-17,0.0,4.7,4.69,4.69
CMI,1973-04-18,0.0,4.69,4.52,4.56
CMI,1973-04-19,0.0,4.56,4.5,4.5
CMI,1973-04-23,0.0,4.59,4.5,4.5
CMI,1973-04-24,0.0,4.58,4.53,4.53
CMI,1973-04-25,0.0,4.48,4.36,4.36
CMI,1973-04-26,0.0,4.42,4.33,4.38
CMI,1973-04-27,0.0,4.39,4.25,4.25
CMI,1973-04-30,0.0,4.48,4.17,4.48
CMI,1973-05-01,0.0,4.52,4.34,4.41
CMI,1973-05-02,0.0,4.52,4.36,4.36
CMI,1973-05-03,0.0,4.38,4.3,4.3
CMI,1973-05-04,0.0,4.36,4.31,4.36
CMI,1973-05-07,0.0,4.36,4.31,4.31
CMI,1973-05-08,0.0,4.25,4.19,4.23
CMI,1973-05-09,0.0,4.23,4.19,4.23
CMI,1973-05-10,0.0,4.19,4.11,4.12
CMI,1973-05-11,0.0,4.22,4.17,4.19
CMI,1973-05-14,0.0,4.14,4.09,4.09
CMI,1973-05-15,0.0,4.08,3.95,4.0
CMI,1973-05-16,0.0,4.0,3.94,4.0
CMI,1973-05-17,0.0,3.98,3.94,3.94
CMI,1973-05-18,0.0,3.97,3.89,3.92
CMI,1973-05-21,0.0,3.92,3.83,3.88
CMI,1973-05-22,0.0,3.94,3.78,3.84
CMI,1973-05-23,0.0,3.89,3.84,3.88
CMI,1973-05-24,0.0,3.91,3.81,3.89
CMI,1973-05-25,0.0,4.05,3.88,3.98
CMI,1973-05-29,0.0,4.08,3.95,4.0
CMI,1973-05-30,0.0,3.98,3.88,3.88
CMI,1973-05-31,0.0,3.94,3.84,3.91
CMI,1973-06-01,0.0,3.88,3.81,3.88
CMI,1973-06-04,0.0,3.88,3.81,3.88
CMI,1973-06-05,0.0,3.89,3.81,3.81
CMI,1973-06-06,0.0,3.88,3.84,3.88
CMI,1973-06-07,0.0,3.81,3.75,3.77
CMI,1973-06-08,0.0,3.86,3.81,3.83
CMI,1973-06-11,0.0,3.84,3.78,3.78
CMI,1973-06-12,0.0,4.0,3.83,3.95
CMI,1973-06-13,0.0,4.05,4.0,4.05
CMI,1973-06-14,0.0,4.05,4.05,4.05
CMI,1973-06-15,0.0,4.0,3.88,3.91
CMI,1973-06-18,0.0,3.88,3.8,3.8
CMI,1973-06-19,0.0,3.75,3.72,3.73
CMI,1973-06-20,0.0,3.77,3.69,3.72
CMI,1973-06-21,0.0,3.69,3.67,3.67
CMI,1973-06-22,0.0,3.75,3.66,3.66
CMI,1973-06-25,0.0,3.8,3.69,3.72
CMI,1973-06-26,0.0,3.77,3.7,3.77
CMI,1973-06-27,0.0,3.83,3.7,3.83
CMI,1973-06-28,0.0,3.94,3.83,3.89
CMI,1973-06-29,0.0,4.14,3.94,4.11
CMI,1973-07-02,0.0,4.16,4.06,4.12
CMI,1973-07-03,0.0,4.17,4.12,4.17
CMI,1973-07-05,0.0,4.55,4.25,4.55
CMI,1973-07-06,0.0,4.62,4.53,4.58
CMI,1973-07-09,0.0,4.53,4.39,4.39
CMI,1973-07-10,0.0,4.47,4.39,4.44
CMI,1973-07-11,0.0,4.62,4.44,4.52
CMI,1973-07-12,0.0,4.5,4.41,4.48
CMI,1973-07-13,0.0,4.5,4.45,4.47
CMI,1973-07-16,0.0,4.61,4.48,4.61
CMI,1973-07-17,0.0,4.75,4.62,4.75
CMI,1973-07-18,0.0,4.75,4.72,4.75
CMI,1973-07-19,0.0,4.81,4.75,4.81
CMI,1973-07-20,0.0,4.88,4.8,4.84
CMI,1973-07-23,0.0,4.88,4.73,4.8
CMI,1973-07-24,0.0,4.81,4.75,4.81
CMI,1973-07-25,0.0,4.83,4.75,4.75
CMI,1973-07-26,0.0,4.77,4.69,4.7
CMI,1973-07-27,0.0,4.75,4.7,4.72
CMI,1973-07-30,0.0,4.78,4.62,4.64
CMI,1973-07-31,0.0,4.72,4.62,4.72
CMI,1973-08-01,0.0,4.69,4.62,4.62
CMI,1973-08-02,0.0,4.69,4.67,4.69
CMI,1973-08-03,0.0,4.69,4.59,4.66
CMI,1973-08-06,0.0,4.7,4.58,4.58
CMI,1973-08-07,0.0,4.61,4.55,4.59
CMI,1973-08-08,0.0,4.66,4.59,4.59
CMI,1973-08-09,0.0,4.62,4.56,4.62
CMI,1973-08-10,0.0,4.62,4.59,4.59
CMI,1973-08-13,0.0,4.59,4.52,4.55
CMI,1973-08-14,0.0,4.62,4.59,4.62
CMI,1973-08-15,0.0,4.62,4.62,4.62
CMI,1973-08-16,0.0,4.62,4.59,4.59
CMI,1973-08-17,4.59,4.59,4.59,4.59
CMI,1973-08-20,0.0,4.61,4.53,4.56
CMI,1973-08-21,0.0,4.55,4.52,4.53
CMI,1973-08-22,0.0,4.5,4.5,4.5
CMI,1973-08-23,0.0,4.5,4.5,4.5
CMI,1973-08-24,0.0,4.69,4.53,4.64
CMI,1973-08-27,0.0,4.73,4.64,4.73
CMI,1973-08-28,0.0,4.91,4.72,4.91
CMI,1973-08-29,0.0,5.27,4.92,5.19
CMI,1973-08-30,0.0,5.31,5.19,5.19
CMI,1973-08-31,0.0,5.19,5.03,5.12
