ticker,date,open,high,low,close
CNQ,2000-07-31,3.49,3.49,3.41,3.41
CNQ,2000-08-01,3.43,3.43,3.36,3.43
CNQ,2000-08-02,3.55,3.6,3.55,3.58
CNQ,2000-08-03,3.58,3.63,3.57,3.59
CNQ,2000-08-04,3.58,3.6,3.55,3.6
CNQ,2000-08-07,3.58,3.58,3.49,3.5
CNQ,2000-08-08,3.6,3.67,3.57,3.6
CNQ,2000-08-09,3.59,3.67,3.59,3.64
CNQ,2000-08-10,3.7,3.7,3.68,3.7
CNQ,2000-08-11,3.7,3.74,3.7,3.74
CNQ,2000-08-14,3.76,3.8,3.76,3.78
CNQ,2000-08-15,3.83,3.84,3.76,3.76
CNQ,2000-08-16,3.75,3.85,3.75,3.84
CNQ,2000-08-17,3.88,3.94,3.88,3.93
CNQ,2000-08-18,3.93,3.93,3.87,3.89
CNQ,2000-08-21,3.91,3.91,3.88,3.89
CNQ,2000-08-22,3.89,3.89,3.84,3.86
CNQ,2000-08-23,3.88,3.98,3.88,3.98
CNQ,2000-08-24,3.96,3.96,3.93,3.93
CNQ,2000-08-25,3.97,4.0,3.96,3.99
CNQ,2000-08-28,3.99,4.07,3.99,4.07
CNQ,2000-08-29,4.08,4.14,3.96,3.96
CNQ,2000-08-30,3.94,3.96,3.94,3.94
CNQ,2000-08-31,3.97,4.01,3.97,3.98
CNQ,2000-09-01,3.98,3.98,3.92,3.92
CNQ,2000-09-05,3.96,3.99,3.93,3.99
CNQ,2000-09-06,3.98,4.12,3.96,4.1
CNQ,2000-09-07,4.12,4.16,4.1,4.14
CNQ,2000-09-08,4.09,4.09,4.09,4.09
CNQ,2000-09-11,4.11,4.16,4.11,4.13
CNQ,2000-09-12,4.19,4.32,4.16,4.32
CNQ,2000-09-13,4.35,4.39,4.32,4.38
CNQ,2000-09-14,4.38,4.39,4.33,4.33
CNQ,2000-09-15,4.35,4.56,4.35,4.56
CNQ,2000-09-18,4.56,4.64,4.42,4.51
CNQ,2000-09-19,4.55,4.55,4.46,4.48
CNQ,2000-09-20,4.6,4.6,4.41,4.41
CNQ,2000-09-21,4.25,4.29,4.24,4.25
CNQ,2000-09-22,4.14,4.25,4.07,4.1
CNQ,2000-09-25,4.03,4.03,3.94,4.03
CNQ,2000-09-26,4.12,4.12,4.11,4.11
CNQ,2000-09-27,4.16,4.16,4.11,4.12
CNQ,2000-09-28,4.05,4.09,4.05,4.08
CNQ,2000-09-29,4.06,4.1,4.04,4.1
CNQ,2000-10-02,4.16,4.21,4.1,4.19
CNQ,2000-10-03,4.19,4.23,4.14,4.14
CNQ,2000-10-04,4.19,4.2,4.15,4.19
CNQ,2000-10-05,4.11,4.11,4.02,4.02
CNQ,2000-10-06,4.01,4.01,3.94,3.94
CNQ,2000-10-09,3.97,3.97,3.96,3.96
CNQ,2000-10-10,4.0,4.09,4.0,4.02
CNQ,2000-10-11,4.05,4.07,4.04,4.04
CNQ,2000-10-12,4.01,4.17,4.01,4.11
CNQ,2000-10-13,4.1,4.1,3.97,3.99
CNQ,2000-10-16,3.92,3.92,3.81,3.81
CNQ,2000-10-17,3.83,3.84,3.77,3.8
CNQ,2000-10-18,3.8,3.8,3.68,3.75
CNQ,2000-10-19,3.76,3.8,3.76,3.8
CNQ,2000-10-20,3.71,3.81,3.71,3.81
CNQ,2000-10-23,3.82,3.82,3.76,3.8
CNQ,2000-10-24,3.78,3.78,3.7,3.7
CNQ,2000-10-25,3.72,3.73,3.7,3.7
CNQ,2000-10-26,3.75,3.78,3.73,3.73
CNQ,2000-10-27,3.7,3.7,3.57,3.57
CNQ,2000-10-30,3.57,3.57,3.5,3.5
CNQ,2000-10-31,3.51,3.6,3.51,3.6
CNQ,2000-11-01,3.63,3.66,3.6,3.63
CNQ,2000-11-02,3.57,3.6,3.55,3.55
CNQ,2000-11-03,3.56,3.56,3.5,3.5
CNQ,2000-11-06,3.54,3.54,3.46,3.52
CNQ,2000-11-07,3.5,3.56,3.5,3.56
CNQ,2000-11-08,3.62,3.62,3.54,3.54
CNQ,2000-11-09,3.58,3.62,3.54,3.54
CNQ,2000-11-10,3.55,3.56,3.5,3.5
CNQ,2000-11-13,3.5,3.55,3.4,3.4
CNQ,2000-11-14,3.45,3.47,3.4,3.45
CNQ,2000-11-15,3.43,3.5,3.43,3.45
CNQ,2000-11-16,3.47,3.49,3.46,3.47
CNQ,2000-11-17,3.49,3.49,3.43,3.44
CNQ,2000-11-20,3.44,3.46,3.4,3.4
CNQ,2000-11-21,3.37,3.37,3.23,3.32
CNQ,2000-11-22,3.31,3.31,3.19,3.23
CNQ,2000-11-24,3.34,3.39,3.34,3.39
CNQ,2000-11-27,3.36,3.41,3.34,3.38
CNQ,2000-11-28,3.37,3.51,3.37,3.46
CNQ,2000-11-29,3.5,3.5,3.41,3.41
CNQ,2000-11-30,3.41,3.43,3.32,3.38
CNQ,2000-12-01,3.39,3.44,3.36,3.36
CNQ,2000-12-04,3.39,3.64,3.39,3.64
CNQ,2000-12-05,3.62,3.67,3.42,3.44
CNQ,2000-12-06,3.44,3.55,3.44,3.54
CNQ,2000-12-07,3.56,3.63,3.56,3.61
CNQ,2000-12-08,3.61,3.62,3.53,3.54
CNQ,2000-12-11,3.57,3.61,3.52,3.58
CNQ,2000-12-12,3.56,3.58,3.54,3.54
CNQ,2000-12-13,3.57,3.57,3.52,3.53
CNQ,2000-12-14,3.53,3.53,3.34,3.35
CNQ,2000-12-15,3.36,3.37,3.33,3.37
CNQ,2000-12-18,3.37,3.45,3.37,3.43
CNQ,2000-12-19,3.41,3.41,3.29,3.29
CNQ,2000-12-20,3.29,3.29,3.14,3.14
CNQ,2000-12-21,3.15,3.15,3.03,3.05
CNQ,2000-12-22,3.06,3.12,3.05,3.05
CNQ,2000-12-26,3.06,3.18,3.06,3.18
CNQ,2000-12-27,3.12,3.23,3.12,3.22
CNQ,2000-12-28,3.22,3.35,3.22,3.32
CNQ,2000-12-29,3.34,3.37,3.26,3.37
CNQ,2001-01-02,3.4,3.47,3.4,3.44
CNQ,2001-01-03,3.43,3.43,3.29,3.32
CNQ,2001-01-04,3.33,3.34,3.23,3.27
CNQ,2001-01-05,3.24,3.36,3.24,3.34
CNQ,2001-01-08,3.38,3.39,3.3,3.3
CNQ,2001-01-09,3.31,3.37,3.27,3.35
CNQ,2001-01-10,3.32,3.41,3.31,3.41
CNQ,2001-01-11,3.36,3.44,3.36,3.38
CNQ,2001-01-12,3.39,3.41,3.35,3.39
CNQ,2001-01-16,3.41,3.5,3.41,3.48
CNQ,2001-01-17,3.48,3.55,3.44,3.48
CNQ,2001-01-18,3.45,3.45,3.4,3.4
CNQ,2001-01-19,3.38,3.39,3.34,3.37
CNQ,2001-01-22,3.41,3.46,3.41,3.46
CNQ,2001-01-23,3.46,3.54,3.43,3.52
CNQ,2001-01-24,3.54,3.54,3.44,3.5
CNQ,2001-01-25,3.5,3.53,3.5,3.53
CNQ,2001-01-26,3.52,3.62,3.51,3.58
CNQ,2001-01-29,3.61,3.62,3.59,3.59
CNQ,2001-01-30,3.57,3.58,3.52,3.58
CNQ,2001-01-31,3.58,3.59,3.58,3.58
CNQ,2001-02-01,3.58,3.67,3.58,3.67
CNQ,2001-02-02,3.7,3.72,3.67,3.69
CNQ,2001-02-05,3.67,3.67,3.63,3.63
CNQ,2001-02-06,3.62,3.62,3.57,3.57
CNQ,2001-02-07,3.57,3.58,3.55,3.57
CNQ,2001-02-08,3.58,3.63,3.58,3.63
CNQ,2001-02-09,3.62,3.69,3.62,3.68
CNQ,2001-02-12,3.69,3.73,3.67,3.71
CNQ,2001-02-13,3.72,3.74,3.71,3.73
CNQ,2001-02-14,3.72,3.81,3.72,3.8
CNQ,2001-02-15,3.8,3.8,3.65,3.65
CNQ,2001-02-16,3.66,3.81,3.66,3.79
CNQ,2001-02-20,3.88,3.89,3.73,3.73
CNQ,2001-02-21,3.7,3.7,3.59,3.6
CNQ,2001-02-22,3.6,3.66,3.59,3.65
CNQ,2001-02-23,3.65,3.65,3.6,3.61
CNQ,2001-02-26,3.61,3.64,3.57,3.58
CNQ,2001-02-27,3.58,3.58,3.51,3.52
CNQ,2001-02-28,3.49,3.49,3.43,3.45
CNQ,2001-03-01,3.49,3.5,3.46,3.48
CNQ,2001-03-02,3.49,3.58,3.47,3.58
CNQ,2001-03-05,3.59,3.75,3.59,3.75
CNQ,2001-03-06,3.8,3.82,3.76,3.77
CNQ,2001-03-07,3.76,3.97,3.76,3.97
CNQ,2001-03-08,3.95,3.97,3.87,3.94
CNQ,2001-03-09,3.95,3.95,3.88,3.93
CNQ,2001-03-12,3.88,3.89,3.77,3.77
CNQ,2001-03-13,3.76,3.76,3.71,3.75
CNQ,2001-03-14,3.72,3.84,3.72,3.8
