ticker,date,open,high,low,close
CRI,2003-10-28,13.1,14.15,13.1,14.15
CRI,2003-10-29,14.25,14.95,13.6,13.9
CRI,2003-10-30,14.03,14.35,13.45,13.62
CRI,2003-10-31,13.65,14.0,12.95,14.0
CRI,2003-11-03,14.0,14.39,13.89,14.19
CRI,2003-11-04,14.24,14.46,14.15,14.3
CRI,2003-11-05,14.27,14.35,14.15,14.35
CRI,2003-11-06,14.4,14.43,14.3,14.35
CRI,2003-11-07,14.43,14.47,14.32,14.33
CRI,2003-11-10,14.27,14.32,14.2,14.27
CRI,2003-11-11,14.25,14.27,14.2,14.2
CRI,2003-11-12,14.2,14.7,14.2,14.45
CRI,2003-11-13,14.45,14.45,14.2,14.38
CRI,2003-11-14,14.38,14.38,14.2,14.2
CRI,2003-11-17,14.2,14.2,13.82,13.9
CRI,2003-11-18,13.9,13.98,13.18,13.2
CRI,2003-11-19,13.07,13.07,12.38,12.55
CRI,2003-11-20,12.25,12.57,11.9,12.37
CRI,2003-11-21,12.37,12.84,12.3,12.82
CRI,2003-11-24,13.0,14.31,12.86,13.96
CRI,2003-11-25,13.96,14.0,13.35,13.7
CRI,2003-11-26,13.7,13.72,13.32,13.53
CRI,2003-11-28,13.51,13.6,13.5,13.59
CRI,2003-12-01,13.65,13.95,13.57,13.88
CRI,2003-12-02,13.82,14.1,13.75,13.95
CRI,2003-12-03,14.0,14.25,13.15,13.2
CRI,2003-12-04,13.27,13.5,12.73,13.0
CRI,2003-12-05,12.75,12.93,12.75,12.77
CRI,2003-12-08,12.5,12.65,12.17,12.2
CRI,2003-12-09,12.25,12.48,12.25,12.3
CRI,2003-12-10,12.32,12.8,12.3,12.62
CRI,2003-12-11,12.62,12.73,12.62,12.65
CRI,2003-12-12,12.6,12.6,12.3,12.4
CRI,2003-12-15,12.45,12.5,12.38,12.4
CRI,2003-12-16,12.4,12.5,12.39,12.49
CRI,2003-12-17,12.5,12.7,12.49,12.55
CRI,2003-12-18,12.57,12.77,12.55,12.68
CRI,2003-12-19,12.75,12.75,12.68,12.68
CRI,2003-12-22,12.55,12.71,12.55,12.62
CRI,2003-12-23,12.62,12.74,12.62,12.7
CRI,2003-12-24,12.73,12.77,12.7,12.72
CRI,2003-12-26,12.77,12.95,12.75,12.95
CRI,2003-12-29,12.95,13.0,12.93,12.97
CRI,2003-12-30,12.97,13.05,12.93,12.95
CRI,2003-12-31,12.95,12.95,12.73,12.73
CRI,2004-01-02,12.73,12.88,12.52,12.57
CRI,2004-01-05,12.6,12.68,12.52,12.67
CRI,2004-01-06,12.68,12.82,12.67,12.77
CRI,2004-01-07,12.75,13.1,12.75,13.1
CRI,2004-01-08,13.1,13.18,13.03,13.12
CRI,2004-01-09,13.11,13.11,12.6,12.68
CRI,2004-01-12,12.65,12.65,12.5,12.5
CRI,2004-01-13,12.5,12.65,12.45,12.65
CRI,2004-01-14,12.62,12.68,12.45,12.52
CRI,2004-01-15,12.5,12.99,12.45,12.99
CRI,2004-01-16,12.99,13.55,12.98,13.55
CRI,2004-01-20,13.55,13.65,13.4,13.45
CRI,2004-01-21,13.43,13.52,13.4,13.52
CRI,2004-01-22,13.52,13.57,13.4,13.57
CRI,2004-01-23,13.57,13.86,13.57,13.82
CRI,2004-01-26,13.85,14.05,13.55,14.02
CRI,2004-01-27,14.02,14.02,13.9,13.9
CRI,2004-01-28,13.88,14.27,13.88,14.13
CRI,2004-01-29,14.1,14.11,14.02,14.07
CRI,2004-01-30,14.05,14.05,13.97,14.0
CRI,2004-02-02,14.02,14.15,13.93,13.95
CRI,2004-02-03,13.95,13.96,13.73,13.73
CRI,2004-02-04,13.75,13.75,13.5,13.53
CRI,2004-02-05,13.55,13.62,13.52,13.62
CRI,2004-02-06,13.65,13.89,13.65,13.83
CRI,2004-02-09,13.85,14.25,13.85,14.25
CRI,2004-02-10,14.25,14.31,14.2,14.31
CRI,2004-02-11,14.3,14.5,14.23,14.5
CRI,2004-02-12,14.45,14.5,14.4,14.43
CRI,2004-02-13,14.43,14.6,14.25,14.33
CRI,2004-02-17,14.35,14.35,14.18,14.3
CRI,2004-02-18,14.25,14.32,14.25,14.32
CRI,2004-02-19,14.32,14.35,14.18,14.2
CRI,2004-02-20,14.2,14.2,14.19,14.2
CRI,2004-02-23,14.2,14.23,14.05,14.05
CRI,2004-02-24,14.1,14.12,14.0,14.11
CRI,2004-02-25,14.18,14.4,14.0,14.35
