ticker,date,open,high,low,close
CRT,1992-02-28,10.12,10.5,10.12,10.5
CRT,1992-03-02,10.38,10.5,10.38,10.5
CRT,1992-03-03,10.62,10.62,10.5,10.5
CRT,1992-03-04,10.5,10.75,10.38,10.5
CRT,1992-03-05,10.5,10.5,10.38,10.38
CRT,1992-03-06,10.38,10.38,10.38,10.38
CRT,1992-03-09,10.5,10.5,10.5,10.5
CRT,1992-03-10,10.38,10.5,10.0,10.5
CRT,1992-03-11,10.5,10.5,10.38,10.5
CRT,1992-03-12,10.5,10.5,10.38,10.5
CRT,1992-03-13,10.5,10.5,10.5,10.5
CRT,1992-03-16,10.5,10.62,10.5,10.5
CRT,1992-03-17,10.5,10.5,10.38,10.5
CRT,1992-03-18,10.5,10.5,10.5,10.5
CRT,1992-03-19,10.38,10.38,10.38,10.38
CRT,1992-03-20,10.5,10.5,10.38,10.38
CRT,1992-03-23,10.5,10.5,10.5,10.5
CRT,1992-03-24,10.5,10.75,10.38,10.75
CRT,1992-03-25,10.62,10.75,10.62,10.62
CRT,1992-03-26,10.88,11.0,10.75,10.75
CRT,1992-03-27,10.88,10.88,10.5,10.62
CRT,1992-03-30,10.5,10.88,10.5,10.88
CRT,1992-03-31,10.88,10.88,10.75,10.88
CRT,1992-04-01,10.88,10.88,10.75,10.75
CRT,1992-04-02,10.75,10.75,10.75,10.75
CRT,1992-04-03,10.62,10.75,10.62,10.75
CRT,1992-04-06,10.75,10.88,10.75,10.88
CRT,1992-04-07,11.0,11.0,10.75,10.75
CRT,1992-04-08,10.75,10.88,10.75,10.88
CRT,1992-04-09,11.0,11.0,10.88,10.88
CRT,1992-04-10,11.0,11.0,11.0,11.0
CRT,1992-04-13,11.0,11.0,10.75,10.75
CRT,1992-04-14,10.75,10.75,10.75,10.75
CRT,1992-04-15,10.75,10.75,10.5,10.5
CRT,1992-04-16,10.5,10.5,10.5,10.5
CRT,1992-04-20,10.62,10.62,10.62,10.62
CRT,1992-04-21,10.62,10.75,10.62,10.75
CRT,1992-04-22,10.62,10.75,10.62,10.75
CRT,1992-04-23,10.62,10.62,10.5,10.62
CRT,1992-04-24,10.5,10.5,10.5,10.5
CRT,1992-04-27,10.38,10.5,10.38,10.5
CRT,1992-04-28,10.5,10.5,10.5,10.5
CRT,1992-04-29,10.75,10.75,10.75,10.75
CRT,1992-04-30,10.75,10.75,10.75,10.75
CRT,1992-05-01,10.62,10.62,10.5,10.5
CRT,1992-05-04,10.62,10.62,10.5,10.5
CRT,1992-05-05,10.5,10.62,10.5,10.62
CRT,1992-05-06,10.75,10.75,10.75,10.75
CRT,1992-05-07,10.62,10.62,10.5,10.62
CRT,1992-05-08,10.62,10.62,10.5,10.5
CRT,1992-05-11,10.38,10.5,10.38,10.38
CRT,1992-05-12,10.38,10.38,10.38,10.38
CRT,1992-05-13,10.5,10.5,10.38,10.5
CRT,1992-05-14,10.62,10.62,10.5,10.5
CRT,1992-05-15,10.62,10.62,10.62,10.62
CRT,1992-05-18,10.62,10.62,10.62,10.62
CRT,1992-05-19,10.62,10.62,10.5,10.5
CRT,1992-05-20,10.62,10.62,10.62,10.62
CRT,1992-05-21,10.62,10.75,10.62,10.62
CRT,1992-05-22,10.62,10.62,10.62,10.62
CRT,1992-05-26,10.75,11.0,10.75,10.88
CRT,1992-05-27,10.62,10.88,10.62,10.88
CRT,1992-05-28,11.0,11.0,11.0,11.0
CRT,1992-05-29,11.12,11.12,11.12,11.12
CRT,1992-06-01,11.12,11.12,11.12,11.12
CRT,1992-06-02,11.12,11.25,11.12,11.12
CRT,1992-06-03,11.12,11.25,11.12,11.25
CRT,1992-06-04,11.12,11.25,11.12,11.25
CRT,1992-06-05,11.25,11.25,11.12,11.12
CRT,1992-06-08,11.12,11.12,11.0,11.12
CRT,1992-06-09,11.12,11.12,11.12,11.12
CRT,1992-06-10,11.12,11.12,11.0,11.0
CRT,1992-06-11,11.0,11.0,11.0,11.0
CRT,1992-06-12,11.12,11.12,11.12,11.12
CRT,1992-06-15,11.12,11.12,11.12,11.12
CRT,1992-06-16,11.12,11.25,11.12,11.25
CRT,1992-06-17,11.12,11.25,11.12,11.12
CRT,1992-06-18,11.12,11.38,11.12,11.38
CRT,1992-06-19,11.38,11.38,11.25,11.25
CRT,1992-06-22,11.12,11.38,11.0,11.38
CRT,1992-06-23,11.12,11.12,11.12,11.12
CRT,1992-06-24,11.12,11.12,11.12,11.12
CRT,1992-06-25,11.12,11.12,11.12,11.12
CRT,1992-06-26,11.12,11.12,11.12,11.12
CRT,1992-06-29,11.25,11.25,11.25,11.25
CRT,1992-06-30,11.25,11.25,11.25,11.25
CRT,1992-07-01,11.12,11.5,11.12,11.5
CRT,1992-07-02,11.38,11.38,11.38,11.38
CRT,1992-07-06,11.5,11.62,11.5,11.62
CRT,1992-07-07,11.62,11.62,11.62,11.62
CRT,1992-07-08,11.62,11.62,11.62,11.62
CRT,1992-07-09,11.5,11.5,11.38,11.5
CRT,1992-07-10,11.5,11.5,11.5,11.5
CRT,1992-07-13,11.38,11.38,11.38,11.38
CRT,1992-07-14,11.62,11.75,11.62,11.75
CRT,1992-07-15,11.75,11.75,11.75,11.75
CRT,1992-07-16,11.88,11.88,11.75,11.75
CRT,1992-07-17,11.62,11.75,11.62,11.75
CRT,1992-07-20,11.75,11.75,11.62,11.75
CRT,1992-07-21,11.88,12.0,11.88,12.0
CRT,1992-07-22,12.0,12.0,11.88,11.88
CRT,1992-07-23,11.75,11.88,11.75,11.88
CRT,1992-07-24,11.88,12.0,11.88,12.0
CRT,1992-07-27,11.88,12.0,11.62,11.88
CRT,1992-07-28,11.88,12.5,11.88,12.38
CRT,1992-07-29,12.12,12.25,12.12,12.25
CRT,1992-07-30,12.12,12.38,12.0,12.38
CRT,1992-07-31,12.62,12.62,12.38,12.38
CRT,1992-08-03,12.5,12.5,12.5,12.5
CRT,1992-08-04,12.62,12.75,12.62,12.75
CRT,1992-08-05,12.5,12.5,12.5,12.5
CRT,1992-08-06,12.62,13.12,12.62,13.12
CRT,1992-08-07,12.88,13.0,12.75,12.75
CRT,1992-08-10,12.88,12.88,12.62,12.75
CRT,1992-08-11,12.75,12.75,12.75,12.75
CRT,1992-08-12,12.75,12.88,12.62,12.62
CRT,1992-08-13,12.75,13.0,12.75,13.0
CRT,1992-08-14,13.0,13.25,13.0,13.25
CRT,1992-08-17,13.25,13.38,13.12,13.25
CRT,1992-08-18,13.25,13.25,13.25,13.25
CRT,1992-08-19,13.5,13.88,13.5,13.62
CRT,1992-08-20,13.75,13.75,13.5,13.5
CRT,1992-08-21,13.25,13.25,12.75,12.75
CRT,1992-08-24,12.75,13.0,12.62,12.88
CRT,1992-08-25,13.0,13.0,12.75,12.75
CRT,1992-08-26,12.88,13.12,12.88,13.0
CRT,1992-08-27,13.0,13.0,13.0,13.0
CRT,1992-08-28,13.0,13.5,13.0,13.5
CRT,1992-08-31,13.75,13.75,13.62,13.75
CRT,1992-09-01,13.75,13.88,13.75,13.88
CRT,1992-09-02,13.88,14.0,13.75,13.88
CRT,1992-09-03,13.75,13.75,13.62,13.75
CRT,1992-09-04,13.5,13.75,13.38,13.62
CRT,1992-09-08,13.75,13.75,13.62,13.62
CRT,1992-09-09,13.75,13.75,13.75,13.75
CRT,1992-09-10,13.75,13.88,13.62,13.75
CRT,1992-09-11,13.75,13.75,13.75,13.75
CRT,1992-09-14,13.75,13.88,13.75,13.88
CRT,1992-09-15,13.88,14.0,13.88,13.88
CRT,1992-09-16,13.75,13.88,13.75,13.88
CRT,1992-09-17,13.62,13.88,13.62,13.88
CRT,1992-09-18,13.88,13.88,13.88,13.88
CRT,1992-09-21,13.62,13.75,13.62,13.75
CRT,1992-09-22,13.75,13.75,13.62,13.75
CRT,1992-09-23,13.75,13.88,13.75,13.88
CRT,1992-09-24,13.75,13.88,13.75,13.88
CRT,1992-09-25,14.0,14.12,14.0,14.12
CRT,1992-09-28,14.25,14.38,14.25,14.38
CRT,1992-09-29,14.12,14.88,14.12,14.75
CRT,1992-09-30,14.88,15.0,14.5,14.75
CRT,1992-10-01,14.75,14.75,14.75,14.75
CRT,1992-10-02,14.5,14.75,14.5,14.75
CRT,1992-10-05,14.88,14.88,14.62,14.62
CRT,1992-10-06,14.62,14.62,14.5,14.5
CRT,1992-10-07,14.62,14.75,14.5,14.75
CRT,1992-10-08,14.75,14.75,14.75,14.75
CRT,1992-10-09,14.75,14.75,14.62,14.62
CRT,1992-10-12,14.5,14.62,14.38,14.5
CRT,1992-10-13,14.62,14.62,14.38,14.5
CRT,1992-10-14,14.62,14.88,14.62,14.88
CRT,1992-10-15,14.88,15.0,14.88,15.0
CRT,1992-10-16,15.0,15.25,15.0,15.25
CRT,1992-10-19,15.25,15.38,15.12,15.38
CRT,1992-10-20,15.62,16.0,15.38,15.88
CRT,1992-10-21,15.88,15.88,15.38,15.62
CRT,1992-10-22,15.75,15.75,15.5,15.5
CRT,1992-10-23,15.75,15.75,15.62,15.75
CRT,1992-10-26,15.62,15.62,15.25,15.38
CRT,1992-10-27,15.5,15.5,15.5,15.5
CRT,1992-10-28,15.38,15.38,15.25,15.25
CRT,1992-10-29,15.0,15.0,14.62,14.88
CRT,1992-10-30,14.75,14.88,14.75,14.75
CRT,1992-11-02,14.75,14.75,14.75,14.75
CRT,1992-11-03,14.62,14.62,14.5,14.5
CRT,1992-11-04,14.62,14.62,14.5,14.62
CRT,1992-11-05,14.75,14.75,14.62,14.62
CRT,1992-11-06,14.75,14.88,14.62,14.88
CRT,1992-11-09,14.75,14.75,14.75,14.75
CRT,1992-11-10,14.62,14.75,14.62,14.75
CRT,1992-11-11,14.75,14.88,14.62,14.62
CRT,1992-11-12,14.75,14.75,14.75,14.75
CRT,1992-11-13,14.62,14.62,14.5,14.5
CRT,1992-11-16,14.5,14.62,14.5,14.62
CRT,1992-11-17,14.5,14.5,14.5,14.5
CRT,1992-11-18,14.75,14.88,14.75,14.88
CRT,1992-11-19,15.0,15.0,15.0,15.0
CRT,1992-11-20,15.12,15.12,15.0,15.0
CRT,1992-11-23,15.0,15.12,15.0,15.0
CRT,1992-11-24,15.12,15.25,15.0,15.0
CRT,1992-11-25,14.88,14.88,14.62,14.62
CRT,1992-11-27,14.5,14.5,14.5,14.5
CRT,1992-11-30,14.5,14.62,14.5,14.62
CRT,1992-12-01,14.5,14.88,14.5,14.88
CRT,1992-12-02,14.88,14.88,14.75,14.75
CRT,1992-12-03,14.75,14.75,14.75,14.75
CRT,1992-12-04,14.75,14.75,14.75,14.75
CRT,1992-12-07,14.62,14.62,14.5,14.5
CRT,1992-12-08,14.38,14.5,14.25,14.5
CRT,1992-12-09,14.5,14.88,14.5,14.88
CRT,1992-12-10,14.88,14.88,14.88,14.88
CRT,1992-12-11,15.0,15.0,15.0,15.0
CRT,1992-12-14,15.0,15.0,15.0,15.0
CRT,1992-12-15,15.0,15.0,15.0,15.0
CRT,1992-12-16,15.0,15.0,14.62,14.62
CRT,1992-12-17,14.88,14.88,14.5,14.5
CRT,1992-12-18,14.75,14.88,14.62,14.75
CRT,1992-12-21,14.62,14.62,14.62,14.62
CRT,1992-12-22,14.75,14.75,14.62,14.62
CRT,1992-12-23,14.5,14.5,14.5,14.5
CRT,1992-12-24,14.25,14.25,14.25,14.25
CRT,1992-12-28,14.12,14.12,14.12,14.12
CRT,1992-12-29,14.12,14.75,14.12,14.75
