ticker,date,open,high,low,close
CTRI,2024-04-18,23.75,23.8,22.9,23.13
CTRI,2024-04-19,23.59,24.95,23.147,23.95
CTRI,2024-04-22,24.06,25.17,23.815,24.3
CTRI,2024-04-23,24.5,25.1,24.3,24.61
CTRI,2024-04-24,24.38,25.6,24.0021,25.01
CTRI,2024-04-25,24.5,24.94,24.25,24.67
CTRI,2024-04-26,24.47,25.22,24.47,25.06
CTRI,2024-04-29,24.67,26.07,24.49,25.01
CTRI,2024-04-30,24.59,25.25,24.46,24.75
CTRI,2024-05-01,24.48,25.79,24.48,25.34
CTRI,2024-05-02,25.58,25.58,24.26,24.28
CTRI,2024-05-03,24.29,24.67,23.81,24.0
CTRI,2024-05-06,23.8,25.0,23.34,24.93
CTRI,2024-05-07,24.58,25.29,24.58,25.0
CTRI,2024-05-08,24.78,25.4,24.43,24.96
CTRI,2024-05-09,24.69,25.55,24.69,25.2
CTRI,2024-05-10,24.99,25.56,24.7835,25.39
CTRI,2024-05-13,25.04,25.47,24.035,24.73
CTRI,2024-05-14,24.65,25.3544,24.3,24.79
CTRI,2024-05-15,25.06,25.33,24.83,25.11
CTRI,2024-05-16,24.9,26.45,24.9,25.94
CTRI,2024-05-17,26.03,26.78,25.84,26.77
CTRI,2024-05-20,26.73,27.91,26.62,27.25
CTRI,2024-05-21,27.16,27.19,26.71,27.19
CTRI,2024-05-22,26.87,27.28,26.09,26.31
CTRI,2024-05-23,26.02,26.24,25.0,25.28
CTRI,2024-05-24,25.34,26.64,25.2472,26.4
CTRI,2024-05-28,26.53,27.05,26.04,26.55
CTRI,2024-05-29,26.29,27.11,26.29,26.57
CTRI,2024-05-30,26.57,27.4,26.32,27.03
CTRI,2024-05-31,27.14,27.62,26.91,27.45
CTRI,2024-06-03,27.81,28.1,27.305,27.46
CTRI,2024-06-04,27.08,27.25,26.13,26.15
CTRI,2024-06-05,26.34,26.4,25.88,26.17
CTRI,2024-06-06,26.17,26.4597,25.67,25.99
CTRI,2024-06-07,25.93,26.37,25.7625,25.92
CTRI,2024-06-10,25.68,27.505,25.515,25.97
CTRI,2024-06-11,25.81,26.48,25.64,26.24
CTRI,2024-06-12,26.7,28.645,25.88,26.05
CTRI,2024-06-13,26.37,26.46,25.88,26.38
CTRI,2024-06-14,26.27,26.56,25.78,25.89
CTRI,2024-06-17,25.69,26.19,25.69,26.07
CTRI,2024-06-18,26.21,26.66,26.0,26.35
CTRI,2024-06-20,26.49,26.8428,25.77,26.05
CTRI,2024-06-21,25.78,26.02,24.6,25.58
CTRI,2024-06-24,25.43,26.0,25.195,25.67
CTRI,2024-06-25,25.73,25.81,24.84,25.25
CTRI,2024-06-26,25.2,25.29,24.595,25.29
CTRI,2024-06-27,22.82,23.44,19.98,21.33
CTRI,2024-06-28,21.46,21.46,19.48,19.48
CTRI,2024-07-01,19.48,19.71,18.5,19.0
CTRI,2024-07-02,18.95,20.36,18.81,20.02
CTRI,2024-07-03,20.3,20.895,19.93,19.99
CTRI,2024-07-05,20.02,20.3,19.46,19.62
CTRI,2024-07-08,19.75,19.99,19.08,19.1
CTRI,2024-07-09,19.15,19.15,18.64,18.93
CTRI,2024-07-10,18.91,19.56,18.8,18.88
CTRI,2024-07-11,19.1,19.59,18.6,18.91
CTRI,2024-07-12,19.01,19.55,18.75,19.12
CTRI,2024-07-15,19.22,20.28,18.93,20.11
CTRI,2024-07-16,20.49,21.49,20.36,21.45
CTRI,2024-07-17,21.43,21.7537,20.695,20.95
CTRI,2024-07-18,21.0,21.3,20.59,20.76
CTRI,2024-07-19,20.81,20.88,20.09,20.09
CTRI,2024-07-22,20.34,20.34,19.41,19.78
CTRI,2024-07-23,19.97,20.51,19.69,20.5
CTRI,2024-07-24,20.49,20.86,20.08,20.24
CTRI,2024-07-25,20.34,20.545,19.9515,20.05
CTRI,2024-07-26,20.65,20.67,19.91,20.25
CTRI,2024-07-29,17.82,18.03,14.735,15.72
CTRI,2024-07-30,15.24,16.07,14.79,15.78
CTRI,2024-07-31,15.95,17.24,15.76,16.52
CTRI,2024-08-01,16.6,16.69,15.86,16.35
CTRI,2024-08-02,16.34,16.61,16.18,16.27
CTRI,2024-08-05,15.75,16.09,15.125,15.24
CTRI,2024-08-06,15.18,15.295,14.47,14.92
CTRI,2024-08-07,15.11,15.62,14.81,14.92
CTRI,2024-08-08,15.06,15.65,14.86,15.6
CTRI,2024-08-09,15.71,15.715,15.04,15.33
CTRI,2024-08-12,15.43,15.79,15.19,15.6
CTRI,2024-08-13,15.8,16.58,15.8,16.16
CTRI,2024-08-14,16.28,16.31,15.535,15.76
CTRI,2024-08-15,16.16,16.27,15.685,15.82
CTRI,2024-08-16,15.84,16.29,15.76,16.16
CTRI,2024-08-19,16.3,16.79,16.03,16.13
CTRI,2024-08-20,16.18,16.52,15.81,16.38
CTRI,2024-08-21,16.49,16.78,16.19,16.42
CTRI,2024-08-22,16.26,16.26,16.06,16.26
CTRI,2024-08-23,16.4,17.37,16.23,17.33
CTRI,2024-08-26,17.625,17.625,16.92,17.34
CTRI,2024-08-27,17.12,17.31,16.67,16.98
CTRI,2024-08-28,16.91,17.16,16.62,16.64
CTRI,2024-08-29,16.73,17.36,16.56,16.9
CTRI,2024-08-30,17.18,17.53,17.0,17.08
CTRI,2024-09-03,16.985,16.985,16.01,16.23
CTRI,2024-09-04,16.11,16.3,15.93,16.2
CTRI,2024-09-05,16.22,16.58,16.1,16.56
CTRI,2024-09-06,16.65,16.82,15.82,16.29
CTRI,2024-09-09,16.36,16.99,16.12,16.57
CTRI,2024-09-10,16.55,16.55,15.71,16.37
CTRI,2024-09-11,16.37,16.88,16.075,16.865
CTRI,2024-09-12,16.87,17.46,16.56,17.19
CTRI,2024-09-13,17.55,17.885,17.34,17.88
CTRI,2024-09-16,17.81,17.88,17.32,17.43
CTRI,2024-09-17,17.47,17.59,16.83,17.1
CTRI,2024-09-18,17.32,17.32,16.5,16.6
CTRI,2024-09-19,16.93,16.97,16.6,16.72
CTRI,2024-09-20,16.76,16.81,16.49,16.62
CTRI,2024-09-23,16.72,16.72,16.235,16.53
CTRI,2024-09-24,16.59,16.61,15.93,15.95
CTRI,2024-09-25,15.98,16.04,15.29,15.42
CTRI,2024-09-26,15.57,15.645,15.16,15.35
CTRI,2024-09-27,15.47,15.68,15.2075,15.36
CTRI,2024-09-30,15.29,16.255,15.22,16.15
CTRI,2024-10-01,15.85,16.09,15.41,15.66
CTRI,2024-10-02,15.61,15.97,15.61,15.81
CTRI,2024-10-03,15.74,15.82,15.33,15.51
CTRI,2024-10-04,15.83,16.01,15.49,15.93
CTRI,2024-10-07,15.51,15.76,14.89,15.73
CTRI,2024-10-08,15.91,16.285,15.78,16.05
CTRI,2024-10-09,16.11,17.19,16.02,16.94
CTRI,2024-10-10,16.89,17.57,16.61,17.33
CTRI,2024-10-11,17.33,18.24,17.33,18.06
CTRI,2024-10-14,17.6,17.6,17.15,17.6
CTRI,2024-10-15,17.53,18.07,17.495,17.78
CTRI,2024-10-16,17.94,19.06,17.94,18.6
CTRI,2024-10-17,18.69,19.16,18.55,18.71
CTRI,2024-10-18,18.77,19.08,18.4,18.74
CTRI,2024-10-21,18.86,18.935,18.01,18.48
CTRI,2024-10-22,18.51,18.88,18.19,18.45
CTRI,2024-10-23,18.29,18.54,17.8,18.12
CTRI,2024-10-24,18.15,18.79,18.15,18.71
CTRI,2024-10-25,18.88,18.89,17.84,17.88
CTRI,2024-10-28,18.12,18.62,18.01,18.38
CTRI,2024-10-29,18.33,18.355,17.99,18.24
CTRI,2024-10-30,18.32,19.07,18.21,18.81
CTRI,2024-10-31,18.625,19.01,18.49,18.77
CTRI,2024-11-01,18.96,19.49,18.845,19.0
CTRI,2024-11-04,18.94,19.515,18.58,18.95
CTRI,2024-11-05,18.7501,19.53,18.65,19.41
CTRI,2024-11-06,19.02,19.02,17.02,19.02
CTRI,2024-11-07,19.42,21.66,19.28,21.65
CTRI,2024-11-08,21.55,21.72,20.27,20.38
CTRI,2024-11-11,20.315,21.59,20.315,21.36
CTRI,2024-11-12,21.385,21.59,20.45,20.63
CTRI,2024-11-13,20.83,21.35,20.16,20.16
CTRI,2024-11-14,20.44,20.44,19.94,20.32
CTRI,2024-11-15,20.405,20.74,20.13,20.42
CTRI,2024-11-18,20.605,21.27,20.34,20.57
CTRI,2024-11-19,20.6,21.19,20.57,20.85
CTRI,2024-11-20,20.78,21.32,20.61,21.07
CTRI,2024-11-21,21.205,21.61,21.12,21.26
CTRI,2024-11-22,21.235,21.52,20.7574,20.79
CTRI,2024-11-25,20.85,21.23,20.5,20.93
CTRI,2024-11-26,20.57,21.08,20.35,20.71
CTRI,2024-11-27,20.7,20.89,19.75,20.37
CTRI,2024-11-29,20.405,20.52,19.76,19.81
CTRI,2024-12-02,19.67,20.38,19.57,20.27
CTRI,2024-12-03,20.56,20.73,19.98,20.55
CTRI,2024-12-04,20.57,20.96,20.35,20.96
CTRI,2024-12-05,20.965,22.11,20.965,21.71
CTRI,2024-12-06,21.86,22.14,21.255,21.3
CTRI,2024-12-09,21.42,21.55,20.98,21.39
CTRI,2025-01-27,23.6,24.1299,22.71,23.22
CTRI,2025-01-28,23.205,23.31,20.9,20.98
CTRI,2025-01-29,20.97,22.4,20.97,22.03
CTRI,2025-01-30,22.01,22.91,22.01,22.67
CTRI,2025-01-31,22.38,23.31,22.26,22.28
CTRI,2025-02-03,21.59,21.795,20.84,20.95
CTRI,2025-02-04,21.12,22.34,20.98,22.12
CTRI,2025-02-05,22.445,22.69,21.57,21.74
CTRI,2025-02-06,21.77,22.69,21.475,22.64
CTRI,2025-02-07,22.62,22.84,21.69,22.13
CTRI,2025-02-10,22.245,22.71,21.89,22.42
CTRI,2025-02-11,22.19,22.326,21.49,21.71
CTRI,2025-02-12,21.48,21.99,21.19,21.32
CTRI,2025-02-13,21.41,21.605,20.43,20.75
CTRI,2025-02-14,20.7,20.88,20.17,20.71
CTRI,2025-02-18,20.845,20.845,19.69,19.84
CTRI,2025-02-19,19.87,19.92,19.26,19.7
CTRI,2025-02-20,19.675,19.96,19.2988,19.69
CTRI,2025-02-21,19.895,20.05,18.595,18.63
CTRI,2025-02-24,18.64,18.763,18.14,18.15
CTRI,2025-02-25,18.34,19.32,18.05,18.78
CTRI,2025-02-26,18.75,18.98,17.38,17.46
CTRI,2025-02-27,17.385,17.56,16.75,16.78
CTRI,2025-02-28,16.925,17.45,16.72,17.35
CTRI,2025-03-03,17.51,17.6,15.59,16.1
CTRI,2025-03-04,15.6,16.805,15.31,16.4
CTRI,2025-03-05,16.42,16.83,16.2475,16.64
CTRI,2025-03-06,16.38,16.63,16.03,16.45
CTRI,2025-03-07,16.465,16.64,15.18,16.48
CTRI,2025-03-10,16.49,16.98,16.11,16.85
CTRI,2025-03-11,16.985,17.1,15.97,16.1
CTRI,2025-03-12,15.5,15.5,15.47,15.5
CTRI,2025-03-13,15.45,15.73,15.36,15.65
CTRI,2025-03-14,15.73,15.83,15.5,15.74
CTRI,2025-03-17,15.53,16.43,15.41,16.36
CTRI,2025-03-18,16.3,16.45,16.07,16.42
CTRI,2025-03-19,16.47,17.41,16.43,16.78
CTRI,2025-03-20,16.78,17.08,16.31,16.89
CTRI,2025-03-21,16.66,16.69,15.63,15.83
CTRI,2025-03-24,16.32,17.32,16.31,17.14
CTRI,2025-03-25,17.19,17.74,16.85,17.57
CTRI,2025-03-26,17.45,17.79,16.425,16.57
CTRI,2025-03-27,16.37,16.59,16.03,16.49
CTRI,2025-03-28,16.36,16.68,16.12,16.56
CTRI,2025-03-31,16.95,16.95,15.85,16.39
CTRI,2025-04-01,16.34,17.29,15.98,17.13
CTRI,2025-04-02,17.0,17.74,17.0,17.74
CTRI,2025-04-03,16.77,17.03,16.175,16.25
CTRI,2025-04-04,15.46,16.02,14.455,15.78
CTRI,2025-04-07,14.85,16.41,14.85,15.79
CTRI,2025-04-08,15.18,15.18,14.835,15.18
CTRI,2025-04-09,15.04,17.94,14.87,17.74
CTRI,2025-04-10,17.5,17.5,16.17,16.74
CTRI,2025-04-11,16.72,17.72,16.4081,17.49
CTRI,2025-04-14,17.72,17.97,17.04,17.14
CTRI,2025-04-15,17.17,17.58,17.17,17.24
CTRI,2025-04-16,17.07,17.73,17.04,17.4
CTRI,2025-04-17,17.18,17.18,17.0,17.18
CTRI,2025-04-21,17.18,17.18,16.27,16.61
CTRI,2025-04-22,16.9,17.09,16.5685,16.72
CTRI,2025-04-23,17.42,17.96,16.93,17.02
CTRI,2025-04-24,17.44,18.15,17.25,18.1
CTRI,2025-04-25,17.95,18.75,17.85,18.54
CTRI,2025-04-28,18.6,18.6,17.49,18.26
CTRI,2025-04-29,18.31,18.685,17.75,18.45
CTRI,2025-04-30,17.78,17.96,17.59,17.96
CTRI,2025-05-01,18.27,18.98,18.12,18.78
CTRI,2025-05-02,18.875,18.875,18.52,18.58
CTRI,2025-05-05,18.505,19.16,18.38,18.41
CTRI,2025-05-06,18.37,19.52,18.15,19.32
CTRI,2025-05-07,19.41,21.41,18.3,21.05
CTRI,2025-05-08,21.26,21.6,20.68,20.91
CTRI,2025-05-09,21.12,21.47,20.7,21.34
CTRI,2025-05-12,20.8,20.83,18.65,19.53
CTRI,2025-05-13,19.92,21.595,19.92,20.13
CTRI,2025-05-14,20.34,21.05,20.2975,20.5
