ticker,date,open,high,low,close
DCH,2026-02-05,8.96,9.25,8.17,8.21
DCH,2026-02-06,8.16,8.67,8.13,8.62
DCH,2026-02-09,8.56,8.65,8.405,8.55
DCH,2026-02-10,8.37,8.69,8.37,8.46
DCH,2026-02-11,8.5,8.75,8.46,8.59
DCH,2026-02-12,8.31,8.6,8.25,8.43
DCH,2026-02-13,7.95,8.0,6.4101,7.25
DCH,2026-02-17,7.2,7.41,6.85,7.28
DCH,2026-02-18,7.07,7.305,6.975,7.12
DCH,2026-02-19,7.01,7.29,6.96,7.015
DCH,2026-02-20,6.91,7.13,6.72,7.01
DCH,2026-02-23,6.9,6.925,6.71,6.72
DCH,2026-02-24,6.775,7.115,6.775,6.98
DCH,2026-02-25,7.09,7.09,6.85,6.94
DCH,2026-02-26,6.77,6.77,6.6,6.77
DCH,2026-02-27,6.6306,6.65,6.44,6.6
DCH,2026-03-02,6.41,6.46,6.24,6.405
DCH,2026-03-03,6.16,6.17,5.815,6.04
DCH,2026-03-04,6.13,6.285,6.055,6.08
DCH,2026-03-05,6.09,6.22,5.725,5.84
DCH,2026-03-06,5.73,5.73,5.43,5.57
DCH,2026-03-09,5.45,5.82,5.24,5.79
DCH,2026-03-10,5.85,5.96,5.735,5.8
DCH,2026-03-11,5.785,5.875,5.56,5.57
DCH,2026-03-12,5.39,5.48,5.2,5.31
