ticker,date,open,high,low,close
DQ,2010-10-07,9.98,10.73,9.95,10.25
DQ,2010-10-08,10.25,10.57,10.1,10.13
DQ,2010-10-11,10.19,12.0,9.85,11.13
DQ,2010-10-12,11.05,12.75,10.96,12.05
DQ,2010-10-13,12.25,12.8,11.86,12.71
DQ,2010-10-14,12.9,14.79,12.75,13.94
DQ,2010-10-15,14.44,14.89,14.11,14.21
DQ,2010-10-18,14.56,14.56,13.3,13.4
DQ,2010-10-19,12.88,13.2,11.61,11.71
DQ,2010-10-20,12.2,12.9,11.69,12.0
DQ,2010-10-21,12.38,12.38,11.55,11.91
DQ,2010-10-22,12.7,13.53,12.1,13.4
DQ,2010-10-25,14.09,14.2,13.6,13.84
DQ,2010-10-26,14.0,14.0,13.16,13.25
DQ,2010-10-27,13.33,13.9,13.16,13.5
DQ,2010-10-28,13.71,13.79,13.12,13.32
DQ,2010-10-29,13.31,13.31,12.13,12.76
DQ,2010-11-01,12.82,13.19,12.1,12.12
DQ,2010-11-02,12.2,13.04,11.87,12.9
DQ,2010-11-03,12.99,13.47,12.99,13.39
DQ,2010-11-04,13.65,14.25,13.48,14.24
DQ,2010-11-05,14.44,14.85,13.6,13.81
DQ,2010-11-08,14.0,14.38,13.27,14.32
DQ,2010-11-09,14.78,15.0,13.87,14.39
DQ,2010-11-10,14.2,14.56,13.85,14.24
DQ,2010-11-11,14.0,14.69,14.0,14.61
DQ,2010-11-12,14.5,15.43,13.7,13.96
DQ,2010-11-15,14.21,14.5,13.8,14.13
DQ,2010-11-16,13.9,14.2,13.25,13.39
DQ,2010-11-17,12.99,12.99,10.84,11.19
DQ,2010-11-18,11.72,12.15,11.32,11.49
DQ,2010-11-19,11.69,11.71,11.22,11.52
DQ,2010-11-22,11.6,11.89,11.21,11.68
DQ,2010-11-23,11.55,11.58,11.35,11.5
DQ,2010-11-24,11.8,12.1,11.62,12.05
DQ,2010-11-26,12.17,12.31,11.29,11.57
DQ,2010-11-29,11.5,11.6,10.81,11.1
DQ,2010-11-30,10.93,11.12,10.22,10.51
DQ,2010-12-01,10.62,11.61,10.6,11.36
DQ,2010-12-02,11.45,11.85,11.45,11.73
DQ,2010-12-03,11.73,11.87,11.43,11.77
DQ,2010-12-06,11.54,11.7,11.52,11.6
DQ,2010-12-07,11.8,11.8,11.06,11.15
DQ,2010-12-08,11.15,11.43,11.07,11.32
DQ,2010-12-09,11.42,11.51,11.26,11.38
DQ,2010-12-10,11.58,11.58,11.05,11.12
DQ,2010-12-13,11.1,11.11,10.77,10.97
DQ,2010-12-14,11.03,11.03,10.36,10.46
DQ,2010-12-15,10.39,10.54,10.2,10.3
DQ,2010-12-16,10.42,10.5,10.15,10.19
DQ,2010-12-17,10.32,10.32,9.7,10.14
DQ,2010-12-20,10.2,10.46,9.85,10.23
DQ,2010-12-21,10.26,10.44,10.01,10.08
DQ,2010-12-22,10.14,10.14,9.84,9.99
DQ,2010-12-23,10.02,10.45,9.99,10.45
DQ,2010-12-27,10.36,10.38,10.2,10.26
DQ,2010-12-28,10.3,10.3,9.92,10.02
DQ,2010-12-29,10.05,10.34,10.01,10.08
DQ,2010-12-30,10.1,10.18,9.86,10.0
DQ,2010-12-31,9.93,10.21,9.88,10.16
DQ,2011-01-03,10.34,10.5,10.17,10.31
DQ,2011-01-04,10.35,10.45,10.15,10.39
DQ,2011-01-05,10.55,11.28,10.45,11.27
DQ,2011-01-06,11.9,14.15,11.85,13.5
DQ,2011-01-07,13.27,13.37,12.76,13.25
DQ,2011-01-10,13.32,13.44,12.85,13.08
DQ,2011-01-11,13.17,13.62,13.15,13.6
DQ,2011-01-12,13.65,14.05,13.35,13.52
DQ,2011-01-13,13.61,13.7,13.0,13.35
DQ,2011-01-14,13.33,13.33,12.7,12.91
DQ,2011-01-18,12.9,13.5,12.7,13.08
DQ,2011-01-19,13.03,13.08,12.19,12.39
DQ,2011-01-20,12.38,12.62,12.07,12.14
DQ,2011-01-21,12.27,12.38,12.0,12.03
DQ,2011-01-24,12.11,13.1,12.09,12.9
DQ,2011-01-25,12.88,13.08,12.55,12.62
DQ,2011-01-26,13.08,13.54,12.98,13.17
DQ,2011-01-27,13.09,13.62,13.09,13.28
DQ,2011-01-28,13.28,13.6,12.92,13.11
DQ,2011-01-31,13.01,13.27,12.98,13.14
DQ,2011-02-01,13.12,14.1,13.05,13.83
DQ,2011-02-02,13.81,14.85,13.55,14.74
DQ,2011-02-03,14.74,14.97,14.11,14.49
DQ,2011-02-04,14.42,14.53,13.04,13.18
DQ,2011-02-07,13.21,13.86,13.21,13.74
DQ,2011-02-08,13.79,13.94,13.2,13.39
DQ,2011-02-09,13.52,13.52,13.16,13.28
DQ,2011-02-10,13.15,13.45,12.8,13.35
DQ,2011-02-11,13.13,13.85,13.03,13.35
DQ,2011-02-14,13.48,13.64,12.68,12.75
DQ,2011-02-15,12.75,13.25,12.65,13.08
DQ,2011-02-16,13.25,13.52,12.97,13.52
DQ,2011-02-17,13.7,13.8,13.46,13.5
DQ,2011-02-18,13.79,14.25,13.46,13.53
DQ,2011-02-22,13.32,13.47,12.53,12.77
DQ,2011-02-23,12.72,12.8,12.11,12.31
DQ,2011-02-24,12.2,12.51,12.0,12.3
DQ,2011-02-25,12.45,12.6,11.92,12.07
DQ,2011-02-28,12.29,12.4,12.1,12.16
DQ,2011-03-01,12.28,12.28,11.8,11.85
DQ,2011-03-02,11.92,12.09,11.91,11.95
DQ,2011-03-03,12.19,12.39,12.02,12.26
DQ,2011-03-04,12.34,12.34,12.0,12.18
DQ,2011-03-07,12.91,13.19,11.92,12.14
DQ,2011-03-08,11.94,12.46,11.9,12.31
DQ,2011-03-09,12.31,12.34,12.01,12.12
DQ,2011-03-10,11.95,11.95,10.98,11.2
DQ,2011-03-11,11.0,11.42,10.85,11.41
DQ,2011-03-14,11.4,12.24,11.33,12.24
DQ,2011-03-15,12.33,13.06,11.81,12.75
DQ,2011-03-16,12.78,12.83,12.3,12.79
DQ,2011-03-17,12.97,13.23,12.75,13.06
DQ,2011-03-18,12.99,13.11,12.61,12.9
DQ,2011-03-21,12.86,13.19,12.68,13.16
DQ,2011-03-22,13.01,13.37,12.97,13.2
DQ,2011-03-23,13.13,13.25,13.0,13.14
DQ,2011-03-24,13.28,13.28,12.72,13.13
DQ,2011-03-25,12.96,13.25,12.96,13.19
DQ,2011-03-28,13.4,13.65,13.21,13.25
DQ,2011-03-29,13.21,13.28,12.87,12.98
DQ,2011-03-30,13.12,13.12,12.96,12.99
DQ,2011-03-31,13.02,13.22,12.82,12.88
DQ,2011-04-01,13.0,13.05,12.16,12.42
DQ,2011-04-04,12.35,12.35,11.85,11.93
DQ,2011-04-05,11.86,12.3,11.85,12.24
DQ,2011-04-06,12.31,12.34,12.11,12.26
DQ,2011-04-07,12.12,12.25,12.06,12.12
DQ,2011-04-08,12.27,12.33,11.64,11.71
DQ,2011-04-11,11.75,11.83,11.15,11.19
DQ,2011-04-12,11.2,11.63,10.89,11.13
DQ,2011-04-13,11.31,11.6,11.19,11.47
DQ,2011-04-14,11.54,11.54,11.18,11.21
DQ,2011-04-15,11.12,11.32,10.94,11.18
DQ,2011-04-18,11.1,11.11,10.6,10.92
DQ,2011-04-19,10.94,11.7,10.94,11.5
DQ,2011-04-20,11.71,12.1,11.55,11.98
DQ,2011-04-21,11.89,12.09,11.66,12.06
DQ,2011-04-25,12.01,12.11,11.72,12.09
DQ,2011-04-26,12.09,12.2,12.01,12.15
DQ,2011-04-27,12.2,12.3,12.05,12.29
DQ,2011-04-28,12.29,12.3,11.95,12.0
DQ,2011-04-29,12.24,12.34,12.12,12.27
DQ,2011-05-02,12.12,12.47,12.12,12.37
