ticker,date,open,high,low,close
ELAN,2018-09-20,32.25,36.01,32.05,36.0
ELAN,2018-09-21,34.56,35.49,33.875,34.1
ELAN,2018-09-24,34.1,35.65,33.7,34.9
ELAN,2018-09-25,34.76,34.99,34.06,34.58
ELAN,2018-09-26,34.35,35.98,34.25,35.5
ELAN,2018-09-27,37.61,37.61,35.67,36.19
ELAN,2018-09-28,36.0,36.21,34.75,34.89
ELAN,2018-10-01,35.4767,35.4767,32.71,33.73
ELAN,2018-10-02,33.64,34.35,32.89,33.42
ELAN,2018-10-03,33.4,34.3,32.75,34.25
ELAN,2018-10-04,34.21,35.41,33.04,34.02
ELAN,2018-10-05,34.14,34.5,33.25,34.34
ELAN,2018-10-08,34.0,34.64,33.85,34.01
ELAN,2018-10-09,34.01,34.95,33.55,34.32
ELAN,2018-10-10,34.45,34.48,33.25,33.53
ELAN,2018-10-11,33.51,33.76,31.76,32.39
ELAN,2018-10-12,32.66,33.86,32.0,32.58
ELAN,2018-10-15,32.49,32.49,31.5,32.46
ELAN,2018-10-16,32.54,32.8,32.01,32.61
ELAN,2018-10-17,32.49,32.93,31.44,32.93
ELAN,2018-10-18,32.5,32.75,31.4,31.8
ELAN,2018-10-19,31.87,32.38,31.3332,31.61
ELAN,2018-10-22,31.54,32.24,31.2,31.88
ELAN,2018-10-23,31.8,32.88,31.265,32.44
ELAN,2018-10-24,32.44,33.41,31.62,31.74
ELAN,2018-10-25,31.74,32.51,31.308,31.96
ELAN,2018-10-26,31.73,32.865,31.6,32.43
ELAN,2018-10-29,32.42,32.8899,30.59,30.91
ELAN,2018-10-30,30.6,31.07,30.1,30.85
ELAN,2018-10-31,31.32,31.5,30.27,30.48
ELAN,2018-11-01,31.17,32.16,30.59,31.88
ELAN,2018-11-02,32.65,33.14,31.94,33.1
ELAN,2018-11-05,33.3,33.5,32.14,33.24
ELAN,2018-11-06,34.3,34.65,33.25,33.81
ELAN,2018-11-07,34.26,34.515,33.66,34.46
ELAN,2018-11-08,34.7,34.7,33.49,33.82
ELAN,2018-11-09,33.73,34.5,33.17,34.46
ELAN,2018-11-12,34.25,34.69,33.98,34.16
ELAN,2018-11-13,34.29,34.8481,33.9248,34.5
ELAN,2018-11-14,34.53,34.92,33.85,34.01
ELAN,2018-11-15,33.76,34.29,32.81,33.09
ELAN,2018-11-16,33.0,34.23,32.82,34.0
ELAN,2018-11-19,33.83,34.17,33.54,33.8
ELAN,2018-11-20,32.97,33.69,32.52,33.13
ELAN,2018-11-21,33.53,33.55,32.89,33.16
ELAN,2018-11-23,33.14,33.93,32.98,33.61
ELAN,2018-11-26,33.68,33.78,32.745,33.0
ELAN,2018-11-27,32.75,33.15,32.75,32.95
ELAN,2018-11-28,33.21,33.89,33.01,33.48
ELAN,2018-11-29,33.49,34.525,32.8815,33.48
ELAN,2018-11-30,33.48,33.79,32.95,33.41
ELAN,2018-12-03,33.71,34.66,33.595,33.75
ELAN,2018-12-04,33.67,34.06,32.97,33.07
ELAN,2018-12-06,32.58,32.76,31.88,32.6
ELAN,2018-12-07,32.47,33.65,32.405,33.57
ELAN,2018-12-10,33.71,34.1,32.7,33.38
ELAN,2018-12-11,33.5,33.9,32.91,32.96
ELAN,2018-12-12,33.12,33.73,32.85,32.87
ELAN,2018-12-13,33.09,33.3,32.445,32.54
ELAN,2018-12-14,32.5,32.7,31.9401,32.37
ELAN,2018-12-17,32.07,32.295,31.24,31.76
ELAN,2018-12-18,32.26,33.71,30.19,31.1
ELAN,2018-12-19,30.65,31.99,30.65,31.64
ELAN,2018-12-20,31.49,31.81,30.8,31.33
ELAN,2018-12-21,31.37,31.98,29.59,30.0
ELAN,2018-12-24,29.43,29.77,28.85,29.63
ELAN,2018-12-26,29.78,30.79,29.4,30.73
ELAN,2018-12-27,30.44,31.3,29.8771,31.19
ELAN,2018-12-28,31.29,31.66,30.435,31.32
ELAN,2018-12-31,31.45,32.02,31.07,31.53
ELAN,2019-01-02,31.48,32.058,31.195,31.8
ELAN,2019-01-03,31.5,31.98,31.01,31.09
ELAN,2019-01-04,31.24,32.15,31.165,31.83
ELAN,2019-01-07,31.83,32.88,31.6401,32.65
ELAN,2019-01-08,32.87,33.2,32.275,32.51
ELAN,2019-01-09,32.75,33.35,32.17,32.55
ELAN,2019-01-10,32.31,32.44,31.25,31.59
ELAN,2019-01-11,31.4,32.06,31.12,31.96
ELAN,2019-01-14,31.8,31.925,31.17,31.56
ELAN,2019-01-15,31.66,32.03,31.08,31.71
ELAN,2019-01-16,31.75,31.95,31.15,31.56
ELAN,2019-01-17,31.56,31.94,31.33,31.75
ELAN,2019-01-18,31.84,32.02,30.8,31.52
ELAN,2019-01-22,31.31,31.79,30.95,30.98
ELAN,2019-01-23,30.53,30.93,29.7822,30.38
ELAN,2019-01-24,30.19,30.59,29.96,30.23
ELAN,2019-01-25,30.6,30.78,30.02,30.6
ELAN,2019-01-28,30.65,30.72,30.26,30.5
ELAN,2019-01-29,30.36,30.66,30.12,30.5
ELAN,2019-01-30,30.65,30.84,30.11,30.16
ELAN,2019-01-31,30.03,30.24,28.88,29.18
ELAN,2019-02-01,29.27,29.59,28.92,29.45
