ticker,date,open,high,low,close
ENVA,2014-11-13,31.57,32.1,26.95,26.95
ENVA,2014-11-14,26.85,27.28,24.68,25.12
ENVA,2014-11-17,25.62,26.25,24.05,24.27
ENVA,2014-11-18,24.27,24.67,23.54,23.99
ENVA,2014-11-19,23.89,24.28,23.1,23.69
ENVA,2014-11-20,23.69,24.31,23.36,23.42
ENVA,2014-11-21,24.0,24.08,23.03,23.37
ENVA,2014-11-24,22.91,23.99,22.87,22.96
ENVA,2014-11-25,23.04,23.62,21.66,22.3
ENVA,2014-11-26,22.37,23.49,22.0,22.86
ENVA,2014-11-28,23.34,23.63,22.05,22.99
ENVA,2014-12-01,22.92,23.39,22.39,22.7
ENVA,2014-12-02,22.8,23.34,22.28,22.85
ENVA,2014-12-03,22.79,23.57,21.5,22.17
ENVA,2014-12-04,22.17,22.43,21.67,21.96
ENVA,2014-12-05,21.85,22.51,21.76,22.23
ENVA,2014-12-08,22.23,22.91,21.94,22.1
ENVA,2014-12-09,21.95,22.54,21.7,22.08
ENVA,2014-12-10,22.0,22.56,21.8,21.97
ENVA,2014-12-11,22.39,23.19,22.05,22.4
ENVA,2014-12-12,22.35,23.55,21.73,23.04
ENVA,2014-12-15,23.08,23.26,22.2,22.67
ENVA,2014-12-16,22.7,22.97,21.77,21.85
ENVA,2014-12-17,21.96,22.21,21.66,22.0
ENVA,2014-12-18,22.32,22.41,21.71,22.11
ENVA,2014-12-19,22.04,22.21,21.71,21.96
ENVA,2014-12-22,21.92,22.0,21.43,21.82
ENVA,2014-12-23,21.94,22.03,21.73,21.89
ENVA,2014-12-24,21.87,22.06,21.8,21.85
ENVA,2014-12-26,21.97,22.13,21.84,21.89
ENVA,2014-12-29,21.9,22.07,21.82,21.93
ENVA,2014-12-30,21.92,22.36,21.85,22.22
ENVA,2014-12-31,22.22,22.44,22.08,22.26
ENVA,2015-01-02,22.31,23.16,22.23,22.82
ENVA,2015-01-05,22.74,23.0,22.41,22.43
ENVA,2015-01-06,22.43,22.63,20.17,21.25
ENVA,2015-01-07,21.48,21.63,20.86,21.41
ENVA,2015-01-08,21.51,21.77,21.19,21.51
ENVA,2015-01-09,21.45,21.45,20.91,20.93
ENVA,2015-01-12,20.94,21.0,19.54,19.89
ENVA,2015-01-13,19.99,20.56,19.8,20.1
ENVA,2015-01-14,19.94,20.84,19.75,20.19
ENVA,2015-01-15,20.17,20.67,19.93,20.2
ENVA,2015-01-16,20.08,21.12,19.99,20.56
ENVA,2015-01-20,20.56,20.81,19.9,20.21
ENVA,2015-01-21,20.1,20.28,18.97,19.17
ENVA,2015-01-22,19.31,19.73,19.08,19.41
ENVA,2015-01-23,19.44,19.87,19.29,19.74
ENVA,2015-01-26,19.65,20.3,19.59,20.15
ENVA,2015-01-27,20.0,20.18,19.79,19.92
ENVA,2015-01-28,20.0,20.0,18.37,19.0
ENVA,2015-01-29,18.96,19.54,18.75,19.07
ENVA,2015-01-30,19.0,19.35,18.62,19.25
ENVA,2015-02-02,19.33,20.11,19.17,20.05
ENVA,2015-02-03,20.0,20.93,19.99,20.56
ENVA,2015-02-04,22.86,22.92,21.86,22.14
ENVA,2015-02-05,22.26,22.33,22.09,22.2
ENVA,2015-02-06,22.27,22.54,21.79,21.87
ENVA,2015-02-09,21.74,22.0,21.42,21.81
ENVA,2015-02-10,21.88,22.12,21.69,21.99
ENVA,2015-02-11,21.91,22.33,21.9,21.99
ENVA,2015-02-12,22.22,22.22,21.87,21.95
ENVA,2015-02-13,22.0,22.34,21.87,22.3
ENVA,2015-02-17,22.3,22.33,22.11,22.16
ENVA,2015-02-18,22.23,22.33,22.17,22.21
ENVA,2015-02-19,22.19,23.18,22.1,22.89
ENVA,2015-02-20,22.91,23.3,22.77,23.25
ENVA,2015-02-23,23.25,23.29,22.88,23.29
ENVA,2015-02-24,23.32,23.45,22.94,23.06
ENVA,2015-02-25,23.01,23.37,22.78,23.34
ENVA,2015-02-26,23.35,23.5,23.03,23.08
ENVA,2015-02-27,22.91,23.32,22.88,23.09
ENVA,2015-03-02,22.98,23.26,22.87,23.18
ENVA,2015-03-03,23.12,23.87,23.0,23.73
