ticker,date,open,high,low,close
EPD,1998-07-28,5.5,5.52,5.38,5.38
EPD,1998-07-29,5.38,5.39,5.38,5.39
EPD,1998-07-30,5.41,5.41,5.38,5.38
EPD,1998-07-31,5.39,5.39,5.31,5.31
EPD,1998-08-03,5.31,5.33,5.31,5.31
EPD,1998-08-04,5.31,5.31,5.12,5.12
EPD,1998-08-05,5.06,5.06,4.81,4.81
EPD,1998-08-06,4.81,4.94,4.8,4.91
EPD,1998-08-07,4.94,5.12,4.91,4.97
EPD,1998-08-10,4.98,5.12,4.89,4.89
EPD,1998-08-11,4.83,4.86,4.66,4.75
EPD,1998-08-12,4.75,4.91,4.75,4.89
EPD,1998-08-13,4.88,4.97,4.78,4.8
EPD,1998-08-14,4.83,4.88,4.62,4.66
EPD,1998-08-17,4.64,4.72,4.59,4.69
EPD,1998-08-18,4.67,4.84,4.67,4.78
EPD,1998-08-19,4.81,4.91,4.75,4.84
EPD,1998-08-20,4.88,4.92,4.81,4.84
EPD,1998-08-21,4.83,4.84,4.44,4.75
EPD,1998-08-24,4.81,4.91,4.48,4.69
EPD,1998-08-25,4.72,4.72,4.53,4.58
EPD,1998-08-26,4.53,4.59,4.5,4.55
EPD,1998-08-27,4.52,4.53,4.31,4.48
EPD,1998-08-28,4.47,4.53,4.22,4.22
EPD,1998-08-31,4.25,4.31,3.66,4.31
EPD,1998-09-01,4.22,4.44,4.0,4.3
EPD,1998-09-02,4.31,4.59,4.31,4.47
EPD,1998-09-03,4.25,4.38,4.19,4.31
EPD,1998-09-04,4.34,4.34,4.16,4.25
EPD,1998-09-08,4.25,4.44,4.25,4.34
EPD,1998-09-09,4.34,4.34,4.12,4.31
EPD,1998-09-10,4.22,4.22,4.0,4.12
EPD,1998-09-11,4.16,4.22,4.03,4.22
EPD,1998-09-14,4.19,4.41,4.12,4.34
EPD,1998-09-15,4.41,4.47,4.28,4.34
EPD,1998-09-16,4.34,4.48,4.34,4.48
EPD,1998-09-17,4.44,4.44,4.28,4.31
EPD,1998-09-18,4.3,4.41,4.23,4.38
EPD,1998-09-21,4.34,4.48,4.31,4.44
EPD,1998-09-22,4.44,4.47,4.31,4.38
EPD,1998-09-23,4.44,4.44,4.31,4.34
EPD,1998-09-24,4.41,4.5,4.34,4.44
EPD,1998-09-25,4.41,4.48,4.41,4.48
EPD,1998-09-28,4.5,4.62,4.47,4.53
EPD,1998-09-29,4.56,4.56,4.47,4.47
EPD,1998-09-30,4.48,4.56,4.42,4.53
EPD,1998-10-01,4.59,4.59,4.36,4.41
EPD,1998-10-02,4.44,4.44,4.28,4.34
EPD,1998-10-05,4.41,4.41,3.95,4.16
EPD,1998-10-06,4.22,4.31,4.09,4.2
EPD,1998-10-07,4.19,4.25,4.06,4.16
EPD,1998-10-08,4.12,4.19,3.81,4.03
EPD,1998-10-09,4.09,4.22,4.03,4.16
EPD,1998-10-12,4.22,4.28,4.12,4.19
EPD,1998-10-13,4.25,4.28,4.12,4.22
EPD,1998-10-14,4.22,4.28,4.12,4.12
EPD,1998-10-15,4.16,4.3,4.06,4.16
EPD,1998-10-16,4.22,4.28,4.09,4.25
EPD,1998-10-19,4.28,4.47,4.28,4.47
EPD,1998-10-20,4.5,4.53,4.28,4.47
EPD,1998-10-21,4.41,4.56,4.34,4.41
EPD,1998-10-22,4.41,4.48,4.34,4.47
EPD,1998-10-23,4.44,4.47,4.31,4.45
EPD,1998-10-26,4.47,4.53,4.41,4.53
EPD,1998-10-27,4.47,4.47,4.03,4.19
EPD,1998-10-28,4.16,4.19,3.91,4.19
EPD,1998-10-29,4.25,4.25,4.16,4.23
EPD,1998-10-30,4.23,4.23,4.03,4.16
EPD,1998-11-02,4.19,4.23,4.12,4.17
EPD,1998-11-03,4.08,4.12,4.0,4.02
EPD,1998-11-04,4.08,4.09,3.88,3.97
EPD,1998-11-05,3.95,4.19,3.95,4.16
EPD,1998-11-06,4.12,4.19,4.03,4.14
EPD,1998-11-09,4.14,4.16,4.0,4.03
EPD,1998-11-10,3.97,4.16,3.94,4.03
EPD,1998-11-11,4.06,4.09,3.91,4.03
EPD,1998-11-12,4.06,4.17,4.0,4.12
EPD,1998-11-13,4.09,4.19,4.0,4.11
EPD,1998-11-16,4.08,4.17,4.0,4.06
EPD,1998-11-17,4.05,4.17,3.95,4.08
EPD,1998-11-18,4.12,4.16,4.03,4.11
EPD,1998-11-19,4.11,4.23,4.09,4.2
EPD,1998-11-20,4.22,4.22,4.09,4.12
EPD,1998-11-23,4.03,4.14,4.0,4.11
EPD,1998-11-24,4.08,4.11,3.98,4.03
EPD,1998-11-25,4.05,4.23,4.03,4.2
EPD,1998-11-27,4.22,4.22,4.17,4.17
EPD,1998-11-30,4.14,4.17,4.06,4.06
EPD,1998-12-01,4.03,4.12,4.0,4.05
EPD,1998-12-02,4.0,4.06,3.84,3.92
EPD,1998-12-03,3.88,3.88,3.72,3.75
EPD,1998-12-04,3.78,3.92,3.75,3.92
EPD,1998-12-07,3.83,3.92,3.77,3.88
EPD,1998-12-08,3.91,3.91,3.83,3.88
EPD,1998-12-09,3.84,3.84,3.69,3.83
EPD,1998-12-10,3.75,3.84,3.72,3.72
EPD,1998-12-11,3.77,3.86,3.73,3.86
EPD,1998-12-14,3.83,3.95,3.72,3.75
EPD,1998-12-15,3.8,3.8,3.56,3.56
EPD,1998-12-16,3.69,3.72,3.53,3.55
EPD,1998-12-17,3.55,3.64,3.5,3.56
EPD,1998-12-18,3.56,3.67,3.5,3.5
EPD,1998-12-21,3.5,3.59,3.44,3.53
EPD,1998-12-22,3.47,3.59,3.44,3.5
EPD,1998-12-23,3.53,3.84,3.53,3.84
EPD,1998-12-24,3.84,4.0,3.8,3.95
EPD,1998-12-28,3.94,4.03,3.88,4.0
EPD,1998-12-29,3.94,3.95,3.81,3.81
EPD,1998-12-30,3.84,3.84,3.69,3.69
EPD,1998-12-31,3.69,3.78,3.69,3.72
EPD,1999-01-04,3.75,4.03,3.73,4.03
EPD,1999-01-05,4.02,4.22,4.02,4.19
EPD,1999-01-06,4.23,4.41,4.23,4.41
EPD,1999-01-07,4.44,4.44,4.36,4.38
EPD,1999-01-08,4.41,4.44,4.34,4.41
EPD,1999-01-11,4.44,4.44,4.34,4.34
EPD,1999-01-12,4.31,4.48,4.31,4.48
EPD,1999-01-13,4.39,4.48,4.31,4.41
EPD,1999-01-14,4.44,4.53,4.44,4.44
EPD,1999-01-15,4.44,4.53,4.44,4.47
EPD,1999-01-19,4.47,4.5,4.45,4.45
EPD,1999-01-20,4.5,4.56,4.41,4.5
EPD,1999-01-21,4.45,4.48,4.41,4.42
EPD,1999-01-22,4.42,4.48,4.38,4.48
EPD,1999-01-25,4.55,4.56,4.52,4.52
EPD,1999-01-26,4.52,4.62,4.5,4.56
EPD,1999-01-27,4.5,4.59,4.38,4.38
EPD,1999-01-28,4.41,4.45,4.38,4.39
EPD,1999-01-29,4.39,4.56,4.39,4.56
EPD,1999-02-01,4.53,4.56,4.53,4.56
EPD,1999-02-02,4.53,4.59,4.52,4.56
EPD,1999-02-03,4.55,4.58,4.45,4.48
EPD,1999-02-04,4.48,4.5,4.41,4.42
EPD,1999-02-05,4.44,4.47,4.38,4.47
EPD,1999-02-08,4.44,4.48,4.44,4.48
EPD,1999-02-09,4.47,4.5,4.47,4.48
EPD,1999-02-10,4.48,4.48,4.42,4.47
EPD,1999-02-11,4.44,4.48,4.41,4.42
EPD,1999-02-12,4.42,4.47,4.36,4.41
EPD,1999-02-16,4.38,4.41,4.22,4.25
EPD,1999-02-17,4.28,4.28,4.19,4.19
EPD,1999-02-18,4.22,4.25,4.12,4.16
EPD,1999-02-19,4.14,4.17,4.06,4.16
EPD,1999-02-22,4.12,4.16,4.05,4.05
EPD,1999-02-23,4.05,4.12,4.05,4.09
EPD,1999-02-24,4.11,4.16,4.06,4.16
EPD,1999-02-25,4.14,4.16,3.97,4.03
EPD,1999-02-26,4.0,4.03,3.97,4.0
EPD,1999-03-01,4.03,4.09,3.97,4.03
EPD,1999-03-02,4.02,4.05,3.98,4.02
EPD,1999-03-03,4.02,4.03,3.94,4.0
EPD,1999-03-04,4.06,4.08,3.98,4.06
EPD,1999-03-05,4.08,4.19,4.08,4.09
EPD,1999-03-08,4.09,4.09,4.0,4.05
EPD,1999-03-09,4.09,4.09,4.0,4.08
EPD,1999-03-10,4.11,4.19,4.09,4.16
EPD,1999-03-11,4.19,4.19,4.06,4.06
EPD,1999-03-12,4.08,4.11,4.03,4.06
EPD,1999-03-15,4.02,4.14,4.0,4.0
EPD,1999-03-16,4.0,4.0,3.75,3.84
EPD,1999-03-17,3.83,3.97,3.81,3.94
EPD,1999-03-18,3.94,3.94,3.88,3.92
EPD,1999-03-19,3.94,3.94,3.92,3.94
EPD,1999-03-22,3.97,3.97,3.78,3.84
EPD,1999-03-23,3.88,3.88,3.78,3.78
EPD,1999-03-24,3.77,3.94,3.75,3.94
EPD,1999-03-25,3.97,4.03,3.91,3.97
EPD,1999-03-26,3.97,4.03,3.94,3.98
EPD,1999-03-29,4.0,4.0,3.84,3.91
EPD,1999-03-30,3.94,3.97,3.81,3.88
EPD,1999-03-31,3.86,3.97,3.75,3.97
EPD,1999-04-01,3.94,3.94,3.88,3.91
EPD,1999-04-05,3.94,3.97,3.91,3.97
EPD,1999-04-06,3.97,4.0,3.97,3.98
EPD,1999-04-07,3.97,3.98,3.84,3.84
EPD,1999-04-08,3.84,3.88,3.78,3.81
EPD,1999-04-09,3.81,3.91,3.77,3.91
EPD,1999-04-12,3.91,3.94,3.84,3.84
EPD,1999-04-13,3.88,4.08,3.88,4.03
EPD,1999-04-14,4.06,4.19,4.03,4.19
EPD,1999-04-15,4.19,4.28,4.17,4.28
EPD,1999-04-16,4.31,4.53,4.28,4.5
EPD,1999-04-19,4.53,4.53,4.38,4.41
EPD,1999-04-20,4.44,4.56,4.44,4.53
EPD,1999-04-21,4.59,4.62,4.53,4.53
EPD,1999-04-22,4.56,4.56,4.38,4.44
EPD,1999-04-23,4.47,4.53,4.44,4.53
EPD,1999-04-26,4.5,4.5,4.44,4.45
EPD,1999-04-27,4.38,4.5,4.31,4.44
EPD,1999-04-28,4.34,4.47,4.34,4.47
EPD,1999-04-29,4.5,4.5,4.45,4.45
EPD,1999-04-30,4.45,4.47,4.42,4.47
EPD,1999-05-03,4.48,4.5,4.47,4.47
EPD,1999-05-04,4.47,4.48,4.45,4.47
EPD,1999-05-05,4.47,4.47,4.45,4.45
EPD,1999-05-06,4.48,4.48,4.44,4.45
EPD,1999-05-07,4.44,4.48,4.41,4.48
EPD,1999-05-10,4.45,4.52,4.45,4.48
EPD,1999-05-11,4.53,4.56,4.47,4.48
EPD,1999-05-12,4.45,4.53,4.42,4.53
EPD,1999-05-13,4.56,4.56,4.47,4.5
EPD,1999-05-14,4.52,4.53,4.47,4.48
EPD,1999-05-17,4.48,4.48,4.47,4.48
EPD,1999-05-18,4.48,4.5,4.47,4.5
EPD,1999-05-19,4.44,4.47,4.38,4.47
EPD,1999-05-20,4.44,4.48,4.41,4.47
EPD,1999-05-21,4.48,4.48,4.38,4.44
EPD,1999-05-24,4.44,4.45,4.34,4.38
EPD,1999-05-25,4.41,4.45,4.41,4.41
EPD,1999-05-26,4.42,4.5,4.42,4.44
EPD,1999-05-27,4.44,4.47,4.44,4.47
EPD,1999-05-28,4.47,4.48,4.41,4.48
EPD,1999-06-01,4.48,4.48,4.42,4.42
EPD,1999-06-02,4.39,4.47,4.39,4.45
EPD,1999-06-03,4.45,4.5,4.44,4.5
EPD,1999-06-04,4.5,4.5,4.47,4.5
EPD,1999-06-07,4.5,4.53,4.47,4.48
EPD,1999-06-08,4.53,4.55,4.5,4.5
EPD,1999-06-09,4.48,4.5,4.47,4.47
EPD,1999-06-10,4.44,4.45,4.41,4.42
EPD,1999-06-11,4.42,4.45,4.38,4.38
EPD,1999-06-14,4.44,4.44,4.28,4.28
EPD,1999-06-15,4.28,4.28,4.22,4.22
EPD,1999-06-16,4.25,4.28,4.22,4.28
EPD,1999-06-17,4.31,4.45,4.28,4.42
EPD,1999-06-18,4.44,4.48,4.41,4.45
EPD,1999-06-21,4.48,4.48,4.44,4.48
EPD,1999-06-22,4.47,4.5,4.44,4.5
EPD,1999-06-23,4.5,4.56,4.48,4.5
EPD,1999-06-24,4.5,4.59,4.48,4.55
EPD,1999-06-25,4.58,4.66,4.55,4.62
EPD,1999-06-28,4.59,4.59,4.56,4.59
EPD,1999-06-29,4.59,4.66,4.56,4.62
EPD,1999-06-30,4.59,4.66,4.53,4.62
EPD,1999-07-01,4.61,4.62,4.47,4.48
EPD,1999-07-02,4.5,4.56,4.47,4.56
EPD,1999-07-06,4.56,4.62,4.53,4.59
EPD,1999-07-07,4.56,4.69,4.56,4.66
EPD,1999-07-08,4.67,4.81,4.67,4.81
EPD,1999-07-09,4.88,4.94,4.88,4.91
EPD,1999-07-12,4.91,4.91,4.75,4.77
EPD,1999-07-13,4.84,4.84,4.75,4.78
EPD,1999-07-14,4.84,4.84,4.69,4.77
EPD,1999-07-15,4.81,4.84,4.77,4.81
EPD,1999-07-16,4.84,4.89,4.81,4.81
EPD,1999-07-19,4.83,4.92,4.83,4.88
EPD,1999-07-20,4.91,4.91,4.81,4.81
EPD,1999-07-21,4.81,4.88,4.81,4.84
EPD,1999-07-22,4.81,4.92,4.81,4.92
EPD,1999-07-23,4.91,4.94,4.88,4.92
EPD,1999-07-26,4.89,4.94,4.86,4.86
EPD,1999-07-27,4.83,4.88,4.75,4.75
EPD,1999-07-28,4.56,4.59,4.47,4.56
EPD,1999-07-29,4.5,4.56,4.5,4.56
EPD,1999-07-30,4.52,4.62,4.5,4.62
EPD,1999-08-02,4.62,4.66,4.56,4.56
EPD,1999-08-03,4.56,4.62,4.53,4.56
EPD,1999-08-04,4.52,4.58,4.5,4.52
EPD,1999-08-05,4.55,4.55,4.52,4.53
EPD,1999-08-06,4.53,4.66,4.52,4.66
EPD,1999-08-09,4.64,4.73,4.62,4.73
EPD,1999-08-10,4.75,4.78,4.69,4.75
EPD,1999-08-11,4.69,4.75,4.64,4.66
EPD,1999-08-12,4.69,4.73,4.66,4.66
EPD,1999-08-13,4.66,4.66,4.61,4.66
EPD,1999-08-16,4.69,4.73,4.69,4.72
EPD,1999-08-17,4.73,4.84,4.67,4.84
EPD,1999-08-18,4.78,4.84,4.75,4.78
EPD,1999-08-19,4.78,4.88,4.78,4.78
EPD,1999-08-20,4.77,4.77,4.69,4.75
EPD,1999-08-23,4.75,4.88,4.72,4.77
EPD,1999-08-24,4.8,4.83,4.72,4.81
EPD,1999-08-25,4.75,4.89,4.75,4.89
EPD,1999-08-26,4.92,4.94,4.86,4.86
EPD,1999-08-27,4.88,4.88,4.78,4.78
EPD,1999-08-30,4.77,4.81,4.72,4.8
EPD,1999-08-31,4.77,4.94,4.77,4.94
EPD,1999-09-01,4.97,4.97,4.84,4.84
EPD,1999-09-02,4.81,4.81,4.72,4.72
EPD,1999-09-03,4.78,4.84,4.75,4.78
EPD,1999-09-07,4.81,4.92,4.75,4.84
EPD,1999-09-08,4.88,4.88,4.81,4.84
EPD,1999-09-09,4.78,4.84,4.75,4.75
EPD,1999-09-10,4.84,4.98,4.83,4.91
EPD,1999-09-13,4.97,4.97,4.83,4.84
EPD,1999-09-14,4.89,4.89,4.78,4.84
EPD,1999-09-15,4.88,4.94,4.78,4.89
EPD,1999-09-16,4.92,4.98,4.91,4.91
EPD,1999-09-17,4.97,5.05,4.94,5.0
EPD,1999-09-20,5.02,5.02,4.88,4.91
EPD,1999-09-21,4.91,4.94,4.88,4.88
EPD,1999-09-22,4.91,4.95,4.88,4.92
EPD,1999-09-23,4.92,5.03,4.92,5.03
EPD,1999-09-24,5.06,5.17,5.06,5.09
EPD,1999-09-27,5.09,5.09,4.98,4.98
EPD,1999-09-28,5.02,5.12,5.0,5.05
EPD,1999-09-29,5.02,5.06,5.0,5.02
EPD,1999-09-30,5.0,5.06,4.88,4.91
EPD,1999-10-01,4.89,4.91,4.88,4.88
EPD,1999-10-04,4.81,4.97,4.81,4.94
EPD,1999-10-05,4.91,4.97,4.84,4.92
EPD,1999-10-06,4.91,4.92,4.88,4.92
EPD,1999-10-07,4.95,4.95,4.91,4.91
EPD,1999-10-08,4.88,4.91,4.84,4.86
EPD,1999-10-11,4.84,4.91,4.84,4.84
EPD,1999-10-12,4.86,4.88,4.86,4.86
EPD,1999-10-13,4.83,4.91,4.83,4.84
EPD,1999-10-14,4.84,4.91,4.84,4.84
EPD,1999-10-15,4.84,4.91,4.78,4.8
EPD,1999-10-18,4.78,4.88,4.78,4.88
EPD,1999-10-19,4.94,5.09,4.88,4.88
EPD,1999-10-20,4.91,4.91,4.81,4.89
EPD,1999-10-21,4.86,4.91,4.84,4.88
EPD,1999-10-22,4.84,4.88,4.72,4.78
EPD,1999-10-25,4.75,4.78,4.73,4.75
EPD,1999-10-26,4.73,4.81,4.69,4.69
EPD,1999-10-27,4.58,4.62,4.52,4.62
EPD,1999-10-28,4.75,4.83,4.75,4.8
EPD,1999-10-29,4.8,4.84,4.75,4.75
EPD,1999-11-01,4.75,4.81,4.75,4.78
EPD,1999-11-02,4.8,4.88,4.78,4.86
EPD,1999-11-03,4.83,4.91,4.83,4.88
EPD,1999-11-04,4.91,4.91,4.77,4.83
EPD,1999-11-05,4.86,4.88,4.81,4.88
EPD,1999-11-08,4.89,4.97,4.84,4.89
EPD,1999-11-09,4.97,4.97,4.81,4.88
EPD,1999-11-10,4.84,4.91,4.84,4.84
EPD,1999-11-11,4.88,4.94,4.81,4.81
EPD,1999-11-12,4.88,4.91,4.84,4.89
EPD,1999-11-15,4.88,4.88,4.81,4.81
EPD,1999-11-16,4.78,4.81,4.77,4.77
EPD,1999-11-17,4.77,4.91,4.75,4.88
EPD,1999-11-18,4.94,4.94,4.84,4.88
EPD,1999-11-19,4.94,4.94,4.84,4.84
EPD,1999-11-22,4.81,4.81,4.75,4.78
EPD,1999-11-23,4.81,4.98,4.78,4.92
EPD,1999-11-24,4.94,4.98,4.83,4.86
EPD,1999-11-26,4.89,4.94,4.77,4.77
EPD,1999-11-29,4.78,4.81,4.75,4.75
EPD,1999-11-30,4.69,4.81,4.69,4.75
EPD,1999-12-01,4.75,4.81,4.66,4.69
EPD,1999-12-02,4.66,4.69,4.62,4.62
EPD,1999-12-03,4.69,4.73,4.62,4.62
EPD,1999-12-06,4.66,4.72,4.66,4.67
EPD,1999-12-07,4.73,4.75,4.62,4.62
EPD,1999-12-08,4.66,4.69,4.34,4.41
EPD,1999-12-09,4.41,4.44,4.25,4.34
EPD,1999-12-10,4.38,4.47,4.3,4.31
EPD,1999-12-13,4.31,4.58,4.28,4.53
EPD,1999-12-14,4.47,4.72,4.47,4.62
EPD,1999-12-15,4.62,4.66,4.5,4.56
EPD,1999-12-16,4.58,4.78,4.58,4.78
EPD,1999-12-17,4.84,5.0,4.81,4.91
EPD,1999-12-20,4.88,4.92,4.78,4.88
EPD,1999-12-21,4.89,4.91,4.86,4.89
EPD,1999-12-22,4.73,4.81,4.72,4.73
