ticker,date,open,high,low,close
ESS,1994-06-07,19.12,19.62,19.12,19.38
ESS,1994-06-08,19.38,19.38,19.12,19.25
ESS,1994-06-09,19.25,19.25,19.12,19.25
ESS,1994-06-10,19.25,19.25,19.0,19.12
ESS,1994-06-13,19.12,19.12,19.0,19.12
ESS,1994-06-14,19.12,19.25,19.12,19.25
ESS,1994-06-15,19.25,19.5,19.12,19.25
ESS,1994-06-16,19.25,19.25,19.12,19.12
ESS,1994-06-17,19.12,19.25,19.0,19.0
ESS,1994-06-20,19.0,19.12,19.0,19.12
ESS,1994-06-21,19.12,19.12,19.0,19.0
ESS,1994-06-22,19.0,19.12,19.0,19.0
ESS,1994-06-23,19.0,19.12,18.75,18.75
ESS,1994-06-24,18.62,18.62,18.12,18.38
ESS,1994-06-27,18.38,18.38,17.25,17.88
ESS,1994-06-28,17.88,18.12,17.5,17.62
ESS,1994-06-29,17.75,18.12,17.75,17.88
ESS,1994-06-30,17.88,18.0,17.62,17.62
ESS,1994-07-01,17.62,17.75,17.38,17.75
ESS,1994-07-05,17.75,17.88,17.75,17.88
ESS,1994-07-06,17.88,17.88,17.5,17.62
ESS,1994-07-07,17.62,17.88,17.62,17.62
ESS,1994-07-08,17.62,17.88,17.62,17.62
ESS,1994-07-11,17.62,17.88,17.5,17.75
ESS,1994-07-12,17.75,17.88,17.62,17.75
ESS,1994-07-13,17.75,17.88,17.62,17.75
ESS,1994-07-14,17.75,17.88,17.62,17.88
ESS,1994-07-15,17.88,18.0,17.88,18.0
ESS,1994-07-18,18.0,18.0,17.88,18.0
ESS,1994-07-19,18.0,18.5,18.0,18.5
ESS,1994-07-20,18.5,18.5,18.12,18.25
ESS,1994-07-21,18.25,18.25,18.0,18.25
ESS,1994-07-22,18.25,18.5,18.25,18.38
ESS,1994-07-25,18.38,18.5,18.25,18.5
ESS,1994-07-26,18.5,18.62,18.38,18.5
ESS,1994-07-27,18.38,18.38,18.12,18.25
ESS,1994-07-28,18.12,18.12,17.88,17.88
ESS,1994-07-29,17.88,17.88,17.62,17.75
ESS,1994-08-01,17.75,17.75,17.62,17.62
ESS,1994-08-02,17.62,18.12,17.62,18.12
ESS,1994-08-03,18.12,18.38,17.88,18.38
ESS,1994-08-04,18.38,18.38,17.88,18.0
ESS,1994-08-05,18.0,18.0,17.88,18.0
ESS,1994-08-08,18.0,18.12,17.88,18.0
ESS,1994-08-09,17.88,17.88,17.75,17.75
ESS,1994-08-10,17.75,18.12,17.75,18.12
ESS,1994-08-11,18.12,18.25,17.88,17.88
ESS,1994-08-12,17.88,18.12,17.88,18.0
ESS,1994-08-15,18.0,18.0,17.88,17.88
ESS,1994-08-16,17.88,18.12,17.88,18.12
ESS,1994-08-17,18.12,18.12,18.0,18.12
ESS,1994-08-18,18.0,18.0,17.88,18.0
ESS,1994-08-19,18.0,18.12,17.88,18.0
ESS,1994-08-22,18.0,18.12,18.0,18.12
ESS,1994-08-23,18.12,18.12,18.0,18.12
ESS,1994-08-24,18.12,18.12,18.0,18.12
ESS,1994-08-25,18.12,18.12,17.75,17.75
ESS,1994-08-26,17.75,18.0,17.75,18.0
ESS,1994-08-29,18.0,18.12,17.88,18.12
ESS,1994-08-30,18.12,18.25,18.0,18.25
ESS,1994-08-31,18.25,18.5,18.25,18.38
ESS,1994-09-01,18.38,18.5,18.25,18.5
ESS,1994-09-02,18.5,19.0,18.38,19.0
ESS,1994-09-06,18.88,18.88,18.62,18.75
ESS,1994-09-07,18.75,18.88,18.62,18.75
ESS,1994-09-08,18.75,18.88,18.62,18.62
ESS,1994-09-09,18.62,18.75,18.25,18.62
ESS,1994-09-12,18.62,18.75,18.62,18.75
ESS,1994-09-13,18.75,18.75,18.5,18.5
ESS,1994-09-14,18.5,18.62,18.38,18.38
ESS,1994-09-15,18.38,18.62,18.25,18.62
ESS,1994-09-16,18.62,18.62,18.25,18.25
ESS,1994-09-19,18.25,18.5,18.12,18.5
ESS,1994-09-20,18.5,18.75,18.5,18.62
ESS,1994-09-21,18.62,18.62,18.12,18.38
ESS,1994-09-22,18.38,18.38,17.88,18.0
ESS,1994-09-23,18.0,18.0,17.62,17.88
ESS,1994-09-26,17.88,18.0,17.12,18.0
ESS,1994-09-27,18.0,18.12,17.88,18.0
ESS,1994-09-28,18.0,18.0,17.38,17.38
ESS,1994-09-29,17.5,17.88,17.5,17.88
ESS,1994-09-30,17.88,18.0,17.75,18.0
ESS,1994-10-03,18.0,18.0,17.75,17.75
ESS,1994-10-04,17.75,18.0,17.75,17.75
ESS,1994-10-05,17.75,17.75,16.88,17.0
ESS,1994-10-06,17.0,17.12,16.75,16.75
ESS,1994-10-07,16.88,17.0,16.88,17.0
ESS,1994-10-10,17.0,17.38,17.0,17.0
ESS,1994-10-11,17.0,17.0,16.5,16.75
ESS,1994-10-12,16.75,17.0,16.75,17.0
ESS,1994-10-13,17.0,17.0,16.75,16.75
ESS,1994-10-14,16.75,16.75,16.5,16.62
ESS,1994-10-17,16.75,16.88,16.75,16.88
ESS,1994-10-18,16.88,17.25,16.88,16.88
ESS,1994-10-19,16.88,16.88,16.62,16.75
ESS,1994-10-20,16.75,17.0,16.5,16.88
ESS,1994-10-21,16.88,17.12,16.88,17.12
ESS,1994-10-24,17.12,17.25,17.12,17.12
ESS,1994-10-25,17.12,17.12,16.62,16.88
ESS,1994-10-26,16.88,16.88,16.5,16.62
ESS,1994-10-27,16.62,16.62,16.5,16.62
ESS,1994-10-28,16.75,17.25,16.75,17.25
ESS,1994-10-31,17.25,17.62,17.12,17.62
ESS,1994-11-01,17.5,17.5,17.0,17.25
ESS,1994-11-02,17.25,17.5,17.25,17.5
ESS,1994-11-03,17.5,17.5,17.38,17.38
ESS,1994-11-04,17.25,17.38,17.25,17.38
ESS,1994-11-07,17.25,17.25,17.12,17.25
ESS,1994-11-08,17.12,17.38,17.0,17.12
ESS,1994-11-09,17.25,17.38,17.0,17.12
ESS,1994-11-10,17.25,17.25,16.75,16.88
ESS,1994-11-11,16.75,16.75,16.5,16.62
ESS,1994-11-14,16.75,16.88,16.62,16.62
ESS,1994-11-15,16.88,16.88,16.5,16.5
ESS,1994-11-16,16.5,16.5,15.75,15.88
ESS,1994-11-17,16.0,16.38,16.0,16.25
ESS,1994-11-18,16.38,16.62,16.25,16.62
ESS,1994-11-21,16.5,16.62,16.38,16.38
ESS,1994-11-22,16.5,16.62,16.38,16.5
ESS,1994-11-23,16.38,17.25,16.38,17.0
ESS,1994-11-25,16.88,17.0,16.75,16.88
ESS,1994-11-28,17.0,17.0,16.75,17.0
ESS,1994-11-29,17.25,17.25,16.88,16.88
ESS,1994-11-30,16.88,17.0,16.88,17.0
ESS,1994-12-01,17.0,17.12,16.62,16.62
ESS,1994-12-02,16.5,16.5,16.38,16.5
ESS,1994-12-05,16.38,16.38,16.25,16.25
ESS,1994-12-06,16.25,16.5,16.0,16.12
ESS,1994-12-07,16.25,16.5,16.12,16.12
ESS,1994-12-08,16.0,16.0,15.38,15.62
ESS,1994-12-09,15.62,15.75,15.5,15.75
ESS,1994-12-12,15.62,16.0,15.62,15.75
ESS,1994-12-13,15.88,15.88,15.5,15.75
ESS,1994-12-14,15.75,16.0,15.75,15.75
ESS,1994-12-15,15.88,16.5,15.88,16.5
ESS,1994-12-16,16.62,17.0,16.12,16.25
ESS,1994-12-19,16.38,16.5,15.62,16.12
ESS,1994-12-20,16.25,16.25,16.0,16.0
ESS,1994-12-21,16.0,16.0,15.5,15.75
ESS,1994-12-22,15.5,15.75,15.5,15.62
ESS,1994-12-23,15.5,15.5,15.12,15.38
ESS,1994-12-27,15.25,15.38,15.0,15.12
ESS,1994-12-28,15.25,15.25,14.62,14.88
ESS,1994-12-29,15.0,15.38,15.0,15.12
ESS,1994-12-30,15.12,15.25,14.75,15.12
ESS,1995-01-03,15.25,16.0,15.25,16.0
ESS,1995-01-04,16.12,16.38,16.0,16.25
ESS,1995-01-05,16.12,16.5,16.12,16.38
ESS,1995-01-06,16.38,16.62,16.38,16.62
