ticker,date,open,high,low,close
EVC,2000-08-02,18.62,19.69,18.5,19.0
EVC,2000-08-03,18.0,19.0,18.0,18.25
EVC,2000-08-04,18.75,19.5,18.25,19.5
EVC,2000-08-07,19.5,19.94,19.19,19.44
EVC,2000-08-08,19.5,19.62,19.44,19.5
EVC,2000-08-09,19.5,19.75,16.75,17.19
EVC,2000-08-10,17.0,17.06,15.19,16.0
EVC,2000-08-11,16.0,18.12,15.94,18.12
EVC,2000-08-14,18.25,18.5,17.94,18.5
EVC,2000-08-15,18.5,18.88,18.5,18.75
EVC,2000-08-16,18.75,19.19,18.75,19.12
EVC,2000-08-17,19.38,20.31,19.31,19.44
EVC,2000-08-18,19.62,20.06,19.12,20.0
EVC,2000-08-21,20.0,20.5,20.0,20.38
EVC,2000-08-22,20.38,20.56,19.88,19.88
EVC,2000-08-23,19.69,19.75,19.19,19.44
EVC,2000-08-24,19.56,19.75,19.38,19.44
EVC,2000-08-25,19.38,19.5,19.38,19.44
EVC,2000-08-28,19.31,19.88,19.12,19.75
EVC,2000-08-29,19.75,19.75,19.25,19.38
EVC,2000-08-30,19.38,19.62,19.31,19.56
EVC,2000-08-31,19.5,19.88,19.31,19.81
EVC,2000-09-01,19.88,19.88,19.5,19.62
EVC,2000-09-05,19.25,19.38,18.75,18.81
EVC,2000-09-06,18.69,18.81,17.88,18.0
EVC,2000-09-07,18.0,18.0,17.0,17.38
EVC,2000-09-08,17.31,17.5,16.69,16.75
EVC,2000-09-11,16.62,16.62,15.75,16.31
EVC,2000-09-12,16.5,18.5,16.5,18.19
EVC,2000-09-13,18.25,18.25,17.75,18.06
EVC,2000-09-14,18.06,18.06,17.5,17.69
EVC,2000-09-15,17.62,17.62,17.25,17.5
EVC,2000-09-18,17.5,17.5,17.06,17.5
EVC,2000-09-19,17.38,17.38,17.0,17.0
EVC,2000-09-20,17.0,17.06,17.0,17.06
EVC,2000-09-21,17.0,17.06,17.0,17.06
EVC,2000-09-22,17.06,17.06,17.0,17.0
EVC,2000-09-25,17.0,17.12,16.56,16.56
EVC,2000-09-26,16.56,16.56,16.06,16.25
EVC,2000-09-27,16.38,17.12,16.06,16.81
EVC,2000-09-28,16.88,17.12,16.38,17.0
EVC,2000-09-29,17.0,17.62,17.0,17.38
EVC,2000-10-02,17.38,17.62,17.25,17.25
EVC,2000-10-03,17.19,17.25,17.0,17.0
EVC,2000-10-04,17.0,17.0,16.5,16.56
