ticker,date,open,high,low,close
EVMN,2025-11-12,20.0,20.39,19.11,19.52
EVMN,2025-11-13,19.0,19.53,18.22,18.22
EVMN,2025-11-14,18.25,18.8,18.135,18.3
EVMN,2025-11-17,18.52,19.995,18.4949,19.45
EVMN,2025-11-18,20.315,20.775,19.49,20.19
EVMN,2025-11-19,20.54,20.83,19.1,19.29
EVMN,2025-11-20,19.8,20.285,18.45,18.71
EVMN,2025-11-21,18.36,19.5,18.36,18.71
EVMN,2025-11-24,19.05,20.0,18.9,19.38
EVMN,2025-11-25,19.255,20.0,18.6,18.75
EVMN,2025-11-26,19.432,19.69,18.6,19.41
EVMN,2025-11-28,19.4,20.74,19.33,20.71
EVMN,2025-12-01,22.83,22.83,20.51,20.91
EVMN,2025-12-02,21.24,22.0,20.59,21.05
EVMN,2025-12-03,21.535,22.22,20.7876,21.22
EVMN,2025-12-04,21.59,22.68,21.05,21.93
EVMN,2025-12-05,22.31,22.49,21.69,21.9
EVMN,2025-12-08,22.31,22.5591,18.075,18.44
EVMN,2025-12-09,18.72,19.04,17.83,17.84
EVMN,2025-12-10,17.92,20.47,17.89,19.61
EVMN,2025-12-11,20.0,20.54,19.45,19.69
EVMN,2025-12-12,20.85,20.85,17.2024,18.01
EVMN,2025-12-15,18.4685,19.225,17.6,17.63
EVMN,2025-12-16,18.41,18.42,15.79,15.86
EVMN,2025-12-17,16.52,16.52,15.43,15.92
EVMN,2025-12-18,16.2,16.2,13.885,15.01
EVMN,2025-12-19,15.295,19.4,15.295,18.25
EVMN,2025-12-22,17.9,17.9,16.4,17.11
EVMN,2025-12-23,17.8157,18.115,17.47,17.91
EVMN,2025-12-24,18.4,18.4,17.43,17.59
EVMN,2025-12-26,17.7987,18.17,16.94,17.21
EVMN,2025-12-29,17.89,18.36,17.63,18.0
EVMN,2025-12-30,18.15,18.695,17.4,17.52
EVMN,2025-12-31,17.75,18.0499,16.82,17.12
EVMN,2026-01-02,17.5634,17.78,17.0,17.31
EVMN,2026-01-05,17.23,17.57,14.77,15.37
EVMN,2026-01-06,15.9,16.415,15.3,16.08
EVMN,2026-01-07,16.2006,16.99,15.9,16.2
EVMN,2026-01-08,17.3,18.69,17.0201,18.23
EVMN,2026-01-09,18.51,20.76,17.5,20.13
EVMN,2026-01-12,20.375,21.49,19.6272,21.14
EVMN,2026-01-13,20.81,21.58,20.415,20.94
EVMN,2026-01-14,20.92,21.42,20.34,21.25
EVMN,2026-01-15,20.93,20.93,18.97,19.6
EVMN,2026-01-16,19.8,19.8,16.3589,16.8
EVMN,2026-01-20,17.15,19.18,16.95,18.4
EVMN,2026-01-21,18.98,19.42,17.86,18.85
EVMN,2026-01-22,19.44,19.44,18.3,18.89
EVMN,2026-01-23,18.99,19.065,18.24,18.87
EVMN,2026-01-26,19.2,20.23,18.2,19.58
EVMN,2026-01-27,19.61,19.68,17.67,19.6
EVMN,2026-01-28,20.0,20.79,18.84,20.49
EVMN,2026-01-29,20.5,23.2799,20.315,21.63
EVMN,2026-01-30,21.66,23.0,18.0,18.1
EVMN,2026-02-02,18.65,20.07,18.1,19.23
EVMN,2026-02-03,19.51,19.8,17.745,18.48
EVMN,2026-02-04,18.8,19.46,17.5,18.94
EVMN,2026-02-05,18.41,19.39,16.1601,16.66
EVMN,2026-02-06,17.53,17.6,17.0,17.31
EVMN,2026-02-09,16.59,17.16,15.97,16.99
EVMN,2026-02-10,29.52,33.2,21.8,29.03
EVMN,2026-02-11,28.06,29.64,24.12,28.46
EVMN,2026-02-12,27.635,30.68,26.42,27.88
EVMN,2026-02-13,29.455,32.98,29.1,31.57
EVMN,2026-02-17,31.67,33.16,29.46,31.2
EVMN,2026-02-18,30.72,31.9699,30.0601,31.1
EVMN,2026-02-19,31.4,31.4,27.81,28.73
EVMN,2026-02-20,28.11,29.64,26.5,28.31
EVMN,2026-02-23,27.6,28.49,25.73,27.59
EVMN,2026-02-24,27.6907,28.35,27.35,27.88
EVMN,2026-02-25,27.92,30.055,27.83,29.86
EVMN,2026-02-26,26.63,26.63,25.0,26.63
EVMN,2026-02-27,27.26,27.6,25.26,26.0
EVMN,2026-03-02,25.44,26.5,25.04,25.61
EVMN,2026-03-03,24.582,25.62,23.88,23.88
EVMN,2026-03-04,23.57,24.4,21.86,23.59
EVMN,2026-03-05,23.59,25.2,22.675,25.09
EVMN,2026-03-06,24.54,27.585,24.51,26.5
EVMN,2026-03-09,26.15,26.54,23.83,24.61
EVMN,2026-03-10,25.35,26.65,23.71,24.0
EVMN,2026-03-11,24.46,24.615,22.7,23.4
EVMN,2026-03-12,23.365,23.64,22.57,22.98
