ticker,date,open,high,low,close
GEF,1996-02-28,15.25,15.25,15.0,15.0
GEF,1996-02-29,15.5,15.5,15.5,15.5
GEF,1996-03-01,15.75,15.75,15.5,15.5
GEF,1996-03-04,15.5,15.75,15.5,15.5
GEF,1996-03-05,15.75,15.75,15.75,15.75
GEF,1996-03-06,15.75,15.75,15.5,15.5
GEF,1996-03-07,15.44,15.75,15.44,15.75
GEF,1996-03-08,15.38,15.75,15.38,15.75
GEF,1996-03-11,15.38,15.5,15.12,15.5
GEF,1996-03-12,15.38,15.5,15.25,15.25
GEF,1996-03-13,15.25,15.38,15.0,15.38
GEF,1996-03-14,15.38,15.38,15.0,15.0
GEF,1996-03-15,15.12,15.25,15.12,15.25
GEF,1996-03-18,15.38,15.38,15.38,15.38
GEF,1996-03-19,15.25,15.38,15.25,15.25
GEF,1996-03-20,15.38,15.38,15.38,15.38
GEF,1996-03-21,15.38,15.38,15.0,15.0
GEF,1996-03-22,15.0,15.38,15.0,15.38
GEF,1996-03-25,15.38,15.38,15.0,15.0
GEF,1996-03-26,15.12,15.25,15.06,15.06
GEF,1996-03-27,15.12,15.25,14.88,14.88
GEF,1996-03-28,14.88,14.88,14.38,14.44
GEF,1996-03-29,14.62,14.62,14.38,14.5
GEF,1996-04-01,14.62,14.62,14.38,14.38
GEF,1996-04-02,14.25,14.5,14.12,14.25
GEF,1996-04-03,14.12,14.25,14.0,14.0
GEF,1996-04-04,14.25,14.25,14.25,14.25
GEF,1996-04-08,13.88,13.88,13.62,13.62
GEF,1996-04-09,13.88,13.88,13.5,13.88
GEF,1996-04-10,13.62,13.62,13.38,13.62
GEF,1996-04-11,13.62,13.62,13.62,13.62
GEF,1996-04-12,13.62,13.62,13.38,13.42
GEF,1996-04-15,13.62,13.62,13.5,13.62
GEF,1996-04-16,13.62,13.62,13.38,13.62
GEF,1996-04-17,13.38,13.5,13.25,13.5
GEF,1996-04-18,13.31,13.5,13.31,13.5
GEF,1996-04-19,13.5,13.5,13.38,13.38
GEF,1996-04-22,13.25,13.31,13.25,13.25
GEF,1996-04-23,13.5,13.5,13.5,13.5
GEF,1996-04-24,13.5,13.5,13.12,13.12
GEF,1996-04-25,13.25,13.38,13.12,13.12
GEF,1996-04-26,13.38,13.38,13.12,13.38
GEF,1996-04-29,13.25,13.25,13.25,13.25
GEF,1996-04-30,13.25,13.25,13.25,13.25
GEF,1996-05-01,13.38,13.38,13.12,13.12
GEF,1996-05-02,13.38,13.38,13.38,13.38
GEF,1996-05-03,13.12,13.38,13.12,13.31
GEF,1996-05-06,13.31,13.5,13.25,13.38
GEF,1996-05-07,13.69,13.69,13.5,13.5
GEF,1996-05-08,13.25,13.38,13.25,13.25
GEF,1996-05-09,13.25,13.5,13.25,13.5
GEF,1996-05-10,13.5,13.5,13.31,13.31
GEF,1996-05-13,13.31,13.31,13.31,13.31
GEF,1996-05-14,13.25,13.5,13.12,13.5
GEF,1996-05-15,13.12,13.5,13.12,13.17
GEF,1996-05-16,13.5,13.5,13.31,13.44
GEF,1996-05-17,13.44,13.44,13.12,13.44
GEF,1996-05-20,13.44,13.44,13.12,13.12
GEF,1996-05-21,13.12,13.25,13.12,13.25
GEF,1996-05-22,13.12,13.38,13.12,13.38
GEF,1996-05-23,13.38,13.38,13.12,13.38
GEF,1996-05-24,13.0,13.38,13.0,13.12
GEF,1996-05-28,13.31,13.5,13.0,13.38
GEF,1996-05-29,13.38,13.62,13.25,13.62
GEF,1996-05-30,13.25,13.62,13.25,13.62
GEF,1996-05-31,13.56,14.38,13.5,14.38
GEF,1996-06-03,14.0,14.75,14.0,14.75
GEF,1996-06-04,14.81,15.19,14.75,15.19
GEF,1996-06-05,15.06,15.06,14.81,14.81
GEF,1996-06-06,15.19,15.19,14.88,15.06
GEF,1996-06-07,14.81,15.12,14.81,15.12
GEF,1996-06-10,14.81,15.12,14.81,15.05
GEF,1996-06-11,14.94,15.12,14.94,14.94
GEF,1996-06-12,15.12,15.19,14.94,15.19
GEF,1996-06-13,14.94,15.19,14.94,15.19
GEF,1996-06-14,14.94,15.38,14.94,15.25
GEF,1996-06-17,15.12,15.38,15.12,15.25
GEF,1996-06-18,15.25,15.62,15.25,15.62
GEF,1996-06-19,15.62,15.62,15.5,15.62
GEF,1996-06-20,15.5,15.75,15.5,15.5
GEF,1996-06-21,15.5,15.75,15.5,15.5
GEF,1996-06-24,15.5,15.75,15.5,15.5
GEF,1996-06-25,15.56,15.75,15.56,15.75
GEF,1996-06-26,15.72,15.88,15.56,15.88
GEF,1996-06-27,15.88,16.0,15.56,16.0
GEF,1996-06-28,15.62,16.0,15.62,16.0
GEF,1996-07-01,15.69,16.0,15.69,16.0
GEF,1996-07-02,16.12,16.25,16.06,16.25
GEF,1996-07-03,16.25,16.25,16.06,16.12
GEF,1996-07-05,16.0,16.0,16.0,16.0
GEF,1996-07-08,15.94,16.09,15.94,15.94
GEF,1996-07-09,16.25,16.25,15.94,16.12
GEF,1996-07-10,16.25,16.25,16.0,16.06
GEF,1996-07-11,16.0,16.06,16.0,16.0
GEF,1996-07-12,16.0,16.25,16.0,16.09
GEF,1996-07-15,16.25,16.25,16.0,16.0
GEF,1996-07-16,16.0,16.25,16.0,16.12
GEF,1996-07-17,16.12,16.38,16.12,16.25
GEF,1996-07-18,16.5,16.5,16.25,16.25
GEF,1996-07-19,16.25,16.5,16.25,16.38
GEF,1996-07-22,16.25,16.5,16.0,16.0
GEF,1996-07-23,16.0,16.25,15.75,15.75
GEF,1996-07-24,15.75,16.12,15.75,15.94
GEF,1996-07-25,15.62,16.0,15.62,15.81
GEF,1996-07-26,15.62,16.0,15.62,16.0
GEF,1996-07-29,15.62,15.62,15.5,15.5
GEF,1996-07-30,15.5,15.88,15.5,15.5
GEF,1996-07-31,15.5,15.56,15.5,15.5
GEF,1996-08-01,15.5,15.75,15.5,15.5
GEF,1996-08-02,15.56,15.56,15.56,15.56
GEF,1996-08-05,15.5,15.5,15.5,15.5
GEF,1996-08-06,15.12,15.5,14.94,15.0
GEF,1996-08-07,15.0,15.06,14.88,15.06
GEF,1996-08-08,14.88,15.25,14.88,15.06
GEF,1996-08-09,15.25,15.25,14.88,14.88
GEF,1996-08-12,15.06,15.06,15.06,15.06
GEF,1996-08-13,14.88,15.25,14.88,15.25
GEF,1996-08-14,14.88,14.88,14.88,14.88
GEF,1996-08-15,15.25,15.25,14.88,15.12
GEF,1996-08-16,14.88,15.12,14.88,15.12
GEF,1996-08-19,14.88,15.25,14.88,14.88
