ticker,date,open,high,low,close
GPC,1980-03-17,0.0,4.2,4.15,4.2
GPC,1980-03-18,0.0,4.35,4.15,4.35
GPC,1980-03-19,0.0,4.42,4.35,4.42
GPC,1980-03-20,0.0,4.49,4.44,4.44
GPC,1980-03-21,0.0,4.44,4.35,4.35
GPC,1980-03-24,0.0,4.37,4.22,4.25
GPC,1980-03-25,0.0,4.27,4.2,4.22
GPC,1980-03-26,0.0,4.44,4.2,4.44
GPC,1980-03-27,0.0,4.37,4.25,4.35
GPC,1980-03-28,0.0,4.52,4.32,4.49
GPC,1980-03-31,0.0,4.52,4.42,4.52
GPC,1980-04-01,0.0,4.54,4.49,4.54
GPC,1980-04-02,0.0,4.54,4.44,4.47
GPC,1980-04-03,0.0,4.54,4.54,4.54
GPC,1980-04-07,0.0,4.52,4.4,4.44
GPC,1980-04-08,0.0,4.54,4.47,4.52
GPC,1980-04-09,0.0,4.54,4.52,4.54
GPC,1980-04-10,0.0,4.54,4.52,4.54
GPC,1980-04-11,0.0,4.49,4.37,4.4
GPC,1980-04-14,0.0,4.4,4.02,4.07
GPC,1980-04-15,0.0,4.1,4.07,4.1
GPC,1980-04-16,0.0,4.1,4.02,4.05
GPC,1980-04-17,0.0,4.05,4.02,4.02
GPC,1980-04-18,0.0,4.07,4.02,4.05
GPC,1980-04-21,0.0,4.05,4.0,4.05
GPC,1980-04-22,0.0,4.1,4.02,4.05
GPC,1980-04-23,0.0,4.02,3.95,3.95
GPC,1980-04-24,0.0,4.07,3.95,3.98
GPC,1980-04-25,0.0,4.02,3.95,3.98
GPC,1980-04-28,0.0,4.1,3.98,4.02
GPC,1980-04-29,0.0,4.12,4.05,4.12
GPC,1980-04-30,0.0,4.1,4.0,4.07
GPC,1980-05-01,0.0,4.07,4.0,4.0
GPC,1980-05-02,0.0,4.0,3.95,3.95
GPC,1980-05-05,0.0,4.0,3.95,4.0
GPC,1980-05-06,0.0,4.02,3.93,4.02
GPC,1980-05-07,0.0,4.05,3.95,3.98
GPC,1980-05-08,0.0,4.02,3.93,4.0
GPC,1980-05-09,0.0,4.0,3.95,3.95
GPC,1980-05-12,0.0,3.98,3.93,3.95
GPC,1980-05-13,0.0,4.15,3.95,4.15
GPC,1980-05-14,0.0,4.32,4.17,4.3
GPC,1980-05-15,0.0,4.54,4.35,4.54
GPC,1980-05-16,0.0,4.54,4.47,4.52
GPC,1980-05-19,0.0,4.59,4.52,4.54
GPC,1980-05-20,0.0,4.59,4.54,4.57
GPC,1980-05-21,0.0,4.57,4.52,4.57
GPC,1980-05-22,0.0,4.57,4.49,4.54
GPC,1980-05-23,0.0,4.57,4.47,4.47
GPC,1980-05-27,0.0,4.54,4.54,4.54
GPC,1980-05-28,0.0,4.59,4.54,4.59
GPC,1980-05-29,0.0,4.62,4.54,4.54
GPC,1980-05-30,0.0,4.52,4.44,4.52
GPC,1980-06-02,0.0,4.47,4.47,4.47
GPC,1980-06-03,0.0,4.57,4.47,4.57
GPC,1980-06-04,0.0,4.57,4.52,4.52
GPC,1980-06-05,0.0,4.59,4.52,4.57
GPC,1980-06-06,0.0,4.54,4.44,4.52
GPC,1980-06-09,0.0,4.72,4.54,4.72
GPC,1980-06-10,0.0,4.79,4.67,4.74
GPC,1980-06-11,0.0,4.84,4.79,4.84
GPC,1980-06-12,0.0,4.84,4.62,4.64
GPC,1980-06-13,0.0,4.69,4.57,4.62
GPC,1980-06-16,0.0,4.62,4.57,4.62
GPC,1980-06-17,0.0,4.54,4.35,4.35
GPC,1980-06-18,0.0,4.57,4.4,4.57
GPC,1980-06-19,0.0,4.72,4.59,4.64
GPC,1980-06-20,0.0,4.69,4.62,4.64
GPC,1980-06-23,0.0,4.77,4.67,4.74
GPC,1980-06-24,0.0,4.74,4.59,4.72
GPC,1980-06-25,0.0,4.74,4.64,4.74
GPC,1980-06-26,0.0,4.74,4.69,4.74
GPC,1980-06-27,0.0,4.79,4.69,4.74
GPC,1980-06-30,0.0,4.77,4.59,4.67
GPC,1980-07-01,0.0,4.77,4.67,4.69
