ticker,date,open,high,low,close
GPGI,2026-01-26,24.63,25.315,24.49,24.84
GPGI,2026-01-27,24.93,25.15,24.13,24.5
GPGI,2026-01-28,24.54,25.13,23.94,24.03
GPGI,2026-01-29,24.105,24.4,23.6,24.26
GPGI,2026-01-30,24.125,24.42,22.88,23.57
GPGI,2026-02-02,23.03,24.34,23.0,24.07
GPGI,2026-02-03,24.475,24.82,23.125,23.53
GPGI,2026-02-04,23.41,23.61,21.6,22.14
GPGI,2026-02-05,21.96,23.08,21.79,23.05
GPGI,2026-02-06,23.74,25.25,23.505,24.46
GPGI,2026-02-09,24.35,25.49,24.0,25.32
GPGI,2026-02-10,25.5,25.65,24.81,24.85
GPGI,2026-02-11,24.93,25.28,24.42,24.98
GPGI,2026-02-12,24.865,25.66,24.23,24.69
GPGI,2026-02-13,24.775,24.99,24.21,24.63
GPGI,2026-02-17,24.585,24.73,23.69,24.11
GPGI,2026-02-18,23.785,24.3,23.44,23.51
GPGI,2026-02-19,23.26,23.66,22.17,22.52
GPGI,2026-02-20,22.685,23.12,22.54,22.87
GPGI,2026-02-23,22.51,22.91,22.15,22.59
GPGI,2026-02-24,22.655,22.91,22.055,22.69
GPGI,2026-02-25,22.765,23.7,22.64,23.03
GPGI,2026-02-26,23.12,23.12,22.14,23.12
GPGI,2026-02-27,22.725,23.285,21.9,22.45
GPGI,2026-03-02,22.175,23.06,22.0,22.54
GPGI,2026-03-03,21.72,22.46,21.2,22.11
GPGI,2026-03-04,22.37,23.67,22.37,23.5
GPGI,2026-03-05,23.04,23.62,22.68,23.02
GPGI,2026-03-06,22.135,22.135,20.11,20.33
GPGI,2026-03-09,20.13,21.11,20.13,20.65
GPGI,2026-03-10,20.58,20.66,19.75,19.81
GPGI,2026-03-11,19.46,20.05,18.93,19.74
GPGI,2026-03-12,18.875,19.02,17.13,17.55
