ticker,date,open,high,low,close
GRDN,2024-09-27,16.5,20.1,16.2301,17.75
GRDN,2024-09-30,17.8,18.23,15.52,16.8
GRDN,2024-10-01,16.5,18.1,16.1,17.28
GRDN,2024-10-02,17.9,17.98,16.755,17.37
GRDN,2024-10-03,16.83,17.72,16.75,16.96
GRDN,2024-10-04,17.0,17.67,17.0,17.36
GRDN,2024-10-07,17.66,18.5,16.82,17.3
GRDN,2024-10-08,17.1,18.93,17.05,18.6
GRDN,2024-10-09,18.5,18.7,17.95,18.33
GRDN,2024-10-10,18.2,18.33,16.9001,16.95
GRDN,2024-10-11,16.54,17.5199,16.54,17.0
GRDN,2024-10-14,17.07,17.398,17.0,17.15
GRDN,2024-10-15,17.1,17.1,16.92,17.1
GRDN,2024-10-16,17.125,17.94,17.125,17.94
GRDN,2024-10-17,17.675,17.99,17.14,17.38
GRDN,2024-10-18,17.02,17.81,17.02,17.68
GRDN,2024-10-21,17.92,18.03,17.37,18.0
GRDN,2024-10-22,18.23,18.3,17.65,18.01
GRDN,2024-10-23,17.95,18.1825,17.64,17.77
GRDN,2024-10-24,17.67,18.05,17.01,17.08
GRDN,2024-10-25,17.0,18.0,16.92,17.18
GRDN,2024-10-28,17.41,17.99,17.13,17.64
GRDN,2024-10-29,17.39,18.0,17.39,17.99
GRDN,2024-10-30,17.9,17.995,17.45,17.55
GRDN,2024-10-31,17.34,17.9699,17.34,17.91
GRDN,2024-11-01,17.745,18.52,17.7,18.27
GRDN,2024-11-04,18.49,19.3599,18.455,18.64
GRDN,2024-11-05,18.83,19.42,18.61,19.22
GRDN,2024-11-06,19.59,20.12,19.145,20.12
GRDN,2024-11-07,19.92,21.18,19.92,21.0
GRDN,2024-11-08,21.08,21.6036,20.89,21.41
GRDN,2024-11-11,21.68,23.05,21.39,22.25
GRDN,2024-11-12,22.39,22.82,21.68,22.18
GRDN,2024-11-13,19.34,21.05,19.34,19.8
GRDN,2024-11-14,19.941,21.19,19.5821,21.0
GRDN,2024-11-15,21.25,21.99,20.71,20.93
GRDN,2024-11-18,21.025,21.405,20.93,21.39
GRDN,2024-11-19,21.2,21.695,20.745,21.56
GRDN,2024-11-20,21.55,21.61,21.12,21.27
GRDN,2024-11-21,21.685,23.0,21.685,22.07
GRDN,2024-11-22,22.07,23.35,21.99,23.08
GRDN,2024-11-25,23.61,24.63,23.19,24.5
GRDN,2024-11-26,24.15,25.195,24.15,24.55
GRDN,2024-11-27,24.705,25.32,24.705,24.96
