ticker,date,open,high,low,close
HP,1980-10-15,10.94,11.19,10.94,11.19
HP,1980-10-16,11.19,11.78,10.97,11.06
HP,1980-10-17,10.97,10.97,10.75,10.78
HP,1980-10-20,10.78,10.78,10.66,10.78
HP,1980-10-21,10.78,10.97,10.78,10.88
HP,1980-10-22,10.88,10.94,10.75,10.75
HP,1980-10-23,10.66,10.66,10.47,10.56
HP,1980-10-24,10.56,10.78,10.25,10.78
HP,1980-10-27,10.62,10.62,10.22,10.34
HP,1980-10-28,10.34,10.47,10.34,10.47
HP,1980-10-29,10.47,10.62,10.44,10.47
HP,1980-10-30,10.47,10.56,10.22,10.25
HP,1980-10-31,10.25,10.25,10.12,10.25
HP,1980-11-03,10.25,10.88,10.25,10.88
HP,1980-11-05,11.25,11.75,11.25,11.25
HP,1980-11-06,11.25,11.25,11.16,11.19
HP,1980-11-07,11.06,11.06,10.88,10.97
HP,1980-11-10,11.03,11.09,11.03,11.03
HP,1980-11-11,11.03,11.03,10.88,11.03
HP,1980-11-12,11.16,11.28,11.16,11.25
HP,1980-11-13,11.38,11.41,11.38,11.41
HP,1980-11-14,11.41,11.5,11.25,11.5
HP,1980-11-17,11.47,11.47,11.19,11.47
HP,1980-11-18,11.47,11.69,11.41,11.56
HP,1980-11-19,11.66,11.88,11.66,11.75
HP,1980-11-20,11.75,12.41,11.75,12.22
HP,1980-11-21,12.53,12.84,12.53,12.81
HP,1980-11-24,12.59,12.59,12.19,12.5
HP,1980-11-25,12.69,13.12,12.69,13.09
HP,1980-11-26,13.09,13.12,12.81,12.94
HP,1980-11-28,12.94,13.0,12.84,13.0
HP,1980-12-01,13.0,13.03,12.72,12.72
HP,1980-12-02,12.5,12.5,11.38,11.69
HP,1980-12-03,12.0,12.38,12.0,12.38
HP,1980-12-04,12.38,12.41,12.19,12.22
HP,1980-12-05,12.0,12.0,11.59,11.97
HP,1980-12-08,11.91,11.91,11.06,11.09
HP,1980-12-09,11.09,11.28,11.06,11.28
HP,1980-12-10,11.25,11.25,10.78,11.06
HP,1980-12-11,11.06,11.41,10.84,11.41
HP,1980-12-12,11.41,11.78,11.38,11.78
HP,1980-12-15,11.88,12.0,11.88,12.0
HP,1980-12-16,12.0,12.0,11.88,11.91
HP,1980-12-17,12.0,12.69,12.0,12.5
HP,1980-12-18,12.62,13.22,12.62,12.72
HP,1980-12-19,12.72,12.81,12.62,12.81
HP,1980-12-22,12.81,12.94,12.62,12.72
HP,1980-12-23,12.72,12.72,12.5,12.5
HP,1980-12-24,12.5,13.03,12.5,13.03
HP,1980-12-26,12.94,12.94,12.91,12.94
HP,1980-12-29,13.22,13.53,13.22,13.22
HP,1980-12-30,13.22,13.25,12.84,12.84
HP,1980-12-31,12.84,12.84,12.72,12.72
HP,1981-01-02,12.72,13.19,12.72,13.03
HP,1981-01-05,13.03,13.09,12.84,12.91
HP,1981-01-06,12.84,12.84,12.31,12.31
HP,1981-01-07,12.06,12.06,11.91,12.0
HP,1981-01-08,12.0,12.31,11.59,11.59
HP,1981-01-09,11.59,11.78,11.5,11.59
HP,1981-01-12,11.59,11.59,11.16,11.19
HP,1981-01-13,11.19,11.19,10.75,11.19
HP,1981-01-14,11.19,11.38,11.19,11.38
HP,1981-01-15,11.38,11.59,11.38,11.59
HP,1981-01-16,11.59,11.75,11.56,11.69
HP,1981-01-19,11.69,11.75,11.69,11.75
HP,1981-01-20,11.75,11.78,11.59,11.69
HP,1981-01-21,11.5,11.5,11.34,11.34
HP,1981-01-22,11.34,11.5,11.28,11.38
HP,1981-01-23,11.28,11.28,10.88,11.03
HP,1981-01-26,11.03,11.09,10.84,10.84
HP,1981-01-27,10.88,11.25,10.88,10.94
HP,1981-01-28,11.03,11.16,11.03,11.06
HP,1981-01-29,11.06,11.09,10.88,11.06
HP,1981-01-30,11.06,11.19,10.94,10.94
HP,1981-02-02,10.75,10.75,9.81,9.97
HP,1981-02-03,10.12,10.44,10.12,10.31
HP,1981-02-04,10.34,10.75,10.34,10.69
HP,1981-02-05,10.88,11.09,10.88,11.09
HP,1981-02-06,11.06,11.06,10.88,10.88
HP,1981-02-09,10.88,10.88,10.34,10.34
HP,1981-02-10,10.34,10.62,10.34,10.62
HP,1981-02-11,10.62,10.62,10.34,10.34
HP,1981-02-12,10.34,10.53,10.31,10.38
HP,1981-02-13,10.38,10.53,10.25,10.53
HP,1981-02-17,10.53,11.5,10.44,11.25
HP,1981-02-18,11.25,11.56,11.19,11.5
HP,1981-02-19,11.5,11.5,11.09,11.09
HP,1981-02-20,11.06,11.06,10.47,10.53
HP,1981-02-23,10.53,10.69,10.47,10.69
HP,1981-02-24,10.62,10.62,10.16,10.25
HP,1981-02-25,10.25,10.34,10.06,10.34
HP,1981-02-26,10.56,10.97,10.56,10.97
HP,1981-02-27,11.16,11.28,11.16,11.25
HP,1981-03-02,11.25,11.69,11.25,11.69
HP,1981-03-03,11.69,11.81,11.56,11.56
HP,1981-03-04,11.56,11.56,11.38,11.38
HP,1981-03-05,11.38,11.38,11.16,11.16
HP,1981-03-06,11.16,11.19,11.03,11.09
HP,1981-03-09,11.09,11.5,11.09,11.5
HP,1981-03-10,11.5,11.59,11.38,11.38
HP,1981-03-11,11.38,11.75,11.25,11.28
HP,1981-03-12,11.09,11.09,10.88,10.97
HP,1981-03-13,10.94,10.94,10.56,10.56
HP,1981-03-16,10.56,10.69,10.44,10.69
HP,1981-03-17,10.69,11.03,10.69,10.97
HP,1981-03-18,10.97,11.38,10.97,11.06
HP,1981-03-19,11.16,11.38,11.16,11.25
HP,1981-03-20,11.25,11.25,11.09,11.09
HP,1981-03-23,11.09,11.56,11.09,11.56
HP,1981-03-24,11.56,11.59,11.47,11.5
HP,1981-03-25,11.5,11.81,11.5,11.81
HP,1981-03-26,11.78,11.78,11.56,11.69
HP,1981-03-27,11.69,11.69,11.5,11.5
HP,1981-03-30,11.38,11.38,11.25,11.28
HP,1981-03-31,11.28,11.81,11.25,11.78
HP,1981-04-01,11.78,11.91,11.69,11.81
HP,1981-04-02,11.88,12.0,11.88,12.0
HP,1981-04-03,12.0,12.22,12.0,12.22
HP,1981-04-06,12.22,12.31,12.06,12.19
HP,1981-04-07,12.19,12.31,12.09,12.31
HP,1981-04-08,12.22,12.22,12.09,12.09
HP,1981-04-09,12.09,12.22,12.0,12.22
