ticker,date,open,high,low,close
HTT,2025-12-24,3.97,4.03,3.89,3.93
HTT,2025-12-26,3.93,3.99,3.9,3.93
HTT,2025-12-29,3.88,3.91,3.72,3.84
HTT,2025-12-30,3.88,3.88,3.79,3.8
HTT,2025-12-31,3.77,3.79,3.53,3.55
HTT,2026-01-02,3.58,3.68,3.49,3.51
HTT,2026-01-05,3.53,3.61,3.45,3.57
HTT,2026-01-06,3.68,3.68,3.23,3.39
HTT,2026-01-07,3.38,3.42,3.23,3.25
HTT,2026-01-08,3.315,3.34,3.23,3.29
HTT,2026-01-09,3.39,3.39,3.175,3.18
HTT,2026-01-12,3.18,3.25,3.15,3.2
HTT,2026-01-13,3.22,3.24,3.085,3.13
HTT,2026-01-14,3.14,3.17,3.02,3.04
HTT,2026-01-15,3.04,3.105,2.97,3.0
HTT,2026-01-16,3.0,3.045,2.99,3.03
HTT,2026-01-20,3.0,3.145,3.0,3.06
HTT,2026-01-21,3.03,3.15,3.03,3.09
HTT,2026-01-22,3.065,3.23,3.065,3.1
HTT,2026-01-23,3.07,3.145,3.06,3.1
HTT,2026-01-26,3.15,3.2794,3.08,3.11
HTT,2026-01-27,3.1,3.1,3.05,3.08
HTT,2026-01-28,3.05,3.115,3.02,3.08
HTT,2026-01-29,3.065,3.07,2.95,2.98
HTT,2026-01-30,2.98,3.035,2.91,2.91
HTT,2026-02-02,2.91,2.925,2.84,2.87
HTT,2026-02-03,2.9,2.9,2.795,2.81
HTT,2026-02-04,2.85,2.975,2.83,2.87
HTT,2026-02-05,2.825,2.91,2.79,2.8
HTT,2026-02-06,2.855,2.94,2.8101,2.89
HTT,2026-02-09,2.88,2.92,2.88,2.9
HTT,2026-02-10,2.96,2.99,2.85,2.85
HTT,2026-02-11,2.86,2.86,2.78,2.78
HTT,2026-02-12,2.765,2.85,2.76,2.77
HTT,2026-02-13,2.75,2.775,2.72,2.73
HTT,2026-02-17,2.74,2.85,2.74,2.75
HTT,2026-02-18,2.77,2.82,2.76,2.76
HTT,2026-02-19,2.77,2.83,2.7628,2.81
HTT,2026-02-20,2.7645,2.81,2.73,2.77
HTT,2026-02-23,2.77,2.77,2.67,2.7
HTT,2026-02-24,2.67,2.8,2.66,2.78
HTT,2026-02-25,2.745,2.78,2.69,2.72
HTT,2026-02-26,2.7,2.78,2.7,2.77
HTT,2026-02-27,2.76,2.76,2.66,2.69
HTT,2026-03-02,2.67,2.83,2.67,2.79
HTT,2026-03-03,2.74,2.8,2.67,2.77
HTT,2026-03-04,2.75,2.87,2.72,2.83
HTT,2026-03-05,2.79,2.86,2.725,2.76
HTT,2026-03-06,2.71,2.8,2.71,2.74
HTT,2026-03-09,2.71,2.81,2.71,2.79
HTT,2026-03-10,2.75,2.81,2.72,2.73
HTT,2026-03-11,2.73,2.77,2.72,2.76
HTT,2026-03-12,2.73,2.77,2.7,2.7
