ticker,date,open,high,low,close
KD,2021-10-22,50.0,52.0,40.5,40.75
KD,2021-10-25,40.0,40.0,37.74,37.85
KD,2021-10-26,37.86,37.86,35.49,35.5
KD,2021-10-27,35.5,35.5,33.0,33.0
KD,2021-10-28,33.88,33.88,32.0,32.0
KD,2021-10-29,32.1,32.1,31.12,31.5
KD,2021-11-01,34.49,34.49,33.2,33.5
KD,2021-11-02,35.0,35.0,30.57,31.25
KD,2021-11-03,31.5,32.0,28.01,28.5
KD,2021-11-04,28.41,28.5,25.21,26.38
KD,2021-11-05,25.49,26.2,23.85,24.25
KD,2021-11-08,24.35,24.75,23.62,23.75
KD,2021-11-09,23.02,23.37,19.8,20.83
KD,2021-11-10,19.66,22.35,19.25,21.24
KD,2021-11-11,21.5,22.67,20.87,21.3
KD,2021-11-12,21.75,22.26,20.2601,20.74
KD,2021-11-15,20.5,20.52,19.81,20.37
KD,2021-11-16,20.2,20.4,19.52,19.7
KD,2021-11-17,19.5,19.9,18.66,18.67
KD,2021-11-18,18.5,18.65,17.74,17.76
KD,2021-11-19,17.78,18.54,17.61,18.31
KD,2021-11-22,18.34,18.73,17.25,18.5
KD,2021-11-23,18.5,18.62,17.0,17.3
KD,2021-11-24,17.0,17.42,16.77,16.95
KD,2021-11-26,16.75,16.88,16.32,16.32
KD,2021-11-29,16.55,17.37,16.3,16.3
KD,2021-11-30,16.3,16.32,15.45,15.8
KD,2021-12-01,16.39,16.75,15.71,15.75
KD,2021-12-02,15.87,17.4,15.71,17.25
KD,2021-12-03,17.04,18.68,16.98,18.63
KD,2021-12-06,18.34,19.59,17.95,19.22
KD,2021-12-07,19.305,20.1799,18.73,19.13
KD,2021-12-08,18.9,19.53,18.24,18.26
KD,2021-12-09,18.12,18.5,17.945,18.2
KD,2021-12-10,18.0,18.785,18.0,18.17
KD,2021-12-13,18.19,18.39,17.37,18.04
KD,2021-12-14,17.93,18.43,17.6,17.72
KD,2021-12-15,17.49,17.97,17.2,17.78
KD,2021-12-16,17.65,18.8,17.6,18.31
KD,2021-12-17,18.03,18.55,17.72,18.28
KD,2021-12-20,17.82,17.86,17.0,17.2
KD,2021-12-21,17.12,18.04,17.1,18.02
KD,2021-12-22,17.78,18.8799,17.706,18.63
KD,2021-12-23,18.63,19.3632,18.26,19.11
KD,2021-12-27,19.0,19.39,18.56,18.79
KD,2021-12-28,18.5,18.97,18.0752,18.31
KD,2021-12-29,18.21,18.44,17.74,18.19
KD,2021-12-30,18.0,18.75,17.77,18.38
KD,2021-12-31,18.09,18.7088,18.02,18.1
KD,2022-01-03,18.49,19.63,18.35,19.37
KD,2022-01-04,19.33,19.5,18.5478,18.88
KD,2022-01-05,18.69,18.71,17.65,17.68
KD,2022-01-06,17.7,18.12,17.56,17.75
KD,2022-01-07,17.7,18.17,17.6,17.79
KD,2022-01-10,17.6,17.76,16.66,17.74
KD,2022-01-11,17.4,18.18,17.4,17.86
KD,2022-01-12,18.06,18.34,17.58,17.97
KD,2022-01-13,18.18,18.53,18.0,18.07
KD,2022-01-14,17.89,18.22,17.51,18.14
KD,2022-01-18,17.55,17.91,17.355,17.5
KD,2022-01-19,17.37,17.56,16.87,16.94
KD,2022-01-20,16.87,17.72,16.87,17.0
KD,2022-01-21,17.0,17.2123,16.5,16.5
KD,2022-01-24,16.25,16.59,15.44,16.57
KD,2022-01-25,16.23,16.67,15.49,16.27
KD,2022-01-26,16.51,16.52,15.73,15.87
KD,2022-01-27,16.0,16.23,15.56,15.7
KD,2022-01-28,15.6,16.02,15.23,16.02
KD,2022-01-31,16.08,16.9,15.99,16.88
KD,2022-02-01,16.87,17.08,16.57,16.73
KD,2022-02-02,16.62,16.915,16.17,16.31
KD,2022-02-03,16.17,16.58,15.74,15.77
KD,2022-02-04,15.71,16.39,15.58,16.22
KD,2022-02-07,16.09,16.22,15.63,15.66
KD,2022-02-08,15.55,16.06,15.55,16.05
KD,2022-02-09,16.28,16.57,16.13,16.48
KD,2022-02-10,16.28,16.63,15.8018,15.87
KD,2022-02-11,15.95,16.09,15.23,15.4
KD,2022-02-14,15.25,15.89,15.25,15.82
KD,2022-02-15,15.89,16.25,15.76,16.22
KD,2022-02-16,16.07,16.08,15.6,15.68
