ticker,date,open,high,low,close
KFRC,1995-08-15,3.56,3.94,3.56,3.75
KFRC,1995-08-16,3.88,3.88,3.69,3.78
KFRC,1995-08-17,3.75,3.88,3.69,3.69
KFRC,1995-08-18,3.72,3.88,3.69,3.81
KFRC,1995-08-21,3.69,3.88,3.69,3.78
KFRC,1995-08-22,3.88,3.94,3.69,3.94
KFRC,1995-08-23,3.81,4.31,3.81,4.31
KFRC,1995-08-24,4.31,4.31,4.12,4.12
KFRC,1995-08-25,4.12,4.31,4.06,4.06
KFRC,1995-08-28,4.06,4.31,3.94,3.94
KFRC,1995-08-29,3.94,4.06,3.88,3.88
KFRC,1995-08-30,4.0,4.0,3.88,3.94
KFRC,1995-08-31,4.0,4.06,3.94,4.06
KFRC,1995-09-01,4.06,4.12,3.94,4.0
KFRC,1995-09-05,4.19,4.19,4.0,4.19
KFRC,1995-09-06,4.12,4.31,4.12,4.31
KFRC,1995-09-07,4.31,4.38,4.12,4.16
KFRC,1995-09-08,4.31,4.31,4.12,4.31
KFRC,1995-09-11,4.31,4.31,4.12,4.31
KFRC,1995-09-12,4.31,4.31,4.25,4.28
KFRC,1995-09-13,4.44,4.44,4.25,4.38
KFRC,1995-09-14,4.38,4.38,4.25,4.34
KFRC,1995-09-15,4.38,4.38,4.25,4.38
KFRC,1995-09-18,4.25,4.38,4.19,4.25
KFRC,1995-09-19,4.28,4.38,4.19,4.19
KFRC,1995-09-20,4.19,4.38,4.19,4.38
KFRC,1995-09-21,4.19,4.38,4.19,4.23
KFRC,1995-09-22,4.19,4.38,4.19,4.23
KFRC,1995-09-25,4.19,4.38,4.12,4.12
KFRC,1995-09-26,4.06,4.25,4.0,4.19
KFRC,1995-09-27,4.0,4.19,4.0,4.19
KFRC,1995-09-28,4.19,4.19,4.0,4.16
KFRC,1995-09-29,4.19,4.25,4.06,4.25
KFRC,1995-10-02,4.25,4.38,4.09,4.25
KFRC,1995-10-03,4.19,4.44,4.19,4.44
KFRC,1995-10-04,4.19,4.44,4.19,4.19
KFRC,1995-10-05,4.44,4.44,4.25,4.44
KFRC,1995-10-06,4.44,4.44,4.25,4.28
KFRC,1995-10-09,4.25,4.41,4.25,4.41
KFRC,1995-10-10,4.19,4.44,4.19,4.25
KFRC,1995-10-11,4.25,4.25,4.25,4.25
KFRC,1995-10-12,4.44,4.5,4.19,4.31
KFRC,1995-10-13,4.56,4.56,4.31,4.31
KFRC,1995-10-16,4.56,4.56,4.31,4.5
KFRC,1995-10-17,4.41,4.62,4.41,4.44
KFRC,1995-10-18,4.62,4.81,4.44,4.56
KFRC,1995-10-19,4.81,4.81,4.56,4.56
KFRC,1995-10-20,4.62,4.81,4.62,4.81
KFRC,1995-10-23,4.81,4.81,4.56,4.81
KFRC,1995-10-24,4.62,4.81,4.56,4.62
KFRC,1995-10-25,4.69,4.81,4.56,4.56
KFRC,1995-10-26,4.62,4.81,4.62,4.62
KFRC,1995-10-27,4.62,4.81,4.62,4.81
KFRC,1995-10-30,4.81,4.81,4.62,4.81
KFRC,1995-10-31,4.62,4.81,4.62,4.62
KFRC,1995-11-01,4.62,4.81,4.62,4.72
KFRC,1995-11-02,4.81,4.81,4.62,4.81
KFRC,1995-11-03,4.62,4.81,4.62,4.81
KFRC,1995-11-06,4.81,4.81,4.62,4.62
KFRC,1995-11-07,4.88,4.88,4.62,4.75
KFRC,1995-11-08,4.88,4.88,4.62,4.81
KFRC,1995-11-09,4.88,4.88,4.69,4.88
KFRC,1995-11-10,4.88,4.88,4.69,4.69
KFRC,1995-11-13,4.69,4.88,4.69,4.88
KFRC,1995-11-14,4.88,4.88,4.69,4.88
KFRC,1995-11-15,4.88,4.88,4.69,4.88
KFRC,1995-11-16,4.69,4.8,4.69,4.69
KFRC,1995-11-17,4.88,4.88,4.69,4.88
KFRC,1995-11-20,4.88,4.88,4.69,4.69
KFRC,1995-11-21,4.88,4.88,4.69,4.88
KFRC,1995-11-22,4.69,4.69,4.69,4.69
KFRC,1995-11-24,4.88,4.88,4.69,4.75
KFRC,1995-11-27,4.69,4.88,4.69,4.88
KFRC,1995-11-28,4.88,4.88,4.69,4.88
KFRC,1995-11-29,4.69,4.69,4.69,4.69
KFRC,1995-11-30,4.88,5.0,4.81,5.0
KFRC,1995-12-01,5.0,5.19,4.88,5.06
KFRC,1995-12-04,5.06,5.44,5.06,5.31
KFRC,1995-12-05,5.19,5.44,5.19,5.31
KFRC,1995-12-06,5.19,5.44,5.19,5.38
KFRC,1995-12-07,5.44,5.44,5.19,5.34
KFRC,1995-12-08,5.44,5.44,5.44,5.44
KFRC,1995-12-11,5.44,5.44,5.19,5.19
KFRC,1995-12-12,5.44,5.44,5.19,5.19
KFRC,1995-12-13,5.38,5.38,5.19,5.19
KFRC,1995-12-14,5.19,5.38,5.19,5.19
KFRC,1995-12-15,5.19,5.22,5.19,5.22
KFRC,1995-12-18,5.12,5.31,5.12,5.19
KFRC,1995-12-19,5.25,5.44,5.25,5.25
KFRC,1995-12-20,5.44,5.44,5.25,5.44
KFRC,1995-12-21,5.44,5.44,5.44,5.44
KFRC,1995-12-22,5.25,5.62,5.25,5.62
KFRC,1995-12-26,5.44,5.62,5.44,5.62
KFRC,1995-12-27,5.62,5.62,5.44,5.62
KFRC,1995-12-28,5.56,5.88,5.56,5.81
KFRC,1995-12-29,5.75,5.88,5.75,5.88
KFRC,1996-01-02,5.88,5.88,5.75,5.81
KFRC,1996-01-03,5.88,5.88,5.75,5.75
KFRC,1996-01-04,5.75,5.88,5.75,5.75
KFRC,1996-01-05,5.75,5.88,5.75,5.75
KFRC,1996-01-08,5.75,5.88,5.75,5.88
KFRC,1996-01-09,5.88,5.88,5.75,5.75
KFRC,1996-01-10,5.88,5.88,5.75,5.75
KFRC,1996-01-11,5.75,5.75,5.75,5.75
KFRC,1996-01-12,5.75,5.78,5.75,5.75
KFRC,1996-01-15,5.88,5.88,5.75,5.75
KFRC,1996-01-16,5.75,5.81,5.75,5.75
KFRC,1996-01-17,5.78,5.88,5.75,5.88
KFRC,1996-01-18,5.88,5.88,5.75,5.88
KFRC,1996-01-19,5.88,5.88,5.75,5.75
KFRC,1996-01-22,5.75,5.75,5.75,5.75
KFRC,1996-01-23,5.88,5.88,5.75,5.75
KFRC,1996-01-24,5.75,5.78,5.75,5.75
KFRC,1996-01-25,5.88,5.88,5.75,5.75
KFRC,1996-01-26,5.75,5.88,5.75,5.88
KFRC,1996-01-29,5.75,5.88,5.75,5.88
KFRC,1996-01-30,5.75,5.75,5.75,5.75
KFRC,1996-01-31,5.75,5.88,5.75,5.88
KFRC,1996-02-01,5.88,5.88,5.75,5.88
KFRC,1996-02-02,5.88,6.31,5.88,5.94
KFRC,1996-02-05,6.06,6.25,5.94,6.25
KFRC,1996-02-06,6.38,6.56,6.31,6.44
KFRC,1996-02-07,6.44,6.44,6.25,6.44
KFRC,1996-02-08,6.44,6.44,6.25,6.41
KFRC,1996-02-09,6.44,6.44,6.25,6.44
KFRC,1996-02-12,6.44,6.44,6.25,6.25
KFRC,1996-02-13,6.31,6.44,6.25,6.25
KFRC,1996-02-14,6.44,6.44,6.25,6.25
KFRC,1996-02-15,6.44,6.44,6.25,6.38
KFRC,1996-02-16,6.25,6.44,6.25,6.25
KFRC,1996-02-20,6.25,6.44,6.25,6.28
KFRC,1996-02-21,6.44,6.44,6.25,6.25
KFRC,1996-02-22,6.44,6.44,6.25,6.25
KFRC,1996-02-23,6.44,6.44,6.25,6.25
KFRC,1996-02-26,6.25,6.44,6.25,6.25
KFRC,1996-02-27,6.44,6.44,6.25,6.44
KFRC,1996-02-28,6.44,6.44,6.25,6.41
KFRC,1996-02-29,6.44,6.44,6.31,6.44
KFRC,1996-03-01,6.44,6.44,6.44,6.44
KFRC,1996-03-04,6.44,6.44,6.25,6.25
KFRC,1996-03-05,6.25,6.44,6.25,6.41
KFRC,1996-03-06,6.25,6.44,6.25,6.44
KFRC,1996-03-07,6.44,6.44,6.44,6.44
KFRC,1996-03-08,6.31,6.31,6.31,6.31
KFRC,1996-03-11,6.31,6.69,6.31,6.69
KFRC,1996-03-12,6.81,7.12,6.62,6.91
KFRC,1996-03-13,7.06,7.25,7.06,7.25
KFRC,1996-03-14,7.38,7.88,7.25,7.69
KFRC,1996-03-15,8.06,8.06,7.88,8.06
KFRC,1996-03-18,8.06,8.06,7.88,8.0
