ticker,date,open,high,low,close
KNX,1994-10-25,1.78,1.94,1.78,1.9
KNX,1994-10-26,1.93,1.98,1.89,1.98
KNX,1994-10-27,1.98,1.99,1.94,1.98
KNX,1994-10-28,2.02,2.07,1.98,1.99
KNX,1994-10-31,1.98,1.98,1.91,1.91
KNX,1994-11-01,1.91,1.94,1.91,1.93
KNX,1994-11-02,1.94,1.94,1.91,1.94
KNX,1994-11-03,1.94,1.98,1.91,1.91
KNX,1994-11-04,1.91,1.98,1.91,1.91
KNX,1994-11-07,1.98,1.98,1.91,1.91
KNX,1994-11-08,1.91,1.94,1.91,1.93
KNX,1994-11-09,1.93,1.96,1.93,1.96
KNX,1994-11-10,1.93,1.96,1.93,1.93
KNX,1994-11-11,1.93,1.96,1.93,1.96
KNX,1994-11-14,1.93,1.96,1.93,1.94
KNX,1994-11-15,1.96,1.96,1.93,1.93
KNX,1994-11-16,1.93,1.96,1.93,1.93
KNX,1994-11-17,1.93,1.93,1.89,1.89
KNX,1994-11-18,1.89,1.93,1.83,1.83
KNX,1994-11-21,1.83,1.91,1.83,1.88
KNX,1994-11-22,1.86,1.91,1.83,1.84
KNX,1994-11-23,1.81,1.84,1.81,1.81
KNX,1994-11-25,1.84,1.84,1.81,1.81
KNX,1994-11-28,1.81,1.83,1.79,1.79
KNX,1994-11-29,1.79,1.83,1.79,1.83
KNX,1994-11-30,1.83,1.83,1.79,1.83
KNX,1994-12-01,1.79,1.8,1.79,1.8
KNX,1994-12-02,1.83,1.83,1.79,1.79
KNX,1994-12-05,1.79,1.83,1.79,1.79
KNX,1994-12-06,1.79,1.83,1.79,1.79
KNX,1994-12-07,1.79,1.83,1.79,1.81
KNX,1994-12-08,1.79,1.81,1.76,1.76
KNX,1994-12-09,1.76,1.84,1.76,1.84
KNX,1994-12-12,1.81,1.88,1.81,1.88
KNX,1994-12-13,1.89,1.89,1.84,1.84
KNX,1994-12-14,1.84,1.89,1.84,1.88
KNX,1994-12-15,1.89,1.89,1.84,1.84
KNX,1994-12-16,1.88,1.88,1.83,1.83
KNX,1994-12-19,1.83,1.88,1.83,1.88
KNX,1994-12-20,1.88,1.88,1.84,1.88
KNX,1994-12-21,1.83,1.88,1.83,1.83
KNX,1994-12-22,1.88,1.89,1.83,1.89
KNX,1994-12-23,1.88,1.94,1.88,1.88
KNX,1994-12-27,1.89,1.89,1.88,1.88
KNX,1994-12-28,1.91,1.91,1.88,1.88
KNX,1994-12-29,1.88,1.88,1.88,1.88
