ticker,date,open,high,low,close
KRO,2003-12-09,8.62,8.75,8.15,8.6
KRO,2003-12-10,8.55,8.66,8.4,8.4
KRO,2003-12-11,8.4,8.5,8.3,8.35
KRO,2003-12-12,8.35,8.82,8.35,8.62
KRO,2003-12-15,8.68,8.78,8.57,8.57
KRO,2003-12-16,8.57,8.78,8.57,8.78
KRO,2003-12-17,8.75,8.93,8.75,8.93
KRO,2003-12-18,8.9,9.19,8.88,9.14
KRO,2003-12-19,9.12,9.13,8.9,8.94
KRO,2003-12-22,8.94,9.0,8.85,9.0
KRO,2003-12-23,9.12,9.91,9.12,9.91
KRO,2003-12-24,9.86,10.15,9.86,10.15
KRO,2003-12-26,10.18,10.5,10.18,10.5
KRO,2003-12-29,10.68,12.4,10.68,12.4
KRO,2003-12-30,12.4,13.36,12.0,12.01
KRO,2003-12-31,12.1,12.1,10.75,11.1
KRO,2004-01-02,11.38,11.7,11.23,11.6
KRO,2004-01-05,11.73,11.9,11.38,11.4
KRO,2004-01-06,11.3,11.3,10.76,11.11
KRO,2004-01-07,11.05,11.4,11.05,11.38
KRO,2004-01-08,11.38,12.3,11.38,12.02
KRO,2004-01-09,12.27,12.75,12.12,12.52
KRO,2004-01-12,12.57,12.65,12.0,12.03
KRO,2004-01-13,12.0,12.15,12.0,12.1
KRO,2004-01-14,12.05,12.1,12.0,12.05
KRO,2004-01-15,12.0,12.2,12.0,12.15
KRO,2004-01-16,12.15,12.95,12.15,12.95
KRO,2004-01-20,12.95,13.3,12.75,13.0
KRO,2004-01-21,12.95,13.0,12.75,12.76
KRO,2004-01-22,12.73,12.93,12.73,12.9
KRO,2004-01-23,12.8,12.93,12.75,12.93
KRO,2004-01-26,12.85,12.95,12.35,12.39
KRO,2004-01-27,12.39,12.74,11.99,12.56
KRO,2004-01-28,12.5,12.5,12.15,12.15
KRO,2004-01-29,12.1,12.5,11.88,12.5
KRO,2004-01-30,12.55,12.85,12.4,12.8
KRO,2004-02-02,12.8,12.8,12.62,12.7
KRO,2004-02-03,12.65,13.15,12.62,13.15
KRO,2004-02-04,13.05,13.1,12.62,12.63
KRO,2004-02-05,12.75,12.98,12.75,12.9
KRO,2004-02-06,12.88,13.05,12.8,13.05
KRO,2004-02-09,13.0,13.35,12.95,13.3
KRO,2004-02-10,13.25,14.0,13.2,14.0
KRO,2004-02-11,14.12,14.12,13.25,13.8
KRO,2004-02-12,13.8,13.9,13.55,13.88
KRO,2004-02-13,13.7,14.03,13.7,14.01
KRO,2004-02-17,14.0,14.3,13.99,14.3
KRO,2004-02-18,14.3,14.3,14.0,14.0
KRO,2004-02-19,14.05,14.15,13.99,14.0
KRO,2004-02-20,14.01,14.01,13.75,13.81
KRO,2004-02-23,13.81,14.0,13.8,14.0
KRO,2004-02-24,14.0,14.45,14.0,14.25
KRO,2004-02-25,14.22,16.05,14.15,15.49
KRO,2004-02-26,15.55,16.42,15.51,15.88
KRO,2004-02-27,15.88,16.4,15.88,16.12
KRO,2004-03-01,16.38,16.88,16.38,16.62
KRO,2004-03-02,16.63,16.63,16.12,16.15
