ticker,date,open,high,low,close
LB,2024-06-28,19.0,23.4899,18.75,23.15
LB,2024-07-01,21.96,23.74,21.0001,22.96
LB,2024-07-02,22.95,25.9768,22.51,24.41
LB,2024-07-03,24.41,25.33,24.0,24.0
LB,2024-07-05,24.67,31.345,24.22,28.5
LB,2024-07-08,29.48,29.48,26.03,26.77
LB,2024-07-09,26.825,27.62,26.035,27.38
LB,2024-07-10,27.5,28.5,26.86,27.9
LB,2024-07-11,28.35,30.08,27.83,29.9
LB,2024-07-12,30.3,32.91,30.1,30.78
LB,2024-07-15,32.11,32.11,28.94,31.16
LB,2024-07-16,31.16,32.09,28.019,29.01
LB,2024-07-17,29.01,29.01,26.51,27.15
LB,2024-07-18,27.21,30.01,26.975,28.45
LB,2024-07-19,28.22,29.78,28.22,28.85
LB,2024-07-22,29.59,31.0,28.6501,29.55
LB,2024-07-23,28.26,29.51,28.1,28.22
LB,2024-07-24,28.22,29.9499,28.1,29.49
LB,2024-07-25,29.84,30.63,29.03,29.55
LB,2024-07-26,29.67,30.54,29.46,30.13
LB,2024-07-29,30.78,32.96,29.462,32.0
LB,2024-07-30,32.24,32.88,31.0,31.18
LB,2024-07-31,31.38,33.38,31.38,32.97
LB,2024-08-01,33.55,34.1299,31.26,32.09
LB,2024-08-02,31.35,32.47,30.03,31.86
LB,2024-08-05,30.0,31.19,28.0142,30.09
LB,2024-08-06,30.06,31.82,30.06,31.59
LB,2024-08-07,31.99,33.3146,31.48,32.27
LB,2024-08-08,32.8,33.3,31.6205,32.07
LB,2024-08-09,32.44,32.77,30.85,32.6
LB,2024-08-12,33.0,34.91,32.6,33.8
LB,2024-08-13,34.0,34.4,33.1501,33.31
LB,2024-08-14,33.4,34.37,32.5,33.72
LB,2024-08-15,33.86,34.49,33.5,33.85
LB,2024-08-16,34.02,36.37,33.6,35.83
LB,2024-08-19,36.17,36.615,35.39,36.06
LB,2024-08-20,36.1,38.1613,36.1,37.14
LB,2024-08-21,37.52,38.171,36.86,37.63
LB,2024-08-22,38.315,40.54,38.315,39.99
LB,2024-08-23,40.37,42.3048,40.25,42.04
LB,2024-08-26,42.2,43.08,38.47,38.52
LB,2024-08-27,39.8,39.9699,35.8187,36.82
LB,2024-08-28,36.42,38.3099,36.2001,37.41
LB,2024-08-29,36.9,38.6796,36.425,36.79
LB,2024-08-30,36.75,37.71,36.1701,37.15
LB,2024-09-03,36.66,38.21,34.29,34.29
LB,2024-09-04,34.1,35.43,33.17,34.66
LB,2024-09-05,35.52,35.55,34.39,35.03
LB,2024-09-06,35.33,36.3,34.0,34.775
LB,2024-09-09,35.1,36.28,34.73,35.26
LB,2024-09-10,35.6,36.09,33.01,33.08
LB,2024-09-11,32.65,34.65,32.28,34.57
LB,2024-09-12,34.83,36.61,34.065,36.56
LB,2024-09-13,36.66,38.6099,36.66,37.99
LB,2024-09-16,38.0,38.5511,37.34,37.48
LB,2024-09-17,37.65,39.03,36.8,38.3
LB,2024-09-18,38.1,38.7939,37.68,37.84
LB,2024-09-19,38.11,41.475,38.0,38.91
LB,2024-09-20,39.18,39.7999,37.91,38.67
LB,2024-09-23,39.0,41.74,38.472,41.12
LB,2024-09-24,41.74,45.9649,41.46,42.52
LB,2024-09-25,42.38,43.17,39.78,41.22
LB,2024-09-26,41.31,42.2179,39.32,39.86
LB,2024-09-27,39.84,40.5213,39.58,39.8
LB,2024-09-30,39.525,39.84,37.81,39.12
LB,2024-10-01,38.71,44.21,38.71,44.13
LB,2024-10-02,44.15,44.15,43.12,43.58
LB,2024-10-03,43.54,44.56,42.81,43.74
LB,2024-10-04,43.9973,46.62,43.9973,45.65
LB,2024-10-07,46.33,46.33,44.3,45.81
LB,2024-10-08,45.54,46.73,43.79,45.78
LB,2024-10-09,45.8,47.73,45.0,47.38
LB,2024-10-10,48.0,48.9,46.32,46.99
LB,2024-10-11,46.5,49.99,46.5,49.02
LB,2024-10-14,50.5,56.84,49.63,51.55
LB,2024-10-15,51.39,51.39,50.2,51.39
LB,2024-10-16,51.91,53.44,51.0,51.26
LB,2024-10-17,51.15,53.785,50.91,52.75
LB,2024-10-18,53.0,55.66,52.44,54.67
LB,2024-10-21,53.89,56.24,53.11,54.03
LB,2024-10-22,53.85,54.016,51.72,52.0
LB,2024-10-23,51.6101,54.03,51.27,52.69
LB,2024-10-24,52.96,54.6869,52.96,53.96
LB,2024-10-25,54.57,57.4099,52.1,52.23
LB,2024-10-28,52.0,53.7899,52.0,53.49
LB,2024-10-29,53.62,54.77,53.11,53.84
LB,2024-10-30,53.63,55.68,53.336,55.2
LB,2024-10-31,55.5,58.24,54.2,56.1
LB,2024-11-01,56.51,57.68,55.295,56.29
LB,2024-11-04,56.5,60.0,55.67,56.19
LB,2024-11-05,56.61,61.5998,56.61,60.56
LB,2024-11-06,63.41,64.075,59.15,61.54
LB,2024-11-07,65.8,71.6,64.389,68.66
LB,2024-11-08,72.09,75.5,69.82,75.5
LB,2024-11-11,78.0,78.41,64.5701,67.18
LB,2024-11-12,66.51,71.08,62.01,70.05
LB,2024-11-13,71.495,73.06,68.75,70.61
LB,2024-11-14,70.17,72.7797,63.2,65.59
LB,2024-11-15,66.9,71.77,62.0,68.87
LB,2024-11-18,68.87,71.19,65.82,66.7
LB,2024-11-19,65.97,66.28,57.9,63.6
LB,2024-11-20,63.13,66.2,61.54,66.09
LB,2024-11-21,66.5,68.44,65.78,67.45
LB,2024-11-22,68.5,77.46,67.88,77.46
LB,2024-11-25,79.01,79.9899,73.255,73.51
LB,2024-11-26,75.5597,80.5,74.12,75.87
LB,2024-11-27,78.32,80.5,77.0,79.12
LB,2024-11-29,79.98,80.6514,75.1825,76.0
LB,2024-12-02,77.07,77.425,69.57,72.81
LB,2024-12-03,72.235,76.52,71.22,74.84
LB,2024-12-04,75.98,77.7038,70.19,70.52
LB,2024-12-05,69.68,71.27,68.52,68.65
LB,2024-12-06,68.42,68.9999,63.25,64.11
LB,2024-12-09,64.5,65.83,61.6,62.29
LB,2025-01-27,74.25,74.25,62.8,64.19
LB,2025-01-28,66.859,66.86,61.53,64.02
LB,2025-01-29,64.1,69.11,63.82,68.1
LB,2025-01-30,69.61,71.48,63.02,65.22
LB,2025-01-31,65.78,67.73,64.0,64.87
LB,2025-02-03,62.87,67.09,60.6,64.99
LB,2025-02-04,65.09,66.89,63.0,65.11
LB,2025-02-05,65.75,70.72,64.52,69.73
LB,2025-02-06,69.795,70.0,64.45,66.67
LB,2025-02-07,67.2676,68.2199,64.53,65.42
LB,2025-02-10,65.865,73.66,65.86,73.45
LB,2025-02-11,72.04,73.44,70.335,71.18
LB,2025-02-12,68.89,70.69,68.15,69.9
LB,2025-02-13,70.13,70.13,67.2805,69.49
LB,2025-02-14,70.58,71.1054,68.57,70.0
LB,2025-02-18,71.0,72.5,70.0,72.4
LB,2025-02-19,71.75,76.22,70.49,73.29
LB,2025-02-20,71.61,73.035,69.64,72.4
LB,2025-02-21,72.805,73.25,65.21,65.21
LB,2025-02-24,66.17,66.63,62.03,65.37
LB,2025-02-25,64.495,64.74,58.77,61.37
LB,2025-02-26,63.04,64.96,62.25,64.74
LB,2025-02-27,65.315,65.315,63.31,64.89
LB,2025-02-28,63.785,69.82,63.07,69.18
LB,2025-03-03,63.97,63.97,62.48,63.97
LB,2025-03-04,62.0134,66.67,61.53,65.23
LB,2025-03-05,65.04,65.6,62.88,65.5
LB,2025-03-06,63.0,64.035,59.06,61.51
LB,2025-03-07,61.78,67.93,61.01,67.71
LB,2025-03-10,66.0,68.5,64.65,67.7
LB,2025-03-11,67.11,69.3,65.47,68.22
LB,2025-03-12,69.84,70.81,67.89,69.21
LB,2025-03-13,69.625,69.64,66.76,67.44
LB,2025-03-14,68.62,72.62,67.4614,72.57
LB,2025-03-17,72.4366,74.285,71.83,73.66
LB,2025-03-18,73.0,73.66,71.5,72.35
LB,2025-03-19,72.75,80.23,72.08,80.2
LB,2025-03-20,79.8387,84.21,77.4071,79.68
LB,2025-03-21,79.14,79.14,76.0,77.05
LB,2025-03-24,80.832,82.33,80.832,81.58
LB,2025-03-25,81.775,82.31,78.0,79.18
LB,2025-03-26,80.04,82.68,77.28,78.51
LB,2025-03-27,77.56,78.31,73.55,76.26
LB,2025-03-28,69.69,69.69,67.5345,69.69
LB,2025-03-31,67.62,72.15,65.43,71.94
LB,2025-04-01,71.88,73.685,68.985,72.63
LB,2025-04-02,72.0,75.56,70.6855,74.54
LB,2025-04-03,69.5,70.74,65.1666,66.37
LB,2025-04-04,62.59,63.0601,56.09,59.63
LB,2025-04-07,55.15,65.404,54.54,61.92
LB,2025-04-08,67.0,67.0,59.0,60.49
LB,2025-04-09,58.2059,70.77,56.25,67.99
LB,2025-04-10,65.5,66.31,61.085,62.85
LB,2025-04-11,62.5926,66.5126,61.01,65.69
LB,2025-04-14,67.71,68.4,65.075,67.92
LB,2025-04-15,67.525,69.5499,66.35,67.04
LB,2025-04-16,67.055,68.7057,66.48,67.65
LB,2025-04-17,68.3,70.94,67.7358,69.05
LB,2025-04-21,67.75,67.75,63.59,65.41
LB,2025-04-22,67.285,69.88,67.285,68.3
LB,2025-04-23,70.99,71.79,68.5,69.98
LB,2025-04-24,70.0208,72.5,70.0208,71.82
LB,2025-04-25,71.69,72.4899,70.73,72.0
LB,2025-04-28,72.5,74.95,71.43,74.17
LB,2025-04-29,74.09,74.6,72.86,74.27
LB,2025-04-30,70.9584,73.27,69.0,72.45
LB,2025-05-01,73.0,75.82,72.03,74.95
LB,2025-05-02,76.41,78.85,76.11,78.44
LB,2025-05-05,77.75,77.78,75.5,76.71
LB,2025-05-06,76.55,79.36,76.09,78.08
LB,2025-05-07,78.4,79.465,77.17,77.99
LB,2025-05-08,74.95,78.13,69.04,69.12
LB,2025-05-09,70.02,71.33,67.69,70.16
LB,2025-05-12,73.535,73.98,71.49,72.84
LB,2025-05-13,74.56,79.4699,74.1337,78.95
LB,2025-05-14,80.1,81.41,77.91,78.44
LB,2025-05-15,77.54,80.65,77.0,80.33
LB,2025-05-16,81.66,85.22,81.3101,84.5
LB,2025-05-19,82.91,85.78,79.57,84.39
LB,2025-05-20,86.12,87.5968,83.06,83.59
LB,2025-05-21,83.59,84.7499,79.75,80.55
LB,2025-05-22,79.94,79.94,75.28,78.07
LB,2025-05-23,76.5,78.7,76.5,78.42
LB,2025-05-27,80.235,80.31,75.34,76.15
LB,2025-05-28,76.6,76.9279,75.0,76.14
LB,2025-05-29,76.01,76.5,72.41,74.15
LB,2025-05-30,73.875,73.875,70.45,71.45
LB,2025-06-02,70.685,72.9,70.47,72.82
LB,2025-06-03,72.88,72.9864,70.52,72.66
LB,2025-06-04,73.4637,73.5,71.05,72.32
LB,2025-06-05,73.125,73.13,71.0,71.9
LB,2025-06-06,73.9899,74.3,71.5,73.37
LB,2025-06-09,74.3336,74.4745,71.3488,73.0
LB,2025-06-10,72.7101,73.8899,71.62,73.26
LB,2025-06-11,73.3905,73.3905,69.78,70.8
LB,2025-06-12,70.12,73.095,70.11,73.08
LB,2025-06-13,72.99,74.48,71.235,72.5
LB,2025-06-16,74.06,74.5,70.54,70.63
LB,2025-06-17,70.54,71.5,70.13,70.42
LB,2025-06-18,70.705,71.045,69.21,70.99
LB,2025-06-20,71.87,71.88,68.5,68.74
LB,2025-06-23,69.2928,69.2928,66.3131,67.03
LB,2025-06-24,65.62,69.14,65.24,69.13
LB,2025-06-25,69.18,69.47,66.1,66.2
LB,2025-06-26,67.79,67.99,65.57,67.53
LB,2025-06-27,67.8,70.42,66.69,67.58
LB,2025-06-30,67.6436,68.78,66.83,67.58
LB,2025-07-01,67.495,68.2975,65.3,66.38
LB,2025-07-02,66.16,67.2,64.77,67.19
LB,2025-07-03,67.7,68.0,66.01,66.87
LB,2025-07-07,66.33,66.61,63.625,64.3
LB,2025-07-08,64.375,65.03,63.15,63.4
LB,2025-07-09,63.735,63.735,61.43,61.66
LB,2025-07-10,62.31,63.395,60.785,62.61
LB,2025-07-11,59.69,59.69,59.69,59.69
LB,2025-07-14,59.875,60.5,58.3,59.16
LB,2025-07-15,59.685,60.1995,56.3,56.98
LB,2025-07-16,56.98,57.58,55.25,55.91
LB,2025-07-17,56.39,57.815,55.64,55.91
LB,2025-07-18,56.625,57.4844,55.211,55.79
LB,2025-07-21,56.275,57.19,53.8,54.42
LB,2025-07-22,54.4,54.8392,52.17,52.35
LB,2025-07-23,53.005,53.74,51.58,52.79
LB,2025-07-24,50.8,54.67,48.55,53.74
LB,2025-07-25,53.78,57.14,53.36,56.42
LB,2025-07-28,56.78,57.1,53.87,54.87
LB,2025-07-29,55.3,58.99,55.12,57.87
LB,2025-07-30,57.98,58.65,56.345,57.81
LB,2025-07-31,57.9,59.84,56.34,56.76
LB,2025-08-01,56.375,56.6,54.5,55.38
LB,2025-08-04,56.545,58.8013,56.5,57.93
LB,2025-08-05,58.11,59.46,56.97,59.05
LB,2025-08-06,60.0,60.5343,58.58,59.35
LB,2025-08-07,59.35,59.9,50.79,50.84
LB,2025-08-08,51.27,53.2452,50.51,51.56
LB,2025-08-11,51.04,51.89,50.51,51.2
LB,2025-08-12,51.525,53.13,50.85,52.3
LB,2025-08-13,52.375,52.7228,51.2501,52.13
LB,2025-08-14,52.06,54.48,51.36,53.63
LB,2025-08-15,52.41,52.9,51.25,51.51
LB,2025-08-18,51.49,53.0,51.49,52.5
LB,2025-08-19,52.6225,54.545,52.6,53.75
LB,2025-08-20,53.26,54.81,53.055,53.67
LB,2025-08-21,53.54,54.27,52.785,53.05
LB,2025-08-22,53.5,55.0,52.92,54.09
LB,2025-08-25,53.82,54.07,51.995,52.1
LB,2025-08-26,53.4,53.8763,52.44,52.62
LB,2025-08-27,52.17,53.25,51.72,51.85
LB,2025-08-28,52.16,53.32,51.91,52.53
LB,2025-08-29,53.2399,53.2399,51.85,53.15
LB,2025-09-02,52.73,55.5,52.245,55.08
LB,2025-09-03,54.67,55.59,52.885,53.13
LB,2025-09-04,53.05,54.51,52.78,54.16
LB,2025-09-05,53.835,55.0,51.79,52.07
LB,2025-09-08,52.07,52.2901,51.0,51.22
LB,2025-09-09,51.27,52.0036,50.8,50.97
LB,2025-09-10,51.33,52.42,50.98,52.4
LB,2025-09-11,52.16,52.5215,51.4036,51.76
LB,2025-09-12,51.965,54.05,51.903,53.4
LB,2025-09-15,53.97,54.4319,51.4,51.56
LB,2025-09-16,52.0,52.47,51.47,52.13
LB,2025-09-17,51.7328,53.12,51.56,51.89
LB,2025-09-18,52.48,54.2,52.2485,52.55
LB,2025-09-19,52.825,52.83,51.11,51.35
LB,2025-09-22,51.5,52.24,50.72,52.19
LB,2025-09-23,55.3448,61.03,55.0,57.25
LB,2025-09-24,57.41,57.8408,54.03,54.46
LB,2025-09-25,53.05,55.0128,53.03,54.38
LB,2025-09-26,54.525,55.0,53.8,54.55
LB,2025-09-29,55.1,55.1,52.56,52.86
LB,2025-09-30,52.57,53.705,51.851,53.35
LB,2025-10-01,52.92,55.7,52.745,55.56
LB,2025-10-02,55.71,57.21,54.507,56.61
LB,2025-10-03,56.69,57.28,55.42,56.67
LB,2025-10-06,56.9,57.92,56.0,57.08
LB,2025-10-07,57.02,57.32,53.66,54.41
LB,2025-10-08,54.54,55.063011,53.35,54.08
LB,2025-10-09,54.505,55.7,52.36,53.11
LB,2025-10-10,53.01,53.56,48.78,48.86
LB,2025-10-13,49.665,51.81,49.3501,51.8
LB,2025-10-14,50.81,52.47,50.0,51.53
LB,2025-10-15,52.33,54.73,52.33,53.13
LB,2025-10-16,53.965,54.97,52.72,53.32
LB,2025-10-17,52.52,54.49,52.5101,54.04
LB,2025-10-20,54.46,56.2899,54.1101,55.81
LB,2025-10-21,55.5,56.85,55.32,56.6
LB,2025-10-22,56.0,57.12,55.414,56.78
LB,2025-10-23,57.41,59.87,57.24,59.78
LB,2025-10-24,59.745,60.4,59.09,59.53
LB,2025-10-27,59.15,60.48,58.645,59.62
LB,2025-10-28,59.24,60.71,59.0,60.0
LB,2025-10-29,60.5459,61.58,59.33,60.14
LB,2025-10-30,59.37,60.17,58.6,59.24
LB,2025-10-31,58.8199,60.15,58.5102,59.17
LB,2025-11-03,59.6,61.435,58.51,60.95
LB,2025-11-04,59.2101,60.37,58.32,59.0
LB,2025-11-05,59.39,62.0,59.06,61.24
LB,2025-11-06,62.137592,66.63,61.73,66.23
LB,2025-11-07,66.125,69.42,64.46,69.16
LB,2025-11-10,69.78,75.0,69.78,75.0
LB,2025-11-11,74.525,85.6,74.0501,85.55
LB,2025-11-12,84.465,84.55,77.7314,81.51
LB,2025-11-13,77.315,78.5,69.88,73.11
