ticker,date,open,high,low,close
LHX,1981-12-31,9.6,9.74,9.45,9.71
LHX,1982-01-04,9.6,9.71,9.45,9.51
LHX,1982-01-05,9.36,9.45,9.27,9.27
LHX,1982-01-06,9.15,9.33,8.98,9.09
LHX,1982-01-07,9.09,9.18,8.98,9.15
LHX,1982-01-08,8.98,9.03,8.92,8.98
LHX,1982-01-11,8.74,8.98,8.47,8.47
LHX,1982-01-12,8.59,8.71,8.44,8.71
LHX,1982-01-13,8.62,8.74,8.5,8.59
LHX,1982-01-14,8.53,8.56,8.47,8.56
LHX,1982-01-15,8.5,8.56,8.41,8.56
LHX,1982-01-18,8.5,8.56,8.44,8.56
LHX,1982-01-19,8.53,8.65,8.39,8.44
LHX,1982-01-20,8.27,8.47,8.03,8.09
LHX,1982-01-21,7.88,8.18,7.56,7.59
LHX,1982-01-22,7.59,7.74,7.44,7.44
LHX,1982-01-25,7.23,7.35,7.09,7.26
LHX,1982-01-26,7.38,7.5,7.26,7.32
LHX,1982-01-27,7.53,7.68,7.35,7.65
LHX,1982-01-28,8.03,8.33,7.71,8.33
LHX,1982-01-29,8.27,8.41,8.09,8.39
LHX,1982-02-01,8.03,8.21,7.85,7.91
LHX,1982-02-02,8.03,8.15,7.91,8.09
LHX,1982-02-03,8.03,8.09,7.97,7.97
LHX,1982-02-04,7.91,7.97,7.85,7.94
LHX,1982-02-05,8.12,8.24,8.0,8.12
LHX,1982-02-08,8.06,8.21,7.91,7.97
LHX,1982-02-09,7.94,8.0,7.85,7.91
LHX,1982-02-10,8.06,8.15,7.94,8.0
LHX,1982-02-11,7.97,8.03,7.91,8.03
LHX,1982-02-12,8.09,8.15,8.0,8.06
LHX,1982-02-16,7.94,8.0,7.85,7.94
LHX,1982-02-17,8.06,8.12,8.0,8.06
LHX,1982-02-18,8.09,8.15,8.03,8.06
LHX,1982-02-19,7.94,8.03,7.82,7.85
LHX,1982-02-22,7.91,8.03,7.79,7.79
LHX,1982-02-23,7.79,7.88,7.71,7.88
LHX,1982-02-24,7.71,7.79,7.59,7.79
LHX,1982-02-25,7.79,7.85,7.74,7.77
LHX,1982-02-26,7.71,7.77,7.65,7.68
LHX,1982-03-01,7.29,7.62,6.94,7.29
LHX,1982-03-02,7.0,7.2,6.79,6.85
LHX,1982-03-03,6.61,6.73,6.47,6.61
LHX,1982-03-04,6.55,6.67,6.44,6.67
