ticker,date,open,high,low,close
LMND,2020-07-02,50.06,70.8,49.02,69.41
LMND,2020-07-06,73.3935,96.51,73.11,81.19
LMND,2020-07-07,83.8,89.38,75.0,78.79
LMND,2020-07-08,79.0,79.39,68.06,68.51
LMND,2020-07-09,73.97,79.91,69.03,77.01
LMND,2020-07-10,78.01,89.5,78.0,84.66
LMND,2020-07-13,89.0,95.5,77.91,78.5
LMND,2020-07-14,80.42,82.86,70.85,76.14
LMND,2020-07-15,80.85,81.0,72.5,74.17
LMND,2020-07-16,72.25,80.75,72.03,79.29
LMND,2020-07-17,78.0,88.0,76.14,85.89
LMND,2020-07-20,86.34,87.0,82.0,84.24
LMND,2020-07-21,84.68,85.2,80.545,80.85
LMND,2020-07-22,80.17,81.9,77.0,78.5
LMND,2020-07-23,78.95,86.8899,78.61,82.16
LMND,2020-07-24,78.8,82.755,75.5,77.97
LMND,2020-07-27,74.94,75.8996,71.05,73.0
LMND,2020-07-28,72.42,73.5,66.39,66.43
LMND,2020-07-29,68.16,70.5,66.81,69.05
LMND,2020-07-30,67.81,68.5399,65.0,65.1
LMND,2020-07-31,67.15,67.47,57.52,58.18
LMND,2020-08-03,59.71,61.18,56.7,56.86
LMND,2020-08-04,57.0,62.39,57.0,61.14
LMND,2020-08-05,61.77,64.95,59.27,64.48
LMND,2020-08-06,65.59,69.88,64.6,68.7
LMND,2020-08-07,68.57,69.024,65.57,66.84
LMND,2020-08-10,67.91,68.76,63.59,67.41
LMND,2020-08-11,67.41,67.54,62.75,62.75
LMND,2020-08-12,58.0,63.5,57.1,60.67
LMND,2020-08-13,60.55,62.47,58.25,59.26
LMND,2020-08-14,59.47,63.82,59.47,63.22
LMND,2020-08-17,63.0,63.28,60.27,61.48
LMND,2020-08-18,61.4,62.88,60.5,61.79
LMND,2020-08-19,62.0,62.33,60.8,61.7
LMND,2020-08-20,61.06,61.7,59.66,59.86
LMND,2020-08-21,60.0,60.65,59.52,60.2
LMND,2020-08-24,60.65,66.36,60.65,66.0
LMND,2020-08-25,65.72,66.0,60.18,61.01
LMND,2020-08-26,61.45,62.98,60.21,61.13
LMND,2020-08-27,62.2,62.66,58.1896,58.39
LMND,2020-08-28,59.4,61.69,57.88,58.18
LMND,2020-08-31,58.25,59.2,57.29,58.7
LMND,2020-09-01,59.07,59.21,55.5,56.19
LMND,2020-09-02,56.39,57.25,52.725,54.7
LMND,2020-09-03,54.2,54.2,50.0,50.83
LMND,2020-09-04,50.73,51.96,44.1101,47.27
LMND,2020-09-08,46.38,49.34,44.905,47.18
LMND,2020-09-09,48.49,51.29,48.25,50.18
LMND,2020-09-10,51.5,54.75,50.9,52.4
LMND,2020-09-11,52.69,52.865,49.9,50.12
LMND,2020-09-14,50.9,51.255,47.395,48.71
LMND,2020-09-15,49.5,49.67,46.745,47.15
LMND,2020-09-16,47.31,49.49,47.25,48.65
LMND,2020-09-17,47.2,52.07,47.19,51.88
LMND,2020-09-18,51.91,56.4095,51.2,55.24
LMND,2020-09-21,53.31,54.5,50.36,52.93
LMND,2020-09-22,52.43,54.3,50.7,54.07
LMND,2020-09-23,54.3,56.99,49.55,49.87
LMND,2020-09-24,48.8,50.81,47.31,47.98
LMND,2020-09-25,48.0,51.03,48.0,50.93
LMND,2020-09-28,52.0,52.3,50.2,51.25
LMND,2020-09-29,50.5,50.94,48.56,49.61
LMND,2020-09-30,49.3,51.53,49.3,49.72
LMND,2020-10-01,50.26,52.23,48.4,51.46
LMND,2020-10-02,49.5,53.41,49.24,51.58
LMND,2020-10-05,53.02,54.75,52.76,54.0
LMND,2020-10-06,54.76,55.39,51.7,52.44
LMND,2020-10-07,53.13,54.9,53.13,53.6
LMND,2020-10-08,54.7,60.12,54.51,60.1
LMND,2020-10-09,60.11,68.1897,58.55,67.81
LMND,2020-10-12,67.81,68.99,63.01,66.17
LMND,2020-10-13,65.02,68.74,64.0,66.73
LMND,2020-10-14,67.0,72.55,65.67,68.0
LMND,2020-10-15,64.02,65.62,61.24,62.41
LMND,2020-10-16,63.31,63.64,58.72,58.99
LMND,2020-10-19,59.34,60.96,58.5101,58.95
LMND,2020-10-20,59.93,60.735,58.5,58.58
LMND,2020-10-21,59.06,59.59,56.76,57.98
LMND,2020-10-22,57.93,58.6399,52.3215,52.53
LMND,2020-10-23,53.77,53.87,50.0,51.09
LMND,2020-10-26,50.55,52.28,48.94,51.19
LMND,2020-10-27,51.64,51.89,49.8,50.73
LMND,2020-10-28,48.9,50.2,48.0,49.13
LMND,2020-10-29,49.54,49.9163,46.601,46.9
LMND,2020-10-30,47.69,51.1479,47.09,50.29
LMND,2020-11-02,52.49,54.02,51.01,52.96
LMND,2020-11-03,53.49,59.28,53.49,58.4
LMND,2020-11-04,58.97,60.83,56.65,59.7
LMND,2020-11-05,60.51,64.2,60.5,63.95
LMND,2020-11-06,63.0,63.17,59.0731,61.37
LMND,2020-11-09,65.13,66.66,62.0,65.62
LMND,2020-11-10,65.0,68.64,60.12,65.92
LMND,2020-11-11,64.99,65.3,57.8002,57.9
LMND,2020-11-12,60.93,60.93,55.25,56.0
LMND,2020-11-13,56.7,60.19,55.15,59.87
LMND,2020-11-16,61.19,66.07,61.0,65.26
LMND,2020-11-17,62.95,66.0,62.1,65.26
LMND,2020-11-18,66.13,66.13,62.8,63.79
LMND,2020-11-19,63.8,64.9099,60.528,62.17
LMND,2020-11-20,62.98,63.6299,61.084,63.15
LMND,2020-11-23,64.0,64.33,61.3906,64.23
LMND,2020-11-24,64.5,69.34,63.06,68.99
LMND,2020-11-25,68.78,73.15,67.2,68.22
LMND,2020-11-27,69.33,75.62,68.5723,75.13
LMND,2020-11-30,73.6,77.49,68.94,69.27
LMND,2020-12-01,71.37,71.4,63.15,63.65
LMND,2020-12-02,65.39,67.11,62.31,66.83
LMND,2020-12-03,66.99,83.17,65.92,80.35
LMND,2020-12-04,82.5,85.95,78.03,85.04
LMND,2020-12-07,90.03,99.99,88.02,91.72
LMND,2020-12-08,97.31,97.65,89.35,90.6
LMND,2020-12-09,92.01,93.75,84.1,87.39
LMND,2020-12-10,85.23,111.68,85.0074,99.7
LMND,2020-12-11,100.75,101.25,87.57,91.59
LMND,2020-12-14,97.42,98.09,90.1,92.0
LMND,2020-12-15,92.23,93.1787,86.3213,90.8
LMND,2020-12-16,91.88,96.39,89.64,96.36
LMND,2020-12-17,96.66,105.268,94.415,103.56
LMND,2020-12-18,107.15,108.98,99.76,106.51
LMND,2020-12-21,104.0,111.09,100.25,109.07
LMND,2020-12-22,115.0,119.5,110.74,119.08
LMND,2020-12-23,122.64,137.3,122.3,134.45
LMND,2020-12-24,129.5,131.61,122.55,125.11
LMND,2020-12-28,119.0,120.45,106.01,107.67
LMND,2020-12-29,110.53,120.8,110.5,118.34
LMND,2020-12-30,118.3,131.215,118.3,129.89
LMND,2020-12-31,129.55,130.78,119.66,122.5
LMND,2021-01-04,126.05,126.342,111.06,113.36
LMND,2021-01-05,114.69,124.17,114.5,122.0
LMND,2021-01-06,118.0,123.72,113.61,119.34
LMND,2021-01-07,123.01,152.99,122.69,152.18
LMND,2021-01-08,148.18,168.59,142.0,160.74
LMND,2021-01-11,154.95,184.0,154.1,183.26
LMND,2021-01-12,170.0,188.3,166.0,172.99
LMND,2021-01-13,179.04,187.0,175.5,176.64
LMND,2021-01-14,171.5,173.48,156.49,158.5
LMND,2021-01-15,153.59,158.19,143.14,147.74
LMND,2021-01-19,150.31,150.8,138.8,142.64
LMND,2021-01-20,146.83,153.88,143.87,145.21
LMND,2021-01-21,150.0,152.48,145.51,148.19
LMND,2021-01-22,145.1,155.76,144.5,153.49
LMND,2021-01-25,159.59,170.5,148.02,150.98
LMND,2021-01-26,151.21,157.24,146.154,153.38
LMND,2021-01-27,145.75,182.9,145.31,156.0
LMND,2021-01-28,159.99,164.72,147.17,149.27
LMND,2021-01-29,151.19,156.88,140.22,145.25
LMND,2021-02-01,148.0,154.46,145.29,149.2
LMND,2021-02-02,152.71,152.71,142.407,143.44
LMND,2021-02-03,145.49,151.26,141.13,149.98
LMND,2021-02-04,151.0,154.27,146.85,148.0
LMND,2021-02-05,148.9,149.99,142.61,144.82
LMND,2021-02-08,146.0,149.26,140.41,141.79
LMND,2021-02-09,141.9,157.49,141.9,155.58
LMND,2021-02-10,158.69,165.75,147.11,154.77
LMND,2021-02-11,156.15,162.88,152.13,160.17
LMND,2021-02-12,161.5,168.44,161.31,163.93
LMND,2021-02-16,165.83,171.56,154.61,159.02
LMND,2021-02-17,155.99,158.75,146.77,152.25
LMND,2021-02-18,148.82,149.85,141.13,145.18
LMND,2021-02-19,147.74,153.2,146.5,148.59
LMND,2021-02-22,147.07,147.07,135.26,137.25
LMND,2021-02-23,130.0,133.63,113.55,129.28
LMND,2021-02-24,132.07,135.47,125.1,129.02
LMND,2021-02-25,129.0,136.79,121.1,125.45
LMND,2021-02-26,127.0,129.29,118.326,125.79
LMND,2021-03-01,127.0,132.88,127.0,132.43
LMND,2021-03-02,119.7,119.73,110.0,110.45
LMND,2021-03-03,113.02,113.28,102.0,103.07
LMND,2021-03-04,102.66,108.06,91.735,95.8
LMND,2021-03-05,96.2,96.5,80.02,92.9
LMND,2021-03-08,92.53,95.1143,86.2001,86.75
LMND,2021-03-09,87.56,95.87,86.9,93.52
LMND,2021-03-10,94.34,100.704,91.5,94.07
LMND,2021-03-11,95.1,109.74,94.0,105.88
LMND,2021-03-12,105.005,105.005,98.405,104.54
LMND,2021-03-15,106.21,111.75,104.25,109.98
LMND,2021-03-16,110.0,113.17,105.06,107.33
LMND,2021-03-17,101.86,105.8,97.6,104.77
LMND,2021-03-18,101.99,102.88,95.4805,96.25
LMND,2021-03-19,98.75,100.225,94.22,99.7
LMND,2021-03-22,99.71,101.93,96.08,98.6
LMND,2021-03-23,98.0,99.46,94.38,95.88
LMND,2021-03-24,96.31,97.79,88.11,89.28
LMND,2021-03-25,86.49,92.299,84.7,88.99
LMND,2021-03-26,89.23,91.98,82.87,87.38
LMND,2021-03-29,86.28,88.31,81.9,83.61
LMND,2021-03-30,82.5,90.35,80.3102,89.86
LMND,2021-03-31,91.34,94.33,89.94,93.13
LMND,2021-04-01,96.0,98.45,93.3417,95.58
LMND,2021-04-05,96.8,97.05,90.06,92.05
LMND,2021-04-06,92.5,98.91,92.41,95.2
LMND,2021-04-07,95.0,96.205,90.94,91.66
LMND,2021-04-08,91.6,96.52,91.1,95.0
LMND,2021-04-09,94.66,94.9,91.3,92.69
LMND,2021-04-12,92.5,92.53,88.3554,89.78
LMND,2021-04-13,90.47,90.7699,87.73,89.4
LMND,2021-04-14,90.77,93.1984,88.15,88.6
LMND,2021-04-15,89.84,91.98,86.64,88.25
LMND,2021-04-16,88.23,88.5,86.05,87.85
LMND,2021-04-19,87.36,88.3699,83.31,84.07
LMND,2021-04-20,83.57,85.25,78.77,80.98
LMND,2021-04-21,80.77,90.1,78.8031,89.75
LMND,2021-04-22,90.65,93.74,87.25,90.54
LMND,2021-04-23,92.05,95.53,91.09,93.92
LMND,2021-04-26,94.94,100.36,94.55,97.56
LMND,2021-04-27,97.56,100.57,95.95,97.17
LMND,2021-04-28,95.04,96.7199,94.09,94.6
LMND,2021-04-29,95.61,97.09,90.71,92.51
LMND,2021-04-30,90.98,93.64,90.03,90.4
LMND,2021-05-03,90.91,90.91,85.75,86.2
LMND,2021-05-04,85.05,85.35,80.05,83.67
LMND,2021-05-05,84.07,84.07,80.05,81.08
LMND,2021-05-06,80.49,80.49,73.2,76.13
LMND,2021-05-07,77.97,81.01,77.0301,79.11
LMND,2021-05-10,77.36,77.59,71.05,71.06
LMND,2021-05-11,66.01,74.82,65.13,73.85
LMND,2021-05-12,67.95,68.35,60.0673,60.17
LMND,2021-05-13,60.12,67.3,58.8301,64.72
LMND,2021-05-14,65.96,69.87,64.13,69.45
LMND,2021-05-17,68.75,73.06,68.01,72.48
LMND,2021-05-18,73.2,74.88,71.26,73.87
LMND,2021-05-19,69.85,74.8,69.33,73.92
LMND,2021-05-20,75.0,78.36,74.72,77.53
LMND,2021-05-21,78.42,80.14,76.53,78.4
LMND,2021-05-24,78.6,82.31,77.51,80.84
LMND,2021-05-25,81.0,81.37,75.69,76.06
LMND,2021-05-26,76.56,85.21,76.4272,84.2
LMND,2021-05-27,83.41,86.49,81.72,86.0
LMND,2021-05-28,86.76,92.75,86.6984,90.47
LMND,2021-06-01,91.02,91.79,86.58,91.72
LMND,2021-06-02,90.56,99.29,90.0003,99.03
LMND,2021-06-03,96.01,102.28,94.29,96.88
LMND,2021-06-04,96.22,98.65,94.83,95.85
LMND,2021-06-07,96.5,99.52,93.2101,99.01
LMND,2021-06-08,99.85,109.01,99.676,103.63
LMND,2021-06-09,102.01,107.89,100.75,105.15
LMND,2021-06-10,104.99,105.18,99.82,101.36
LMND,2021-06-11,102.76,106.98,102.52,106.17
LMND,2021-06-14,106.5,107.33,103.31,103.78
LMND,2021-06-15,103.5,104.0,94.36,96.38
LMND,2021-06-16,96.5,99.57,92.36,95.6
LMND,2021-06-17,94.6,101.32,94.13,99.19
LMND,2021-06-18,99.19,104.26,98.62,103.83
LMND,2021-06-21,102.11,104.5,98.1,102.81
LMND,2021-06-22,103.08,104.1,100.54,101.89
LMND,2021-06-23,101.9,109.08,101.72,107.75
LMND,2021-06-24,108.55,112.71,107.35,109.49
LMND,2021-06-25,111.29,111.9,107.548,111.9
LMND,2021-06-28,110.11,113.16,109.74,110.85
LMND,2021-06-29,111.21,113.71,109.39,111.86
LMND,2021-06-30,111.03,111.92,107.33,109.41
LMND,2021-07-01,110.21,115.85,108.505,112.75
LMND,2021-07-02,112.41,114.8,107.25,107.65
LMND,2021-07-06,107.26,107.355,103.05,105.01
LMND,2021-07-07,106.11,106.25,96.74,97.02
LMND,2021-07-08,94.52,97.58,92.47,95.95
LMND,2021-07-09,96.5,98.4175,94.2,97.15
LMND,2021-07-12,97.21,98.98,94.7,96.32
LMND,2021-07-13,95.01,95.5,90.9,91.76
LMND,2021-07-14,91.7,92.6,86.82,87.29
LMND,2021-07-15,87.23,90.8791,84.425,86.88
LMND,2021-07-16,87.56,88.2,83.49,84.25
LMND,2021-07-19,81.56,85.35,80.76,84.24
